"tax_id","org_name","genome_size","gc_content","motility","gram_stain","sporulation","cell_shape","range_salinity","range_tmp","metabolism","optimum_tmp","ref_type","reference"
551115,NA,NA,33.54,"Yes",NA,NA,"Filamentous",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
551115,NA,NA,35.68,"Yes",NA,NA,"Filamentous",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
592010,"Abiotrophia defectiva ATCC 49176",NA,37.1,"No","+","No","Cocci",NA,NA,"Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
1120917,"Acaricomes phytoseiuli DSM 14247",2419519,62.3,NA,"Positive","Nonsporulating","Rod",NA,"Mesophile","Aerobic",25,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,45.42,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,42.52,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,47.13,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,47.35,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,44.68,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,"Acaryochloris marina MBIC11017",8361599,47,NA,NA,NA,"Sphere, Ellipse",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,45.88,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,45.19,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,45.59,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
329726,NA,NA,45.34,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
310037,"Acaryochloris sp. CCMEE 5410",NA,47.12,NA,NA,NA,"Sphere, Ellipse",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
509191,"Acetivibrio cellulolyticus CD2",NA,35.54,"Yes","-","No","Rod",NA,"Mesophilic","Anaerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
1457393,NA,3014502,52.5,"No","Negative",NA,"Bacilli","NonHalophilic","Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
663932,"Acetobacter aceti ATCC 23746",3690268,57,NA,"Negative",NA,NA,NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
435,NA,3714635,56.72,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
435,NA,3725037,56.83,NA,NA,NA,NA,NA,NA,"Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1120919,"Acetobacter nitrogenifigens DSM 23921",4270291,60.4,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1120919,NA,4241307,60.461056,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
304077,NA,4063472,58.512573,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,53.36,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,"Acetobacter pasteurianus IFO 3283-01",3340249,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634452,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,53.36,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,"Acetobacter pasteurianus IFO 3283-01-42C",3247995,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634458,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,"Acetobacter pasteurianus IFO 3283-03",3339669,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634453,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,"Acetobacter pasteurianus IFO 3283-07",3338426,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634454,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,"Acetobacter pasteurianus IFO 3283-12",3336990,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634459,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,"Acetobacter pasteurianus IFO 3283-22",3339649,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634455,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,"Acetobacter pasteurianus IFO 3283-26",3339683,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634456,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,55.78,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,53.88,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,"Acetobacter pasteurianus IFO 3283-32",3337040,53.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,53.5,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,58.57,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,53.37,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
634457,NA,NA,53.75,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
438,NA,2806148,53.28,"Yes","Negative",NA,"Bacilli",NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1076596,NA,NA,52.76,NA,NA,NA,NA,NA,NA,"Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1076596,NA,3756676,57.44,NA,NA,NA,NA,NA,NA,"Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
749388,"Acetobacter tropicalis NBRC 101654",NA,55.49,"Yes","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1899015,NA,3648609,44.33,NA,NA,NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
574087,"Acetohalobium arabaticum DSM 5501",2469596,36.63,NA,NA,NA,NA,"Moderate halophilic",NA,"Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1278304,"Acholeplasma granularum ATCC 19168",1453539,29.4,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
441768,"Acholeplasma laidlawii PG-8A",1496992,31.9,NA,NA,NA,"Pleomorphic","Non-halophilic","Mesophilic","Facultative",37,"doi","doi.org/10.1093/nar/gkw1017"
1278299,"Acholeplasma multilocale ATCC 49900",924458,30.5,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1671633,NA,1207846,29.963396,NA,NA,NA,NA,NA,"Thermophilic","Anaerobic",55,"doi","doi.org/10.1093/nar/gkw1017"
1671634,NA,1469139,47.271923,NA,NA,NA,NA,NA,"Thermophilic","Anaerobic",55,"doi","doi.org/10.1093/nar/gkw1017"
742159,"Achromobacter piechaudii ATCC 43553",NA,64.7,"No","-",NA,"Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1156919,"Achromobacter piechaudii HLE",6892201,65.1,"No","Negative","No","Bacilli","Mesophilic","Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1216977,NA,6322189,64.79,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",29,"doi","doi.org/10.1093/nar/gkw1017"
762376,"Achromobacter xylosoxidans A8",7359146,65.78,"Yes","-",NA,"Rod",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
762376,NA,NA,62.17,"Yes","Negative",NA,"Bacilli",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
762376,NA,NA,61.31,"Yes","Negative",NA,"Bacilli",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
562971,"Achromobacter xylosoxidans C54",NA,67.4,"Yes","-",NA,"Rod",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1216976,NA,6792737,67.4,"Yes","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1167634,NA,6916670,67.25,"Yes","Negative",NA,"Bacilli",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
85698,NA,5876049,67.72,NA,NA,NA,NA,NA,"Unknown","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
591001,"Acidaminococcus fermentans DSM 20731",2329769,55.8,"No","-","No","Coccus",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1120921,"Acidaminococcus intestini DSM 21505",2278607,50,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
563191,"Acidaminococcus sp. D21",NA,50.2,NA,"+",NA,"Coccus",NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
666510,NA,1496453,57.2,NA,NA,NA,"Cocci",NA,"Hyperthermophilic","Anaerobic",82.5,"doi","doi.org/10.1093/nar/gkw1017"
1577685,NA,1539049,57.77789,"No",NA,NA,"Cocci",NA,"Hyperthermophilic","Anaerobic",80,"doi","doi.org/10.1093/nar/gkw1017"
525909,"Acidimicrobium ferrooxidans DSM 10331",2158157,68.3,NA,"+","No","Rod",NA,"Thermophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
349163,"Acidiphilium cryptum JF-5",3963080,67.1,NA,"-",NA,"Rod",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,61,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,58.69,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,62.13,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,59.62,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,60.85,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,57.51,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,61.92,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
349163,NA,NA,62.33,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",35,"doi","doi.org/10.1093/nar/gkw1017"
1703383,NA,2283082,56.0077,NA,NA,NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1703384,NA,2616358,61.724983,NA,NA,NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1703385,NA,2826034,61.4095,NA,NA,NA,NA,NA,"Mesophilic","Anaerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
637389,NA,NA,59.37,"Yes","Negative",NA,"Bacilli",NA,"Thermophilic",NA,45,"doi","doi.org/10.1093/nar/gkw1017"
637389,"Acidithiobacillus caldus ATCC 51756",NA,61.4,"Yes","-",NA,"Rod",NA,"Thermophilic",NA,45,"doi","doi.org/10.1093/nar/gkw1017"
637389,NA,NA,57.36,"Yes","Negative",NA,"Bacilli",NA,"Thermophilic",NA,45,"doi","doi.org/10.1093/nar/gkw1017"
637389,NA,NA,50.31,"Yes","Negative",NA,"Bacilli",NA,"Thermophilic",NA,45,"doi","doi.org/10.1093/nar/gkw1017"
1232575,NA,2921399,58.427967,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
243159,"Acidithiobacillus ferrooxidans ATCC 23270",2982397,58.8,"Yes","-",NA,"Rod",NA,"Mesophilic","Facultative",32.5,"doi","doi.org/10.1093/nar/gkw1017"
380394,"Acidithiobacillus ferrooxidans ATCC 53993",2885038,58.9,"Yes","-","No","Spiral",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
920,NA,NA,58.63,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
920,NA,3111222,58.6,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1432062,"Acidithiobacillus thiooxidans A01",3820158,53.1,NA,"Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
930,NA,3937895,52.8,"Yes","Negative","No","Bacilli","Mesophilic","Mesophilic","Aerobic",28,"doi","doi.org/10.1093/nar/gkw1017"
1752182,NA,3964155,55.136543,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
1752183,NA,5444093,69.95145,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
1752184,NA,4200469,53.128685,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
1752185,NA,3080578,64.441734,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
1752186,NA,6454507,62.69712,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,"doi","doi.org/10.1093/nar/gkw1017"
240015,"Acidobacterium capsulatum ATCC 51196",4127356,60.5,"No","-","No","Rod",NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1198114,"Acidobacterium sp. MP5ACTX9",5503984,59.98,NA,"-",NA,"Rod",NA,NA,"Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1214225,"Acidocella sp. MX-AZ02",3600757,64.1,NA,"Negative",NA,NA,NA,NA,NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
351607,"Acidothermus cellulolyticus 11B",2443540,66.9,NA,"+","Yes",NA,NA,"Thermophilic","Aerobic",58,"doi","doi.org/10.1093/nar/gkw1017"
643561,"Acidovorax avenae subsp. avenae ATCC 19860",5482170,68.9,"Yes","-","No","Rod","Non-halophilic","Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
397945,"Acidovorax citrulli AAC00-1",5352772,68.5,"Yes","-","No","Rod","Non-halophilic","Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
573060,NA,4842094,64.95,"No","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
47920,NA,NA,64.77,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
47920,NA,NA,64.44,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
535289,"Acidovorax ebreus TPSY",3796573,66.8,"Yes","-",NA,"Rod",NA,"Mesophilic","Facultative",NA,"doi","doi.org/10.1093/nar/gkw1017"
999394,"Acidovorax radicis N35v",NA,64.86,"Motile ",NA,"nonsporulation","rod-shaped",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
1768795,NA,NA,63.91,NA,NA,NA,NA,NA,NA,"Unknown",20,"doi","doi.org/10.1093/nar/gkw1017"
232721,NA,NA,62.21,"No","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
232721,NA,NA,64.58,"No","Negative",NA,"Bacilli",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
232721,"Acidovorax sp. JS42",4585154,66.1,"Yes","-","No","Rod",NA,"Mesophilic","Aerobic",NA,"doi","doi.org/10.1093/nar/gkw1017"
358220,"Acidovorax sp. KKS102",5196935,64.9,"Yes","Negative","No","Bacilli","NonHalophilic","Mesophilic","Unknown",32,"doi","doi.org/10.1093/nar/gkw1017"
1662456,NA,NA,61.25,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1662456,NA,4058023,64.14,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
553814,NA,4122625,64.24,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1943571,NA,5493953,65.31721,NA,NA,NA,NA,NA,"Mesophilic",NA,NA,"doi","doi.org/10.1093/nar/gkw1017"
1662457,NA,NA,58.37,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1662457,NA,NA,61.8,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
1662457,NA,NA,63.82,NA,NA,NA,NA,NA,"Mesophilic","Aerobic",30,"doi","doi.org/10.1093/nar/gkw1017"
