"tax_id","org_name","name_class","sporulation","gram_stain","optimum_tmp","optimum_ph","cogem_classification","ref_type","reference"
51047,"Actinobacillus minor","scientific name",NA,0,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
715,"Actinobacillus pleuropneumoniae","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
67854,"Actinobacillus succinogenes","scientific name",0,0,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
716,"Actinobacillus suis","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
723,"Actinobacillus ureae","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
59505,"Actinobaculum schaalii","synonym",NA,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1990,"Actinomadura atramentaria","scientific name",1,1,28,7.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1993,"Actinomadura madurae","scientific name",1,1,30,7,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
103618,"Actinomyces coleocanis","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
66228,"Actinomyces europaeus","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
52768,"Actinomyces georgiae","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
55565,"Actinomyces graevenitzii","scientific name",0,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1655,"Actinomyces naeslundii","scientific name",0,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
33007,"Actinomyces neuii","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1660,"Actinomyces odontolyticus","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
131111,"Actinomyces turicensis","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
103621,"Actinomyces urogenitalis","scientific name",0,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1656,"Actinomyces viscosus","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
113565,"Actinoplanes globisporus","scientific name",1,1,26,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
1866,"Actinoplanes missouriensis","scientific name",NA,1,28,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
1850,"Actinopolyspora halophila","scientific name",NA,NA,37,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
33906,"Actinopolyspora mortivallis","scientific name",1,NA,45,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
40567,"Actinosynnema mirum","scientific name",1,1,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
101385,"Aequorivita sublithincola","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1376,"Aerococcus urinae","scientific name",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1377,"Aerococcus viridans","scientific name",NA,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
648,"Aeromonas caviae","scientific name",0,0,30,7.25,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
644,"Aeromonas hydrophila","scientific name",0,0,28,7.25,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
651,"Aeromonas media","scientific name",0,0,22,7.25,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
645,"Aeromonas salmonicida","scientific name",0,0,20,7.25,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
654,"Aeromonas veronii","scientific name",0,0,37,7.94,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
56636,"Aeropyrum pernix","scientific name",NA,NA,92.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
151414,"Afipia birgiae","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
56946,"Afipia broomeae","scientific name",0,NA,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1034,"Afipia clevelandensis","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1035,"Afipia felis","scientific name",NA,0,NA,6.9,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
714,"Aggregatibacter actinomycetemcomitans","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
732,"Aggregatibacter aphrophilus","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
739,"Aggregatibacter segnis","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
147266,"Agrobacterium albertimagni","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
358,"Agrobacterium tumefaciens","scientific name",NA,0,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
373,"Agrobacterium vitis","scientific name",0,0,30,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
76980,"Ahrensia kielensis","scientific name",NA,0,NA,8,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
511,"Alcaligenes faecalis","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
59754,"Alcanivorax borkumensis","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1450,"Alicyclobacillus acidoterrestris","scientific name",1,1,45,4,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
89784,"Alicyclobacillus hesperidum","scientific name",NA,1,45,4,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
668,"Aliivibrio fischeri","scientific name",NA,0,26,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
688,"Aliivibrio logei","scientific name",NA,NA,14,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
40269,"Aliivibrio salmonicida","scientific name",NA,0,15,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
28117,"Alistipes putredinis","scientific name",0,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
94136,"Alkalibacillus haloalkaliphilus","scientific name",NA,1,32.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1049,"Allochromatium vinosum","scientific name",NA,0,30,7.15,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
1652,"Alloiococcus otitis","scientific name",NA,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
76122,"Alloprevotella tannerae","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28108,"Alteromonas macleodii","scientific name",NA,0,30,7,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
81468,"Aminobacterium colombiense","scientific name",0,0,37,7.3,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
81412,"Aminomonas paucivorans","scientific name",0,NA,37,7.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
42838,"Ammonifex degensii","scientific name",0,0,NA,6.8,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1449,"Amphibacillus xylanus","scientific name",1,1,32.5,9,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
76020,"Amycolatopsis alba","scientific name",1,1,26,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
33910,"Amycolatopsis mediterranei","scientific name",1,1,26,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1814,"Amycolatopsis methanolica","scientific name",1,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
31958,"Amycolatopsis orientalis","scientific name",1,1,26,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
97477,"Anaerobaculum mobile","synonym",0,0,55,6.95,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
33029,"Anaerococcus hydrogenalis","scientific name",NA,1,37,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33032,"Anaerococcus lactolyticus","scientific name",NA,1,37,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33034,"Anaerococcus prevotii","scientific name",0,1,37,7,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
33036,"Anaerococcus tetradius","scientific name",NA,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33037,"Anaerococcus vaginalis","scientific name",0,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
81464,"Anaeromusa acidaminophila","scientific name",NA,1,37,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
105841,"Anaerostipes caccae","scientific name",0,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
769,"Anaplasma centrale","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
770,"Anaplasma marginale","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
948,"Anaplasma phagocytophilum","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1391,"Aneurinibacillus aneurinilyticus","scientific name",1,1,30,7.25,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33934,"Anoxybacillus flavithermus","scientific name",1,1,81.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
190,"Aquaspirillum serpens","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
63363,"Aquifex aeolicus","scientific name",0,0,87.5,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28264,"Arcanobacterium haemolyticum","scientific name",NA,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
2234,"Archaeoglobus fulgidus","scientific name",NA,NA,76,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
84156,"Archaeoglobus profundus","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
58290,"Archaeoglobus veneficus","scientific name",NA,NA,77.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28197,"Arcobacter butzleri","scientific name",0,0,26,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
28199,"Arcobacter nitrofigilis","scientific name",0,0,30,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
2369,"Arhodomonas aquaeolei","scientific name",0,0,37,8,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
43663,"Arthrobacter aurescens","synonym",0,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
85085,"Arthrobacter chlorophenolicus","synonym",0,1,16.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
37928,"Arthrobacter crystallopoietes","scientific name",NA,1,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1665,"Arthrobacter globiformis","scientific name",0,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
129910,"Arthrospira maxima","scientific name",NA,0,32.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
118562,"Arthrospira platensis","scientific name",NA,0,32,9.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
76891,"Asticcacaulis biprosthecium","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
78587,"Asticcacaulis excentricus","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1381,"Atopobium minutum","scientific name",0,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1382,"Atopobium parvulum","scientific name",0,1,41,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
1383,"Atopobium rimae","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
82135,"Atopobium vaginae","scientific name",0,1,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
100225,"Austwickia chelonae","scientific name",NA,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
728,"Avibacterium paragallinarum","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
92003,"Azoarcus toluclasticus","scientific name",NA,0,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
7,"Azorhizobium caulinodans","scientific name",NA,NA,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
146939,"Azospira oryzae","scientific name",NA,NA,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
28077,"Azospirillum amazonense","synonym",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
192,"Azospirillum brasilense","scientific name",NA,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
193,"Azospirillum lipoferum","scientific name",0,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
354,"Azotobacter vinelandii","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1445,"Bacillus alcalophilus","scientific name",1,1,40,9.75,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1390,"Bacillus amyloliquefaciens","scientific name",1,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1392,"Bacillus anthracis","scientific name",1,1,NA,NA,3,"doi","doi.org/10.12688/gatesopenres.12772.1"
1452,"Bacillus atrophaeus","scientific name",1,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1454,"Bacillus azotoformans","scientific name",1,1,32.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1413,"Bacillus cellulosilyticus","scientific name",1,1,37,9.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
79880,"Bacillus clausii","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1398,"Bacillus coagulans","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
135735,"Bacillus endophyticus","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
86665,"Bacillus halodurans","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1402,"Bacillus licheniformis","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1404,"Bacillus megaterium","scientific name",NA,1,30,6.35,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1471,"Bacillus methanolicus","scientific name",1,1,45,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
72360,"Bacillus mojavensis","scientific name",NA,NA,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1405,"Bacillus mycoides","scientific name",1,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
115979,"Bacillus nealsonii","scientific name",NA,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
79885,"Bacillus pseudofirmus","scientific name",NA,NA,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
64104,"Bacillus pseudomycoides","scientific name",NA,NA,28,6.35,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1408,"Bacillus pumilus","scientific name",1,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
85683,"Bacillus selenitireducens","equivalent name",0,1,26,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1479,"Bacillus smithii","scientific name",1,1,37,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
119858,"Bacillus sonorensis","scientific name",1,1,37.5,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1423,"Bacillus subtilis","scientific name",NA,1,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
72361,"Bacillus vallismortis","scientific name",NA,NA,28,5.55,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
86662,"Bacillus weihenstephanensis","scientific name",NA,NA,43,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
97084,"Bacteriovorax marinus","synonym",0,0,22.5,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
47678,"Bacteroides caccae","scientific name",0,0,33.5,5,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
151276,"Bacteroides coprosuis","scientific name",0,0,37,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28111,"Bacteroides eggerthii","scientific name",0,0,32.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
817,"Bacteroides fragilis","scientific name",0,0,NA,7,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
28116,"Bacteroides ovatus","scientific name",0,0,32.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
46506,"Bacteroides stercoris","scientific name",0,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
818,"Bacteroides thetaiotaomicron","scientific name",0,0,32.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
820,"Bacteroides uniformis","scientific name",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
821,"Bacteroides vulgatus","scientific name",0,0,32.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
52764,"Bartonella alsatica","scientific name",NA,0,NA,7.2,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
774,"Bartonella bacilliformis","scientific name",NA,0,NA,7.8,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
111504,"Bartonella birtlesii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
56426,"Bartonella clarridgeiae","scientific name",NA,0,NA,7.3,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
33044,"Bartonella doshiae","scientific name",NA,0,NA,7.3,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
807,"Bartonella elizabethae","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
33045,"Bartonella grahamii","scientific name",NA,0,NA,7.3,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
38323,"Bartonella henselae","scientific name",NA,0,NA,7.3,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
803,"Bartonella quintana","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33046,"Bartonella taylorii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
85701,"Bartonella tribocorum","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33047,"Bartonella vinsonii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
959,"Bdellovibrio bacteriovorus","scientific name",NA,0,29,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
1022,"Beggiatoa alba","scientific name",NA,NA,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
533,"Beijerinckia indica","scientific name",0,NA,30,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
1015,"Bergeyella zoohelcum","scientific name",NA,1,32.5,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
84757,"Beutenbergia cavernae","scientific name",0,1,NA,NA,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
47735,"Bibersteinia trehalosi","scientific name",NA,0,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1680,"Bifidobacterium adolescentis","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1683,"Bifidobacterium angulatum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28025,"Bifidobacterium animalis","scientific name",0,1,37,7,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1684,"Bifidobacterium asteroides","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1681,"Bifidobacterium bifidum","scientific name",0,1,37.4,7.09,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1685,"Bifidobacterium breve","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1686,"Bifidobacterium catenulatum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1689,"Bifidobacterium dentium","scientific name",0,1,37,4.5,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
78342,"Bifidobacterium gallicum","scientific name",0,1,38,6.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1692,"Bifidobacterium magnum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1693,"Bifidobacterium minimum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
28026,"Bifidobacterium pseudocatenulatum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1694,"Bifidobacterium pseudolongum","scientific name",0,1,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33905,"Bifidobacterium thermophilum","scientific name",0,1,37,6,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
35833,"Bilophila wadsworthia","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
138336,"Blastococcus saxobsidens","scientific name",NA,NA,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
124,"Blastopirellula marina","scientific name",NA,NA,30,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
1322,"Blautia hansenii","scientific name",0,1,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
53443,"Blautia hydrogenotrophica","scientific name",0,1,NA,6.5,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
33035,"Blautia producta","scientific name",0,1,NA,7,1,"doi","doi.org/10.12688/gatesopenres.12772.1"
521,"Bordetella avium","scientific name",NA,0,37,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
35814,"Bordetella holmesii","scientific name",0,0,NA,7.4,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
520,"Bordetella pertussis","scientific name",0,0,36,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
94624,"Bordetella petrii","scientific name",NA,0,37,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
29518,"Borrelia afzelii","genbank synonym",NA,NA,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
64897,"Borrelia bissettii","synonym",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
139,"Borrelia burgdorferi","genbank synonym",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
29520,"Borrelia crocidurae","scientific name",NA,NA,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
40834,"Borrelia duttonii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
29519,"Borrelia garinii","genbank synonym",0,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
140,"Borrelia hermsii","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
47466,"Borrelia miyamotoi","scientific name",NA,0,NA,NA,2,"doi","doi.org/10.12688/gatesopenres.12772.1"
44449,"Borrelia recurrentis","scientific name",0,0,NA,NA,NA,"doi","doi.org/10.12688/gatesopenres.12772.1"
