"tax_id","species_tax_id","species_name","species","reference","metabolism","d1_lo","d1_up","d2_lo","d2_up","doubling_h","accession","source","ref_type"
69473,69473,"Acholeplasma vituli","Acholeplasma vituli","doi.org/10.1002/9781118960608.gbm01256","aerobic",NA,NA,NA,NA,NA,"AF031479","isolated from fetal bovine serum or contaminated eukaryotic cell cultures containing serum","doi"
72556,72556,"Achromobacter piechaudii","Achromobacter piechaudii","doi.org/10.1002/9781118960608.gbm00926","obligate aerobic",0.5,1,1,1.5,NA,"AB010841",NA,"doi"
72557,72557,"Achromobacter ruhlandii","Achromobacter ruhlandii","doi.org/10.1002/9781118960608.gbm00926","aerobic",NA,NA,NA,NA,NA,"AB010840",NA,"doi"
32002,32002,"Achromobacter xylosoxidans subsp. denitrificans","Achromobacter denitrificans","doi.org/10.1002/9781118960608.gbm00926","anaerobic",NA,NA,NA,NA,NA,"M22509",NA,"doi"
85698,85698,"Achromobacter xylosoxidans subsp. xylosoxidans","Achromobacter xylosoxidans","doi.org/10.1002/9781118960608.gbm00926","aerobic",NA,NA,NA,NA,NA,"X59163",NA,"doi"
65403,65403,"Acidaminobacter hydrogenoformans","Acidaminobacter hydrogenoformans","doi.org/10.1002/9781118960608.gbm00722",NA,0.5,0.6,1.5,3.7,NA,"AF016691",NA,"doi"
2283,2283,"Acidianus ambivalens","Acidianus ambivalens","doi.org/10.1002/9781118960608.gbm00397",NA,NA,NA,NA,NA,4,"D38774",NA,"doi"
41673,41673,"Acidianus brierleyi","Acidianus brierleyi","doi.org/10.1002/9781118960608.gbm00397","aerobic",NA,NA,NA,NA,NA,"X90477",NA,"doi"
12915,12915,"Acidianus infernus","Acidianus infernus","doi.org/10.1002/9781118960608.gbm00397","aerobic",NA,NA,NA,NA,2.5,"D38773",NA,"doi"
76588,76588,"Acidiphilium acidophilum","Acidiphilium acidophilum","doi.org/10.1002/9781118960608.gbm00877","obligate aerobic",0.5,0.8,1,1.5,NA,"D86511",NA,"doi"
524,524,"Acidiphilium cryptum","Acidiphilium cryptum","doi.org/10.1002/9781118960608.gbm00877","aerobic",0.3,0.6,0.6,1.5,NA,"D30773",NA,"doi"
62140,62140,"Acidiphilium multivorum","Acidiphilium multivorum","doi.org/10.1002/9781118960608.gbm00877","obligate aerobic",0.5,0.9,1.5,3.8,NA,"AB006711",NA,"doi"
33999,33999,"Acidiphilium organovorum","Acidiphilium organovorum","doi.org/10.1002/9781118960608.gbm00877","obligate aerobic",0.5,0.7,1,1.5,NA,"D30775",NA,"doi"
526,526,"Acidiphilium rubrum","Acidiphilium rubrum","doi.org/10.1002/9781118960608.gbm00877","obligate aerobic",0.5,0.8,1.5,3.2,NA,"D30776",NA,"doi"
50715,50715,"Acidisphaera rubrifaciens","Acidisphaera rubrifaciens","doi.org/10.1002/9781118960608.gbm00878",NA,0.7,0.9,0.9,1.6,NA,"D86512",NA,"doi"
119978,119978,"Acidithiobacillus albertensis","Acidithiobacillus albertensis","doi.org/10.1002/9781118960608.gbm01079","aerobic",0.45,NA,1.2,1.5,NA,NA,NA,"doi"
33059,33059,"Acidithiobacillus caldus","Acidithiobacillus caldus","doi.org/10.1002/9781118960608.gbm01079",NA,0.7,0.8,1.2,1.8,NA,"Z29975",NA,"doi"
920,920,"Acidithiobacillus ferrooxidans","Acidithiobacillus ferrooxidans","doi.org/10.1002/9781118960608.gbm01079","obligate aerobic",0.5,NA,1,NA,NA,NA,NA,"doi"
930,930,"Acidithiobacillus thiooxidans","Acidithiobacillus thiooxidans","doi.org/10.1002/9781118960608.gbm01079","obligate aerobic",0.5,NA,1,2,NA,"Y11596",NA,"doi"
437,437,"Acidomonas methanolica","Acidomonas methanolica","doi.org/10.1002/9781118960608.gbm00880",NA,0.6,0.8,1,1.8,NA,"D30770",NA,"doi"
40216,40216,"Acinetobacter radioresistens","Acinetobacter radioresistens","doi.org/10.1002/9781118960608.gbm01203",NA,0.6,0.7,0.8,1,NA,"X81666",NA,"doi"
52133,52133,"Acinetobacter venetianus","Acinetobacter venetianus","doi.org/10.1002/9781118960608.gbm01203","aerobic",NA,NA,NA,NA,NA,"X80825",NA,"doi"
714,714,"Actinobacillus actinomycetemcomitans","Aggregatibacter actinomycetemcomitans","doi.org/10.1002/9781118960608.gbm01197","anaerobic",0.6,0.8,0.6,1.4,NA,"M75039",NA,"doi"
157339,157339,"Actinobacillus arthritidis","Actinobacillus arthritidis","doi.org/10.1002/9781118960608.gbm01197","aerobic",NA,NA,NA,NA,NA,"AF247712",NA,"doi"
51161,51161,"Actinobacillus delphinicola","Actinobacillus delphinicola","doi.org/10.1002/9781118960608.gbm01197","facultative",NA,NA,NA,NA,NA,"X89377",NA,"doi"
719,719,"Actinobacillus hominis","Actinobacillus hominis","doi.org/10.1002/9781118960608.gbm01197","facultative",NA,NA,NA,NA,NA,"L06076",NA,"doi"
51049,51049,"Actinobacillus indolicus","Actinobacillus indolicus","doi.org/10.1002/9781118960608.gbm01197",NA,0.8,2.4,NA,NA,NA,"U65584",NA,"doi"
720,720,"Actinobacillus lignieresii","Actinobacillus lignieresii","doi.org/10.1002/9781118960608.gbm01197",NA,0.4,NA,1.15,1.25,NA,"M75068",NA,"doi"
51047,51047,"Actinobacillus minor","Actinobacillus minor","doi.org/10.1002/9781118960608.gbm01197",NA,1.6,2.4,NA,NA,NA,"U65582",NA,"doi"
715,715,"Actinobacillus pleuropneumoniae","Actinobacillus pleuropneumoniae","doi.org/10.1002/9781118960608.gbm01197","aerobic",NA,NA,NA,NA,NA,"M75074",NA,"doi"
51048,51048,"Actinobacillus porcinus","Actinobacillus porcinus","doi.org/10.1002/9781118960608.gbm01197",NA,0.2,2.4,NA,NA,NA,"U65583",NA,"doi"
123820,123820,"Actinobacillus rossii","[Actinobacillus] rossii","doi.org/10.1002/9781118960608.gbm01197","aerobic",NA,NA,NA,NA,NA,NA,NA,"doi"
721,721,"Actinobacillus salpingitidis","Actinobacillus salpingitidis","doi.org/10.1002/9781118960608.gbm01197","facultative",0.4,0.6,1,2,NA,"L06077",NA,"doi"
182182,182182,"Actinobacillus scotiae","Actinobacillus scotiae","doi.org/10.1002/9781118960608.gbm01197","facultative",NA,NA,NA,NA,NA,"Y09653",NA,"doi"
722,722,"Actinobacillus seminis","Actinobacillus seminis","doi.org/10.1002/9781118960608.gbm01197","aerobic",2,NA,NA,NA,NA,"M75047",NA,"doi"
67854,67854,"Actinobacillus succinogenes","Actinobacillus succinogenes","doi.org/10.1002/9781118960608.gbm01197","aerobic",0.8,NA,1,NA,NA,"AF024525",NA,"doi"
202789,202789,"Actinobaculum massiliense","Actinobaculum massiliense","doi.org/10.1002/9781118960608.gbm00011","facultative",NA,NA,NA,NA,NA,"AF487679",NA,"doi"
59505,59505,"Actinobaculum schaalii","Actinotignum schaalii","doi.org/10.1002/9781118960608.gbm00011","facultative",NA,NA,NA,NA,NA,"Y12329",NA,"doi"
190146,190146,"Actinobaculum urinale","Actinotignum urinale","doi.org/10.1002/9781118960608.gbm00011","anaerobic",NA,NA,NA,NA,NA,"AJ439453",NA,"doi"
46161,46161,"Actinomadura kijaniata","Actinomadura kijaniata","doi.org/10.1002/9781118960608.gbm00210","anaerobic",NA,NA,NA,NA,NA,"U49006",NA,"doi"
111807,111807,"Actinomadura yumaensis","Actinomadura yumaensis","doi.org/10.1002/9781118960608.gbm00210",NA,2,NA,NA,NA,NA,"AF163122","soil sample collected in Yuma County, Arizona","doi"
131109,131109,"Actinomyces bowdenii","Actinomyces bowdenii","doi.org/10.1002/9781118960608.gbm00012","aerobic",2,4,NA,NA,NA,"AJ234039","clinical materials from dogs and a cat","doi"
100469,100469,"Actinomyces canis","Actinomyces canis","doi.org/10.1002/9781118960608.gbm00012","aerobic",NA,NA,NA,NA,NA,"AJ243891","canine vagina, a fatal pyogranulomatous pleurisy of a foxhound bitch, and a subcutaneous abscess in a female hunting dog, exclusively in mixed culture with other aerobic and anaerobic bacteria","doi"
181487,181487,"Actinomyces cardiffensis","Actinomyces cardiffensis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ421779","human clinical sources, including IUCDs, pleural fluid, brain, jaw, pericolic and ear abscesses, and nasal antrum","doi"
272548,272548,"Actinomyces dentalis","Actinomyces dentalis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ697609","pus of a dental abscess from a 72-year-old female patient with facial swelling","doi"
52767,52767,"Actinomyces denticolens","Actinomyces denticolens","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.7,NA,5,NA,NA,"X80412",NA,"doi"
66228,66228,"Actinomyces europaeus","Actinomyces europaeus","doi.org/10.1002/9781118960608.gbm00012",NA,0.5,1.5,NA,NA,NA,"Y08828","human abscesses","doi"
52768,52768,"Actinomyces georgiae","Actinomyces georgiae","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.9,1,3.3,6.1,NA,"X80413",NA,"doi"
52769,52769,"Actinomyces gerencseriae","Actinomyces gerencseriae","doi.org/10.1002/9781118960608.gbm00012","obligate anaerobic",NA,NA,NA,NA,NA,"X80414",NA,"doi"
595468,595468,"Actinomyces hominis","Actinomyces hominis","doi.org/10.1002/9781118960608.gbm00012","aerobic",NA,NA,NA,NA,NA,"FJ617539",NA,"doi"
178339,178339,"Actinomyces hongkongensis","Actinomyces hongkongensis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AF433168",NA,"doi"
52770,52770,"Actinomyces hordeovulneris","Actinomyces hordeovulneris","doi.org/10.1002/9781118960608.gbm00012","aerobic",0.5,1,NA,NA,NA,"X82448",NA,"doi"
52771,52771,"Actinomyces howellii","Actinomyces howellii","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.8,NA,NA,NA,NA,"X80411","oral cavity of cattle, especially dental plaque","doi"
29316,29316,"Actinomyces hyovaginalis","Actinomyces hyovaginalis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"X69616","purulent vaginal discharge and aborted fetuses of sows (“vaginal” biovar) and various other porcine purulent lesions (“general” biovar)","doi"
461393,461393,"Actinomyces massiliensis","Actinomyces massiliensis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.35,0.74,0.5,1.7,NA,"EF558367",NA,"doi"
52773,52773,"Actinomyces meyeri","Actinomyces meyeri","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.5,0.9,0.9,3,NA,"X82451",NA,"doi"
208480,208480,"Actinomyces nasicola","Actinomyces nasicola","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ508455",NA,"doi"
29318,33007,"Actinomyces neuii subsp. anitratus","Actinomyces neuii","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AM084229",NA,"doi"
1660,1660,"Actinomyces odontolyticus","Actinomyces odontolyticus","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ234040",NA,"doi"
206043,206043,"Actinomyces oricola","Actinomyces oricola","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ507295",NA,"doi"
131110,131110,"Actinomyces radingae","Actinomyces radingae","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.65,NA,NA,NA,NA,"X78719",NA,"doi"
332524,332524,"Actinomyces ruminicola","Actinomyces ruminicola","doi.org/10.1002/9781118960608.gbm00012","obligate anaerobic",0.5,1,NA,NA,NA,"DQ072005",NA,"doi"
52774,52774,"Actinomyces slackii","Actinomyces slackii","doi.org/10.1002/9781118960608.gbm00012",NA,0.56,NA,0.8,NA,NA,"AJ234066","oral cavity of dairy cattle, in particular dental plaque","doi"
1657,1657,"Actinomyces suis","Actinobaculum suis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.22,NA,NA,NA,NA,NA,NA,"doi"
1288391,1288391,"Actinomyces timonensis","Actinomyces timonensis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.3,0.5,1,3.2,NA,"EU484334",NA,"doi"
131111,131111,"Actinomyces turicensis","Actinomyces turicensis","doi.org/10.1002/9781118960608.gbm00012","anaerobic",0.5,0.8,NA,NA,NA,"X78720",NA,"doi"
183916,183916,"Actinomyces vaccimaxillae","Actinomyces vaccimaxillae","doi.org/10.1002/9781118960608.gbm00012","anaerobic",NA,NA,NA,NA,NA,"AJ427451",NA,"doi"
1656,1656,"Actinomyces viscosus","Actinomyces viscosus","doi.org/10.1002/9781118960608.gbm00012",NA,1,NA,NA,NA,NA,"X82453",NA,"doi"
47988,47988,"Actinoplanes auranticolor","Actinoplanes auranticolor","doi.org/10.1002/9781118960608.gbm00139",NA,0.5,0.7,1,1.5,NA,"D85471","the type strain and a further strain were isolated from soil collected from meadows (Nevada, USA)","doi"
52695,52695,"Actinoplanes brasiliensis","Actinoplanes brasiliensis","doi.org/10.1002/9781118960608.gbm00139",NA,3.5,NA,NA,NA,NA,"D85470","the type strain was isolated from a soil sample (State Bahia, Brazil)","doi"
113561,113561,"Actinoplanes deccanensis","Actinoplanes deccanensis","doi.org/10.1002/9781118960608.gbm00139",NA,1,NA,1.5,NA,NA,"AB036998","the type strain was isolated from soil (Decca, India)","doi"
1868,1868,"Actinoplanes digitatis","Actinoplanes digitatis","doi.org/10.1002/9781118960608.gbm00139",NA,0.5,1,2,4,NA,"AB037000","the type strain was isolated from soil (Sheboygan, Michigan, USA); two further strains from soil were collected in Parfrey’s Glen, Wisconsin, USA, and from garden soil (Highfield Cresent, Hindhead, UK)","doi"
113568,113568,"Actinoplanes lobatus","Actinoplanes lobatus","doi.org/10.1002/9781118960608.gbm00139",NA,0.5,1,2,4,NA,"AB037006","the type strain and a further strain were isolated from soil samples collected at Madison, Wisconsin, USA","doi"
1866,1866,"Actinoplanes missouriensis","Actinoplanes missouriensis","doi.org/10.1002/9781118960608.gbm00139",NA,1,NA,NA,NA,NA,"AB037008","the type strain was isolated from soil collected near Hamilton, Missouri, USA","doi"
35752,35752,"Actinoplanes philippinensis","Actinoplanes philippinensis","doi.org/10.1002/9781118960608.gbm00139",NA,0.5,1.5,NA,NA,NA,"D85474","the type strain was isolated from rice paddy soil (the Philippines)","doi"
52697,52697,"Actinoplanes regularis","Actinoplanes regularis","doi.org/10.1002/9781118960608.gbm00139",NA,0.5,1,NA,NA,NA,"AB037011","the type strain was isolated from soil collected from a white pine grove, University of Wisconsin Arboretum, Madison, Wisconsin, USA","doi"
1867,1867,"Actinoplanes teichomyceticus","Actinoplanes teichomyceticus","doi.org/10.1002/9781118960608.gbm00139",NA,1.5,2,NA,NA,NA,"AB047513","the type strain was isolated from a soil sample collected at Nimodi Village, Indore, India (Parenti et al","doi"
1850,1850,"Actinopolyspora halophila","Actinopolyspora halophila","doi.org/10.1002/9781118960608.gbm00016",NA,1,NA,NA,NA,NA,"X54287","isolated from contaminated CM medium supplemented with 25% (w/v) NaCl","doi"
52698,52698,"Actinopolyspora iraqiensis","[Actinopolyspora] iraqiensis","doi.org/10.1002/9781118960608.gbm00016",NA,0.5,0.7,NA,NA,NA,"EF372523","isolated from saline soil collected in Iraq","doi"
33906,33906,"Actinopolyspora mortivallis","Actinopolyspora mortivallis","doi.org/10.1002/9781118960608.gbm00016",NA,0.4,0.6,NA,NA,NA,"DQ883812","the type strain was isolated from a soil sample collected in Death Valley, California","doi"
43671,43671,"Actinotalea fermentans","Actinotalea fermentans","doi.org/10.1002/9781118960608.gbm00066","aerobic",0.2,0.5,0.6,1.7,NA,"X79458",NA,"doi"
203862,203862,"Aegyptianella pullorum","Aegyptianella pullorum","doi.org/10.1002/9781118960608.gbm00907",NA,0.5,NA,2.3,4.9,NA,NA,NA,"doi"
218139,218139,"Aeriscardovia aeriphila","Aeriscardovia aeriphila","doi.org/10.1002/9781118960608.gbm00017","facultative",0.6,0.9,0.8,1.5,NA,"AY174107","isolated from a pig cecum (contents and epithelium) in Fermoy, Ireland","doi"
302168,302168,"Aeromicrobium alkaliterrae","Aeromicrobium alkaliterrae","doi.org/10.1002/9781118960608.gbm00156","anaerobic",0.3,0.5,0.8,1.4,NA,"AY822044",NA,"doi"
2041,2041,"Aeromicrobium erythreum","Aeromicrobium erythreum","doi.org/10.1002/9781118960608.gbm00156",NA,0.5,NA,0.5,1.2,NA,NA,NA,"doi"
52699,52699,"Aeromicrobium fastidiosum","Aeromicrobium fastidiosum","doi.org/10.1002/9781118960608.gbm00156",NA,0.4,0.5,1.5,2.2,NA,"AF005022",NA,"doi"
416568,416568,"Aeromicrobium flavum","Aeromicrobium flavum","doi.org/10.1002/9781118960608.gbm00156",NA,1.2,NA,NA,NA,NA,"EF133690",NA,"doi"
363867,363867,"Aeromicrobium ginsengisoli","Aeromicrobium ginsengisoli","doi.org/10.1002/9781118960608.gbm00156",NA,0.3,0.4,0.5,1.2,NA,"AB245394",NA,"doi"
560557,560557,"Aeromicrobium halocynthiae","Aeromicrobium halocynthiae","doi.org/10.1002/9781118960608.gbm00156",NA,0.4,0.5,4.1,6,NA,"FJ042789",NA,"doi"
219314,219314,"Aeromicrobium marinum","Aeromicrobium marinum","doi.org/10.1002/9781118960608.gbm00156",NA,0.3,0.5,0.7,1.3,NA,"AY166703",NA,"doi"
363861,363861,"Aeromicrobium panaciterrae","Aeromicrobium panaciterrae","doi.org/10.1002/9781118960608.gbm00156",NA,0.2,0.4,1,1.5,NA,"AB245387",NA,"doi"
460257,460257,"Aeromicrobium ponti","Aeromicrobium ponti","doi.org/10.1002/9781118960608.gbm00156",NA,0.7,NA,2.4,NA,NA,"AM778683",NA,"doi"
375541,375541,"Aeromicrobium tamlense","Aeromicrobium tamlense","doi.org/10.1002/9781118960608.gbm00156",NA,0.4,0.6,0.8,1.2,NA,"DQ411541",NA,"doi"
649,649,"Aeromonas eucrenophila","Aeromonas eucrenophila","doi.org/10.1002/9781118960608.gbm01081","facultative",1,4.4,NA,NA,NA,"X74675",NA,"doi"
80745,645,"Aeromonas salmonicida subsp. smithia","Aeromonas salmonicida","doi.org/10.1002/9781118960608.gbm01081",NA,1,2,NA,NA,NA,"AJ009859",NA,"doi"
396389,396389,"Aestuariimicrobium kwangyangense","Aestuariimicrobium kwangyangense","doi.org/10.1002/9781118960608.gbm00160","anaerobic",0.6,1.2,1.2,2,NA,"DQ830982",NA,"doi"
110935,110935,"Agreia bicolorata","Agreia bicolorata","doi.org/10.1002/9781118960608.gbm00091",NA,0.4,0.5,1.5,2.5,NA,"AF159363","the leaf gall induced by the nematode Heteroanguina graminophila on Calamagrostis neglecta, Moscow region, Russia","doi"
150121,150121,"Agreia pratensis","Agreia pratensis","doi.org/10.1002/9781118960608.gbm00091","obligate aerobic",0.4,0.5,1.5,2.3,NA,"AJ310412","the phyllosphere of grasses","doi"
153730,153730,"Agrococcus baldri","Agrococcus baldri","doi.org/10.1002/9781118960608.gbm00092","aerobic",0.7,1,1.1,1.7,NA,"AJ309928","isolated from the air in the “Virgilkapelle” a medieval chapel, approximately 12 m underneath Stephansplatz the most famous place in the center of Vienna, Austria","doi"
343512,343512,"Agrococcus casei","Agrococcus casei","doi.org/10.1002/9781118960608.gbm00092","aerobic",0.3,0.4,0.8,1,NA,"DQ168427","the surface of Gubbeen cheese","doi"
84643,84643,"Agrococcus citreus","Agrococcus citreus","doi.org/10.1002/9781118960608.gbm00092","aerobic",0.7,1,1.1,1.7,NA,"AJ012826","a medieval wall painting in the church of castle Herberstein in Styria, Austria","doi"
399736,399736,"Agrococcus jejuensis","Agrococcus jejuensis","doi.org/10.1002/9781118960608.gbm00092","aerobic",0.3,0.4,1.3,1.5,NA,"AM396260","a dried seaweed sample collected on Samyang Beach, Jeju, Republic of Korea","doi"
46353,46353,"Agrococcus jenensis","Agrococcus jenensis","doi.org/10.1002/9781118960608.gbm00092",NA,0.7,1,0.7,1.7,NA,"AM410679","soil and sandstone surface","doi"
501482,501482,"Agrococcus versicolor","Agrococcus versicolor","doi.org/10.1002/9781118960608.gbm00092","obligate aerobic",NA,NA,NA,NA,NA,"AM940157","the phyllosphere of potato plants in Dahnsdorf, 10 Type strain: K 114/01, DSM 19812, LMG 24386","doi"
205332,205332,"Agromyces albus","Agromyces albus","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"AF503917","A sample of leaves and inflorescence of Androsace sp","doi"
393607,393607,"Agromyces allii","Agromyces allii","doi.org/10.1002/9781118960608.gbm00093","anaerobic",0.2,0.4,0.5,1.5,NA,NA,"The rhizhosphere of Allium victorialis var","doi"
766966,766966,"Agromyces arachidis","Agromyces arachidis","doi.org/10.1002/9781118960608.gbm00093","obligate aerobic",NA,NA,NA,NA,NA,NA,"Soil, a peanut (Arachis hypogaea) crop field, Srikakulam, Andhra Pradesh, India","doi"
592376,592376,"Agromyces atrinae","Agromyces atrinae","doi.org/10.1002/9781118960608.gbm00093","aerobic",0.5,1,1,2,NA,"FJ607310","Traditional fermented seafood in Korea","doi"
165814,165814,"Agromyces aurantiacus","Agromyces aurantiacus","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"AF389342","A soil sample collected from Xishuangbanna in Yunnan Province, China","doi"
1308924,1308924,"Agromyces bauzanensis","Agromyces bauzanensis","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"FJ972171","Hydrocarbon-contaminated soil, Bozen, South Tyrol, Italy","doi"
88376,88376,"Agromyces bracchium","Agromyces bracchium","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,6,NA,NA,NA,"AB023359","Soil of mangrove rhizosphere (Bruguera gymnorrhiza) on Iriomote Island, Japan","doi"
231391,33878,"Agromyces cerinus subsp. nitratus","Agromyces cerinus","doi.org/10.1002/9781118960608.gbm00093",NA,0.22,NA,NA,NA,NA,"AY277619","Soil in a grove of birches, Moscow, Russia","doi"
41985,41985,"Agromyces fucosus","Agromyces fucosus","doi.org/10.1002/9781118960608.gbm00093",NA,0.21,NA,NA,NA,NA,"AB842300","Soil in a grove of birches, Moscow, Russia","doi"
286438,286438,"Agromyces hippuratus","Agromyces hippuratus","doi.org/10.1002/9781118960608.gbm00093",NA,0.24,NA,NA,NA,NA,"D45061","Soil in a grove of birches, Moscow, Russia","doi"
279573,279573,"Agromyces humatus","Agromyces humatus","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"AY618216","The wall of a tomb located in the Little Apostle cubicle, Domitilla Catacombs, Rome, Italy","doi"
717856,717856,"Agromyces iriomotensis","Agromyces iriomotensis","doi.org/10.1002/9781118960608.gbm00093","microaerophilic",NA,NA,NA,NA,NA,"AB546308","Soil, pineapple field on Iriomote Island, Okinawa, Japan","doi"
279572,279572,"Agromyces italicus","Agromyces italicus","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"EzBioCloud","The wall of a tomb located in the Little Apostle cubicle, Domitilla Catacombs, Rome, Italy","doi"
279574,279574,"Agromyces lapidis","Agromyces lapidis","doi.org/10.1002/9781118960608.gbm00093","aerobic",NA,NA,NA,NA,NA,"AY618217","A carved stone wall of the Domitilla Catacombs, Rome, Italy","doi"
88373,88373,"Agromyces luteolus","Agromyces luteolus","doi.org/10.1002/9781118960608.gbm00093",NA,0.2,0.4,1.5,3,NA,"AB023356","The surface of root of mangrove (Sonneratia alba), Iriomote Island, Japan","doi"
