tax_id,species,genus,family,order,class,phylum,superkingdom,species_tax_id,cogem_classification
210,Helicobacter pylori,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,210,2
213,Helicobacter cinaedi,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,213,2
215,Helicobacter fennelliae,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,215,2
217,Helicobacter mustelae,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,217,2
235,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,235,3
236,Brucella ovis,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,236,3
247,Empedobacter brevis,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,247,2
250,Chryseobacterium gleum,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,250,2
253,Chryseobacterium indologenes,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,253,2
256,Myroides odoratus,Myroides,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,256,2
259,Sphingobacterium thalpophilum,Sphingobacterium,Sphingobacteriaceae,Sphingobacteriales,Sphingobacteriia,Bacteroidetes,Bacteria,259,2
263,Francisella tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,263,3
285,Comamonas testosteroni,Comamonas,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,285,2
287,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,287,2
292,Burkholderia cepacia,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,292,2
293,Brevundimonas diminuta,Brevundimonas,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,293,1
300,Pseudomonas mendocina,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,300,2
303,Pseudomonas putida,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,303,2
305,Ralstonia solanacearum,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,305,2
329,Ralstonia pickettii,Ralstonia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,329,2
339,Xanthomonas campestris,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,339,2
343,Xanthomonas translucens,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,343,2
446,Legionella pneumophila,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,446,2
447,Fluoribacter bozemanae,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,447,2
449,Legionella hackeliae,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,449,2
450,Legionella longbeachae,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,450,2
453,Legionella feeleii,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,453,2
456,Legionella jordanis,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,456,2
463,Fluoribacter dumoffii,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,463,2
464,Fluoribacter gormanii,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,464,2
470,Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,470,2
471,Acinetobacter calcoaceticus,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,471,2
477,Moraxella lacunata,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,477,2
478,Moraxella nonliquefaciens,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,478,2
480,Moraxella catarrhalis,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,480,2
484,Neisseria flavescens,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,484,2
485,Neisseria gonorrhoeae,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,485,2
486,Neisseria lactamica,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,486,2
487,Neisseria meningitidis,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,487,2
488,Neisseria mucosa,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,488,2
490,Neisseria sicca,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,490,1
495,Neisseria elongata,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,495,2
502,Kingella denitrificans,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,502,2
504,Kingella kingae,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,504,2
505,Kingella oralis,Kingella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,505,2
518,Bordetella bronchiseptica,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,518,2
519,Bordetella parapertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,519,2
520,Bordetella pertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,520,2
521,Bordetella avium,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria,521,2
529,Ochrobactrum anthropi,Ochrobactrum,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,529,2
536,Chromobacterium violaceum,Chromobacterium,Chromobacteriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,536,2
539,Eikenella corrodens,Eikenella,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria,539,2
546,Citrobacter freundii,Citrobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,546,2
550,Enterobacter cloacae,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,550,2
552,Erwinia amylovora,Erwinia,Erwiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,552,1
562,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,562,2
564,Escherichia fergusonii,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,564,2
569,Hafnia alvei,Hafnia,Hafniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,569,2
571,Klebsiella oxytoca,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,571,2
573,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,573,2
577,Raoultella terrigena,Raoultella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,577,1
580,Kluyvera cryocrescens,Kluyvera,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,580,2
582,Morganella morganii,Morganella,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,582,2
584,Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,584,2
585,Proteus vulgaris,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,585,2
587,Providencia rettgeri,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,587,2
588,Providencia stuartii,Providencia,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,588,2
614,Serratia liquefaciens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,614,2
615,Serratia marcescens,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,615,2
618,Serratia odorifera,Serratia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,618,2
621,Shigella boydii,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,621,2
622,Shigella dysenteriae,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,622,3
623,Shigella flexneri,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,623,2
624,Shigella sonnei,Shigella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,624,2
631,Yersinia intermedia,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,631,2
638,Arsenophonus nasoniae,Arsenophonus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,638,1
646,Aeromonas sobria,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,646,2
648,Aeromonas caviae,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,648,2
650,Aeromonas jandaei,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,650,2
652,Aeromonas schubertii,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,652,2
656,Aeromonas allosaccharophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,656,2
663,Vibrio alginolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,663,2
666,Vibrio cholerae,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,666,2
670,Vibrio parahaemolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,670,2
672,Vibrio vulnificus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,672,2
673,Grimontia hollisae,Grimontia,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,673,2
674,Vibrio mimicus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,674,2
675,Vibrio cincinnatiensis,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,675,2
676,Vibrio fluvialis,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,676,2
703,Plesiomonas shigelloides,Plesiomonas,NA,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,703,2
715,Actinobacillus pleuropneumoniae,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,715,2
716,Actinobacillus suis,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,716,2
719,Actinobacillus hominis,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,719,2
720,Actinobacillus lignieresii,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,720,2
722,Actinobacillus seminis,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,722,2
723,Actinobacillus ureae,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,723,2
726,Haemophilus haemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,726,2
727,Haemophilus influenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,727,2
728,Avibacterium paragallinarum,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,728,2
729,Haemophilus parainfluenzae,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,729,2
732,Aggregatibacter aphrophilus,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,732,2
734,Haemophilus paracuniculus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,734,2
735,Haemophilus parahaemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,735,2
736,Haemophilus paraphrohaemolyticus,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,736,2
739,Aggregatibacter segnis,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,739,2
747,Pasteurella multocida,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,747,2
750,Gallibacterium anatis,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,750,1
752,Pasteurella bettyae,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,752,2
753,Pasteurella canis,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,753,2
754,Pasteurella dagmatis,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,754,2
755,Avibacterium gallinarum,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,755,2
760,Pasteurella stomatis,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,760,2
761,Pasteurella testudinis,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria,761,2
769,Anaplasma centrale,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,769,2
770,Anaplasma marginale,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,770,2
774,Bartonella bacilliformis,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,774,2
777,Coxiella burnetii,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria,777,3
781,Rickettsia conorii,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,781,3
783,Rickettsia rickettsii,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,783,3
784,Orientia tsutsugamushi,Orientia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,784,3
785,Rickettsia typhi,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,785,3
786,Rickettsia akari,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,786,3
787,Rickettsia australis,Rickettsia,Rickettsiaceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,787,3
803,Bartonella quintana,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,803,2
813,Chlamydia trachomatis,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria,813,2
818,Bacteroides thetaiotaomicron,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,818,2
820,Bacteroides uniformis,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,820,2
824,Campylobacter gracilis,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria,824,2
837,Porphyromonas gingivalis,Porphyromonas,Porphyromonadaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,837,2
840,Prevotella loescheii,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,840,2
849,Fusobacterium gonidiaformans,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,849,2
850,Fusobacterium mortiferum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,850,2
851,Fusobacterium nucleatum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,851,1
853,Faecalibacterium prausnitzii,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,853,2
854,Fusobacterium russii,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,854,2
856,Fusobacterium varium,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,856,1
858,Fusobacterium necrogenes,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,858,2
859,Fusobacterium necrophorum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,859,2
860,Fusobacterium periodonticum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,860,2
861,Fusobacterium ulcerans,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria,861,2
870,Dichelobacter nodosus,Dichelobacter,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria,870,1
905,Acidaminococcus fermentans,Acidaminococcus,Acidaminococcaceae,Acidaminococcales,Negativicutes,Firmicutes,Bacteria,905,2
944,Ehrlichia canis,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,944,2
945,Ehrlichia chaffeensis,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,945,2
947,Ehrlichia ewingii,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,947,2
948,Anaplasma phagocytophilum,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,948,2
949,Anaplasma platys,Anaplasma,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,949,2
991,Flavobacterium hydatis,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,991,2
1015,Bergeyella zoohelcum,Bergeyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1015,2
1017,Capnocytophaga gingivalis,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1017,2
1018,Capnocytophaga ochracea,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1018,2
1019,Capnocytophaga sputigena,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,1019,2
1035,Afipia felis,Afipia,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,1035,2
1238,Piscirickettsia salmonis,Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,1238,2
1258,Peptoniphilus asaccharolyticus,Peptoniphilus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1258,1
1260,Finegoldia magna,Finegoldia,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Bacteria,1260,2
1261,Peptostreptococcus anaerobius,Peptostreptococcus,Peptostreptococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,1261,2
1280,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1280,2
1282,Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1282,2
1283,Staphylococcus haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1283,2
1284,Staphylococcus hyicus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1284,2
1285,Staphylococcus intermedius,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1285,2
1286,Staphylococcus simulans,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1286,2
1290,Staphylococcus hominis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1290,2
1295,Staphylococcus schleiferi,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1295,2
1296,Staphylococcus sciuri,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria,1296,2
1303,Streptococcus oralis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1303,2
1304,Streptococcus salivarius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1304,2
1305,Streptococcus sanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1305,2
1307,Streptococcus suis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1307,2
1309,Streptococcus mutans,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1309,2
1310,Streptococcus sobrinus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1310,2
1311,Streptococcus agalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1311,2
1313,Streptococcus pneumoniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1313,2
1314,Streptococcus pyogenes,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1314,2
1318,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1318,2
1326,Streptococcus acidominimus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1326,2
1328,Streptococcus anginosus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1328,2
1329,Streptococcus canis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1329,2
1334,Streptococcus dysgalactiae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1334,2
1336,Streptococcus equi,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1336,2
1338,Streptococcus intermedius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1338,2
1340,Streptococcus porcinus,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1340,2
1346,Streptococcus iniae,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1346,2
1349,Streptococcus uberis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1349,2
1351,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1351,2
1352,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1352,2
1353,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1353,2
1354,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1354,2
1358,Lactococcus lactis,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1358,1
1376,Aerococcus urinae,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1376,2
1377,Aerococcus viridans,Aerococcus,Aerococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,1377,2
