"tax_id","org_name","genome_size","coding_genes","isolation_source","reference","ref_type"
257314,"Lactobacillus johnsonii NCC 533",1992676,1821,NA,"9638","bioproject_id"
264462,"Bdellovibrio bacteriovorus HD100",3782950,3583,NA,"9637","bioproject_id"
163164,"Wolbachia wMel (Drosophila melanogaster)",1267782,1195,NA,"272","bioproject_id"
272632,"Mycoplasma mycoides subsp. mycoides SC PG1",1211703,1017,NA,"58031","bioproject_id"
222523,"Bacillus cereus ATCC 10987",5432652,5844,NA,"74","bioproject_id"
269084,"Synechococcus elongatus PCC6301",2696255,2525,NA,"13282","bioproject_id"
267377,"Methanococcus maripaludis S2",1661137,1722,NA,"10632","bioproject_id"
229193,"Yersinia pestis 91001 (biovar Microtus)",4803217,4016,NA,"10638","bioproject_id"
267671,"Leptospira interrogans serovar Copenhageni",4627366,3658,NA,"10687","bioproject_id"
262724,"Thermus thermophilus HB27",2127482,2210,NA,"10617","bioproject_id"
882,"Desulfovibrio vulgaris Hildenborough",3773159,3535,NA,"57645","bioproject_id"
264201,"Candidatus Protochlamydia amoebophila",2414465,2031,NA,"10700","bioproject_id"
298386,"Photobacterium profundum",6403280,5480,NA,"13128","bioproject_id"
265669,"Listeria monocytogenes F2365",2905187,2821,NA,"85","bioproject_id"
267748,"Mycoplasma mobile",777079,635,NA,"10697","bioproject_id"
263820,"Picrophilus torridus",1545895,1535,NA,"10641","bioproject_id"
261594,"Bacillus anthracis Ames Ancestor",5503926,5486,NA,"10784","bioproject_id"
281309,"Bacillus thuringiensis 97-27",5314794,5197,NA,"58089","bioproject_id"
283166,"Bartonella henselae Houston-1",1931047,1488,NA,"196","bioproject_id"
283165,"Bartonella quintana Toulouse",1581384,1142,NA,"44","bioproject_id"
282458,"Staphylococcus aureus subsp. aureus MRSA252 (MRSA)",2902619,2656,NA,"265","bioproject_id"
282459,"Staphylococcus aureus subsp. aureus MSSA476 (MSSA)",2820454,2598,NA,"266","bioproject_id"
260799,"Bacillus anthracis Sterne",5228663,4952,NA,"58091","bioproject_id"
62977,"Acinetobacter sp. ADP1",3598621,3277,NA,"12352","bioproject_id"
218491,"Pectobacterium atrosepticum SCRI1043",5064019,4472,NA,"350","bioproject_id"
265311,"Mesoplasma florum L1",793224,680,NA,"58055","bioproject_id"
267747,"Propionibacterium acnes KPA171202",2560265,2297,NA,"12460","bioproject_id"
281090,"Leifsonia xyli subsp. xyli CTCB07",2584158,2030,NA,"212","bioproject_id"
286636,"Streptococcus pyogenes MGAS10394 (serotype M6)",1899877,1886,NA,"12469","bioproject_id"
177439,"Desulfotalea psychrophila",3659634,3236,NA,"12751","bioproject_id"
257363,"Rickettsia typhi Wilmington",1111496,838,NA,"10679","bioproject_id"
290434,"Borreliella bavariensis PBi",986914,932,NA,"12554","bioproject_id"
273123,"Yersinia pseudotuberculosis IP 32953 (serotype I)",4840898,4038,NA,"12950","bioproject_id"
292459,"Symbiobacterium thermophilum",3566135,3337,NA,"12994","bioproject_id"
279010,"Bacillus licheniformis ATCC 14580",4222597,4179,NA,"12388","bioproject_id"
288681,"Bacillus cereus E33L",5843235,5641,NA,"12468","bioproject_id"
272624,"Legionella pneumophila subsp. pneumophila Philadelphia 1",3397754,2943,NA,"57609","bioproject_id"
279010,"Bacillus licheniformis DSM 13 = ATCC 14580",4222645,4172,NA,"13082","bioproject_id"
221988,"Mannheimia succiniciproducens",2314078,2384,NA,"13068","bioproject_id"
295405,"Bacteroides fragilis YCH46",5310990,4625,NA,"58195","bioproject_id"
272560,"Burkholderia pseudomallei K96243",7247547,5726,NA,"57733","bioproject_id"
243160,"Burkholderia mallei ATCC 23344",5835527,5022,NA,"57725","bioproject_id"
243233,"Methylococcus capsulatus",3304561,2960,NA,"21","bioproject_id"
295358,"Mycoplasma hyopneumoniae 232",892758,691,NA,"13120","bioproject_id"
247156,"Nocardia farcinica IFM 10152",6292344,5946,NA,"13117","bioproject_id"
297245,"Legionella pneumophila Lens",3405519,2934,NA,"13126","bioproject_id"
297246,"Legionella pneumophila Paris",3635495,3166,NA,"13127","bioproject_id"
272569,"Haloarcula marismortui",4274642,4240,NA,"105","bioproject_id"
299768,"Streptococcus thermophilus CNRZ1066",1796226,1915,NA,"13163","bioproject_id"
264199,"Streptococcus thermophilus LMG18311",1796846,1889,NA,"13162","bioproject_id"
177416,"Francisella tularensis subsp. tularensis SCHU S4",1892775,1556,NA,"57589","bioproject_id"
246200,"Ruegeria pomeroyi",4601048,4279,NA,"281","bioproject_id"
234826,"Anaplasma marginale St. Maries",1197687,949,NA,"40","bioproject_id"
235909,"Geobacillus kaustophilus",3592666,3540,NA,"13233","bioproject_id"
283942,"Idiomarina loihiensis L2TR",2839318,2628,NA,"10790","bioproject_id"
295319,"Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150",4585229,4093,NA,"13086","bioproject_id"
300852,"Thermus thermophilus HB8",2116056,2173,NA,"58223","bioproject_id"
264203,"Zymomonas mobilis subsp. mobilis ZM4",2056363,1736,NA,"12354","bioproject_id"
76114,"Aromatoleum aromaticum",4727255,4598,NA,"13242","bioproject_id"
243164,"Dehalococcoides mccartyi 195",1469720,1580,NA,"214","bioproject_id"
254945,"Ehrlichia ruminantium Welgevonden (South Africa)",1516355,888,NA,"9614","bioproject_id"
93062,"Staphylococcus aureus subsp. aureus COL (MRSA)",2813862,2676,NA,"238","bioproject_id"
69014,"Thermococcus kodakarensis",2088737,2306,NA,"13213","bioproject_id"
195099,"Campylobacter jejuni RM1221",1777831,1838,NA,"303","bioproject_id"
66692,"Bacillus clausii",4303871,4087,NA,"13291","bioproject_id"
176279,"Staphylococcus epidermidis RP62A",2643840,2526,NA,"64","bioproject_id"
290633,"Gluconobacter oxydans 621H",2922384,2664,NA,"13325","bioproject_id"
272621,"Lactobacillus acidophilus NCFM",1993560,1832,NA,"57685","bioproject_id"
302409,"Ehrlichia ruminantium Gardel",1499920,950,NA,"13356","bioproject_id"
254945,"Ehrlichia ruminantium Welgevonden (France)",1512977,958,NA,"13355","bioproject_id"
292805,"Wolbachia wBm (Brugia malayi)",1080084,805,NA,"12475","bioproject_id"
291331,"Xanthomonas oryzae pv. oryzae KACC 10331",4941439,4538,NA,"12931","bioproject_id"
312309,"Aliivibrio fischeri ES114",4273718,3815,NA,"58163","bioproject_id"
242231,"Neisseria gonorrhoeae FA 1090",2153922,2157,NA,"23","bioproject_id"
272559,"Bacteroides fragilis NCTC9343",5241700,4236,NA,"46","bioproject_id"
321314,"Salmonella enterica subsp. enterica serovar Choleraesuis",4944000,4666,NA,"9618","bioproject_id"
262698,"Brucella abortus bv. 1 9-941",3286445,3074,NA,"9619","bioproject_id"
218497,"Chlamydia abortus S26/3",1144377,932,NA,"355","bioproject_id"
196627,"Corynebacterium glutamicum ATCC 13032 (Bielefeld)",3282708,3057,NA,"13760","bioproject_id"
205918,"Pseudomonas syringae pv. syringae B728a",6093698,5089,NA,"57931","bioproject_id"
314565,"Xanthomonas campestris pv. campestris 8004",5148708,4273,NA,"15","bioproject_id"
281310,"Haemophilus influenzae 86-028NP (nontypeable)",1914490,1792,NA,"11752","bioproject_id"
220664,"Pseudomonas protegens Pf-5",7074893,6108,NA,"327","bioproject_id"
279808,"Staphylococcus haemolyticus JCSC1435",2697861,2694,NA,"12508","bioproject_id"
330779,"Sulfolobus acidocaldarius DSM 639",2225959,2223,NA,"13935","bioproject_id"
315456,"Rickettsia felis",1587240,1512,NA,"13884","bioproject_id"
306537,"Corynebacterium jeikeium",2476822,2120,NA,"13967","bioproject_id"
259536,"Psychrobacter arcticus",2650701,2120,NA,"9633","bioproject_id"
335992,"Candidatus Pelagibacter ubique",1308759,1354,NA,"13989","bioproject_id"
167879,"Colwellia psychrerythraea",5373180,4910,NA,"275","bioproject_id"
159087,"Dechloromonas aromatica",4501104,4171,NA,"9635","bioproject_id"
262719,"Mycoplasma hyopneumoniae J",897405,674,NA,"10675","bioproject_id"
262723,"Mycoplasma synoviae 53",799476,681,NA,"10676","bioproject_id"
293653,"Streptococcus pyogenes MGAS5005 (serotype M1)",1838562,1841,NA,"13888","bioproject_id"
319701,"Streptococcus pyogenes MGAS6180 (serotype M28)",1897573,1894,NA,"13887","bioproject_id"
262722,"Mycoplasma hyopneumoniae 7448",920079,698,NA,"10639","bioproject_id"
269800,"Thermobifida fusca",3642249,3110,NA,"94","bioproject_id"
264730,"Pseudomonas savastanoi pv. phaseolicola 1448A",6112448,5172,NA,"12416","bioproject_id"
59920,"Prochlorococcus marinus NATL2A",1842899,2163,NA,"13911","bioproject_id"
264198,"Ralstonia eutropha JMP134",7255290,6446,NA,"10646","bioproject_id"
342451,"Staphylococcus saprophyticus",2577899,2514,NA,"15596","bioproject_id"
269484,"Ehrlichia canis",1315030,925,NA,"10694","bioproject_id"
269797,"Methanosarcina barkeri Fusaro",4873766,3625,NA,"103","bioproject_id"
291272,"Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)",791654,610,NA,"13875","bioproject_id"
255470,"Dehalococcoides mccartyi CBDB1",1395502,1458,NA,"15604","bioproject_id"
300269,"Shigella sonnei Ss046",5055316,4475,NA,"13151","bioproject_id"
292415,"Thiobacillus denitrificans",2909809,2827,NA,"13025","bioproject_id"
323098,"Nitrobacter winogradskyi",3402093,3122,NA,"13474","bioproject_id"
240292,"Trichormus variabilis",7105752,5706,NA,"10642","bioproject_id"
205921,"Streptococcus agalactiae A909 (serotype Ia)",2127839,1996,NA,"326","bioproject_id"
348780,"Natronomonas pharaonis",2749696,2802,NA,"15742","bioproject_id"
315277,"Chlamydia trachomatis A/HAR-13",1051969,919,NA,"13885","bioproject_id"
323261,"Nitrosococcus oceani",3522111,3017,NA,"13993","bioproject_id"
326442,"Pseudoalteromonas haloplanktis",3850272,3486,NA,"15713","bioproject_id"
205922,"Pseudomonas fluorescens Pf0-1",6438405,5722,NA,"12","bioproject_id"
272943,"Rhodobacter sphaeroides 2.4.1",4602977,4280,NA,"57653","bioproject_id"
338963,"Pelobacter carbinolicus",3665893,3304,NA,"13337","bioproject_id"
482957,"Burkholderia lata",8676277,7717,NA,"10695","bioproject_id"
246194,"Carboxydothermus hydrogenoformans",2401520,2620,NA,"253","bioproject_id"
316273,"Xanthomonas campestris pv. vesicatoria",5420152,4726,NA,"13649","bioproject_id"
320372,"Burkholderia pseudomallei 1710b",7308054,6347,NA,"13954","bioproject_id"
340177,"Chlorobium chlorochromatii",2572079,2002,NA,"13921","bioproject_id"
319225,"Chlorobium luteolum",2364842,2083,NA,"13012","bioproject_id"
110662,"Synechococcus sp. CC9605",2510659,2638,NA,"13643","bioproject_id"
316279,"Synechococcus sp. CC9902",2234828,2304,NA,"13655","bioproject_id"
207559,"Desulfovibrio alaskensis",3730232,3258,NA,"329","bioproject_id"
269799,"Geobacter metallireducens",4011182,3568,NA,"177","bioproject_id"
317025,"Hydrogenovibrio crunogenus",2427734,2196,NA,"13018","bioproject_id"
74546,"Prochlorococcus marinus MIT 9312",1709204,1962,NA,"13910","bioproject_id"
326298,"Sulfurimonas denitrificans",2201561,2096,NA,"13019","bioproject_id"
314315,"Lactobacillus sakei",1884661,1885,NA,"13435","bioproject_id"
1140,"Synechococcus elongatus PCC7942",2742269,2661,NA,"10645","bioproject_id"
300268,"Shigella boydii Sb227",4646520,4284,NA,"13146","bioproject_id"
323848,"Nitrosospira multiformis",3234309,2805,NA,"13912","bioproject_id"
273036,"Staphylococcus aureus RF122",2742531,2515,NA,"63","bioproject_id"
359391,"Brucella abortus 2308",3278307,3034,NA,"16203","bioproject_id"
342108,"Magnetospirillum magneticum",4967148,4559,NA,"58527","bioproject_id"
300267,"Shigella dysenteriae Sd197",4560911,4294,NA,"58213","bioproject_id"
349521,"Hahella chejuensis",7215267,6778,NA,"16064","bioproject_id"
264732,"Moorella thermoacetica",2628784,2460,NA,"58051","bioproject_id"
340047,"Mycoplasma capricolum subsp. capricolum ATCC 27343",1010023,812,NA,"16208","bioproject_id"
269796,"Rhodospirillum rubrum ATCC 11170",4406557,3837,NA,"57655","bioproject_id"
271848,"Burkholderia thailandensis E264",6723972,5634,NA,"10774","bioproject_id"
309807,"Salinibacter ruber DSM 13855",3587328,2833,NA,"58513","bioproject_id"
339860,"Methanosphaera stadtmanae",1767403,1534,NA,"15579","bioproject_id"
322098,"Aster yellows witches'-broom phytoplasma AYWB",723970,693,NA,"13478","bioproject_id"
314225,"Erythrobacter litoralis HTCC2594",3052398,3011,NA,"13480","bioproject_id"
343509,"Sodalis glossinidius (Glossina spp.)",4292502,2516,NA,"16309","bioproject_id"
347834,"Rhizobium etli CFN 42",6530228,5957,NA,"13932","bioproject_id"
321327,"Synechococcus sp. JA-3-3Ab",2932766,2760,NA,"16251","bioproject_id"
321332,"Synechococcus sp. JA-2-3B'a(2-13)",3046682,2862,NA,"16252","bioproject_id"
106370,"Frankia sp. CcI3",5433628,4499,NA,"13963","bioproject_id"
316058,"Rhodopseudomonas palustris HaA2",5331656,4683,NA,"15747","bioproject_id"
279238,"Novosphingobium aromaticivorans",4233314,3937,NA,"204","bioproject_id"
451515,"Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)",2917469,2604,NA,"16313","bioproject_id"
93061,"Staphylococcus aureus subsp. aureus NCTC8325",2821361,2767,NA,"57795","bioproject_id"
323259,"Methanospirillum hungatei",3544738,3139,NA,"13015","bioproject_id"
290397,"Anaeromyxobacter dehalogenans 2CP-C",5013479,4346,NA,"12634","bioproject_id"
212042,"Anaplasma phagocytophilum HZ",1471282,1352,NA,"336","bioproject_id"
205920,"Ehrlichia chaffeensis Arkansas",1176248,1105,NA,"325","bioproject_id"
222891,"Neorickettsia sennetsu",859006,932,NA,"357","bioproject_id"
290400,"Jannaschia sp. CCS1",4404049,4283,"Isolated from Pacific coastal seawater (Bodega Head, CA; salinity = 33) in 2003.","12733","bioproject_id"
376619,"Francisella tularensis subsp. holarctica LVS",1895994,1754,NA,"16421","bioproject_id"
264202,"Chlamydia felis Fe/C-56",1173791,1013,NA,"370","bioproject_id"
138119,"Desulfitobacterium hafniense Y51",5727534,5060,NA,"16639","bioproject_id"
338969,"Rhodoferax ferrireducens",4969784,4418,NA,"13908","bioproject_id"
203122,"Saccharophagus degradans",5057531,4007,NA,"316","bioproject_id"
316056,"Rhodopseudomonas palustris BisB18",5513844,4886,NA,"15750","bioproject_id"
362948,"Lactobacillus salivarius UCC118",2133977,2013,NA,"58233","bioproject_id"
364106,"Escherichia coli O18:K1:H7 UTI89 (UPEC)",5179971,5211,NA,"16259","bioproject_id"
336407,"Rickettsia bellii RML369-C",1522076,1429,NA,"13996","bioproject_id"
266265,"Paraburkholderia xenovorans LB400",9731138,8702,NA,"254","bioproject_id"
259564,"Methanococcoides burtonii",2575032,2272,NA,"9634","bioproject_id"
265072,"Methylobacillus flagellatus",2971517,2753,NA,"10647","bioproject_id"
296591,"Polaromonas sp. JS666",5898676,5453,NA,"13121","bioproject_id"
318161,"Shewanella denitrificans",4545906,3754,NA,"13390","bioproject_id"
