"tax_id","org_name","growth_tmp","metabolism","trophy","doubling_h","reference","ref_type"
29372,"Clostridium thermobutyricum",53.5,"AN","H",0.54,"Canganella F, Kuk SU, Morgan H, Wiegel J. Clostridium thermobutyricum: growth studies and stimulation of butyrate formation by acetate supplementation. Microbiol Res. 2002;157(2):149-156.","full_text"
678,"Vibrio sp.",30,"FA","H",0.48,"Kushmarol A, Rosenberg E, Fine M, Haim YB, Loyal Y. Effect of temperature on bleaching of the coral Oculina patagonica by Vibrio AK-1. Mar Ecol Prog Ser. 1998;171:131-137.","full_text"
36854,"Desulfitobacterium dehalogenans",38.1,"AN","H",3.33,"Utkin I, Woese C, Wiegel J. Isolation and characterization of Desulfitobacterium dehalogenans gen. nov., sp. nov., an anaerobic bacterium which reductively dechlorinates chlorophenolic compounds. Int J Syst Bacteriol. 1994;44(4):612-619.","full_text"
1515,"Clostridium thermocellum",60,"AN","H",2.5,"Freier D, Mothershed CP, Wiegel J. Characterization of Clostridium thermocellum JW20. Appl Environ Microbiol. 1988;54(1):204-211.","full_text"
891,"Desulfuromonas acetoxidans",30,"AN","H",2.57,"Pfennig N, Biebl H. Desulfuromonas acetoxidans gen. nov. and sp. nov., a new anaerobic, sulfur-reducing, acetate-oxidizing bacterium. Arch Microbiol. 1976;110(1):3-12.","full_text"
2285,"Sulfolobus acidocaldarius",70,"A","M",7.25,"Brock TD, Brock KM, Belly RT, Weiss RL. Sulfolobus: a new genus of sulfur-oxidizing bacteria living at low pH and high temperature. Arch Mikrobiol. 1972;84(1):54-68.","full_text"
2181,"Methanothermus sociabilis",80,"AN","A",5,"Lauerer G, Kristjansson JK, Langworthy TA, Ko√‡nig H, Stetter KO. Methanothermus sociabilis sp. nov., a Second Species within the Methanothermaceae Growing at 97o C. Syst Appl Microbiol. 1986;8(1):100-105.","full_text"
2234,"Archaeoglobus fulgidus",76,"AN","M",20,"Beeder J, Nilsen RK, Rosnes JT, Torsvik T, Lien T. Archaeoglobus fulgidus isolated from hot North Sea oil field waters. Appl Environ Microbiol. 1994;60(4):1227-1231.","full_text"
29371,"Clostridium termitidis",37.6,"AN","H",9.62,"Hethener P, Brauman A, Garcia JL. Clostridium termitidis sp. nov., a cellulolytic bacterium from the gut of the wood-feeding termite, Nasutitermes lujae. Syst Appl Microbiol. 1992;15(1):52-58.","full_text"
536044,"Methanolobus zinderi",42,"AN","H",9.5,"Doerfert SN, Reichlen M, Iyer P, Wang M, Ferry JG. Methanolobus zinderi sp. nov., a methylotrophic methanogen isolated from a deep subsurface coal seam. Int J Syst Evol Microbiol. 2009;59(5):1064-1069.","full_text"
159728,"Desulfovibrio cuneatus",27.9,"FA","H",22,"Sass H, Berchtold M, Branke J, Ko√‡nig H, Cypionka H, Babenzien HD. Psychrotolerant sulfate-reducing bacteria from an oxic freshwater sediment description of Desulfovibrio cuneatus sp. nov. and Desulfovibrio litoralis sp. nov. Syst Appl Microbiol. 1998;21(2):212-219.","full_text"
466107,"Desulfovibrio litoralis",27.9,"FA","H",20.11,"Sass H, Berchtold M, Branke J, Ko√‡nig H, Cypionka H, Babenzien HD. Psychrotolerant sulfate-reducing bacteria from an oxic freshwater sediment description of Desulfovibrio cuneatus sp. nov. and Desulfovibrio litoralis sp. nov. Syst Appl Microbiol. 1998;21(2):212-219.","full_text"
126734,"Methanofollis aquaemaris",36.6,"AN","H",13,"Lai MC, Chen SC. Methanofollis aquaemaris sp. nov., a methanogen isolated from an aquaculture fish pond. Int J Syst Evol Microbiol. 2001;51(5):1873-1880.","full_text"
321266,"Halomonas kenyensis",40.9,"FA","H",7.24,"Boltyanskaya YV, Kevbrin V, Lysenko AM, Kolganova TV, Tourova TP, Osipov GA, et al. Halomonas mongoliensis sp. nov. and Halomonas kenyensis sp. nov., new haloalkaliphilic denitrifiers capable of N2O reduction, isolated from soda lakes. Microbiology. 2007;76(6):739-747.","full_text"
321265,"Halomonas mongoliensis",40.5,"FA","H",3.8,"Boltyanskaya YV, Kevbrin V, Lysenko AM, Kolganova TV, Tourova TP, Osipov GA, et al. Halomonas mongoliensis sp. nov. and Halomonas kenyensis sp. nov., new haloalkaliphilic denitrifiers capable of N2O reduction, isolated from soda lakes. Microbiology. 2007;76(6):739-747.","full_text"
118126,"Methanoculleus chikugoensis",25.3,"AN","H",34.15,"Dianou D, Miyaki T, Asakawa S, Morii H, Nagaoka K, Oyaizu H, et al. Methanoculleus chikugoensis sp. nov., a novel methanogenic archaeon isolated from paddy field soil in Japan, and DNA-DNA hybridization among Methanoculleus species. Int J Syst Evol Microbiol. 2001;51(5):1663-1669.","full_text"
72612,"Methanoculleus palmolei",40,"AN","H",14.43,"Zellner G, Messner P, Winter J, Stackebrandt E. Methanoculleus palmolei sp. nov., an irregularly coccoid methanogen from an anaerobic digester treating wastewater of a palm oil plant in North-Sumatra, Indonesia. Int J Syst Bacteriol. 1998;48(4):1111-1117.","full_text"
254719,"Marinobacter alkaliphilus",30.1,"FA","H",0.75,"Takai K, Moyer CL, Miyazaki M, Nogi Y, Hirayama H, Nealson KH, et al. Marinobacter alkaliphilus sp. nov., a novel alkaliphilic bacterium isolated from subseafloor alkaline serpentine mud from Ocean Drilling Program Site 1200 at South Chamorro Seamount, Mariana Forearc. Extremophiles. 2005;9(1):17-27.","full_text"
1496,"Clostridium difficile",37,"AN","H",0.38,"Wilson KH, Sheagren JN, Freter R. Population dynamics of ingested Clostridium difficile in the gastrointestinal tract of the Syrian hamster. J Infect Dis. 1985;151(2):355-361.","full_text"
1313,"Streptococcus pneumoniae",37,"A","H",1.24,"Camberlein E, Cohen JM, Jose√≈ R, Hyams CJ, Callard R, Chimalapati S, et al. Importance of bacterial replication and alveolar macrophageindependent clearance mechanisms during early lung infection with Streptococcus pneumoniae. Infect Immun. 2015;83(3):1181-1189.","full_text"
1229250,"Ammoniibacillus agariperforans",60,"A","H",1,"Sakai M, Deguchi D, Hosoda A, Kawauchi T, Ikenaga M. Ammoniibacillus agariperforans gen. nov., sp. nov., a thermophilic, agar-degrading bacterium isolated from compost. Int J Syst Evol Microbiol. 2015;65(Pt 2):570-577.","full_text"
585455,"Thiohalobacter thiocyanaticus",30,"AN","A",15.4,"Sorokin DY, Kovaleva OL, Tourova TP, Muyzer G. Thiohalobacter thiocyanaticus gen. nov., sp. nov., a moderately halophilic, sulfuroxidizing gammaproteobacterium from hypersaline lakes, that utilizes thiocyanate. Int J Syst Evol Microbiol. 2010;60:444-450.","full_text"
209880,"Allisonella histaminiformans",39,"AN","H",1.83,"Garner MR, Flint JF, Russell JB. Allisonella histaminiformans gen. nov., sp. nov.: A novel bacterium that produces histamine, utilizes histidine as its sole energy source, and could play a role in bovine and equine laminitis. Syst Appl Microbiol. 2002;25(4):498-506.","full_text"
39152,"Methanococcus deltae",36.9,"AN","H",2,"Corder RE, Hook LA, Larkin JM, Frea JI. Isolation and characterization of two new methane-producing cocci: Methanogenium olentangi, sp. nov., and Methanococcus deltae, sp. nov. Arch Microbiol. 1983;134(1):28-32.","full_text"
42422,"Halobacteroides halobius",40.8,"AN","H",0.92,"Oren A, Weisburg WG, Kessel M, Woese CR. Halobacteroides halobius gen. nov., sp. nov., a moderately halophic anaerobic bacterium from the bottom sediments of the Dead Sea. Syst Appl Microbiol. 1984;5(1):58-70.","full_text"
287,"Pseudomonas aeruginosa",40,"A","H",0.37,"Ingraham JL. Growth of psychrophilic Bacteria. J Bacteriol. 1958;76(1):75-80.","full_text"
33070,"Synechococcus lividus",65,"A","A",8.91,"Meeks JC, Castenholz RW. Growth and photosynthesis in an extreme thermophile, Synechococcus lividus (Cyanophyta). Arch Mikrobiol. 1971;78:25-41.","full_text"
306,"Pseudomonas sp.",27.8,"A","H",0.47,"Espejo RT, Canelo ES. Properties and characterization of the host bacterium of bacteriophage PM2. J Bacteriol. 1968;95(5):1887-1891.","full_text"
339,"Xanthomonas campestris",29.9,"A","H",2.45,"Feil H, Purcell AH. Temperature-dependent growth and survival of Xylella fastidiosa in vitro and in potted grapevines. Plant Dis. 2001 December;85(12):1230-1234. Refer to ID485.","full_text"
2371,"Xylella fastidiosa",27.9,"A","H",5.07,"Feil H, Purcell AH. Temperature-dependent growth and survival of Xylella fastidiosa in vitro and in potted grapevines. Plant Dis. 2001 December;85(12):1230-1234. Refer to ID485.","full_text"
66695,"Citrobacter intermedius",38.1,"AN","H",2.47,"Brosseau JD, Margaritis A, Zajic JE. The effect of temperature on the growth and hydrogen production by Citrobacter intermedius. Biol Lett. 1982;4(5):307-312.","full_text"
46469,"Sporohalobacter marismortui",41.6,"AN","H",0.44,"Oren A, Pohla H, Stackebrandt E. Transfer of Clostridium lortetii to a new genus Sporohalobacter gen. nov. as Sporohalobacter lortetii comb. nov., and description of Sporohalobacter marismortui sp. nov. Syst Appl Microbiol. 1987;9(3):239-246.","full_text"
42421,"Halobacteroides acetoethylicus",33.5,"AN","H",7.54,"Rengpipat S, Langworthy TA, Zeikus JG. Halobacteroides acetoethylicus sp. nov., a new obligately anaerobic halophile isolated from deep subsurface hypersaline environments. Syst Appl Microbiol. 1988;11(1):28-35.","full_text"
974,"Sporohalobacter lortetii",44.4,"AN","H",6.79,"Oren A. Clostridium lortetii sp. nov., a halophilic obligatory anaerobic bacterium producing endospores with attached gas vacuoles. Arch Microbiol. 1983;136(1):42-48.","full_text"
43595,"Haloincola saccharolytica",37,"AN","H",3.9,"Zhilina T, Zavarzin G, Bulygina E, Kevbrin V, Osipov G, Chumakov K. Ecology, physiology and taxonomy studies on a new taxon of Haloanaerobiaceae, Haloincola saccharolytica gen. nov., sp. nov. Syst Appl Microbiol. 1992;15(2):275-284.","full_text"
54120,"Methanoplanus petrolearius",37,"AN","H",10,"Ollivier B, Cayol JL, Patel BKC, Magot M, Fardeau ML, Garcia JL. Methanoplanus petrolearius sp. nov., a novel methanogenic bacterium from an oil-producing well. FEMS Microbiol Ecol. 1997;147(1):51-56.","full_text"
394967,"Methanoculleus receptaculi",50,"AN","H",8.25,"Cheng L, Qiu TL, Li X, Wang WD, Deng Y, Yin XB, et al. Isolation and characterization of Methanoculleus receptaculi sp. nov. from Shengli oil field, China. FEMS Microbiol Ecol. 2008;285(1):65-71.","full_text"
1487,"Butyribacterium methylotrophicum",38.5,"AN","H",20,"Zeikus J, Lynd LH, Thompson T, Krzycki J, Weimer P, Hegge P. Isolation and characterization of a new, methylotrophic, acidogenic anaerobe, the Marburg strain. Curr Microbiol. 1980;3(6):381-386.","full_text"
660064,"Methermicoccus shengliensis",65,"AN","H",5,"Cheng L, Qiu TL, Yin XB, Wu XL, Hu GQ, Deng Y, et al. Methermicoccus shengliensis gen. nov., sp. nov., a thermophilic, methylotrophic methanogen isolated from oil-production water, and proposal of Methermicoccaceae fam. nov. Int J Syst Evol Microbiol. 2007;57(12):2964-2969.","full_text"
83986,"Methanoculleus oldenburgensis",45,"AN","H",3.79,"Blotevogel KH, Gahl-Janv¸en R, Jannsen S, Fischer U, Pilz F, Auling G, et al. Isolation and characterization of a novel mesophilic, fresh-water methanogen from river sediment Methanoculleus oldenburgensis sp. nov. Arch Microbiol. 1991;157(1):54-59.","full_text"
36738,"Halococcus salifodinae",37,"A","H",26,"Denner EBM, McGenity TJ, Busse HJ, Grant WD, Wanner G, StanLotter H. Halococcus salifodinae sp. nov., an archaeal isolate from an Austrian salt mine. Int J Syst Bacteriol. 1994;44(4):774-780.","full_text"
40001,"Cellulomonas sp.",24.1,"A","H",2.18,"Baker JH. The use of a temperature-gradient incubator to investigate the temperature characteristics of some bacteria from Antarctic peat. Br Antarct Surv Bull. 1974;39:49-59.","full_text"
1491,"Clostridium botulinum",37,"AN","H",0.44,"Ohye DF, Scott WJ. The temperature relations of Clostridium botulinum, types A and B. Aust J Biol Sci. 1953;6(2):178-189.","full_text"
84981,"Desulfofaba gelida",7.5,"AN","A",143.85,"Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999;1(5):457-467.","full_text"
84983,"Desulfofrigus fragile",18,"AN","A",21.28,"Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999;1(5):457-467.","full_text"
84979,"Desulfotalea arctica",18.2,"AN","A",38.29,"Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999;1(5):457-467.","full_text"
84980,"Desulfotalea psychrophila",9.9,"AN","A",28.66,"Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999;1(5):457-467.","full_text"
615,"Serratia marcescens",33.3,"FA",NA,0.52,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
90736,"Vibrio marinus",23.1,"FA","H",1.36,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
1398,"Bacillus coagulans",51.6,"FA","H",0.72,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
1404,"Bacillus megaterium",40.4,"FA","H",0.44,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
1423,"Bacillus subtilis",36.1,"FA","H",0.6,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
1422,"Geobacillus stearothermophilus",68.4,"FA","A",0.24,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317.","full_text"
1219,"Prochlorococcus marinus",23.6,"A","A",28.62,"Moore LR, Goericke R, Chisholm SW. Comparative physiology of Synechococcus and Prochlorococcus: influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar Ecol Prog Ser. 1995;116(1):259-275.","full_text"
1131,"Synechococcus sp.",27.9,"A","A",20.77,"Moore LR, Goericke R, Chisholm SW. Comparative physiology of Synechococcus and Prochlorococcus: influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar Ecol Prog Ser. 1995;116(1):259-275.","full_text"
1081799,"Thermomarinilinea lacunofontalis",50.2,"A","A",3.96,"Nunoura T, Hirai M, Miyazaki M, Kazama H, Makita H, Hirayama H, et al. Isolation and characterization of a thermophilic, obligately anaerobic and heterotrophic marine Chloroflexi bacterium from a Chloroflexidominated microbial community associated with a Japanese shallow hydrothermal system, and proposal for Thermomarinilinea lacunofontalis gen. nov., sp. nov. Microbes Environ. 2013;28(2):228-235.","full_text"
389480,"Marinitoga okinawensis",55.1,"AN","H",0.54,"Nunoura T, Oida H, Miyazaki M, Suzuki Y, Takai K, Horikoshi K. Marinitoga okinawensis sp. nov., a novel thermophilic and anaerobic heterotroph isolated from a deep-sea hydrothermal field, Southern Okinawa Trough. Int J Syst Evol Microbiol. 2007;57(3):467-471.","full_text"
515440,"Oceanotoga teriensis",56.5,"AN","H",4.6,"Jayasinghearachchi HS, Lal B. Oceanotoga teriensis gen. nov., sp. nov., a thermophilic bacterium isolated from offshore oil-producing wells. Int J Syst Evol Microbiol. 2011;61(3):554-560.","full_text"
287990,"Marinitoga hydrogenitolerans",60,"AN","H",1.87,"Postec A, Le Breton C, Fardeau ML, Lesongeur F, Pignet P, Querellou J, et al. Marinitoga hydrogenitolerans sp. nov., a novel member of the order Thermotogales isolated from a black smoker chimney on the MidAtlantic Ridge. Int J Syst Evol Microbiol. 2005;55(3):1217-1221.","full_text"
570855,"Marinitoga litoralis",60,"AN","H",1.44,"Postec A, Ciobanu M, Birrien JL, Bienvenu N, Prieur D, Le Romancer M. Marinitoga litoralis sp. nov., a thermophilic, heterotrophic bacterium isolated from a coastal thermal spring on Ile Saint-Paul, Southern Indian Ocean. Int J Syst Evol Microbiol. 2010;60(8):1778-1782.","full_text"
1008460,"Pyrococcus yayanosii",98,"AN","H",0.83,"Birrien JL, Zeng X, Jebbar M, Cambon-Bonavita MA, Que√≈rellou J, Oger P, et al. Pyrococcus yayanosii sp. nov., an obligate piezophilic hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent. Int J Syst Evol Microbiol. 2011;61(12):2827-2881.","full_text"
1508419,"Thermotoga caldifontis",69.5,"AN","H",8.02,"Mori K, Yamazoe A, Hosoyama A, Ohji S, Fujita N, Ishibashi Ji, et al. Thermotoga profunda sp. nov. and Thermotoga caldifontis sp. nov., anaerobic thermophilic bacteria isolated from terrestrial hot springs. Int J Syst Evol Microbiol. 2014;64(Pt 6):2128-2136.","full_text"
1508420,"Thermotoga profunda",60.3,"AN","H",8.22,"Mori K, Yamazoe A, Hosoyama A, Ohji S, Fujita N, Ishibashi Ji, et al. Thermotoga profunda sp. nov. and Thermotoga caldifontis sp. nov., anaerobic thermophilic bacteria isolated from terrestrial hot springs. Int J Syst Evol Microbiol. 2014;64(Pt 6):2128-2136.","full_text"
651457,"Kosmotoga olearia",65,"AN","H",1.72,"DiPippo JL, Nesbv<U+220F> CL, Dahle H, Doolittle WF, Birkland NK, Noll KM. Kosmotoga olearia gen. nov., sp. nov., a thermophilic, anaerobic heterotroph isolated from an oil production fluid. Int J Syst Evol Microbiol. 2009;59(12):2991-3000.","full_text"
2331,"Haloanaerobium praevalens",37.1,"AN","H",4,"Zeikus J, Hegge P, Thompson T, Phelps T, Langworthy T. Isolation and description of Haloanaerobium praevalens gen. nov. and sp. nov., an obligately anaerobic halophile common to Great Salt Lake sediments. Curr Microbiol. 1983;9(4):225-233.","full_text"
1184387,"Mesotoga prima",37,"AN","H",16.5,"Nesbv<U+220F> CL, Bradnan DM, Adebusuyi A, Dlutek M, Petrus AK, Foght J, et al. Mesotoga prima gen. nov., sp. nov., the first described mesophilic species of the Thermotogales. Extremophiles. 2012;16(3):387-393.","full_text"
106262,"Marinitoga camini",55,"AN","H",1.7,"Wery N, Lesongeur F, Pignet P, Derennes V, Cambon-Bonavita MA, Godfroy A, et al. Marinitoga camini gen. nov., sp. nov., a rod-shaped bacterium belonging to the order Thermotogales, isolated from a deepsea hydrothermal vent. Int J Syst Evol Microbiol. 2001;51(2):495-504.","full_text"
54252,"Pyrolobus fumarii",105.6,"FA","A",0.95,"Blo√‡chl E, Rachel R, Burggraf S, Hafenbradl D, Jannasch HW, Stetter KO. Pyrolobus fumarii, gen. and sp. nov., represents a novel group of archaea, extending the upper temperature limit for life to 113 C. Extremophiles. 1997;1(1):14-21.","full_text"
1330330,"Kosmotoga pacifica",70,"AN","H",1.58,"LÇƒÙHaridon S, Jiang L, Alain K, Chalopin M, Rouxel O, Beauverger M, et al. Kosmotoga pacifica sp. nov., a thermophilic chemoorganoheterotrophic bacterium isolated from an East Pacific hydrothermal sediment. Extremophiles. 2014;18(1):81-88.","full_text"
404900,"Geminicoccus roseus",32.5,"A","H",5,"Foesel BU, Go√‡v¸ner AS, Drake HL, Schramm A. Geminicoccus roseus gen. nov., sp. nov., an aerobic phototrophic Alphaproteobacterium isolated from a marine aquaculture biofilter. Syst Appl Microbiol. 2007;30(8):581-586.","full_text"
160385,"Thermobacteroides leptospartum",60,"AN","H",8.6,"Toda Y, Saiki T, Uozumi T, Beppu T. Isolation and characterization of a protease-producing, thermophilic, anaerobic bacterium, Thermobacteroides leptospartum sp. nov. Agric Biol Chem. 1988;52(6):1339-1344.","full_text"
242698,"Thermoanaerobacterium aciditolerans",60,"AN","H",8.6,"Kublanov IV, Prokofeva MI, Kostrikina NA, Kolganova TV, Tourova TP, Wiegel J, et al. Thermoanaerobacterium aciditolerans sp. nov., a moderate thermoacidophile from a Kamchatka hot spring. Int J Syst Evol Microbiol. 2007;57(2):260-264.","full_text"
373054,"Calditerricola satsumensis",78,"A","H",0.42,"Moriya T, Hikota T, Yumoto I, Ito T, Terui Y, Yamagishi A, et al. Calditerricola satsumensis gen. nov., sp. nov. and Calditerricola yamamurae sp. nov., extreme thermophiles isolated from a high-temperature compost. Int J Syst Evol Microbiol. 2011;61(3):631-636.","full_text"
281362,"Dechloromonas denitrificans",30,"FA","H",6.5,"Horn MA, Ihssen J, Matthies C, Schramm A, Acker G, Drake HL. Dechloromonas denitrificans sp. nov., Flavobacterium denitrificans sp. nov., Paenibacillus anaericanus sp. nov. and Paenibacillus terrae strain MH72, N2O-producing bacteria isolated from the gut of the earthworm Aporrectodea caliginosa. Int J Syst Evol Microbiol. 2005;55(3):1255-1265.","full_text"
170367,"Paenibacillus anaericanus",32.5,"FA","H",5,"Horn MA, Ihssen J, Matthies C, Schramm A, Acker G, Drake HL. Dechloromonas denitrificans sp. nov., Flavobacterium denitrificans sp. nov., Paenibacillus anaericanus sp. nov. and Paenibacillus terrae strain MH72, N2O-producing bacteria isolated from the gut of the earthworm Aporrectodea caliginosa. Int J Syst Evol Microbiol. 2005;55(3):1255-1265.","full_text"
159743,"Paenibacillus terrae",35,"FA","H",2.7,"Horn MA, Ihssen J, Matthies C, Schramm A, Acker G, Drake HL. Dechloromonas denitrificans sp. nov., Flavobacterium denitrificans sp. nov., Paenibacillus anaericanus sp. nov. and Paenibacillus terrae strain MH72, N2O-producing bacteria isolated from the gut of the earthworm Aporrectodea caliginosa. Int J Syst Evol Microbiol. 2005;55(3):1255-1265.","full_text"
281361,"Flavobacterium denitrificans",25,"FA","H",7.3,"Horn MA, Ihssen J, Matthies C, Schramm A, Acker G, Drake HL. Dechloromonas denitrificans sp. nov., Flavobacterium denitrificans sp. nov., Paenibacillus anaericanus sp. nov. and Paenibacillus terrae strain MH72, N2O-producing bacteria isolated from the gut of the earthworm Aporrectodea caliginosa. Int J Syst Evol Microbiol. 2005;55(3):1255-1265.","full_text"
1351,"Enterococcus faecalis",37,"FA","H",0.41,"Morandi S, Brasca M, Alfieri P, Lodi R, Tamburini A. Influence of pH and temperature on the growth of Enterococcus faecium and Enterococcus faecalis. Le Lait. 2005;85(3):181-192.","full_text"
1352,"Enterococcus faecium",37,"FA","H",0.44,"Morandi S, Brasca M, Alfieri P, Lodi R, Tamburini A. Influence of pH and temperature on the growth of Enterococcus faecium and Enterococcus faecalis. Le Lait. 2005;85(3):181-192.","full_text"
35783,"Enterococcus sp.",37,"FA","H",0.44,"Morandi S, Brasca M, Alfieri P, Lodi R, Tamburini A. Influence of pH and temperature on the growth of Enterococcus faecium and Enterococcus faecalis. Le Lait. 2005;85(3):181-192.","full_text"
360422,"Clostridium tagluense",15.1,"AN","H",13.05,"Suetin SV, Shcherbakova VA, Chuvilskaya NA, Rivkina EM, Suzina NE, Lysenko AM, et al. Clostridium tagluense sp. nov., a psychrotolerant, anaerobic, spore-forming bacterium from permafrost. Int J Syst Evol Microbiol. 2009;59(6):1421-1426.","full_text"
259063,"Clostridium jejuense",30,"AN","H",10.5,"Jeong H, Yi H, Sekiguchi Y, Muramatsu M, Kamagata Y, Chun J. Clostridium jejuense sp. nov., isolated from soil. Int J Syst Evol Microbiol. 2004;54(5):1465-1468.","full_text"
568790,"Caloramator boliviensis",60,"AN","H",2.02,"Crespo C, Pozzo T, Karlsson EN, Alvarez MT, Mattiasson B. Caloramator boliviensis sp. nov., a thermophilic, ethanol-producing bacterium isolated from a hot spring. Int J Syst Evol Microbiol. 2012;62(Pt 7):1679-1686.","full_text"
