"tax_id","name_class","org_name","Strain","metabolism","pathways","carbon_substrates","sporulation","cell_shape","motility","optimum_ph","optimum_tmp","d1_lo","d1_up","d2_lo","d2_up","isolation_source","reference","ref_type"
512382,"scientific name","Acidisoma tundrae","WM1T","obligate aerobe",NA,"arabinose, asparagine, ethanol, fructose, galactose, galcturonic acid, gluconic acid, glucose, glycerol, lactate, malate, mannitol, mannose, myo-inositol, pyruvic acid (pyruvate), sorbitol, trehalose, xylose","no","ovoid/coccobacillus","non-motile",5.1,18.5,0.8,1.5,1.9,4.1,"freshwater sediment","doi.org/10.1099/ijs.0.009209-0","doi"
1232575,"scientific name","Acidithiobacillus ferridurans","JCM 18981","facultative anaerobe",NA,NA,"no","rod",NA,2.1,29,1.5,NA,1.5,NA,"wastewater","doi.org/10.1099/ijs.0.049759-0","doi"
472056,"scientific name","Acidocella aluminiidurans","AL46","obligate aerobe",NA,"alanine, alanine, dextrin, glutamic acid, glycogen, succinic acid (succinate), urocanic acid","no","rod","non-motile",4.5,NA,0.3,NA,1.4,NA,"other, waterweed from highly acidic swamp","doi.org/10.1099/ijs.0.011569-0","doi"
472056,"scientific name","Acidocella aluminiidurans","AL46","obligate aerobe",NA,"arabitol, dextrin, glycogen, sorbitol, succinic acid (succinate), urocanic acid","no","rod","non-motile",4.5,32.5,0.3,NA,1.2,1.6,"other, waterweed grown in highly acidic swamp","doi.org/10.1099/ijs.0.011569-0","doi"
343013,"scientific name","Acidovorax caeni","R-24608","facultative aerobe",NA,"alanine, alanine, alpha-ketovaleric acid, aspartic acid (aspartate), formic acid, glutamic acid, glycerol, glycogen, lactate, leucine, malate, methyl pyruvate, proline, propionic acid (propionate), serine, succinic acid (succinate), threonine","no","rod","motile, but unspecified structure",NA,NA,0.9,NA,1.8,NA,"other, sludge","doi.org/10.1099/ijs.0.65387-0","doi"
592050,"scientific name","Acidovorax soli","BL21","anaerobic","nitrate_reduction","alanine, alanine, asparagine, aspartic acid (aspartate), formic acid, glucose, glutamic acid, lactate, pyruvic acid methyl ester, serine, threonine, Tween 40, Tween 80",NA,"rod","non-motile",7,30,0.5,NA,1.3,NA,"soil, landfill soil","doi.org/10.1099/ijs.0.019661-0","doi"
1177982,"scientific name","Acidovorax wautersii","NF 1078","obligate aerobe",NA,"arabinose, galactose, glucose, lactose, mannitol, rhamnose, xylose",NA,"rod","flagella",NA,NA,0.45,NA,3,NA,"other, human blood","doi.org/10.1099/ijs.0.046102-0","doi"
262668,"scientific name","Acinetobacter beijerinckii","NIPH838T","obligate aerobe",NA,"acetate, aspartic acid (aspartate), citric acide (citrate), ethanol, gelatin, histidine, malate, malonic acid (malonate)",NA,"ovoid/coccobacillus","non-motile",NA,31,NA,NA,NA,NA,"human - mouth","doi.org/10.1099/ijs.0.001230-0","doi"
106648,"scientific name","Acinetobacter bereziniae","LMG 1003","obligate aerobe",NA,"2,3-butanediol, acetate, alanine, alanine, aspartic acid (aspartate), citric acide (citrate), ethanol, glutamic acid, lactate",NA,"ovoid/coccobacillus","non-motile",NA,NA,NA,NA,NA,NA,"other, isolated from human wound","doi.org/10.1099/ijs.0.013656-0","doi"
1219383,"scientific name","Acinetobacter boissieri","SAP 284.1","obligate aerobe",NA,"asparagine, aspartic acid (aspartate), fructose, gluconic acid, glutamic acid, malate, mannose, proline, succinic acid (succinate), sucrose","no","ovoid/coccobacillus","non-motile",NA,NA,1.5,NA,1.5,NA,"plant associated","doi.org/10.1099/ijs.0.043489-0","doi"
106649,"scientific name","Acinetobacter guillouiae","LMG 988","obligate aerobe",NA,"2,3-butanediol, acetate, adipate, aspartic acid (aspartate), citric acide (citrate), ethanol, glutamic acid, lactate",NA,"ovoid/coccobacillus","non-motile",NA,NA,NA,NA,NA,NA,"other, isolated from sewage ","doi.org/10.1099/ijs.0.013656-0","doi"
134534,"scientific name","Acinetobacter gyllenbergii","NIPH2150T","obligate aerobe",NA,"4-hydroxbenzoate, acetate, adipate, alanine, alanine, arginine, citric acide (citrate), ethanol, gelatin, histidine, lactate, leucine, malate, malonic acid (malonate), ornithine, phenylacetate, phenylalanine",NA,"ovoid/coccobacillus","non-motile",NA,31,NA,NA,NA,NA,"human - mouth","doi.org/10.1099/ijs.0.001230-0","doi"
756892,"scientific name","Acinetobacter indicus","A648","obligate aerobe","nitrate_reduction","acetate, ethanol",NA,"ovoid/coccobacillus","non-motile",7,28,1,NA,NA,NA,"other, hexachlorocyclohexane dump site","doi.org/10.1099/ijs.0.037721-0","doi"
1226327,"scientific name","Acinetobacter kookii","11-0202","obligate aerobe",NA,"2,3-butanediol, ethanol, lactate",NA,"ovoid/coccobacillus","non-motile",NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.047969-0","doi"
1219382,"scientific name","Acinetobacter nectaris","SAP 763.2","obligate aerobe",NA,"asparagine, aspartic acid (aspartate), fructose, glutamic acid, malate, mannose, proline, succinic acid (succinate), sucrose","no","ovoid/coccobacillus","non-motile",NA,27.5,1.5,NA,1.5,NA,"plant associated","doi.org/10.1099/ijs.0.043489-0","doi"
1096779,"scientific name","Acinetobacter puyangensis","BQ4-1","obligate aerobe",NA,"acetate, citric acide (citrate), ethanol, glutamic acid, lactate, phenylacetate, phenylalanine",NA,"rod","non-motile",7,30,0.6,NA,0.9,NA,"plant associated","doi.org/10.1099/ijs.0.047274-0","doi"
52133,"scientific name","Acinetobacter venetianus","RAG-1T ","obligate aerobe",NA,"acetate, arginine, citric acide (citrate), ethanol, histidine, leucine, malate, malonic acid (malonate)",NA,"ovoid/coccobacillus","non-motile",NA,33.5,NA,NA,NA,NA,"seawater","doi.org/10.1099/ijs.0.003541-0","doi"
1070424,"scientific name","Acrocarpospora phusangensis","PS33-18",NA,NA,"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, melibiose, raffinose, rhamnose, sucrose",NA,NA,NA,NA,27.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.046227-0","doi"
449463,"scientific name","Actibacter sediminis","JC2129","obligate aerobe",NA,"acetate, citric acide (citrate), glutamic acid, pyruvic acid (pyruvate), sucrose","no","rod","non-motile",6,37,0.8,NA,2.8,NA,"marine sediment","doi.org/10.1099/ijs.0.65346-0","doi"
1087332,"scientific name","Actibacterium mucosum","R46","obligate aerobe",NA,"3-hydroxybutyrate, acetate, cellobiose, citric acide (citrate), fructose, galactose, glucose, glycerol, lactate, malate, mannose, myo-inositol, propionic acid (propionate), pyruvic acid (pyruvate), ribose, succinic acid (succinate), xylose",NA,"ovoid/coccobacillus","non-motile",NA,NA,0.35,NA,1,NA,"seawater","doi.org/10.1099/ijs.0.038026-0","doi"
555372,"synonym","Actinaurispora siamensis","CM2-8","obligate aerobe",NA,"cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose","yes",NA,"non-motile",7,27.5,0.4,0.6,NA,NA,"other, temperate peat swamp forest soil","doi.org/10.1099/ijs.0.013763-0","doi"
555372,"synonym","Actinaurispora siamensis","CM2-8","obligate aerobe",NA,"cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose","yes",NA,"non-motile",NA,27.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.013763-0","doi"
555372,"synonym","Actinaurispora siamensis","CM2-8","obligate aerobe",NA,"cellobiose, fructose, galactose, glucose, lactose, melibiose, rhamnose, xylose","yes","rod","non-motile",7,27.5,0.4,0.6,NA,NA,"soil, temperate peat swamp forest soil","doi.org/10.1099/ijs.0.013763-0","doi"
502577,"scientific name","Actinoallomurus acaciae","GMKU 931","obligate aerobe",NA,"mannose, rhamnose, trehalose","yes",NA,NA,6.5,29,NA,NA,NA,NA,"plant associated","doi.org/10.1099/ijs.0.012237-0","doi"
502577,"scientific name","Actinoallomurus acaciae","GMKU 931","obligate aerobe",NA,"mannose, rhamnose, trehalose","yes",NA,"non-motile",NA,29,NA,NA,NA,NA,"other, root of a wattle tree","doi.org/10.1099/ijs.0.012237-0","doi"
1136071,"scientific name","Actinoallomurus acanthiterrae","2614A723","obligate aerobe",NA,"cellobiose, citric acide (citrate), dextrin, galactose, glycerol, lactose, mannitol, mannose, melibiose, raffinose, sorbitol, sucrose, trehalose, xylose","yes","ovoid/coccobacillus","non-motile",6.5,32.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.043380-0","doi"
478109,"scientific name","Actinoallomurus amamiensis"," TT00-28T","obligate aerobe",NA,"2-ketogluconate, 5-ketoguconate, adonitol, arabinose, arabitol, cellobiose, fructose, fucose, galactose, glucosamine, glucose, glycerol, glycogen, lactose, leucine, maltose, mannitol, mannose, melibiose, myo-inositol, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, trehalose, xylitol, xylose","yes","rod","non-motile",5.5,28.5,0.75,NA,1.1,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
478115,"scientific name","Actinoallomurus caesius","A3015T","obligate aerobe",NA,"2-ketogluconate, adonitol, citric acide (citrate), fructose, galactose, glucosamine, glucose, glycerol, leucine, maltose, mannitol, mannose, raffinose, rhamnose, ribose, trehalose","yes","rod","non-motile",6,28.5,0.9,NA,1.15,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
478106,"scientific name","Actinoallomurus coprocola","TT04-09T","obligate aerobe",NA,"2-ketogluconate, arabinose, arabitol, cellobiose, fructose, galactose, glucosamine, glucose, glycogen, lactose, leucine, maltose, mannitol, melibiose, myo-inositol, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, trehalose, xylose","yes","rod","non-motile",6,28.5,0.75,NA,1.1,NA,"other, cow dung","doi.org/10.1099/ijs.0.006858-0","doi"
478108,"scientific name","Actinoallomurus fulvus","TT99-66T","obligate aerobe",NA,"2-ketogluconate, 5-ketoguconate, adonitol, arabinose, arabitol, cellobiose, fructose, fucose, galactose, glucosamine, glucose, glycerol, glycogen, lactose, leucine, maltose, mannose, melibiose, myo-inositol, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, trehalose, xylitol, xylose","yes","rod","non-motile",6,28.5,0.95,NA,1.15,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
478107,"scientific name","Actinoallomurus iriomotensis","TT02-47T","obligate aerobe","nitrate_reduction","2-ketogluconate, 5-ketoguconate, adonitol, arabinose, arabitol, cellobiose, fructose, fucose, galactose, glucosamine, glucose, glycerol, glycogen, lactose, leucine, maltose, mannitol, melibiose, myo-inositol, N-acetylgulcosamine, raffinose, rhamnose, ribose, salicin, sorbitol, sucrose, xylitol, xylose","yes","rod","non-motile",5.5,28.5,0.6,NA,0.9,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
478111,"scientific name","Actinoallomurus luridus","TT02-15T","obligate aerobe",NA,"2-ketogluconate, 5-ketoguconate, cellobiose, glycerol, glycogen, lactose, leucine, maltose, melibiose, rhamnose, ribose, salicin, sucrose","yes","rod","non-motile",6,32.5,0.75,NA,1.1,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
502180,"scientific name","Actinoallomurus oryzae","GMKU370T","obligate aerobe",NA,"galactose, lactose, maltose, mannose, raffinose, rhamnose, sorbitol, sucrose, trehalose, xylose","yes",NA,NA,7,35.5,NA,NA,NA,NA,"plant endophyte","doi.org/10.1099/ijs.0.022509-0","doi"
478114,"scientific name","Actinoallomurus purpureus","TTN02-30T","obligate aerobe",NA,"cellobiose, fructose, fucose, galactose, glucosamine, glucose, glycerol, glycogen, lactose, maltose, mannose, N-acetylgulcosamine, salicin, sucrose, trehalose","yes","rod","non-motile",6,22.5,0.75,NA,1.1,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
877472,"scientific name","Actinoallomurus radicium","K08-0182","obligate aerobe",NA,"glucose, xylose","yes",NA,NA,NA,NA,NA,NA,NA,NA,"plant associated","doi.org/10.1099/ijs.0.029181-0","doi"
478110,"scientific name","Actinoallomurus yoronensis","TTN02-22T","obligate aerobe",NA,"2-ketogluconate, 5-ketoguconate, arabinose, arabitol, cellobiose, glucose, glycerol, glycogen, lactose, leucine, maltose, mannitol, melibiose, myo-inositol, rhamnose, ribose, salicin, sorbitol, sucrose, xylitol, xylose","yes","rod","non-motile",5.5,26,0.65,NA,1.1,NA,"soil","doi.org/10.1099/ijs.0.006858-0","doi"
252394,"scientific name","Actinoalloteichus spitiensis","RMV-1378T","obligate aerobe",NA,"citric acide (citrate), galactose, glucose, mannitol, mannose, raffinose, rhamnose, ribose, salicin, succinic acid (succinate), sucrose","no",NA,NA,8,25,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.63720-0","doi"
221404,"scientific name","Actinobacillus anseriformium","F66",NA,NA,"cellobiose, mannose, trehalose",NA,"ovoid/coccobacillus","non-motile",NA,NA,NA,NA,NA,NA,"other, isolated from birds","doi.org/10.1099/ijs.0.028746-0","doi"
519421,"scientific name","Actinocatenispora rupis","CS5-AC17T","obligate aerobe",NA,"adonitol, arabinose, cellobiose, citric acide (citrate), galactose, glycerol, lactose, maltose, mannitol, mannose, rhamnose, sorbitol, sucrose, trehalose, Tween 80","yes",NA,NA,7.1,37,0.45,NA,1.25,NA,"soil","doi.org/10.1099/ijs.0.012922-0","doi"
390989,"scientific name","Actinocatenispora sera","KV-744T",NA,"nitrate_reduction","adonitol, rhamnose, xylitol, xylose","yes",NA,"non-motile",7.5,21.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.65270-0","doi"
227318,"scientific name","Actinocatenispora thailandica","TT2-10","obligate aerobe","nitrate_reduction","cellobiose, glucose, glycerol, mannitol, melibiose, raffinose, salicin","yes","rod","non-motile",7,27.5,0.3,0.4,0.5,1,"soil","doi.org/10.1099/ijs.0.64081-0","doi"
328075,"scientific name","Actinocorallia cavernae","N3-7","obligate aerobe",NA,"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, rhamnose, ribose, salicin, sucrose, trehalose","yes","rod",NA,7.6,27.5,NA,NA,NA,NA,"other, natural cave","doi.org/10.1099/ijs.0.63895-0","doi"
547056,"scientific name","Actinokineospora baliensis","ID03-0561",NA,"nitrate_reduction","glucose, maltose, mannose, sucrose, trehalose","yes","rod","motile, but unspecified structure",7,26.5,1.5,2,NA,NA,"soil","doi.org/10.1099/ijs.0.013276-0","doi"
1193682,"scientific name","Actinokineospora bangkokensis","44EHW","obligate aerobe",NA,"fructose, glucose, mannitol, sucrose, xylose","yes","rod","non-motile",NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.047928-0","doi"
585224,"scientific name","Actinokineospora cianjurensis","ID03-0810",NA,"nitrate_reduction","fructose, galactose, glucose, maltose, mannose, sucrose, trehalose","yes","rod","motile, but unspecified structure",7,26.5,1.5,2,NA,NA,"soil","doi.org/10.1099/ijs.0.013276-0","doi"
547057,"scientific name","Actinokineospora cibodasensis","ID03-0784",NA,"nitrate_reduction","fructose, galactose, glucose, maltose, mannose, sucrose, trehalose","yes","rod","motile, but unspecified structure",7,26.5,1.5,1.8,NA,NA,"soil","doi.org/10.1099/ijs.0.013276-0","doi"
1048753,"scientific name","Actinokineospora soli","YIM 75948","obligate aerobe",NA,"cellobiose, galactose, glucose, maltose, mannitol, mannose, sucrose, xylitol","yes",NA,"non-motile",8,37,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.035832-0","doi"
406431,"scientific name","Actinomadura alba","YIM 45681T","obligate aerobe","nitrate_reduction","adonitol, arabitol, fructose, gelatin, lactose, ribose, sucrose, trehalose, xylose","yes",NA,NA,7.5,28,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.64864-0","doi"
453573,"scientific name","Actinomadura bangladeshensis","3-46-b(3)","obligate aerobe",NA,"arabinose, cellobiose, fructose, glycerol, mannitol, sucrose, xylose","yes",NA,NA,NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.65533-0","doi"
454156,"scientific name","Actinomadura chokoriensis","3-45-a(11)","obligate aerobe",NA,"arabinose, cellobiose, fructose, glycerol, mannitol, sucrose, xylose","yes",NA,NA,NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.65533-0","doi"
1120938,"scientific name","Actinomadura flavalba","YIM 61435T","obligate aerobe",NA,"fructose, galactose, gelatin, glucose, inosine, lactose, maltose, rhamnose, ribose, sorbitol, sucrose, trehalose","yes","rod","non-motile",7,28,0.6,NA,5,NA,"plant associated","doi.org/10.1099/ijs.0.010652-0","doi"
882440,"scientific name","Actinomadura geliboluensis","A8036","obligate aerobe","nitrate_reduction","adonitol, arabinose, cellobiose, dextrin, fructose, galactose, lactose, maltose, mannitol, melibiose, myo-inositol, rhamnose, sorbitol, succinic acid (succinate), sucrose, xylose","yes",NA,"non-motile",7,30,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.036145-0","doi"
337895,"scientific name","Actinomadura hallensis","H647-1","obligate aerobe","nitrate_reduction","arabinose, cellobiose, fructose, glucose, glycerol, maltose, mannitol, salicin, sucrose, trehalose, xylose","yes","rod","non-motile",7,32.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.63943-0","doi"
547461,"scientific name","Actinomadura keratinilytica","WCC-2265T","obligate aerobe",NA,"arabinose, fructose, glucose, rhamnose, sucrose, xylose","yes",NA,"non-motile",NA,45,NA,NA,NA,NA,"other, hoof keratin","doi.org/10.1099/ijs.0.003640-0","doi"
559626,"scientific name","Actinomadura meridiana","DLS-45",NA,NA,"cellobiose, dextrin, glycerol, rhamnose","yes",NA,"non-motile",NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.029546-0","doi"
430685,"scientific name","Actinomadura miaoliensis"," BC44T-5T","obligate aerobe","nitrate_reduction","fructose, glucose, lactose, rhamnose, sorbitol, trehalose, xylose","yes",NA,"non-motile",NA,40,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.001479-0","doi"
267854,"scientific name","Actinomadura napierensis","B60T",NA,NA,"adonitol, arabinose, dextrin, fructose, galactose, glucose, glycerol, maltose, mannitol, mannose, raffinose, rhamnose, ribose, sucrose, trehalose, Tween 80, urea, xylose","yes",NA,NA,NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.63359-0","doi"
359158,"scientific name","Actinomadura rudentiformis"," HMC1T",NA,NA,"acetate, adonitol, arabinose, arginine, cellobiose, fructose, galactose, glucose, histidine, lactose, mannitol, mannose, melibiose, myo-inositol, phenylalanine, raffinose, rhamnose, ribose, salicin, serine, sucrose, threonine, trehalose, xylose","no",NA,NA,NA,37.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.64438-0","doi"
559627,"scientific name","Actinomadura rupiterrae","CS5-AC15",NA,NA,"citric acide (citrate), glucose, lactose, mannitol, sucrose","yes",NA,NA,NA,39.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.035121-0","doi"
559629,"scientific name","Actinomadura scrupuli","R-Ac121","obligate aerobe","nitrate_reduction","acetate, adonitol, arabinose, cellobiose, fructose, galactose, glucose, glycerol, lactose, malate, melibiose, rhamnose, sorbitol, succinic acid (succinate), sucrose, trehalose, xylose","no","rod","non-motile",7,25,NA,NA,NA,NA,"other, small stone","doi.org/10.1099/ijs.0.017608-0","doi"
1038904,"scientific name","Actinomadura sediminis","YIM M 10931","obligate aerobe","nitrate_reduction","arabinose, fructose, galactose, mannitol, rhamnose, ribose, xylose","yes",NA,"non-motile",NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.032979-0","doi"
589159,"scientific name","Actinomadura sputi","IMMIB L-889","obligate aerobe",NA,"lactate, lactose, sorbitol","yes",NA,"non-motile",NA,NA,NA,NA,NA,NA,"other, sputum of patient with pulmonary infection","doi.org/10.1099/ijs.0.012211-0","doi"
589159,"scientific name","Actinomadura sputi","IMMIB L-889","obligate aerobe",NA,"alanine, alanine, arginine, cellobiose, lactate, lactose, ornithine, proline, rhamnose, serine, sorbitol","yes",NA,"non-motile",NA,NA,NA,NA,NA,NA,"human - mouth","doi.org/10.1099/ijs.0.012211-0","doi"
887459,"scientific name","Actinomadura xylanilytica","BK147","obligate aerobe",NA,"maltose","no",NA,"non-motile",7,23.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.042325-0","doi"
272548,"scientific name","Actinomyces dentalis","R18165T","anaerobic",NA,"alanine, alanine, arginine, cellobiose, fructose, glucose, glycine, histidine, lactose, leucine, maltose, mannose, melibiose, phenylalanine, proline, raffinose, sucrose, trehalose","no","rod","non-motile",NA,NA,NA,NA,NA,NA,"human - mouth","doi.org/10.1099/ijs.0.63376-0","doi"
595468,"scientific name","Actinomyces hominis","1094","facultative anaerobe",NA,"adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, glycogen, maltose, mannose, raffinose, ribose, sucrose","no",NA,NA,7,35,NA,NA,NA,NA,"other, wound swab","doi.org/10.1099/ijs.0.015818-0","doi"
595468,"scientific name","Actinomyces hominis","1094",NA,"nitrate_reduction","adonitol, arabinose, arabitol, fructose, galactose, glucose, glycerol, glycogen, maltose, mannose, raffinose, ribose, sucrose","no",NA,NA,NA,NA,NA,NA,NA,NA,"other, human wound","doi.org/10.1099/ijs.0.015818-0","doi"
461393,"scientific name","Actinomyces massiliensis"," 4401292T","anaerobic","nitrate_reduction","fructose, galactose, glucose, lactose, maltose, mannose, ribose, sucrose, trehalose, xylose","no","rod",NA,NA,37,0.35,0.74,0.5,1.7,"other, human blood","doi.org/10.1099/ijs.0.001503-0","doi"
1288391,"scientific name","Actinomyces timonensis","7400942","anaerobic",NA,"fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose","no","rod",NA,NA,NA,0.4,NA,2.1,NA,"other, human osteo-articular sample","doi.org/10.1099/ijs.0.012914-0","doi"
1288391,"scientific name","Actinomyces timonensis","7400942","anaerobic",NA,"arabitol, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, melibiose, raffinose, ribose, salicin, sucrose, trehalose","no","rod","non-motile",7,31,0.3,0.5,1,3.2,"other, human clinical osteo-articular sample","doi.org/10.1099/ijs.0.012914-0","doi"
1288391,"scientific name","Actinomyces timonensis","7400942","anaerobic",NA,"fructose, galactose, glucose, glycerol, glycogen, maltose, mannitol, mannose, melibiose, raffinose, ribose, salicin, sucrose, trehalose","no","rod","non-motile",7,37,0.3,0.5,1,3.2,"other, human clinical osteo-articular sample","doi.org/10.1099/ijs.0.012914-0","doi"
675090,"scientific name","Actinomyces weissii","2298","microaerophile",NA,"glucose, glycogen, lactose, maltose, sucrose","no","rod","non-motile",NA,NA,1.25,NA,6,NA,"other, dog - mouth","doi.org/10.1099/ijs.0.035626-0","doi"
402650,"scientific name","Actinomycetospora chiangmaiensis","YIM 0006","obligate aerobe",NA,"asparagine, fructose, glucose, glycerol, glycine, histidine, lactose, rhamnose, ribose, sorbitol, sucrose, xylose","yes",NA,"non-motile",NA,NA,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.64976-0","doi"
696000,"scientific name","Actinophytocola burenkhanensis","MN08-A0203T","obligate aerobe",NA,"arabinose, galactose, gelatin, glucose, lactose, maltose, mannose, rhamnose, ribose, urea, xylose","yes",NA,"non-motile",8,27.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.021659-0","doi"
502181,"scientific name","Actinophytocola oryzae","GMKU 367","obligate aerobe",NA,"fructose, glucose, rhamnose",NA,NA,"non-motile",NA,23,NA,NA,NA,NA,"other, roots of rice plants","doi.org/10.1099/ijs.0.008417-0","doi"
502181,"scientific name","Actinophytocola oryzae","GMKU 367","obligate aerobe",NA,"fructose, glucose, rhamnose","yes",NA,"non-motile",6.5,23,NA,NA,NA,NA,"plant associated","doi.org/10.1099/ijs.0.008417-0","doi"
882441,"scientific name","Actinoplanes abujensis","A4029","obligate aerobe","nitrate_reduction","cellobiose, glucose, maltose, mannose",NA,NA,NA,7,27.5,NA,NA,NA,NA,"soil","doi.org/10.1099/ijs.0.031872-0","doi"
