isolate.code,curve.code,genus,species,name,group,environment,temperature,inv.kT,r,ln.r,ln.rM,ln.rT,bv,ln.m,wts,colors,symbol,mte.analysis
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,5,41.72052099,0.876,-0.132389188,0.925275988,13.21817753,2.187126,-9.584849855,0.037037037,brown,21,1
7,762,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,41.42267683,0.450545667,-0.797295837,0.260369338,12.45796075,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,41.42267683,0.549,-0.599656837,0.458008338,12.65559975,2.187126,-9.584849855,0.037037037,brown,21,0
7,739,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,41.42267683,0.691,-0.369615455,0.68804972,12.88564113,2.187126,-9.584849855,0.037037037,brown,21,0
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,41.42267683,0.806,-0.215671536,0.841993639,13.03958505,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,7,41.42267683,0.829,-0.187535124,0.870130052,13.06772146,2.187126,-9.584849855,0.037037037,brown,21,0
7,762,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,10,40.9837998,0.450545667,-0.797295837,0.260369338,12.3175201,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,10,40.9837998,0.494,-0.705219762,0.352445414,12.40959618,2.187126,-9.584849855,0.037037037,brown,21,0
7,739,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,10,40.9837998,0.699,-0.358104537,0.699560639,12.7567114,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,10,40.9837998,0.732,-0.311974765,0.745690411,12.80284117,2.187126,-9.584849855,0.037037037,brown,21,0
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,10,40.9837998,0.747,-0.291690094,0.765975082,12.82312584,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,13,40.55412516,0.33,-1.108662625,-0.050997449,11.86865743,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,13,40.55412516,0.732,-0.311974765,0.745690411,12.66534529,2.187126,-9.584849855,0.037037037,brown,21,0
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,13,40.55412516,0.747,-0.291690094,0.765975082,12.68562996,2.187126,-9.584849855,0.037037037,brown,21,0
7,738,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,15,40.27264589,0.322,-1.133203733,-0.075538558,11.75404295,2.187126,-9.584849855,0.037037037,brown,21,0
7,739,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,15,40.27264589,0.725,-0.321583624,0.736081552,12.56566306,2.187126,-9.584849855,0.037037037,brown,21,0
7,741,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,15,40.27264589,0.762,-0.271808723,0.785856452,12.61543796,2.187126,-9.584849855,0.037037037,brown,21,0
7,740,Chaetoceros,deflandrei,Chaetoceros deflandrei,Diatoms,marine,15,40.27264589,0.79,-0.235722334,0.821942842,12.65152435,2.187126,-9.584849855,0.037037037,brown,21,0
8,714,Corethron,pennatum,Corethron pennatum,Diatoms,marine,0,42.48421349,0.171,-1.766091722,1.056052168,11.82885659,5.283301229,-2.526934998,0.066666667,brown,21,0
8,715,Corethron,pennatum,Corethron pennatum,Diatoms,marine,0,42.48421349,0.243,-1.414693836,1.407450054,12.18025448,5.283301229,-2.526934998,0.066666667,brown,21,0
8,716,Corethron,pennatum,Corethron pennatum,Diatoms,marine,0,42.48421349,0.261,-1.343234872,1.478909018,12.25171344,5.283301229,-2.526934998,0.066666667,brown,21,0
8,717,Corethron,pennatum,Corethron pennatum,Diatoms,marine,0,42.48421349,0.298,-1.210661792,1.611482098,12.38428652,5.283301229,-2.526934998,0.066666667,brown,21,0
8,714,Corethron,pennatum,Corethron pennatum,Diatoms,marine,2,42.17540583,0.181,-1.709258248,1.112885642,11.78687162,5.283301229,-2.526934998,0.066666667,brown,21,0
8,715,Corethron,pennatum,Corethron pennatum,Diatoms,marine,2,42.17540583,0.208,-1.570217199,1.251926691,11.92591267,5.283301229,-2.526934998,0.066666667,brown,21,0
8,716,Corethron,pennatum,Corethron pennatum,Diatoms,marine,2,42.17540583,0.236,-1.443923474,1.378220416,12.05220639,5.283301229,-2.526934998,0.066666667,brown,21,0
8,717,Corethron,pennatum,Corethron pennatum,Diatoms,marine,2,42.17540583,0.268,-1.316768298,1.505375592,12.17936157,5.283301229,-2.526934998,0.066666667,brown,21,0
8,714,Corethron,pennatum,Corethron pennatum,Diatoms,marine,4,41.87105508,0.241,-1.422958345,1.399185545,11.97577928,5.283301229,-2.526934998,0.066666667,brown,21,0
8,715,Corethron,pennatum,Corethron pennatum,Diatoms,marine,4,41.87105508,0.251,-1.38230234,1.43984155,12.01643528,5.283301229,-2.526934998,0.066666667,brown,21,0
8,716,Corethron,pennatum,Corethron pennatum,Diatoms,marine,4,41.87105508,0.34,-1.078809661,1.743334229,12.31992796,5.283301229,-2.526934998,0.066666667,brown,21,0
8,717,Corethron,pennatum,Corethron pennatum,Diatoms,marine,4,41.87105508,0.375,-0.980829253,1.841314637,12.41790837,5.283301229,-2.526934998,0.066666667,brown,21,1
8,715,Corethron,pennatum,Corethron pennatum,Diatoms,marine,6,41.57106543,0.127,-2.063568193,0.758575698,11.23917274,5.283301229,-2.526934998,0.066666667,brown,21,0
8,717,Corethron,pennatum,Corethron pennatum,Diatoms,marine,6,41.57106543,0.129,-2.047942875,0.774201015,11.25479806,5.283301229,-2.526934998,0.066666667,brown,21,0
8,716,Corethron,pennatum,Corethron pennatum,Diatoms,marine,6,41.57106543,0.151,-1.890475442,0.931668448,11.41226549,5.283301229,-2.526934998,0.066666667,brown,21,0
9,730,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,0,42.48421349,0.449,-0.800732391,0.025378308,12.79421592,1.780811529,-10.51106776,0.05,brown,21,0
9,731,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,0,42.48421349,0.649,-0.432322562,0.393788137,13.16262575,1.780811529,-10.51106776,0.05,brown,21,0
9,733,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,0,42.48421349,0.709,-0.343899752,0.482210947,13.25104856,1.780811529,-10.51106776,0.05,brown,21,0
9,732,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,0,42.48421349,0.779,-0.249744233,0.576366466,13.34520408,1.780811529,-10.51106776,0.05,brown,21,0
9,730,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,3,42.02267939,0.456,-0.785262469,0.04084823,12.66199494,1.780811529,-10.51106776,0.05,brown,21,0
9,731,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,3,42.02267939,0.571,-0.560366069,0.26574463,12.88689134,1.780811529,-10.51106776,0.05,brown,21,0
9,733,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,3,42.02267939,0.649,-0.432322562,0.393788137,13.01493484,1.780811529,-10.51106776,0.05,brown,21,0
9,732,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,3,42.02267939,0.709,-0.343899752,0.482210947,13.10335765,1.780811529,-10.51106776,0.05,brown,21,0
9,730,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,5,41.72052099,0.501,-0.691149178,0.134961521,12.65941754,1.780811529,-10.51106776,0.05,brown,21,0
9,731,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,5,41.72052099,0.674,-0.394525168,0.431585531,12.95604155,1.780811529,-10.51106776,0.05,brown,21,0
9,732,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,5,41.72052099,0.779,-0.249744233,0.576366466,13.10082248,1.780811529,-10.51106776,0.05,brown,21,0
9,733,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,5,41.72052099,0.852,-0.160168752,0.665941947,13.19039797,1.780811529,-10.51106776,0.05,brown,21,1
9,730,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,7,41.42267683,0.271,-1.305636458,-0.479525759,11.94962013,1.780811529,-10.51106776,0.05,brown,21,0
9,731,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,7,41.42267683,0.516,-0.661648514,0.164462185,12.59360807,1.780811529,-10.51106776,0.05,brown,21,0
9,732,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,7,41.42267683,0.551,-0.59602047,0.230090229,12.65923612,1.780811529,-10.51106776,0.05,brown,21,0
9,733,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,7,41.42267683,0.672,-0.397496938,0.428613761,12.85775965,1.780811529,-10.51106776,0.05,brown,21,0
9,730,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,9,41.12905516,0.276,-1.287354413,-0.461243714,11.87394324,1.780811529,-10.51106776,0.05,brown,21,0
9,731,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,9,41.12905516,0.536,-0.623621118,0.202489581,12.53767653,1.780811529,-10.51106776,0.05,brown,21,0
9,732,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,9,41.12905516,0.569,-0.563874845,0.262235854,12.59742281,1.780811529,-10.51106776,0.05,brown,21,0
9,733,Fragilariopsis,cylindrus,Fragilariopsis cylindrus,Diatoms,marine,9,41.12905516,0.672,-0.397496938,0.428613761,12.76380071,1.780811529,-10.51106776,0.05,brown,21,0
10,722,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,0,42.48421349,0.312,-1.164752091,0.42109685,12.43019622,3.113943352,-7.472114794,0.055555556,brown,21,0
10,723,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,0,42.48421349,0.502,-0.689155159,0.896693782,12.90579316,3.113943352,-7.472114794,0.055555556,brown,21,0
10,724,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,0,42.48421349,0.545,-0.606969484,0.978879457,12.98797883,3.113943352,-7.472114794,0.055555556,brown,21,0
10,725,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,0,42.48421349,0.562,-0.576253429,1.009595512,13.01869489,3.113943352,-7.472114794,0.055555556,brown,21,0
10,763,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,3,42.02267939,0.173286795,-1.752807283,-0.166958342,11.69445012,3.113943352,-7.472114794,0.055555556,brown,21,0
10,722,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,3,42.02267939,0.51,-0.673344553,0.912504388,12.77391285,3.113943352,-7.472114794,0.055555556,brown,21,0
10,723,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,3,42.02267939,0.564,-0.572701027,1.013147913,12.87455638,3.113943352,-7.472114794,0.055555556,brown,21,0
10,724,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,3,42.02267939,0.579,-0.546452801,1.03939614,12.9008046,3.113943352,-7.472114794,0.055555556,brown,21,0
10,725,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,3,42.02267939,0.631,-0.460449416,1.125399524,12.98680799,3.113943352,-7.472114794,0.055555556,brown,21,0
10,722,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,4,41.87105508,0.547,-0.603306477,0.982542464,12.79543115,3.113943352,-7.472114794,0.055555556,brown,21,0
10,723,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,4,41.87105508,0.606,-0.500875293,1.084973648,12.89786233,3.113943352,-7.472114794,0.055555556,brown,21,0
10,724,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,4,41.87105508,0.71,-0.342490309,1.243358632,13.05624732,3.113943352,-7.472114794,0.055555556,brown,21,0
10,725,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,4,41.87105508,0.78,-0.248461359,1.337387582,13.15027626,3.113943352,-7.472114794,0.055555556,brown,21,1
10,763,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,5,41.72052099,0.332710647,-1.100482095,0.485366846,12.25008462,3.113943352,-7.472114794,0.055555556,brown,21,0
10,725,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,7,41.42267683,0.295,-1.220779923,0.365069018,12.03447666,3.113943352,-7.472114794,0.055555556,brown,21,0
10,722,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,7,41.42267683,0.319,-1.142564176,0.443284765,12.11269241,3.113943352,-7.472114794,0.055555556,brown,21,0
10,724,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,7,41.42267683,0.364,-1.010601411,0.57524753,12.24465517,3.113943352,-7.472114794,0.055555556,brown,21,0
10,723,Fragilariopsis,kerguelensis,Fragilariopsis kerguelensis,Diatoms,marine,7,41.42267683,0.458,-0.780886095,0.804962846,12.47437049,3.113943352,-7.472114794,0.055555556,brown,21,0
11,726,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,1,42.32924645,0.298,-1.210661792,0.391398299,12.33469707,3.142389466,-7.407270193,0.043478261,brown,21,0
11,727,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,1,42.32924645,0.323,-1.130102956,0.471957136,12.41525591,3.142389466,-7.407270193,0.043478261,brown,21,0
11,729,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,1,42.32924645,0.428,-0.848632083,0.753428008,12.69672678,3.142389466,-7.407270193,0.043478261,brown,21,0
11,728,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,1,42.32924645,0.481,-0.731888009,0.870172082,12.81347085,3.142389466,-7.407270193,0.043478261,brown,21,0
11,764,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,3,42.02267939,0.311916231,-1.165020618,0.437039474,12.28223679,3.142389466,-7.407270193,0.043478261,brown,21,0
11,726,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,3,42.02267939,0.413,-0.884307686,0.717752405,12.56294972,3.142389466,-7.407270193,0.043478261,brown,21,0
11,727,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,3,42.02267939,0.613,-0.489390343,1.112669748,12.95786706,3.142389466,-7.407270193,0.043478261,brown,21,0
11,729,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,3,42.02267939,0.71,-0.342490309,1.259569782,13.1047671,3.142389466,-7.407270193,0.043478261,brown,21,0
11,728,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,3,42.02267939,0.728,-0.317454231,1.284605861,13.12980317,3.142389466,-7.407270193,0.043478261,brown,21,1
11,764,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,5,41.72052099,0.304984759,-1.187493474,0.414566617,12.16307324,3.142389466,-7.407270193,0.043478261,brown,21,0
11,726,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,5,41.72052099,0.46,-0.776528789,0.825531302,12.57403793,3.142389466,-7.407270193,0.043478261,brown,21,0
11,727,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,5,41.72052099,0.59,-0.527632742,1.074427349,12.82293398,3.142389466,-7.407270193,0.043478261,brown,21,0
11,728,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,5,41.72052099,0.67,-0.400477567,1.201582525,12.95008915,3.142389466,-7.407270193,0.043478261,brown,21,0
11,729,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,5,41.72052099,0.67,-0.400477567,1.201582525,12.95008915,3.142389466,-7.407270193,0.043478261,brown,21,0
11,764,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,7,41.42267683,0.304984759,-1.187493474,0.414566617,12.06776311,3.142389466,-7.407270193,0.043478261,brown,21,0
11,726,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,7,41.42267683,0.322,-1.133203733,0.468856358,12.12205285,3.142389466,-7.407270193,0.043478261,brown,21,0
11,727,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,7,41.42267683,0.444,-0.811930717,0.790129375,12.44332587,3.142389466,-7.407270193,0.043478261,brown,21,0
11,728,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,7,41.42267683,0.494,-0.705219762,0.89684033,12.55003682,3.142389466,-7.407270193,0.043478261,brown,21,0
11,729,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,7,41.42267683,0.494,-0.705219762,0.89684033,12.55003682,3.142389466,-7.407270193,0.043478261,brown,21,0
11,726,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,8,41.27534382,0.26,-1.347073648,0.254986443,11.86103637,3.142389466,-7.407270193,0.043478261,brown,21,0
11,728,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,8,41.27534382,0.33,-1.108662625,0.493397467,12.0994474,3.142389466,-7.407270193,0.043478261,brown,21,0
11,729,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,8,41.27534382,0.355,-1.03563749,0.566422602,12.17247253,3.142389466,-7.407270193,0.043478261,brown,21,0
11,727,Pseudo-nitzschia,turgiduloides,Pseudo-nitzschia turgiduloides,Diatoms,marine,8,41.27534382,0.39,-0.94160854,0.660451551,12.26650148,3.142389466,-7.407270193,0.043478261,brown,21,0
12,734,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,1,42.32924645,0.495,-0.703197516,1.925843068,12.84216135,4.944457996,-3.299348221,0.083333333,brown,21,0
12,735,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,1,42.32924645,0.6,-0.510825624,2.11821496,13.03453324,4.944457996,-3.299348221,0.083333333,brown,21,0
12,736,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,1,42.32924645,0.766,-0.266573109,2.362467475,13.27878575,4.944457996,-3.299348221,0.083333333,brown,21,0
12,737,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,1,42.32924645,0.801,-0.221894332,2.407146252,13.32346453,4.944457996,-3.299348221,0.083333333,brown,21,0
12,734,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,4,41.87105508,0.53,-0.634878272,1.994162312,12.76385935,4.944457996,-3.299348221,0.083333333,brown,21,0
12,735,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,4,41.87105508,0.617,-0.482886255,2.146154329,12.91585137,4.944457996,-3.299348221,0.083333333,brown,21,0
12,736,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,4,41.87105508,0.774,-0.256183405,2.372857179,13.14255422,4.944457996,-3.299348221,0.083333333,brown,21,0
12,737,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,4,41.87105508,0.846,-0.167235919,2.461804665,13.2315017,4.944457996,-3.299348221,0.083333333,brown,21,1
12,734,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,7,41.42267683,0.408,-0.896488105,1.73255248,12.35876848,4.944457996,-3.299348221,0.083333333,brown,21,0
12,735,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,7,41.42267683,0.425,-0.85566611,1.773374474,12.39959048,4.944457996,-3.299348221,0.083333333,brown,21,0
12,736,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,7,41.42267683,0.453,-0.791863153,1.837177431,12.46339343,4.944457996,-3.299348221,0.083333333,brown,21,0
12,737,Stellarima,microtrias,Stellarima microtrias,Diatoms,marine,7,41.42267683,0.478,-0.738144546,1.890896038,12.51711204,4.944457996,-3.299348221,0.083333333,brown,21,0
13,718,Synedra,,Synedra ,Diatoms,marine,1,42.32924645,0.303,-1.194022473,0.280686964,12.35133639,2.918924067,-7.916672809,0.083333333,brown,21,0
13,719,Synedra,,Synedra ,Diatoms,marine,1,42.32924645,0.407,-0.898942094,0.575767344,12.64641677,2.918924067,-7.916672809,0.083333333,brown,21,0
13,721,Synedra,,Synedra ,Diatoms,marine,1,42.32924645,0.442,-0.816445397,0.65826404,12.72891347,2.918924067,-7.916672809,0.083333333,brown,21,0
13,720,Synedra,,Synedra ,Diatoms,marine,1,42.32924645,0.494,-0.705219762,0.769489676,12.8401391,2.918924067,-7.916672809,0.083333333,brown,21,0
13,718,Synedra,,Synedra ,Diatoms,marine,5,41.72052099,0.387,-0.949330586,0.525378851,12.40123613,2.918924067,-7.916672809,0.083333333,brown,21,0
13,719,Synedra,,Synedra ,Diatoms,marine,5,41.72052099,0.519,-0.655851396,0.818858042,12.69471532,2.918924067,-7.916672809,0.083333333,brown,21,0
13,720,Synedra,,Synedra ,Diatoms,marine,5,41.72052099,0.529,-0.636766847,0.83794259,12.71379987,2.918924067,-7.916672809,0.083333333,brown,21,0
13,721,Synedra,,Synedra ,Diatoms,marine,5,41.72052099,0.561,-0.578034373,0.896675064,12.77253234,2.918924067,-7.916672809,0.083333333,brown,21,1
13,718,Synedra,,Synedra ,Diatoms,marine,7,41.42267683,0.37,-0.994252273,0.480457164,12.26100431,2.918924067,-7.916672809,0.083333333,brown,21,0
13,719,Synedra,,Synedra ,Diatoms,marine,7,41.42267683,0.397,-0.923818998,0.550890439,12.33143759,2.918924067,-7.916672809,0.083333333,brown,21,0
13,720,Synedra,,Synedra ,Diatoms,marine,7,41.42267683,0.414,-0.881889305,0.592820132,12.37336728,2.918924067,-7.916672809,0.083333333,brown,21,0
13,721,Synedra,,Synedra ,Diatoms,marine,7,41.42267683,0.432,-0.839329691,0.635379747,12.4159269,2.918924067,-7.916672809,0.083333333,brown,21,0
