microbe_id,kingdom,phylum,class,order,family,genus,species,gram_stain,gram_stain_citation,microbiome_location,microbiome_location_citation,antimicrobial_susceptibility,antimicrobial_susceptibility_citation,optimal_temperature,optimal_temperature_citation,extreme_environment,extreme_environment_citation,biofilm_forming,biofilm_forming_citation,optimal_ph,optimal_ph_citation,animal_pathogen,animal_pathogen_citation,spore_forming,spore_forming_citation,pathogenicity,pathogenicity_citation,plant_pathogen,plant_pathogen_citation
11,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage PattyP,,,0,,,,,,0,,,,,,0,,,,,,0,
12,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium asparagiforme,1,,1,,,,,,0,,,,,,,,1,,,,,
13,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis halophila,1,,0,,1,,30.0,,1,,,,,,0,,1,,2,,0,
14,Viruses,Viruses noname,Viruses noname,Viruses noname,Tombusviridae,Tombusvirus,Cucumber Bulgarian virus,,,0,,,,25.0,,0,,,,,,0,,,,,,1,
15,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Sobemovirus,Sowbane mosaic virus,0,,,,,,,,0,,,,,,,,,,,,1,
16,Viruses,Viruses noname,Viruses noname,Viruses noname,Papillomaviridae,Kappapapillomavirus,Kappapapillomavirus 1,,,0,,,,,,0,,,,,,1,,,,,,0,
17,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter nanhaiticus,0,,,,,,25.0,,1,,,,7.5,,,,,,1,,,
18,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Alpharetrovirus,Avian carcinoma virus,,,0,,0,,,,0,,0,,,,0,,,,,,0,
19,Viruses,Viruses noname,Viruses noname,Viruses noname,Permutotetraviridae,Alphapermutotetravirus,Euprosterna elaeasa virus,,,0,,,,,,,,,,,,1,,,,,,0,
20,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia timonae,0,,1,,1,,30.0,,,,1,,,,,,,,,,,
21,Viruses,Viruses noname,Viruses noname,Viruses noname,Reoviridae,Phytoreovirus,Rice gall dwarf virus,,,0,,1,,,,,,,,,,0,,,,,,1,
22,Viruses,Viruses noname,Viruses noname,Viruses noname,Bunyaviridae,Tospovirus,Watermelon silver mottle virus,,,0,,,,,,0,,,,,,0,,,,,,1,
23,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sartagoforme,1,,,,,,,,0,,,,,,,,1,,,,,
24,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus luteus,1,,1,,1,,37.0,,1,,1,,,,,,0,,1,,0,
25,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Halovirus HCTV 1,,,0,,,,,,1,,,,,,0,,,,,,0,
26,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Mycobacterium phage Goku,,,0,,,,,,0,,,,,,0,,,,,,0,
27,Bacteria,Verrucomicrobia,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia bacterium SCGC AB 629 E09,0,,,,,,,,0,,,,,,,,,,,,,
28,Viruses,Viruses noname,Viruses noname,Mononegavirales,Filoviridae,Ebolavirus,Bundibugyo ebolavirus,,,0,,,,,,0,,,,,,1,,,,,,0,
29,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Myoviridae noname,Prochlorococcus phage P SSM7,,,,,,,,,0,,0,,,,0,,0,,,,0,
30,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia sp S4,0,,0,,1,,28.0,,0,,1,,,,1,,0,,2,,1,
31,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri,0,,0,,,,22.5,,0,,,,6.4,,0,,0,,,,0,
32,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sviceus,1,,0,,,,32.5,,,,,,,,,,1,,,,0,
33,Viruses,Viruses noname,Viruses noname,Viruses noname,Bromoviridae,Ilarvirus,Fragaria chiloensis latent virus,,,0,,,,,,0,,,,,,0,,,,,,0,
34,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Pepper veinal mottle virus,,,,,,,,,,,,,,,,,,,,,1,
35,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,Methanosaeta harundinacea,2,,0,,,,35.5,,0,,,,7.449999999999999,,0,,,,,,0,
36,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae noname,Clostridium hiranonis,1,,1,,,,,,0,,,,7.6,,,,1,,,,,
37,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Myoviridae noname,Vibrio phage ICP1,,,,,,,,,0,,0,,,,0,,0,,,,0,
38,Viruses,Viruses noname,Viruses noname,Nidovirales,Coronaviridae,Deltacoronavirus,Porcine coronavirus HKU15,,,0,,,,,,,,,,,,1,,,,,,0,
39,Viruses,Viruses noname,Viruses noname,Picornavirales,Picornavirales noname,Bacillarnavirus,Chaetoceros socialis f radians RNA virus 01,,,,,,,,,,,,,,,,,,,,,,
40,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,1,,1,,,,37.0,,0,,,,,,0,,,,2,,0,
41,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Caulimoviridae noname,Rose yellow vein virus,,,0,,,,,,0,,,,,,0,,,,,,1,
42,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Segniliparaceae,Segniliparus,Segniliparus rugosus,1,,0,,1,,33.0,,0,,,,,,,,0,,2,,0,
43,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mosselii,0,,1,,1,,,,0,,0,,,,0,,0,,,,0,
44,Viruses,Viruses noname,Viruses noname,Viruses noname,Retroviridae,Lentivirus,Visna maedi virus,,,0,,,,,,0,,,,,,1,,,,,,0,
45,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Tomato chocolate spot virus,,,0,,,,,,0,,,,,,,,,,,,1,
46,Viruses,Viruses noname,Viruses noname,Tymovirales,Alphaflexiviridae,Alphaflexiviridae noname,Blackberry virus E,,,0,,,,,,0,,,,,,0,,,,,,1,
47,Viruses,Viruses noname,Viruses noname,Viruses noname,Totiviridae,Totiviridae noname,Penaeid shrimp infectious myonecrosis virus,,,0,,,,,,0,,,,,,1,,,,,,0,
48,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Tomato yellow leaf curl Thailand betasatellite,,,,,,,,,,,,,,,,,,,,,1,
49,Viruses,Viruses noname,Viruses noname,Viruses noname,Phycodnaviridae,Chlorovirus,Paramecium bursaria Chlorella virus A1,,,0,,,,,,,,,,,,0,,,,,,1,
50,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Isosphaera,Isosphaera pallida,,,0,,,,45.0,,1,,,,,,0,,,,,,0,
51,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Oribacterium sp ACB1,0,,1,,0,,37.0,,0,,,,,,1,,,,1,,0,
52,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sporosphaeroides,1,,0,,,,,,0,,,,,,,,1,,,,,
53,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Choristoneura occidentalis alphabaculovirus,,,,,,,,,,,,,,,1,,,,,,,
54,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Xenorhabdus,Xenorhabdus bovienii,0,,0,,,,,,0,,,,7.2,,1,,0,,,,0,
55,Viruses,Viruses noname,Viruses noname,Viruses noname,Partitiviridae,Alphacryptovirus,Red clover cryptic virus 1,,,,,,,,,,,,,,,,,,,,,,
56,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Yaniella,Yaniella halotolerans,1,,0,,,,30.0,,1,,,,8.0,,0,,0,,1,,0,
57,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Bacillus phage WBeta,,,,,,,,,0,,0,,,,0,,0,,,,0,
58,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Zygosaccharomyces,Zygosaccharomyces rouxii,,,0,,,,,,1,,1,,,,0,,1,,,,0,
59,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Calditerrivibrio,Calditerrivibrio nitroreducens,0,,0,,0,,55.0,,1,,,,7.25,,0,,0,,,,0,
60,Viruses,Viruses noname,Viruses noname,Viruses noname,Arenaviridae,Arenavirus,Chapare virus,,,,,,,,,,,,,,,1,,,,,,,
61,Viruses,Viruses noname,Viruses noname,Viruses noname,Bromoviridae,Ilarvirus,Tobacco streak virus,,,0,,,,,,0,,,,,,0,,,,,,1,
62,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia sibirica,0,,1,,1,,35.0,,,,,,,,1,,0,,3,,0,
63,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Rubritalea,Rubritalea marina,0,,0,,0,,,,,,,,7.5,,0,,,,,,0,
64,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thioalkalivibrio,Thioalkalivibrio sp ALJT,0,,,,,,,,1,,,,,,,,,,1,,,
65,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Mastrevirus,Chloris striate mosaic virus,,,,,,,,,,,,,,,,,,,,,1,
66,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Bcep78likevirus,Burkholderia phage Bcep43,,,,,,,,,0,,0,,,,0,,0,,,,0,
67,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Duganella zoogloeoides,0,,0,,,,,,,,,,7.25,,,,0,,,,,
68,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp KhCrAH 244,1,,0,,,,,,,,,,,,,,1,,,,0,
69,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,1,,1,,,,37.0,,0,,,,,,,,0,,,,,
70,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus agri,1,,0,,,,30.0,,0,,,,5.6,,,,,,,,0,
71,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Synechococcus,Synechococcus sp WH 7805,0,,0,,0,,32.5,,,,,,,,0,,,,,,0,
72,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp KPL2003,1,,1,,,,37.0,,0,,,,,,0,,0,,2,,0,
73,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Mungbean yellow mosaic India virus,,,0,,,,,,0,,,,,,0,,,,,,1,
74,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis,,,0,,,,62.5,,1,,,,,,0,,,,,,0,
75,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,T4likevirus,Escherichia phage Lw1,,,,,,,,,0,,0,,,,0,,0,,,,0,
76,Viruses,Viruses noname,Viruses noname,Nidovirales,Coronaviridae,Deltacoronavirus,Night heron coronavirus HKU19,,,0,,,,,,,,,,,,1,,,,,,0,
77,Viruses,Viruses noname,Viruses noname,Viruses noname,Caulimoviridae,Caulimovirus,Mirabilis mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
78,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Ramie mosaic virus,,,,,,,,,,,,,,,0,,,,,,1,
79,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,T4likevirus,Enterobacteria phage JSE,,,,,,,,,0,,0,,,,0,,0,,,,0,
80,Viruses,Viruses noname,Viruses noname,Viruses noname,Polyomaviridae,Polyomavirus,African green monkey polyomavirus,,,,,,,,,,,,,,,1,,,,,,,
81,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Bacillus phage Eoghan,,,,,,,,,0,,0,,,,0,,0,,,,0,
82,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Pbunalikevirus,Pseudomonas phage LMA2,,,,,,,,,0,,0,,,,0,,0,,,,0,
83,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Pepper mottle virus,,,,,,,,,,,,,,,,,,,,,1,
84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter sp GAI101,0,,,,,,,,,,,,,,,,,,,,,
85,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium thermophilum,1,,0,,,,37.0,,0,,,,6.0,,0,,0,,,,0,
86,Viruses,Viruses noname,Viruses noname,Mononegavirales,Paramyxoviridae,Morbillivirus,Measles virus,,,,,,,,,,,,,,,,,,,,,,
87,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium papyrosolvens,1,,0,,,,,,0,,,,,,0,,1,,,,0,
88,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Sporichthyaceae,Sporichthya,Sporichthya polymorpha,1,,0,,,,26.0,,0,,,,,,0,,1,,1,,0,
89,Viruses,Viruses noname,Viruses noname,Caudovirales,Myoviridae,Myoviridae noname,Microcystis aeruginosa phage Ma LMM01,,,,,,,,,0,,0,,,,0,,0,,,,0,
90,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Lactococcus phage 1706,,,,,,,,,0,,0,,,,0,,0,,,,0,
91,Viruses,Viruses noname,Viruses noname,Viruses noname,Tombusviridae,Tombusviridae noname,Pelargonium line pattern virus,,,,,,,27.5,,,,,,,,,,,,,,1,
92,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Candidatus Symbiobacter,Candidatus Symbiobacter mobilis,,,,,,,,,,,,,,,,,,,,,,
93,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus sp DK17,1,,0,,,,30.0,,1,,,,,,0,,0,,2,,0,
94,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Colombian datura virus,,,0,,0,,,,,,0,,,,,,0,,,,1,
95,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium hathewayi,1,,1,,1,,37.0,,0,,,,7.0,,,,1,,,,,
96,Viruses,Viruses noname,Viruses noname,Tymovirales,Alphaflexiviridae,Potexvirus,Alternanthera mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
97,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum,Halorubrum terrestre,0,,0,,,,41.0,,1,,,,7.5,,0,,,,,,0,
98,Viruses,Viruses noname,Viruses noname,Viruses noname,Anelloviridae,Anelloviridae noname,Small anellovirus,,,,,,,,,,,,,,,,,,,,,,
99,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia sp 5 2 56FAA,0,,0,,1,,30.0,,0,,1,,6.8,,0,,0,,2,,0,
100,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga granulosa,0,,1,,,,37.0,,1,,,,6.5,,1,,0,,2,,0,
101,Viruses,Viruses noname,Viruses noname,Viruses noname,Closteroviridae,Closterovirus,Beet yellows virus,,,0,,,,,,0,,,,,,0,,,,,,1,
102,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Pseudoclavibacter,Pseudoclavibacter faecalis,1,,0,,1,,30.0,,0,,,,,,1,,0,,1,,0,
103,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor kristjanssonii,0,,0,,1,,78.0,,1,,,,7.0,,,,0,,,,,
104,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium marinum,,,0,,1,,32.0,,0,,,,,,1,,0,,2,,0,
105,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratus,0,,0,,1,,39.0,,,,,,,,1,,,,2,,0,
106,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Kerala virus,,,,,,,,,,,,,,,,,,,,,,
107,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans,0,,0,,,,30.0,,1,,,,,,,,0,,1,,,
108,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Ageratum yellow vein betasatellite,,,0,,,,,,0,,,,,,0,,,,,,1,
109,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Papaya leaf curl virus betasatellite,,,0,,,,,,0,,0,,,,0,,0,,,,,
110,Viruses,Viruses noname,Viruses noname,Viruses noname,Reoviridae,Rotavirus,Rotavirus H,0,,0,,1,,37.0,,0,,1,,1.9500000000000002,,0,,1,,,,0,
111,Bacteria,Bacteroidetes,Bacteroidetes noname,Bacteroidetes Order II Incertae sedis,Rhodothermaceae,Rhodothermus,Rhodothermus marinus,0,,0,,0,,65.0,,1,,,,7.5,,0,,0,,,,0,
112,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus didelphis,1,,0,,,,,,0,,,,,,1,,,,2,,0,
113,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Shigella phage pSf 1,,,0,,,,,,0,,,,,,0,,,,,,0,
114,Viruses,Viruses noname,Viruses noname,Viruses noname,Potyviridae,Potyvirus,Lupine mosaic virus,,,0,,,,,,0,,,,,,0,,,,,,1,
115,Viruses,Viruses noname,Viruses noname,Viruses noname,Poxviridae,Betaentomopoxvirus,Choristoneura biennis entomopoxvirus L,,,0,,,,,,0,,,,,,,,,,,,,
116,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermosipho,Thermosipho africanus,0,,0,,0,,75.0,,1,,,,,,0,,0,,,,0,
117,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium varium,0,,1,,1,,37.0,,0,,0,,,,1,,0,,2,,0,
118,Viruses,Viruses noname,Viruses noname,Viruses noname,Bromoviridae,Bromovirus,Brome mosaic virus,,,0,,,,,,0,,,,,,1,,,,,,1,
119,Viruses,Viruses noname,Viruses noname,Viruses noname,Lipothrixviridae,Betalipothrixvirus,Acidianus filamentous virus 9,,,,,,,,,,,,,,,,,,,,,,
120,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii,1,,1,,,,,,0,,0,,,,,,0,,,,0,
121,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp BL8,1,,1,,,,37.0,,0,,,,,,,,1,,,,,
122,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga foetida,0,,0,,,,30.0,,0,,,,7.15,,0,,,,1,,0,
123,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,1,,1,,0,,37.0,,0,,,,,,0,,0,,,,0,
124,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,Tannerella sp 6 1 58FAA CT1,,,1,,,,,,,,,,,,,,,,,,,
125,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,Candidatus Phytoplasma mali,1,,,,,,,,0,,,,,,,,,,,,1,
126,Viruses,Viruses noname,Viruses noname,Mononegavirales,Paramyxoviridae,Paramyxoviridae noname,Tupaia paramyxovirus,,,,,,,,,,,,,,,,,,,,,,
127,Viruses,Viruses noname,Viruses noname,Viruses noname,Anelloviridae,Anelloviridae noname,TTV like mini virus,,,,,,,,,,,,,,,,,,,,,,
128,Viruses,Viruses noname,Viruses noname,Viruses noname,Partitiviridae,Partitivirus,Ceratocystis resinifera virus 1,,,0,,0,,,,0,,0,,,,,,0,,,,,
129,Viruses,Viruses noname,Viruses noname,Viruses noname,Flaviviridae,Flavivirus,Entebbe bat virus,,,0,,,,,,0,,,,,,1,,,,,,0,
130,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Meganema,Meganema perideroedes,0,,0,,,,,,0,,,,,,0,,,,1,,1,
131,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Salmonella phage SSU5,,,0,,,,,,0,,,,,,0,,,,,,0,
132,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,1,,1,,,,,,0,,0,,5.5,,,,0,,,,0,
133,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylohalobius,Methylohalobius crimeensis,0,,,,,,,,1,,,,7.0,,,,0,,,,,
134,Bacteria,Verrucomicrobia,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia noname,Verrucomicrobia bacterium SCGC AAA300 O17,0,,,,,,,,,,,,,,,,,,,,,
135,Viruses,Viruses noname,Viruses noname,Viruses noname,Parvoviridae,Parvoviridae noname,Parvovirus NIH CQV,,,0,,0,,,,0,,,,,,,,,,,,,
136,Viruses,Viruses noname,Viruses noname,Viruses noname,Totiviridae,Leishmaniavirus,Leishmania RNA virus 1 4,,,,,,,,,,,,,,,1,,,,,,,
137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp CCGE LA001,0,,0,,,,,,0,,,,,,0,,,,1,,0,
138,Viruses,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Viruses noname,Pepper leaf curl Yunnan virus satellite DNA beta,,,,,0,,,,0,,0,,,,,,0,,,,,
139,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Tomato leaf curl Sinaloa virus,,,,,,,,,,,,,,,,,,,,,,
140,Viruses,Viruses noname,Viruses noname,Viruses noname,Geminiviridae,Begomovirus,Sida golden mosaic Honduras virus,,,0,,0,,,,0,,0,,,,,,0,,,,1,
141,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Nitrobacter,Nitrobacter winogradskyi,0,,0,,,,,,0,,1,,,,0,,0,,1,,0,
142,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Ruminococcus torques,1,,1,,,,37.0,,0,,,,,,,,,,,,,
143,Viruses,Viruses noname,Viruses noname,Viruses noname,Microviridae,Microvirus,Enterobacteria phage ID2 Moscow ID 2001,,,,,,,,,1,,,,,,,,0,,,,,
144,Viruses,Viruses noname,Viruses noname,Mononegavirales,Rhabdoviridae,Cytorhabdovirus,Persimmon virus A,,,0,,1,,,,0,,,,6.8,,0,,,,,,1,
145,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Leptospiraceae,Leptospira,Leptospira yanagawae,,,,,,,,,,,,,,,,,,,,,,
146,Viruses,Viruses noname,Viruses noname,Viruses noname,Anelloviridae,Alphatorquevirus,Torque teno virus 10,,,,,0,,,,,,0,,,,,,0,,,,,
147,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia asteroides,1,,0,,1,,33.5,,0,,1,,,,,,1,,2,,0,
148,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia oklahomensis,0,,,,0,,,,0,,,,,,1,,0,,,,0,
149,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia kristensenii,0,,0,,,,,,1,,,,,,1,,0,,,,0,
150,Bacteria,Cyanobacteria,Cyanobacteria noname,Chroococcales,Chroococcales noname,Synechocystis,Synechocystis sp PCC 6803,0,,0,,0,,35.0,,0,,,,7.75,,0,,,,,,0,
151,Viruses,Viruses noname,Viruses noname,Caudovirales,Podoviridae,Podoviridae noname,Liberibacter phage SC1,,,,,,,,,0,,0,,,,0,,0,,,,0,
152,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp RPE64,0,,1,,,,28.0,,,,1,,,,1,,0,,3,,0,
