Code,Strain/species name,Aero.,Troph.,Smp.,Tmin,Topt,Tmax,Lit.
82,Cyanobacterial str.,A,A,5,4.9,14.7,25.3,48
83,Cyanobacterial str.,A,A,6,5.0,14.8,29.8,48
84,Cyanobacterial str.,A,A,6,4.3,24.3,29.9,48
85,Cyanobacterial str.,A,A,5,10.0,15.1,30.1,48
86,Cyanobacterial str.,A,A,5,10.9,16.2,30.8,48
87,Cyanobacterial str.,A,A,5,5.2,25.1,25.1,48
88,Cyanobacterial str.,A,A,5,4.3,19.1,24.5,48
89,Cyanobacterial str.,A,A,6,6.0,21.5,31.3,48
90,Cyanobacterial str.,A,A,4,15.0,19.9,29.9,48
91,Cyanobacterial str.,A,A,3,9.4,14.4,19.4,48
92,Cyanobacterial str.,A,A,6,4.7,14.5,29.9,48
93,Cyanobacterial str.,A,A,4,10.1,24.8,24.8,48
94,Cyanobacterial str.,A,A,5,10.2,15.5,35.4,48
95,Cyanobacterial str.,A,A,5,5.1,15.4,30.4,48
96,Cyanobacterial str.,A,A,5,5.0,14.7,24.7,48
97,Cyanobacterial str.,A,A,5,4.7,14.6,24.8,48
98,Cyanobacterial str.,A,A,5,6.5,16.9,26.8,48
99,Cyanobacterial str.,A,A,4,9.6,14.0,24.6,48
100,Cyanobacterial str.,A,A,6,4.4,24.4,29.4,48
101,Cyanobacterial str.,A,A,4,9.5,19.7,24.9,48
102,Cyanobacterial str.,A,A,4,10.1,19.5,24.8,48
103,Hyadaphis foeniculi,A,H,4,15.0,28.0,28.0,49
104,Aspergillus nidulans,A,H,5,20.0,37.0,37.0,50
105,Aspergillus nidulans,A,H,4,20.0,37.0,37.0,50
106,Mucor hiemalis,A,H,2,25.0,25.0,25.0,50
107,Penicillium chrysogenum,A,H,2,25.0,25.0,25.0,50
108,Aspergillus nidulans,A,H,1,25.0,25.0,25.0,51
109,Geotrichum candidum,A,H,1,25.0,25.0,25.0,51
110,Mucor hiemalis,A,H,1,25.0,25.0,25.0,51
111,Neurospora crassa,A,H,2,25.0,37.0,37.0,51
112,Penecillum chrysogenum,A,H,1,25.0,25.0,25.0,51
113,Neurospora spora,A,H,1,25.0,25.0,25.0,52
114,Neurospora spora,A,H,1,25.0,25.0,25.0,52
115,Neurospora spora,A,H,1,25.0,25.0,25.0,52
116,Neurospora spora,A,H,1,25.0,25.0,25.0,52
117,Streptococcus pneumoniae,A,H,3,37.0,37.0,37.0,53
118,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
119,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
120,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
121,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
122,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
123,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
124,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
125,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
126,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
127,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
128,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
129,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
130,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
131,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
132,Streptococcus xylosus,A,H,1,37.0,37.0,37.0,54
133,Ammoniibacillus agariperforans,A,H,1,60.0,60.0,60.0,55
134,Thiohalobacter thiocyanaticus,AN,A,2,30.0,30.0,30.0,56
135,Allisonella histaminiformans,AN,H,1,39.0,39.0,39.0,57
136,Mus musculus,A,H,6,28.0,37.0,40.0,58
137,Methanococcus deltae,AN,H,5,25.3,36.9,56.3,59
138,Methanococcus olentangyi,AN,H,4,25.3,37.1,44.0,59
139,Halobacteroides halobius,AN,H,4,30.0,40.8,44.9,60
140,Halobacteroides halobius,AN,H,4,30.0,36.9,44.9,60
141,Escherichia coli,FA,H,20,8.0,39.3,46.0,61
142,Pseudomonas aeruginosa,A,H,10,8.0,40.0,45.0,61
143,Pseudomonas fluorescens,A,H,16,0.0,32.0,34.0,61
144,Psychrophilic pseudomonads,A,H,16,0.0,30.0,32.0,61
145,Psychrophilic pseudomonads,A,H,16,0.0,28.0,30.0,61
146,Synechococcus lividus,A,A,11,54.0,65.0,72.0,62
147,Escherichia coli,FA,H,17,4.1,38.7,38.7,63
148,Pseudomonas sp.,A,H,14,4.1,27.8,34.6,63
149,Xanthomonas campestris,A,H,6,9.9,29.9,34.9,64
150,Xylella fastidiosa,A,H,8,17.9,27.9,31.9,64
151,Citrobacter intermedius,AN,H,10,22.1,38.1,40.2,65
152,Sporohalobacter marismortui,AN,H,7,25.1,41.6,52.0,66
153,Halobacteroides acetoethylicus,AN,H,4,25.8,33.5,37.0,67
154,Sporohalobacter lortetii,AN,H,10,24.6,44.4,52.9,68
155,Haloincola saccharolytica,AN,H,1,37.0,37.0,37.0,69
156,Phaeocystis globosa,A,A,4,1.5,12.0,12.0,70
157,Phaeocystis pouchetii,A,A,6,6.0,14.1,14.1,70
158,Phaeocystis pouchetii,A,A,5,4.1,20.1,20.1,70
159,Phaeocystis pouchetii,A,A,5,6.1,14.1,18.0,70
160,Methanoplanus petrolearius,AN,H,1,37.0,37.0,37.0,71
161,Acarus siro,A,H,21,10.2,25.0,35.0,72
162,Aleuroglyphus ovatus,A,H,56,10.0,25.1,35.0,72
163,Tyrophagus putrescentiae,A,H,52,9.9,27.4,35.0,72
164,Methanoculleus receptaculi,AN,H,1,50.0,50.0,50.0,73
165,Butyribacterium methylotrophicum,AN,H,1,38.5,38.5,38.5,74
166,Methermicoccus shengliensis,AN,H,1,65.0,65.0,65.0,75
167,Methanoculleus oldenburgensis,AN,H,1,45.0,45.0,45.0,76
168,Diaphorina citri,A,H,5,15.0,28.0,30.0,77
169,Haloincola saccharolytica,AN,H,1,40.0,40.0,40.0,78
170,Halococcus salifodinae,A,H,1,37.0,37.0,37.0,79
171,Halothemothrix orenii,AN,H,1,60.0,60.0,60.0,80
172,Cellulomonas sp.,A,H,17,6.4,24.1,28.4,81
173,Salmonella typhimurium,FA,H,17,6.7,33.0,33.0,81
174,Clostridium botulinum,AN,H,9,12.5,37.0,45.0,82
175,Clostridium botulinum,AN,H,9,12.5,37.0,45.0,82
176,Desulfofaba gelida,AN,A,10,-1.9,7.5,7.6,83
177,Desulfofrigus fragile,AN,A,18,-1.9,18.0,23.5,83
178,Desulfofrigus marinus,AN,A,16,-1.7,9.7,13.8,83
179,Desulfotalea arctica,AN,A,18,-1.7,18.2,23.5,83
180,Desulfotalea psychrophila,AN,A,39,-1.8,9.9,18.1,83
181,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
182,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
183,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
184,Mucor racemosus,A,H,5,10.0,15.0,30.0,84
185,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
186,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
187,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
188,Mucor racemosus,A,H,5,10.0,15.0,30.0,84
189,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
190,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
191,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
192,Mucor racemosus,A,H,5,10.0,15.0,30.0,84
193,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
194,Mucor racemosus,A,H,5,10.0,20.0,30.0,84
195,Mucor racemosus,A,H,5,10.0,25.0,30.0,84
196,Mucor racemosus,A,H,5,10.0,15.0,30.0,84
197,Pseudomonas aeruginosa,A,H,14,20.5,42.3,46.2,85
198,Pseudomonas fluorescens,A,H,15,19.3,38.7,45.3,85
199,Serratia marcescens,FA,U,10,22.0,33.3,41.0,85
200,Vibrio marinus,FA,H,6,7.3,13.7,18.6,85
201,Vibrio marinus,FA,H,8,9.9,23.1,23.1,85
202,Vibrio psychroerythrus,FA,H,5,6.0,13.9,13.9,85
203,Bacillus coagulans,FA,H,18,27.9,51.6,62.4,85
204,Bacillus megaterium,FA,H,14,20.7,40.4,46.5,85
205,Bacillus subtilis,FA,H,14,19.8,36.1,50.2,85
206,Geobacillus stearothermophilus,FA,A,14,45.3,68.4,70.7,85
207,Thermus aquaticus,A,H,14,45.5,70.8,76.7,85
208,Escherichia coli,FA,H,15,20.5,38.5,48.2,85
209,Prochlorococcus marinus,A,A,6,12.7,23.6,23.6,86
210,Synechococcus sp.,A,A,9,14.6,27.9,32.2,86
211,Thermomarinilinea lacunofontalis,A,A,6,37.1,50.2,60.2,87
212,Marinitoga okinawensis,AN,H,9,30.1,55.1,70.2,88
213,Oceanotoga teriensis,AN,H,1,56.5,56.5,56.5,89
214,Marinitoga hydrogenitolerans,AN,H,1,60.0,60.0,60.0,90
215,Marinitoga litoralis,AN,H,1,60.0,60.0,60.0,91
216,Pyrococcus yayanosii,AN,H,1,98.0,98.0,98.0,92
217,Thermotoga caldifontis,AN,H,8,54.8,69.5,84.8,93
218,Thermotoga profunda,AN,H,6,50.1,60.3,72.1,93
219,Kosmotoga olearia,AN,H,1,65.0,65.0,65.0,94
220,Kosmotoga olearia,AN,H,2,37.0,65.0,65.0,94
221,Haloanaerobium praevalens,AN,H,10,4.7,37.1,59.8,95
222,Mesotoga prima,AN,H,1,37.0,37.0,37.0,96
223,Marinitoga camini,AN,H,1,55.0,55.0,55.0,97
224,Pyrolobus fumarii,FA,A,7,96.2,105.6,111.7,98
225,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
226,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
227,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
228,Monascus ruber,FA,H,4,25.0,35.0,40.0,99
229,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
230,Monascus ruber,FA,H,5,20.0,40.0,40.0,99
231,Monascus ruber,FA,H,5,20.0,40.0,40.0,99
232,Monascus ruber,FA,H,4,25.0,35.0,40.0,99
233,Monascus ruber,FA,H,5,20.0,30.0,40.0,99
234,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
235,Monascus ruber,FA,H,5,20.0,40.0,40.0,99
236,Monascus ruber,FA,H,4,25.0,35.0,40.0,99
237,Monascus ruber,FA,H,5,20.0,35.0,40.0,99
238,Monascus ruber,FA,H,5,20.0,40.0,40.0,99
239,Monascus ruber,FA,H,3,25.0,40.0,40.0,99
240,Monascus ruber,FA,H,4,25.0,35.0,40.0,99
241,Kosmotoga pacifica,AN,H,1,70.0,70.0,70.0,100
242,Geminicoccus roseus,A,H,1,32.5,32.5,32.5,101
243,Thermobacteroides leptospartum,AN,H,1,60.0,60.0,60.0,102
244,Thermoanaerobacterium aciditolerans,AN,H,1,60.0,60.0,60.0,103
245,Calditerricola satsumensis,A,H,1,78.0,78.0,78.0,104
246,Dechloromonas denitrificans,FA,H,1,30.0,30.0,30.0,105
247,Paenibacillus anaericanus,FA,H,1,32.5,32.5,32.5,105
248,Paenibacillus terrae,FA,H,1,35.0,35.0,35.0,105
249,Flavobacterium denitrificans,FA,H,1,25.0,25.0,25.0,105
250,Enterococcus faecalis,FA,H,2,25.0,37.0,37.0,106
251,Enterococcus faecalis,FA,H,2,25.0,37.0,37.0,106
252,Enterococcus faecalis,FA,H,2,25.0,37.0,37.0,106
253,Enterococcus faecalis,FA,H,2,25.0,37.0,37.0,106
254,Enterococcus faecium,FA,H,2,25.0,37.0,37.0,106
255,Enterococcus faecium,FA,H,2,25.0,37.0,37.0,106
256,Enterococcus faecium,FA,H,2,25.0,37.0,37.0,106
257,Enterococcus faecium,FA,H,2,25.0,37.0,37.0,106
258,Enterococcus sp.,FA,H,2,25.0,37.0,37.0,106
259,Enterococcus sp.,FA,H,2,25.0,37.0,37.0,106
260,Enterococcus sp.,FA,H,2,25.0,37.0,37.0,106
261,Enterococcus sp.,FA,H,2,25.0,37.0,37.0,106
262,Saccharomyces rouxii,FA,H,5,25.0,32.0,40.1,107
263,Saccharomyces rouxii,FA,H,6,22.0,32.1,40.1,107
264,Saccharomyces rouxii,FA,H,4,22.0,28.0,32.0,107
265,Clostridium tagluense,AN,H,6,3.9,15.1,27.8,108
266,Clostridium jejuense,AN,H,1,30.0,30.0,30.0,109
267,Caloramator boliviensis,AN,H,4,45.0,60.0,60.0,110
268,Magnetovibrio blakemorei,microA,A,1,27.0,27.0,27.0,111
269,Thiofaba tepidiphila,AN,A,1,45.0,45.0,45.0,112
270,Clydonella rosenfieldi,A,H,4,5.0,20.0,20.0,113
271,Platyamoeba sp.,A,H,4,5.0,20.0,20.0,113
272,Vannella caledonica,A,H,4,5.0,20.0,20.0,113
273,Vannella sp.,A,H,4,5.0,20.0,20.0,113
274,Vahlkampfia baltica,A,H,4,5.0,20.0,20.0,113
275,Vahlkampfia damariscottae,A,H,4,5.0,20.0,20.0,113
276,Dactylamoeba sp.,A,H,3,10.0,20.0,20.0,113
277,Paraflabellula reniformis,A,H,4,5.0,20.0,20.0,113
278,Rhizamoeba sp.,A,H,4,5.0,20.0,20.0,113
279,Stereomyxa ramosa,A,H,4,5.0,15.0,20.0,113
280,Sulfurivirga caldicuralii,microA,A,5,37.0,50.1,59.9,114
281,Sulfurivirga caldicuralii,microA,A,5,37.1,50.1,60.2,114
282,Staphylococcus xylosus,FA,H,10,19.6,37.2,42.8,115
283,Staphylococcus xylosus,FA,H,11,13.8,35.6,43.1,115
284,Staphylococcus xylosus,FA,H,21,8.9,37.6,43.0,115
285,Staphylococcus xylosus,FA,H,17,11.5,36.6,42.0,115
286,Staphylococcus xylosus,FA,H,18,11.8,38.4,42.1,115
287,Staphylococcus xylosus,FA,H,19,11.4,36.4,41.6,115
288,Archaebacterial str.,U,U,5,85.1,95.0,100.0,116
289,Archaebacterial str.,U,U,2,95.1,95.1,100.0,116
290,Archaebacterial str.,U,U,5,85.1,90.1,100.0,116
291,Clostridium drakei,AN,A,1,30.0,30.0,30.0,117
292,Gracilibacter thermotolerans,AN,H,1,42.0,42.0,42.0,118
293,Thermoanaerobacter pentosaceus,AN,H,1,70.0,70.0,70.0,119
294,Natranaerobius thermophilus,AN,H,1,53.0,53.0,53.0,120
295,Methanococus aecolicus,AN,A,1,30.0,30.0,30.0,121
296,Methanococus deltae,AN,A,1,30.0,30.0,30.0,121
297,Methanococus maripaludis,AN,A,1,30.0,30.0,30.0,121
298,Methanococus sp.(A1),AN,A,1,30.0,30.0,30.0,121
299,Methanococus sp.(A4),AN,A,1,30.0,30.0,30.0,121
300,Methanococus sp.(A5),AN,A,1,30.0,30.0,30.0,121
301,Methanococus sp.(C10),AN,A,1,30.0,30.0,30.0,121
302,Methanococus sp.(C11),AN,A,1,30.0,30.0,30.0,121
303,Methanococus sp.(C12),AN,A,1,30.0,30.0,30.0,121
304,Methanococus sp.(C13),AN,A,1,30.0,30.0,30.0,121
305,Methanococus sp.(C14),AN,A,1,30.0,30.0,30.0,121
306,Methanococus sp.(C5),AN,A,1,30.0,30.0,30.0,121
307,Methanococus sp.(C6),AN,A,1,30.0,30.0,30.0,121
308,Methanococus sp.(C7),AN,A,1,30.0,30.0,30.0,121
309,Methanococus sp.(C8),AN,A,1,30.0,30.0,30.0,121
310,Methanococus sp.(C9),AN,A,1,30.0,30.0,30.0,121
311,Methanococus sp.(D1),AN,A,1,30.0,30.0,30.0,121
312,Methanococus sp.(S1),AN,A,1,30.0,30.0,30.0,121
313,Methanococus sp.(S2),AN,A,1,30.0,30.0,30.0,121
314,Methanococus vannielii,AN,A,1,30.0,30.0,30.0,121
315,Acidithiobacillus ferridurans,FA,A,9,19.7,29.0,37.8,122
316,Clostridium mayombei,AN,A,1,30.0,30.0,30.0,123
317,Clostridium acidisoli,AN,H,1,30.0,30.0,30.0,124
318,Clostridium akagii,AN,H,1,25.0,25.0,25.0,124
319,Chaetomium cellulolyticum,A,H,1,37.0,37.0,37.0,125
320,Clostridium thermoaceticum,AN,H,1,58.0,58.0,58.0,126
321,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
322,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
323,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
324,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
325,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
326,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
327,Clostridium thermocellum,AN,H,1,45.0,45.0,45.0,127
328,Strain SF1,AN,H,5,20.0,37.1,40.1,128
329,Bacterial str.,microA,H,1,32.5,32.5,32.5,129
330,Geosporobacter subterraneus,AN,H,1,42.0,42.0,42.0,130
331,Bacillus sp.(LCB41),A,H,3,45.0,45.0,60.0,131
332,Thermus sp.,A,H,5,60.0,70.0,80.0,132
333,Clostridium sp.,AN,H,1,37.0,37.0,37.0,133
334,Caminibacter hydrogeniphilus,AN,A,5,50.0,60.0,69.9,134
335,Pyrococcus glycovorans,AN,H,13,75.0,95.5,103.6,135
336,Desulfurococcus strain,AN,H,7,54.6,84.7,90.0,136
337,Desulfurococcus strain,AN,H,8,54.7,89.9,94.6,136
338,Caloranaerobacter azorensis,AN,H,5,45.0,64.7,64.7,137
339,Anaeromyxobacter dehalogenans,microA,H,1,30.0,30.0,30.0,138
340,Shewanella oneidensis,FA,H,2,3.0,22.0,22.0,139
341,Tetranychus evansi,A,H,5,15.0,30.0,35.0,140
342,Tetranychus evansi,A,H,5,15.0,35.0,35.0,140
343,Tetranychus evansi,A,H,5,15.0,30.0,35.0,140
344,Tetranychus evansi,A,H,5,15.0,35.0,35.0,140
345,Tetranychus evansi,A,H,5,15.0,35.0,35.0,140
346,Tetranychus evansi,A,H,5,15.0,35.0,35.0,140
347,Tetranychus evansi,A,H,5,15.0,35.0,35.0,140
348,Bacterial str.,AN,H,1,30.0,30.0,30.0,141
349,Spirochaeta perfilievii,AN,H,1,28.0,28.0,28.0,142
350,Spirochaeta americana,AN,H,1,37.0,37.0,37.0,143
351,Exilispira thermophila,AN,H,1,50.0,50.0,50.0,144
352,Spirochaeta cellobiosiphila,FA,H,1,37.0,37.0,37.0,145
353,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
354,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
355,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
356,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
357,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
358,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
359,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
360,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
361,Spirochaeta coccoides,FA,H,1,30.0,30.0,30.0,146
362,Alkalithermophilic Bacteria,A,H,7,30.0,40.1,58.0,147
363,Alkalithermophilic Bacteria,A,H,7,30.1,45.9,57.9,147
364,Alkalithermophilic Bacteria,A,H,7,30.0,38.1,58.0,147
365,Alkalithermophilic Bacteria,A,H,7,30.0,40.0,58.0,147
366,Alkalithermophilic Bacteria,A,H,6,30.0,45.0,55.0,147
367,Alkalithermophilic Bacteria,A,H,6,29.9,45.0,55.0,147
368,Alkalithermophilic Bacteria,A,H,5,35.0,50.1,55.1,147
369,Alkalithermophilic Bacteria,A,H,6,30.0,40.0,55.2,147
370,Pseudoalteromonas antarctica,A,H,11,5.0,17.5,30.0,148
371,Spirochaeta caldaria,AN,H,1,50.0,50.0,50.0,149
372,Acetonema longum,AN,H,1,31.5,31.5,31.5,150
373,Clostridium grantii,AN,H,1,30.0,30.0,30.0,151
374,Heliobacterium mobilis,AN,H,4,23.0,40.1,40.1,152
375,Heliobacterium modesticaldum,AN,H,9,23.1,52.0,55.0,152
376,Bacillus tusciae,A,A,1,55.0,55.0,55.0,153
377,Eubacterium angustum,AN,H,1,37.0,37.0,37.0,154
378,Flexistipes sinusarabici,AN,H,7,34.1,50.0,52.0,155
379,Fervidobacterium nodosum,AN,H,1,67.5,67.5,67.5,156
380,Desulfobacterium autotrophicum,AN,A,1,26.0,26.0,26.0,157
381,Acidithiobacillus ferrivorans,FA,A,7,20.0,30.0,35.0,158
382,Clostridium alkalicellum,AN,H,1,37.5,37.5,37.5,159
383,Symbiobacterium toebii,microA,H,6,45.2,60.3,69.9,160
384,Clostridium magnum,AN,H,1,31.0,31.0,31.0,161
385,Artemia franciscana,A,H,2,24.0,24.0,30.0,162
386,Artemia franciscana,A,H,2,15.0,15.0,24.0,162
387,Artemia parthenogenetica,A,H,1,24.0,24.0,24.0,162
388,Artemia parthenogenetica,A,H,1,24.0,24.0,24.0,162
389,Artemia persimilis,A,H,2,24.0,24.0,30.0,162
390,Artemia persimilis,A,H,3,15.0,30.0,30.0,162
391,Artemia persimilis,A,H,1,15.0,15.0,15.0,162
392,Artemia salina,A,H,2,15.0,24.0,24.0,162
393,Artemia salina,A,H,2,15.0,24.0,24.0,162
394,Artemia sinica,A,H,2,24.0,30.0,30.0,162
395,Artemia sinica,A,H,1,24.0,24.0,24.0,162
396,Psychrobacter glacincola,A,H,13,0.5,14.4,21.1,163
397,Methanobacterium thermoautotrophicum,AN,A,7,40.0,70.3,75.0,164
398,Clostridium ultunense,AN,H,1,37.0,37.0,37.0,165
399,Clostridium ultunense,AN,H,1,37.0,37.0,37.0,165
400,Clostridium purinolyticum,AN,H,1,36.0,36.0,36.0,166
401,Caloramator coolhaasii,AN,H,1,52.5,52.5,52.5,167
402,Clostridium ljungdahlii,AN,A,1,37.0,37.0,37.0,168
403,Clostridium scatologenes,AN,H,1,27.5,27.5,27.5,169
404,Chrysiogenes arsenatis,AN,H,1,28.0,28.0,28.0,170
405,Anaerobranca gottschalkii,AN,H,8,29.9,55.3,64.9,171
406,Haloanaerobiurn salsugo,AN,H,6,22.4,40.7,50.7,172
407,Escherichia coli,FA,H,10,11.9,36.8,44.0,173
408,Caloramator viterbensis,AN,H,17,32.9,59.1,64.4,174
