ref_code,reference
11,"Voordeckers JW, Starovoytov V, Vetriani C. Caminibacter mediatlanticus sp. nov., a thermophilic, chemolithoautotrophic, nitrateammonifying bacterium isolated from a deep-sea hydrothermal vent on the Mid-Atlantic Ridge. Int J Syst Evol Microbiol. 2005;55(2):773-779."
12,"Miroshnichenko ML, l’haridon S, Schumann P, Spring S, BonchOsmolovskaya EA, Jeanthon C, et al. Caminibacter profundus sp. nov., a novel thermophile of Nautiliales ord. nov. within the class ‘Epsilonproteobacteria’, isolated from a deep-sea hydrothermal vent. Int J Syst Evol Microbiol. 2004;54(1):41-45."
13,"Tada K, Pithakpol S, Montani S. Seasonal variation in the abundance of Noctiluca scintillans in the Seto Inland Sea, Japan. Plankton Biol Ecol. 2004;51(1):7-14."
14,"Robertson WJ, Kinnunen PHM, Plumb JJ, Franzmann PD, Puhakka JA, Gibson JAE, et al. Moderately thermophilic iron oxidising bacteria isolated from a pyritic coal deposit showing spontaneous combustion. Miner Eng. 2002;15(11):815-822."
15,"Losey NA, Stevenson BS, Busse HJ, Damsté JSS, Rijpstra WIC, Rudd S, et al. Thermoanaerobaculum aquaticum gen. nov., sp. nov., the first cultivated member of Acidobacteria subdivision 23, isolated from a hot spring. Int J Syst Evol Microbiol. 2013;63(Pt 11):4149-4157."
16,"Rivkina EM, Friedmann EI, McKay CP, Gilichinsky DA. Metabolic activity of permafrost bacteria below the freezing point. Appl Environ Microbiol. 2000;66(8):3230-3233."
17,"Feng Y, Cheng L, Zhang X, Li X, Deng Y, Zhang H. Thermococcoides shengliensis gen. nov., sp. nov., a new member of the order Thermotogales isolated from oil-production fluid. Int J Syst Evol Microbiol. 2010;60(4):932-937."
18,"Reysenbach AL, Liu Y, Lindgren AR, Wagner ID, Sislak CD, Mets A, et al. Mesoaciditoga lauensis gen. nov., sp. nov., a moderately thermoacidophilic member of the order Thermotogales from a deep-sea hydrothermal vent. Int J Syst Evol Microbiol. 2013;63(Pt 12):4724-4729."
19,"Wiegel J, Kuk SU, Kohring GW. Clostridium thermobutyricum sp. nov., a moderate thermophile isolated from a cellulolytic culture, that produces butyrate as the major product. Int J Syst Bacteriol. 1989;39(2):199-204."
20,"Canganella F, Kuk SU, Morgan H, Wiegel J. Clostridium thermobutyricum: growth studies and stimulation of butyrate formation by acetate supplementation. Microbiol Res. 2002;157(2):149-156."
21,"Kushmarol A, Rosenberg E, Fine M, Haim YB, Loyal Y. Effect of temperature on bleaching of the coral Oculina patagonica by Vibrio AK-1. Mar Ecol Prog Ser. 1998;171:131-137."
22,"Utkin I, Woese C, Wiegel J. Isolation and characterization of Desulfitobacterium dehalogenans gen. nov., sp. nov., an anaerobic bacterium which reductively dechlorinates chlorophenolic compounds. Int J Syst Bacteriol. 1994;44(4):612-619."
23,"Freier D, Mothershed CP, Wiegel J. Characterization of Clostridium thermocellum JW20. Appl Environ Microbiol. 1988;54(1):204-211."
24,"Ricci C. Comparison of five strains of a parthenogenetic species, Macrotrachela quadricornifera (Rotifera, Bdelloidea). Hydrobiologia. 1991;211(2):147-155."
25,"Adamberg K, Kask S, Laht TM, Paalme T. The effect of temperature and pH on the growth of lactic acid bacteria: a pH-auxostat study. Int J Food Microbiol. 2003;85(1):171-183."
26,"Juneja VK, Huang L, Thippareddi HH. Predictive model for growth of Clostridium perfringens in cooked cured pork. Int J Food Microbiol. 2006;110(1):85-92."
27,"Bottrell HH. Generation time, length of life, instar duration and frequency of moulting, and their relationship to temperature in eight species of Cladocera from the River Thames, Reading. Oecologia. 1975;19(2):129-140."
28,"Juneja VK, Marks H, Huang L, Thippareddi H. Predictive model for growth of Clostridium perfringens during cooling of cooked uncured meat and poultry. Food Microbiol. 2011;28(4):791-795."
29,"Pfennig N, Biebl H. Desulfuromonas acetoxidans gen. nov. and sp. nov., a new anaerobic, sulfur-reducing, acetate-oxidizing bacterium. Arch Microbiol. 1976;110(1):3-12."
30,"Brock TD, Brock KM, Belly RT, Weiss RL. Sulfolobus: a new genus of sulfur-oxidizing bacteria living at low pH and high temperature. Arch Mikrobiol. 1972;84(1):54-68."
31,"Lauerer G, Kristjansson JK, Langworthy TA, König H, Stetter KO. Methanothermus sociabilis sp. nov., a Second Species within the Methanothermaceae Growing at 97o C. Syst Appl Microbiol. 1986;8(1):100-105."
32,"Beeder J, Nilsen RK, Rosnes JT, Torsvik T, Lien T. Archaeoglobus fulgidus isolated from hot North Sea oil field waters. Appl Environ Microbiol. 1994;60(4):1227-1231."
33,"Anderson DH, Benke AC. Growth and reproduction of the cladoceran Ceriodaphnia dubia from a forested floodplain swamp. Limnol Oceanogr. 1994;39(7):1517-1527."
34,"Cheng Q, Lawrence G, Reed C, Stowers A, Ranford-Cartwright L, Creasey A, et al. Measurement of Plasmodium falciparum growth rates in vivo: a test of malaria vaccines. Am J Trop Med Hyg. 1997;57(4):495-500."
35,"Willardsen RR, Busta FF, Allen CE. growth of Clostridium-perfringens in 3 different beef media and fluid thioglycollate medium at static and constantly rising temperatures. J Food Prot. 1979;42(2):144-148."
36,"Hethener P, Brauman A, Garcia JL. Clostridium termitidis sp. nov., a cellulolytic bacterium from the gut of the wood-feeding termite, Nasutitermes lujae. Syst Appl Microbiol. 1992;15(1):52-58."
37,"Doerfert SN, Reichlen M, Iyer P, Wang M, Ferry JG. Methanolobus zinderi sp. nov., a methylotrophic methanogen isolated from a deep subsurface coal seam. Int J Syst Evol Microbiol. 2009;59(5):1064-1069."
38,"Caron DA, Goldman JC, Dennett MR. Effect of temperature on growth, respiration, and nutrient regeneration by an omnivorous microflagellate. Appl Environ Microbiol. 1986;52(6):1340-1347."
39,"Sherr BF, Sherr EB, Berman T. Grazing, growth, and ammonium excretion rates of a heterotrophic microflagellate fed with four species of bacteria. Appl Environ Microbiol. 1983;45(4):1196-1201."
40,"Sass H, Berchtold M, Branke J, König H, Cypionka H, Babenzien HD. Psychrotolerant sulfate-reducing bacteria from an oxic freshwater sediment description of Desulfovibrio cuneatus sp. nov. and Desulfovibrio litoralis sp. nov. Syst Appl Microbiol. 1998;21(2):212-219."
41,"Vivier D, Rivemale M, Reverbel JP, Ratomahenina R, Galzy P. Study of the growth of yeasts from feta cheese. Int J Food Microbiol. 1994;22(2):207-215."
42,"Lai MC, Chen SC. Methanofollis aquaemaris sp. nov., a methanogen isolated from an aquaculture fish pond. Int J Syst Evol Microbiol. 2001;51(5):1873-1880."
43,"Boltyanskaya YV, Kevbrin V, Lysenko AM, Kolganova TV, Tourova TP, Osipov GA, et al. Halomonas mongoliensis sp. nov. and Halomonas kenyensis sp. nov., new haloalkaliphilic denitrifiers capable of N2O reduction, isolated from soda lakes. Microbiology. 2007;76(6):739-747."
44,"Dianou D, Miyaki T, Asakawa S, Morii H, Nagaoka K, Oyaizu H, et al. Methanoculleus chikugoensis sp. nov., a novel methanogenic archaeon isolated from paddy field soil in Japan, and DNA-DNA hybridization among Methanoculleus species. Int J Syst Evol Microbiol. 2001;51(5):1663-1669."
45,"Zellner G, Messner P, Winter J, Stackebrandt E. Methanoculleus palmolei sp. nov., an irregularly coccoid methanogen from an anaerobic digester treating wastewater of a palm oil plant in North-Sumatra, Indonesia. Int J Syst Bacteriol. 1998;48(4):1111-1117."
46,"Takai K, Moyer CL, Miyazaki M, Nogi Y, Hirayama H, Nealson KH, et al. Marinobacter alkaliphilus sp. nov., a novel alkaliphilic bacterium isolated from subseafloor alkaline serpentine mud from Ocean Drilling Program Site 1200 at South Chamorro Seamount, Mariana Forearc. Extremophiles. 2005;9(1):17-27."
47,"Wilson KH, Sheagren JN, Freter R. Population dynamics of ingested Clostridium difficile in the gastrointestinal tract of the Syrian hamster. J Infect Dis. 1985;151(2):355-361."
48,"Tang EPY, Tremblay R, Vincent WF. Cyanobacterial dominance of polar freshwater ecosystems: are high-latitude mat-formers adapted to low temperature. J Phycol. 1997;33(2):171-181."
49,"Ramalho FS, Malaquias JB, Lira ACS, Oliveira FQ, Zanuncio JC, Fernandes FS. Temperature-dependent fecundity and life table of the fennel aphid Hyadaphis foeniculi (Passerini) (Hemiptera: Aphididae). PLOS ONE. 2015;10(4):e0122490."
50,Trinci APJ. A kinetic study of the growth of Aspergillus nidulans and other fungi. J Gen Microbiol. 1969;57(1):11-24.
51,Trinci APJ. A study of the kinetics of hyphal extension and branch initiation of fungal mycelia. J Gen Microbiol. 1974;81(1):225-236.
52,"Steele GC, Trinci APJ. Morphology and growth kinetics of hyphae of differentiated and undifferentiated mycelia of Neurospora crassa. J Gen Intern Med. 1975;91(2):362-368."
53,"Camberlein E, Cohen JM, José R, Hyams CJ, Callard R, Chimalapati S, et al. Importance of bacterial replication and alveolar macrophageindependent clearance mechanisms during early lung infection with Streptococcus pneumoniae. Infect Immun. 2015;83(3):1181-1189."
54,"Rebah FB, Frikha F, Kamoun W, Belbahri L, Gargouri Y, Miled N. Culture of Staphylococcus xylosus in fish processing by-product-based media for lipase production. Lett Appl Microbiol. 2008;47(6):549-554."
55,"Sakai M, Deguchi D, Hosoda A, Kawauchi T, Ikenaga M. Ammoniibacillus agariperforans gen. nov., sp. nov., a thermophilic, agar-degrading bacterium isolated from compost. Int J Syst Evol Microbiol. 2015;65(Pt 2):570-577."
56,"Sorokin DY, Kovaleva OL, Tourova TP, Muyzer G. Thiohalobacter thiocyanaticus gen. nov., sp. nov., a moderately halophilic, sulfuroxidizing gammaproteobacterium from hypersaline lakes, that utilizes thiocyanate. Int J Syst Evol Microbiol. 2010;60:444-450."
57,"Garner MR, Flint JF, Russell JB. Allisonella histaminiformans gen. nov., sp. nov.: A novel bacterium that produces histamine, utilizes histidine as its sole energy source, and could play a role in bovine and equine laminitis. Syst Appl Microbiol. 2002;25(4):498-506."
58,"Watanabe I, Okada S. Effects of temperature on growth rate of cultured mammalian cells (L5178Y). J Cell Biol. 1967;32(2):309-323."
59,"Corder RE, Hook LA, Larkin JM, Frea JI. Isolation and characterization of two new methane-producing cocci: Methanogenium olentangi, sp. nov., and Methanococcus deltae, sp. nov. Arch Microbiol. 1983;134(1):28-32."
60,"Oren A, Weisburg WG, Kessel M, Woese CR. Halobacteroides halobius gen. nov., sp. nov., a moderately halophic anaerobic bacterium from the bottom sediments of the Dead Sea. Syst Appl Microbiol. 1984;5(1):58-70."
61,Ingraham JL. Growth of psychrophilic Bacteria. J Bacteriol. 1958;76(1):75-80.
62,"Meeks JC, Castenholz RW. Growth and photosynthesis in an extreme thermophile, Synechococcus lividus (Cyanophyta). Arch Mikrobiol. 1971;78:25-41."
63,"Espejo RT, Canelo ES. Properties and characterization of the host bacterium of bacteriophage PM2. J Bacteriol. 1968;95(5):1887-1891."
64,"Feil H, Purcell AH. Temperature-dependent growth and survival of Xylella fastidiosa in vitro and in potted grapevines. Plant Dis. 2001 December;85(12):1230-1234. Refer to ID485."
65,"Brosseau JD, Margaritis A, Zajic JE. The effect of temperature on the growth and hydrogen production by Citrobacter intermedius. Biol Lett. 1982;4(5):307-312."
66,"Oren A, Pohla H, Stackebrandt E. Transfer of Clostridium lortetii to a new genus Sporohalobacter gen. nov. as Sporohalobacter lortetii comb. nov., and description of Sporohalobacter marismortui sp. nov. Syst Appl Microbiol. 1987;9(3):239-246."
67,"Rengpipat S, Langworthy TA, Zeikus JG. Halobacteroides acetoethylicus sp. nov., a new obligately anaerobic halophile isolated from deep subsurface hypersaline environments. Syst Appl Microbiol. 1988;11(1):28-35."
68,"Oren A. Clostridium lortetii sp. nov., a halophilic obligatory anaerobic bacterium producing endospores with attached gas vacuoles. Arch Microbiol. 1983;136(1):42-48."
69,"Zhilina T, Zavarzin G, Bulygina E, Kevbrin V, Osipov G, Chumakov K. Ecology, physiology and taxonomy studies on a new taxon of Haloanaerobiaceae, Haloincola saccharolytica gen. nov., sp. nov. Syst Appl Microbiol. 1992;15(2):275-284."
70,Jahnke J. The light and temperature dependence of growth rate and elemental composition of Phaeocystis globosa Scherffel and P. Pouchetii (HAR.) Lagerh. in batch cultures. Neth J Sea Res. 1989;23(1):15-21.
71,"Ollivier B, Cayol JL, Patel BKC, Magot M, Fardeau ML, Garcia JL. Methanoplanus petrolearius sp. nov., a novel methanogenic bacterium from an oil-producing well. FEMS Microbiol Ecol. 1997;147(1):51-56."
72,"Aspaly G, Stejskal V, Pekár S, Hubert J. Temperature-dependent population growth of three species of stored product mites (Acari: Acaridida). Exp Appl Acarol. 2007;42(4):37-46."
73,"Cheng L, Qiu TL, Li X, Wang WD, Deng Y, Yin XB, et al. Isolation and characterization of Methanoculleus receptaculi sp. nov. from Shengli oil field, China. FEMS Microbiol Ecol. 2008;285(1):65-71."
74,"Zeikus J, Lynd LH, Thompson T, Krzycki J, Weimer P, Hegge P. Isolation and characterization of a new, methylotrophic, acidogenic anaerobe, the Marburg strain. Curr Microbiol. 1980;3(6):381-386."
75,"Cheng L, Qiu TL, Yin XB, Wu XL, Hu GQ, Deng Y, et al. Methermicoccus shengliensis gen. nov., sp. nov., a thermophilic, methylotrophic methanogen isolated from oil-production water, and proposal of Methermicoccaceae fam. nov. Int J Syst Evol Microbiol. 2007;57(12):2964-2969."
76,"Blotevogel KH, Gahl-Janßen R, Jannsen S, Fischer U, Pilz F, Auling G, et al. Isolation and characterization of a novel mesophilic, fresh-water methanogen from river sediment Methanoculleus oldenburgensis sp. nov. Arch Microbiol. 1991;157(1):54-59."
77,"Liu YH, Tsai JH. Effects of temperature on biology and life table parameters of the Asian citrus psyllid, Diaphorina citri Kuwayama (Homoptera: Psyllidae). Ann Appl Biol. 2000;137(3):201-206."
78,"Cayol JL, Ollivier B, Soh ALA, Fardeau ML, Ageron E, Grimont P, et al. Haloincola saccharolytica subsp. senegalensis subsp. nov., isolated from the sediments of a hypersaline lake, and emended description of Haloincola saccharolytica. Int J Syst Bacteriol. 1994;44(4):805-811."
79,"Denner EBM, McGenity TJ, Busse HJ, Grant WD, Wanner G, StanLotter H. Halococcus salifodinae sp. nov., an archaeal isolate from an Austrian salt mine. Int J Syst Bacteriol. 1994;44(4):774-780."
80,"Cayol JL, Ollivier B, Patel BKC, Prensier G, Guezennec J, Garcia JL. Isolation and characterization of Halothermothrix orenii gen. nov., sp. nov., a halophilic, thermophilic, fermentative, strictly anaerobic bacterium. Int J Syst Bacteriol. 1994;44(3):534-540."
81,Baker JH. The use of a temperature-gradient incubator to investigate the temperature characteristics of some bacteria from Antarctic peat. Br Antarct Surv Bull. 1974;39:49-59.
82,"Ohye DF, Scott WJ. The temperature relations of Clostridium botulinum, types A and B. Aust J Biol Sci. 1953;6(2):178-189."
83,"Knoblauch C, Jorgensen BB. Effect of temperature on sulphate reduction, growth rate and growth yield in five psychrophilic sulphate-reducing bacteria from Arctic sediments. Environ Microbiol. 1999;1(5):457-467."
84,"Bekada AMA, Benakriche B, Hamadi K, Bensoltane A. Modelling of effects of water activity, pH and temperature on the growth rate of Mucor racemosus isolated from soft camembert cheese. World J Agric Sci. 2008;4(6):790-4."
85,"Mohr PW, Krawiec S. Temperature characteristics and Arrhenius plots for nominal psychrophiles, mesophiles and thermophiles. J Gen Microbiol. 1980;121(2):311-317."
86,"Moore LR, Goericke R, Chisholm SW. Comparative physiology of Synechococcus and Prochlorococcus: influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar Ecol Prog Ser. 1995;116(1):259-275."
87,"Nunoura T, Hirai M, Miyazaki M, Kazama H, Makita H, Hirayama H, et al. Isolation and characterization of a thermophilic, obligately anaerobic and heterotrophic marine Chloroflexi bacterium from a Chloroflexidominated microbial community associated with a Japanese shallow hydrothermal system, and proposal for Thermomarinilinea lacunofontalis gen. nov., sp. nov. Microbes Environ. 2013;28(2):228-235."
88,"Nunoura T, Oida H, Miyazaki M, Suzuki Y, Takai K, Horikoshi K. Marinitoga okinawensis sp. nov., a novel thermophilic and anaerobic heterotroph isolated from a deep-sea hydrothermal field, Southern Okinawa Trough. Int J Syst Evol Microbiol. 2007;57(3):467-471."
89,"Jayasinghearachchi HS, Lal B. Oceanotoga teriensis gen. nov., sp. nov., a thermophilic bacterium isolated from offshore oil-producing wells. Int J Syst Evol Microbiol. 2011;61(3):554-560."
90,"Postec A, Le Breton C, Fardeau ML, Lesongeur F, Pignet P, Querellou J, et al. Marinitoga hydrogenitolerans sp. nov., a novel member of the order Thermotogales isolated from a black smoker chimney on the MidAtlantic Ridge. Int J Syst Evol Microbiol. 2005;55(3):1217-1221."
91,"Postec A, Ciobanu M, Birrien JL, Bienvenu N, Prieur D, Le Romancer M. Marinitoga litoralis sp. nov., a thermophilic, heterotrophic bacterium isolated from a coastal thermal spring on Ile Saint-Paul, Southern Indian Ocean. Int J Syst Evol Microbiol. 2010;60(8):1778-1782."
92,"Birrien JL, Zeng X, Jebbar M, Cambon-Bonavita MA, Quérellou J, Oger P, et al. Pyrococcus yayanosii sp. nov., an obligate piezophilic hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent. Int J Syst Evol Microbiol. 2011;61(12):2827-2881."
93,"Mori K, Yamazoe A, Hosoyama A, Ohji S, Fujita N, Ishibashi Ji, et al. Thermotoga profunda sp. nov. and Thermotoga caldifontis sp. nov., anaerobic thermophilic bacteria isolated from terrestrial hot springs. Int J Syst Evol Microbiol. 2014;64(Pt 6):2128-2136."
94,"DiPippo JL, Nesbø CL, Dahle H, Doolittle WF, Birkland NK, Noll KM. Kosmotoga olearia gen. nov., sp. nov., a thermophilic, anaerobic heterotroph isolated from an oil production fluid. Int J Syst Evol Microbiol. 2009;59(12):2991-3000."
95,"Zeikus J, Hegge P, Thompson T, Phelps T, Langworthy T. Isolation and description of Haloanaerobium praevalens gen. nov. and sp. nov., an obligately anaerobic halophile common to Great Salt Lake sediments. Curr Microbiol. 1983;9(4):225-233."
96,"Nesbø CL, Bradnan DM, Adebusuyi A, Dlutek M, Petrus AK, Foght J, et al. Mesotoga prima gen. nov., sp. nov., the first described mesophilic species of the Thermotogales. Extremophiles. 2012;16(3):387-393."
97,"Wery N, Lesongeur F, Pignet P, Derennes V, Cambon-Bonavita MA, Godfroy A, et al. Marinitoga camini gen. nov., sp. nov., a rod-shaped bacterium belonging to the order Thermotogales, isolated from a deepsea hydrothermal vent. Int J Syst Evol Microbiol. 2001;51(2):495-504."
98,"Blöchl E, Rachel R, Burggraf S, Hafenbradl D, Jannasch HW, Stetter KO. Pyrolobus fumarii, gen. and sp. nov., represents a novel group of archaea, extending the upper temperature limit for life to 113 C. Extremophiles. 1997;1(1):14-21."
99,"Panagou EZ, Skandamis PN, Nychas GJE. Modelling the combined effect of temperature, pH and aw on the growth rate of Monascus ruber, a heat-resistant fungus isolated from green table olives. J Appl Microbiol. 2003;94:146-156."
100,"L’Haridon S, Jiang L, Alain K, Chalopin M, Rouxel O, Beauverger M, et al. Kosmotoga pacifica sp. nov., a thermophilic chemoorganoheterotrophic bacterium isolated from an East Pacific hydrothermal sediment. Extremophiles. 2014;18(1):81-88."
101,"Foesel BU, Gößner AS, Drake HL, Schramm A. Geminicoccus roseus gen. nov., sp. nov., an aerobic phototrophic Alphaproteobacterium isolated from a marine aquaculture biofilter. Syst Appl Microbiol. 2007;30(8):581-586."
102,"Toda Y, Saiki T, Uozumi T, Beppu T. Isolation and characterization of a protease-producing, thermophilic, anaerobic bacterium, Thermobacteroides leptospartum sp. nov. Agric Biol Chem. 1988;52(6):1339-1344."
103,"Kublanov IV, Prokofeva MI, Kostrikina NA, Kolganova TV, Tourova TP, Wiegel J, et al. Thermoanaerobacterium aciditolerans sp. nov., a moderate thermoacidophile from a Kamchatka hot spring. Int J Syst Evol Microbiol. 2007;57(2):260-264."
104,"Moriya T, Hikota T, Yumoto I, Ito T, Terui Y, Yamagishi A, et al. Calditerricola satsumensis gen. nov., sp. nov. and Calditerricola yamamurae sp. nov., extreme thermophiles isolated from a high-temperature compost. Int J Syst Evol Microbiol. 2011;61(3):631-636."
105,"Horn MA, Ihssen J, Matthies C, Schramm A, Acker G, Drake HL. Dechloromonas denitrificans sp. nov., Flavobacterium denitrificans sp. nov., Paenibacillus anaericanus sp. nov. and Paenibacillus terrae strain MH72, N2O-producing bacteria isolated from the gut of the earthworm Aporrectodea caliginosa. Int J Syst Evol Microbiol. 2005;55(3):1255-1265."
106,"Morandi S, Brasca M, Alfieri P, Lodi R, Tamburini A. Influence of pH and temperature on the growth of Enterococcus faecium and Enterococcus faecalis. Le Lait. 2005;85(3):181-192."
107,"Restaino L, Bills S, Tscherneff K, Lenovich LM. Growth characteristics of Saccharomyces rouxii isolated from chocolate syrup. Appl Environ Microbiol. 1983;45(5):1614-1621."
108,"Suetin SV, Shcherbakova VA, Chuvilskaya NA, Rivkina EM, Suzina NE, Lysenko AM, et al. Clostridium tagluense sp. nov., a psychrotolerant, anaerobic, spore-forming bacterium from permafrost. Int J Syst Evol Microbiol. 2009;59(6):1421-1426."
109,"Jeong H, Yi H, Sekiguchi Y, Muramatsu M, Kamagata Y, Chun J. Clostridium jejuense sp. nov., isolated from soil. Int J Syst Evol Microbiol. 2004;54(5):1465-1468."
110,"Crespo C, Pozzo T, Karlsson EN, Alvarez MT, Mattiasson B. Caloramator boliviensis sp. nov., a thermophilic, ethanol-producing bacterium isolated from a hot spring. Int J Syst Evol Microbiol. 2012;62(Pt 7):1679-1686."
111,"Bazylinski DA, Williams TJ, Lefèvre CT, Trubitsyn D, Fang J, Beveridge TJ, et al. Magnetovibrio blakemorei gen. nov., sp. nov., a magnetotactic bacterium (Alphaproteobacteria: Rhodospirillaceae) isolated from a salt marsh. Int J Syst Evol Microbiol. 2013;63(Pt 5):1824-1833."
112,"Mori K, Suzuki Ki. Thiofaba tepidiphila gen. nov., sp. nov., a novel obligately chemolithoautotrophic, sulfur-oxidizing bacterium of the Gammaproteobacteria isolated from a hot spring. Int J Syst Evol Microbiol. 2008;58(8):1885-1891."
113,"Butler H, Rogerson A. Growth potential, production efficiency and annual production of marine benthic naked amoebae(gymnamoebae) inhabiting sediments of the Clyde Sea area, Scotland. Aquat Microb Ecol. 1996;10(2):123-129."
114,"Takai K, Miyazaki M, Nunoura T, Hirayama H, Oida H, Furushima Y, et al. Sulfurivirga caldicuralii gen. nov., sp. nov., a novel microaerobic, thermophilic, thiosulfate-oxidizing chemolithoautotroph, isolated from a shallow marine hydrothermal system occurring in a coral reef, Japan. Int J Syst Evol Microbiol. 2006;56(8):1921-1929."
115,"McMeekin TA, Chandler RE, Doe PE, Garland CD, Olley J, Putro S, et al. Model for combined effect of temperature and salt concentration/water activity on the growth rate of Staphylococcus xylosus. J Appl Bacteriol. 1987;62(6):543-550."
116,"Nelson CM, Schuppenhauer MR, Clark DS. Effects of hyperbaric pressure on a deep-sea archaebacterium in stainless steel and glass-lined vessels. Appl Environ Microbiol. 1991;57(12):3576-3580."
117,"Liou JSC, Balkwill DL, Drake GR, Tanner RS. Clostridium carboxidivorans sp. nov., a solvent-producing clostridium isolated from an agricultural settling lagoon, and reclassification of the acetogen Clostridium scatologenes strain SL1 as Clostridium drakei sp. nov. Int J Syst Evol Microbiol. 2005;55(5):2085-2091."
118,"Lee YJ, Romanek CS, Mills GL, Davis RC, Whitman WB, Wiegel J. Gracilibacter thermotolerans gen. nov., sp. nov., an anaerobic, thermotolerant bacterium from a constructed wetland receiving acid sulfate water. Int J Syst Evol Microbiol. 2006;56(9):2089-2093."
119,"Tomás AF, Karakashev D, Angelidaki I. Thermoanaerobacter pentosaceus sp. nov., an anaerobic, extremely thermophilic, high ethanolyielding bacterium isolated from household waste. Int J Syst Evol Microbiol. 2013;63(Pt 7):2396-2404."
120,"Mesbah NM, Hedrick DB, Peacock AD, Rohde M, Wiegel J. Natranaerobius thermophilus gen. nov., sp. nov., a halophilic, alkalithermophilic bacterium from soda lakes of the Wadi An Natrun, Egypt, and proposal of Natranaerobiaceae fam. nov. and Natranaerobiales ord. nov. Int J Syst Evol Microbiol. 2007;57:2507-2512."
121,"Whitman WB, Shieh J, Sohn S, Caras DS, Premachandran U. Isolation and characterization of 22 mesophilic Methanococci. Syst Appl Microbiol. 1986;7(2):235-240."
122,"Hedrich S, Johnson DB. Acidithiobacillus ferridurans sp. nov., an acidophilic iron-, sulfur-and hydrogen-metabolizing chemolithotrophic gammaproteobacterium. Int J Syst Evol Microbiol. 2013;63(Pt 11):4018-4025."
123,"Kane MD, Brauman A, Breznak JA. Clostridium mayombei sp. nov., an H2/CO2 acetogenic bacterium from the gut of the African soil-feeding termite, Cubitermes speciosus. Arch Microbiol. 1991;156(2):99-104."
124,"Kuhner CH, Matthies C, Acker G, Schmittroth M, Gößner AS, Drake HL. Clostridium akagii sp. nov. and Clostridium acidisoli sp. nov.: acidtolerant, N2-fixing clostridia isolated from acidic forest soil and litter. Int J Syst Evol Microbiol. 2000;50(2):873-881."
125,"Chahal DS, Hawksworth DL. Chaetomium cellulolyticum, a new thermotolerant and cellulolytic Chaetomium I. Isolation, description and growth rate. Mycologia. 1976;p. 600-610."
126,"Schwartz RD, Keller FA. Isolation of a strain of Clostridium thermoaceticum capable of growth and acetic acid production at pH 4.5. Appl Environ Microbiol. 1982;43(1):117-123."
127,"Bender J, Vatcharapijarn Y, Jeffries TW. Characteristics and adaptability of some new isolates of Clostridium thermocellum. Appl Environ Microbiol. 1985;49(3):475-477."
128,"Mathrani IM, Boone DR. Isolation and characterization of a moderately halophilic methanogen from a solar saltern. Appl Environ Microbiol. 1985;50(1):140-143."
129,"Greene RV, Freer SN. Growth characteristics of a novel nitrogen-fixing cellulolytic bacterium. Appl Environ Microbiol. 1986;52(5):982-986."
