GOLD_ID,NCBI_TAXONOMY_ID,DOMAIN,ORGANISM_NAME,SPECIES,METABOLISM
Go0000148,351605,BACTERIAL,Geobacter uraniireducens Rf4,Geobacter uraniireducens,Iron reducer
Go0000148,351605,BACTERIAL,Geobacter uraniireducens Rf4,Geobacter uraniireducens,Uranium reducer
Go0000152,349163,BACTERIAL,Acidiphilium cryptum JF-5,Acidiphilium cryptum,Iron reducer
Go0000153,216389,BACTERIAL,Dehalococcoides mccartyi BAV1,Dehalococcoides mccartyi,Dechlorinates Tetrachloroethene
Go0000155,370438,BACTERIAL,Pelotomaculum thermopropionicum SI,Pelotomaculum thermopropionicum,Propionate-oxidizing
Go0000156,412965,BACTERIAL,Candidatus Vesicomyosocius okutanii HA,Candidatus Vesicomyosocius okutanii HA,Sulfur oxidizer
Go0000159,114615,BACTERIAL,Bradyrhizobium sp. ORS 278,Bradyrhizobium sp. ORS 278,Nitrogen fixation
Go0000159,114615,BACTERIAL,Bradyrhizobium sp. ORS 278,Bradyrhizobium sp. ORS 278,Stores polyhydroxybutyrate
Go0000161,376686,BACTERIAL,"Flavobacterium johnsoniae UW101, ATCC 17061",Flavobacterium johnsoniae,Chitin degradation
Go0000163,399549,ARCHAEAL,Metallosphaera sedula DSM 5348,Metallosphaera sedula,Iron oxidizer
Go0000166,319224,BACTERIAL,Shewanella putrefaciens CN-32,Shewanella putrefaciens,Iron reducer
Go0000167,399739,BACTERIAL,Pseudomonas mendocina ymp,Pseudomonas mendocina,PCP-degrading
Go0000168,758828,BACTERIAL,Succinivibrionaceae bacterium WG-1,Succinivibrionaceae bacterium WG-1,Succinic acid production
Go0000169,351627,BACTERIAL,Caldicellulosiruptor saccharolyticus DSM 8903,Caldicellulosiruptor saccharolyticus,Biomass degrader
Go0000169,351627,BACTERIAL,Caldicellulosiruptor saccharolyticus DSM 8903,Caldicellulosiruptor saccharolyticus,Cellulose degrader
Go0000169,351627,BACTERIAL,Caldicellulosiruptor saccharolyticus DSM 8903,Caldicellulosiruptor saccharolyticus,Nitrogen producer
Go0000171,379731,BACTERIAL,Pseudomonas stutzeri A1501,Pseudomonas stutzeri,Denitrifying
Go0000178,350054,BACTERIAL,Mycolicibacterium gilvum PYR-GCK,Mycolicibacterium gilvum,PAH-degrading
Go0000179,290318,BACTERIAL,Chlorobium phaeovibrioides DSM 265,Chlorobium phaeovibrioides,Nitrogen fixation
Go0000180,420246,BACTERIAL,Geobacillus thermodenitrificans NG80-2,Geobacillus thermodenitrificans,Degrades long-chain alkanes
Go0000180,420246,BACTERIAL,Geobacillus thermodenitrificans NG80-2,Geobacillus thermodenitrificans,Hydrocarbon degrading
Go0000181,269482,BACTERIAL,Burkholderia vietnamiensis G4,Burkholderia vietnamiensis,Benzene degradation
Go0000182,349161,BACTERIAL,Desulfotomaculum reducens MI-1,Desulfotomaculum reducens,Chromium reducer
Go0000182,349161,BACTERIAL,Desulfotomaculum reducens MI-1,Desulfotomaculum reducens,Metal reducer
Go0000182,349161,BACTERIAL,Desulfotomaculum reducens MI-1,Desulfotomaculum reducens,Sulfate reducer
Go0000182,349161,BACTERIAL,Desulfotomaculum reducens MI-1,Desulfotomaculum reducens,Uranium reducer
Go0000185,351160,ARCHAEAL,Methanocella arvoryzae MRE50,Methanocella arvoryzae,Methanogen
Go0000186,402880,ARCHAEAL,Methanococcus maripaludis C5,Methanococcus maripaludis,Hydrogenotrophic
Go0000186,402880,ARCHAEAL,Methanococcus maripaludis C5,Methanococcus maripaludis,Methanogen
Go0000186,402880,ARCHAEAL,Methanococcus maripaludis C5,Methanococcus maripaludis,Nitrogen fixation
Go0000189,323850,BACTERIAL,Shewanella loihica PV-4,Shewanella loihica,Iron reducer
Go0000189,323850,BACTERIAL,Shewanella loihica PV-4,Shewanella loihica,Uranium reducer
Go0000197,164757,BACTERIAL,Mycobacterium sp. JLS,Mycobacterium sp. JLS,PAH-degrading
Go0000201,368407,ARCHAEAL,"Methanoculleus marisnigri JR1, DSM 1498",Methanoculleus marisnigri,Methanogen
Go0000207,410358,ARCHAEAL,Methanocorpusculum labreanum Z,Methanocorpusculum labreanum,Methanogen
Go0000209,351348,BACTERIAL,Marinobacter aquaeolei VT8,Marinobacter aquaeolei,Hydrocarbon degrading
Go0000209,351348,BACTERIAL,Marinobacter aquaeolei VT8,Marinobacter aquaeolei,Iron oxidizer
Go0000209,351348,BACTERIAL,Marinobacter aquaeolei VT8,Marinobacter aquaeolei,Oil degrading
Go0000212,420662,BACTERIAL,Methylibium petroleiphilum PM1,Methylibium petroleiphilum,Benzene degradation
Go0000212,420662,BACTERIAL,Methylibium petroleiphilum PM1,Methylibium petroleiphilum,MTBE degrader
Go0000213,415426,ARCHAEAL,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus,Sulfur reducer
Go0000229,365044,BACTERIAL,Polaromonas naphthalenivorans CJ2,Polaromonas naphthalenivorans,Naphthalene-degrading
Go0000229,365044,BACTERIAL,Polaromonas naphthalenivorans CJ2,Polaromonas naphthalenivorans,PAH-degrading
Go0000234,391774,BACTERIAL,Desulfovibrio vulgaris vulgaris DP4,Desulfovibrio vulgaris,Pollutant degrader
Go0000234,391774,BACTERIAL,Desulfovibrio vulgaris vulgaris DP4,Desulfovibrio vulgaris,Sulfate reducer
Go0000236,290340,BACTERIAL,Paenarthrobacter aurescens TC1,Paenarthrobacter aurescens,Atrazine metabolism
Go0000237,350058,BACTERIAL,Mycolicibacterium vanbaalenii PYR-1,Mycolicibacterium vanbaalenii,PAH-degrading
Go0000240,189918,BACTERIAL,Mycobacterium sp. KMS,Mycobacterium sp. KMS,PAH-degrading
Go0000244,318586,BACTERIAL,Paracoccus denitrificans PD1222,Paracoccus denitrificans,Hydrogen oxidizer
Go0000244,318586,BACTERIAL,Paracoccus denitrificans PD1222,Paracoccus denitrificans,Stores polyhydroxybutyrate
Go0000245,290317,BACTERIAL,Chlorobium phaeobacteroides DSM 266,Chlorobium phaeobacteroides,Nitrogen fixation
Go0000251,338966,BACTERIAL,Pelobacter propionicus DSM 2379,Pelobacter propionicus,Iron reducer
Go0000258,28049,BACTERIAL,Acidothermus cellulolyticus 11B,Acidothermus cellulolyticus,Biomass degrader
Go0000258,28049,BACTERIAL,Acidothermus cellulolyticus 11B,Acidothermus cellulolyticus,Cellulose degrader
Go0000260,156889,BACTERIAL,Magnetococcus marinus MC-1,Magnetococcus marinus,Iron reducer
Go0000260,156889,BACTERIAL,Magnetococcus marinus MC-1,Magnetococcus marinus,Magnetite production
Go0000265,62928,BACTERIAL,Azoarcus sp. BH72,Azoarcus sp. BH72,Nitrogen fixation
Go0000267,335543,BACTERIAL,Syntrophobacter fumaroxidans MPOB,Syntrophobacter fumaroxidans,Propionate metabolism
Go0000268,349307,ARCHAEAL,Methanothrix thermoacetophila PT,Methanothrix thermoacetophila,Acetotrophic
Go0000268,349307,ARCHAEAL,Methanothrix thermoacetophila PT,Methanothrix thermoacetophila,Methanogen
Go0000269,322159,BACTERIAL,Streptococcus thermophilus LMD-9,Streptococcus thermophilus,Homofermentative
Go0000274,290399,BACTERIAL,Arthrobacter sp. FB24,Arthrobacter sp. FB24,Hydrocarbon degrading
Go0000293,316055,BACTERIAL,Rhodopseudomonas palustris BisA53,Rhodopseudomonas palustris,Carbon dioxide fixation
Go0000293,316055,BACTERIAL,Rhodopseudomonas palustris BisA53,Rhodopseudomonas palustris,Hydrogen production
Go0000293,316055,BACTERIAL,Rhodopseudomonas palustris BisA53,Rhodopseudomonas palustris,Nitrogen fixation
Go0000293,316055,BACTERIAL,Rhodopseudomonas palustris BisA53,Rhodopseudomonas palustris,Pollutant degrader
Go0000294,339670,BACTERIAL,Burkholderia cepacia AMMD,Burkholderia cepacia,Nitrogen fixation
Go0000294,339670,BACTERIAL,Burkholderia cepacia AMMD,Burkholderia cepacia,Pollutant degrader
Go0000298,335541,BACTERIAL,"Syntrophomonas wolfei Goettingen, DSM 2245B",Syntrophomonas wolfei,Fatty-acid-oxidizer
Go0000299,318167,BACTERIAL,Shewanella frigidimarina NCIMB 400,Shewanella frigidimarina,Iron reducer
Go0000302,335283,BACTERIAL,Nitrosomonas eutropha C91,Nitrosomonas eutropha,Ammonia-oxidizer
Go0000302,335283,BACTERIAL,Nitrosomonas eutropha C91,Nitrosomonas eutropha,Nitrifying
Go0000304,187272,BACTERIAL,Alkalilimnicola ehrlichii MLHE-1,Alkalilimnicola ehrlichii,Arsenite oxidizer
Go0000312,381666,BACTERIAL,Cupriavidus necator H16,Cupriavidus necator,Hydrogen oxidizer
Go0000315,326424,BACTERIAL,Frankia alni ACN14a,Frankia alni,Nitrogen fixation
Go0000316,393595,BACTERIAL,Alcanivorax borkumensis SK2,Alcanivorax borkumensis,Hydrocarbon degrading
Go0000321,101510,BACTERIAL,Rhodococcus jostii RHA1,Rhodococcus jostii,PCB degrading
Go0000328,269798,BACTERIAL,Cytophaga hutchinsonii ATCC 33406,Cytophaga hutchinsonii,Cellulose degrader
Go0000328,269798,BACTERIAL,Cytophaga hutchinsonii ATCC 33406,Cytophaga hutchinsonii,Chitin degradation
Go0000329,266779,BACTERIAL,Chelativorans sp. BNC1,Chelativorans sp. BNC1,EDTA degrading
Go0000329,266779,BACTERIAL,Chelativorans sp. BNC1,Chelativorans sp. BNC1,Nitrogen fixation
Go0000330,203124,BACTERIAL,Trichodesmium erythraeum IMS101,Trichodesmium erythraeum,Nitrogen fixation
Go0000332,269796,BACTERIAL,"Rhodospirillum rubrum S1, ATCC 11170",Rhodospirillum rubrum,Nitrogen fixation
Go0000333,1525,BACTERIAL,Moorella thermoacetica ATCC 39073,Moorella thermoacetica,Acetogen
Go0000333,1525,BACTERIAL,Moorella thermoacetica ATCC 39073,Moorella thermoacetica,Carbon dioxide fixation
Go0000339,164756,BACTERIAL,Mycobacterium sp. MCS,Mycobacterium sp. MCS,PAH-degrading
Go0000345,292414,BACTERIAL,Ruegeria sp. TM1040,Ruegeria sp. TM1040,Carbon fixation
Go0000346,216596,BACTERIAL,Rhizobium leguminosarum bv. viciae 3841,Rhizobium leguminosarum,Nitrogen fixation
Go0000360,323097,BACTERIAL,Nitrobacter hamburgensis X14,Nitrobacter hamburgensis,Nitrifying
Go0000362,316057,BACTERIAL,Rhodopseudomonas palustris BisB5,Rhodopseudomonas palustris,Carbon dioxide fixation
Go0000362,316057,BACTERIAL,Rhodopseudomonas palustris BisB5,Rhodopseudomonas palustris,Hydrogen production
Go0000362,316057,BACTERIAL,Rhodopseudomonas palustris BisB5,Rhodopseudomonas palustris,Nitrogen fixation
Go0000362,316057,BACTERIAL,Rhodopseudomonas palustris BisB5,Rhodopseudomonas palustris,Pollutant degrader
Go0000363,318161,BACTERIAL,Shewanella denitrificans OS217,Shewanella denitrificans,Denitrifying
Go0000367,259564,ARCHAEAL,Methanococcoides burtonii DSM 6242,Methanococcoides burtonii,Methanogen
Go0000368,266265,BACTERIAL,Paraburkholderia xenovorans LB400,Paraburkholderia xenovorans,PCB degrading
Go0000369,709991,BACTERIAL,"Odoribacter splanchnicus 1651/6, DSM 20712",Odoribacter splanchnicus,Nitrate reducer
Go0000372,362948,BACTERIAL,Lactobacillus salivarius salivarius UCC118,Lactobacillus salivarius,Bacteriocins producer
Go0000373,316056,BACTERIAL,Rhodopseudomonas palustris BisB18,Rhodopseudomonas palustris,Carbon dioxide fixation
Go0000373,316056,BACTERIAL,Rhodopseudomonas palustris BisB18,Rhodopseudomonas palustris,Hydrogen production
Go0000373,316056,BACTERIAL,Rhodopseudomonas palustris BisB18,Rhodopseudomonas palustris,Nitrogen fixation
Go0000373,316056,BACTERIAL,Rhodopseudomonas palustris BisB18,Rhodopseudomonas palustris,Pollutant degrader
Go0000374,203122,BACTERIAL,Saccharophagus degradans 2-40,Saccharophagus degradans,Cellulose degrader
Go0000374,203122,BACTERIAL,Saccharophagus degradans 2-40,Saccharophagus degradans,Ethanol production
Go0000375,338969,BACTERIAL,Rhodoferax ferrireducens T118,Rhodoferax ferrireducens,Iron reducer
Go0000376,138119,BACTERIAL,Desulfitobacterium hafniense Y51,Desulfitobacterium hafniense,Dehalogenation
Go0000382,323259,ARCHAEAL,Methanospirillum hungatei JF-1,Methanospirillum hungatei,Methanogen
Go0000387,48935,BACTERIAL,Novosphingobium aromaticivorans DSM 12444,Novosphingobium aromaticivorans,Degrades aromatic hydrocarbons
Go0000391,316058,BACTERIAL,Rhodopseudomonas palustris HaA2,Rhodopseudomonas palustris,Carbon dioxide fixation
Go0000391,316058,BACTERIAL,Rhodopseudomonas palustris HaA2,Rhodopseudomonas palustris,Hydrogen production
Go0000391,316058,BACTERIAL,Rhodopseudomonas palustris HaA2,Rhodopseudomonas palustris,Nitrogen fixation
Go0000391,316058,BACTERIAL,Rhodopseudomonas palustris HaA2,Rhodopseudomonas palustris,Pollutant degrader
Go0000392,106370,BACTERIAL,Frankia casuarinae CcI3,Frankia casuarinae,Nitrogen fixation
Go0000395,347834,BACTERIAL,"Rhizobium etli CFN 42, DSM 11541",Rhizobium etli,Nitrogen fixation
Go0000397,56780,BACTERIAL,Syntrophus aciditrophicus SB,Syntrophus aciditrophicus,Syntrophic
Go0000405,760011,BACTERIAL,"Sphaerochaeta coccoides SPN1, DSM 17374",Sphaerochaeta coccoides,Cellobiose-degrading
Go0000406,339860,ARCHAEAL,Methanosphaera stadtmanae DSM 3091,Methanosphaera stadtmanae,Methanogen
Go0000406,339860,ARCHAEAL,Methanosphaera stadtmanae DSM 3091,Methanosphaera stadtmanae,Methanol reducer
Go0000412,326298,BACTERIAL,Sulfurimonas denitrificans DSM 1251,Sulfurimonas denitrificans,Carbon dioxide fixation
Go0000412,326298,BACTERIAL,Sulfurimonas denitrificans DSM 1251,Sulfurimonas denitrificans,Desulfurylates coal
Go0000412,326298,BACTERIAL,Sulfurimonas denitrificans DSM 1251,Sulfurimonas denitrificans,Nitrate reducer
Go0000412,326298,BACTERIAL,Sulfurimonas denitrificans DSM 1251,Sulfurimonas denitrificans,Sulfur oxidizer
Go0000416,323848,BACTERIAL,Nitrosospira multiformis ATCC 25196,Nitrosospira multiformis,Ammonia-oxidizer
Go0000416,323848,BACTERIAL,Nitrosospira multiformis ATCC 25196,Nitrosospira multiformis,Nitrifying
Go0000422,1140,BACTERIAL,Synechococcus elongatus PCC 7942,Synechococcus elongatus,Carbon fixation
Go0000426,317025,BACTERIAL,Hydrogenovibrio crunogenus XCL-2,Hydrogenovibrio crunogenus,Carbon dioxide fixation
Go0000426,317025,BACTERIAL,Hydrogenovibrio crunogenus XCL-2,Hydrogenovibrio crunogenus,Desulfurylates coal
Go0000426,317025,BACTERIAL,Hydrogenovibrio crunogenus XCL-2,Hydrogenovibrio crunogenus,Sulfur oxidizer
Go0000427,207559,BACTERIAL,Desulfovibrio alaskensis G20,Desulfovibrio alaskensis,Sulfate reducer
Go0000427,207559,BACTERIAL,Desulfovibrio alaskensis G20,Desulfovibrio alaskensis,Toxic metal reducer
Go0000430,110662,BACTERIAL,Synechococcus sp. CC9605,Synechococcus sp. CC9605,Carbon dioxide fixation
Go0000432,316279,BACTERIAL,Synechococcus sp. CC9902,Synechococcus sp. CC9902,Carbon dioxide fixation
Go0000435,482957,BACTERIAL,Burkholderia cepacia 383,Burkholderia cepacia,Nitrogen fixation
Go0000438,338963,BACTERIAL,"Pelobacter carbinolicus Bd1, GraBd1",Pelobacter carbinolicus,Iron reducer
Go0000440,323261,BACTERIAL,Nitrosococcus oceani C-107,Nitrosococcus oceani,Ammonia-oxidizer
Go0000440,323261,BACTERIAL,Nitrosococcus oceani C-107,Nitrosococcus oceani,Denitrifying
Go0000440,323261,BACTERIAL,Nitrosococcus oceani C-107,Nitrosococcus oceani,Nitrifying
Go0000445,240292,BACTERIAL,Anabaena variabilis ATCC 29413,Anabaena variabilis,Carbon dioxide fixation
Go0000445,240292,BACTERIAL,Anabaena variabilis ATCC 29413,Anabaena variabilis,Hydrogen production
Go0000445,240292,BACTERIAL,Anabaena variabilis ATCC 29413,Anabaena variabilis,Nitrogen fixation
Go0000446,323098,BACTERIAL,Nitrobacter winogradskyi Nb-255,Nitrobacter winogradskyi,Carbon dioxide fixation
Go0000446,323098,BACTERIAL,Nitrobacter winogradskyi Nb-255,Nitrobacter winogradskyi,Nitrifying
Go0000446,323098,BACTERIAL,Nitrobacter winogradskyi Nb-255,Nitrobacter winogradskyi,Nitrite-oxidizer
Go0000447,292415,BACTERIAL,Thiobacillus denitrificans ATCC 25259,Thiobacillus denitrificans,Carbon fixation
Go0000447,292415,BACTERIAL,Thiobacillus denitrificans ATCC 25259,Thiobacillus denitrificans,Iron oxidizer
Go0000447,292415,BACTERIAL,Thiobacillus denitrificans ATCC 25259,Thiobacillus denitrificans,Sulfur oxidizer
Go0000448,269797,ARCHAEAL,"Methanosarcina barkeri Fusaro, DSM 804",Methanosarcina barkeri,Methanogen
Go0000451,255470,BACTERIAL,Dehalococcoides mccartyi CBDB1,Dehalococcoides mccartyi,Dechlorinates Tetrachloroethene
Go0000452,264198,BACTERIAL,Cupriavidus pinatubonensis JMP134,Cupriavidus pinatubonensis,Degrades pollutants
Go0000457,269800,BACTERIAL,Thermobifida fusca YX,Thermobifida fusca,Cellulose degrader
Go0000457,269800,BACTERIAL,Thermobifida fusca YX,Thermobifida fusca,Degrades organic material
Go0000459,159087,BACTERIAL,Dechloromonas aromatica RCB,Dechloromonas aromatica,Benzene degradation
Go0000459,159087,BACTERIAL,Dechloromonas aromatica RCB,Dechloromonas aromatica,Chlorate-reducer
Go0000459,159087,BACTERIAL,Dechloromonas aromatica RCB,Dechloromonas aromatica,Hydrocarbon-oxidizing
Go0000473,330779,ARCHAEAL,Sulfolobus acidocaldarius 98-3,Sulfolobus acidocaldarius,Sulfur oxidizer
Go0000509,243164,BACTERIAL,Dehalococcoides mccartyi 195,Dehalococcoides mccartyi,Dechlorinates Tetrachloroethene
Go0000516,264203,BACTERIAL,Zymomonas mobilis mobilis ZM4,Zymomonas mobilis,Ethanol production
Go0000526,76114,BACTERIAL,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum,Denitrifying
Go0000526,76114,BACTERIAL,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum,Hydrocarbons metabolizer
Go0000526,76114,BACTERIAL,Aromatoleum aromaticum EbN1,Aromatoleum aromaticum,Nitrate reducer
Go0000543,221988,BACTERIAL,Mannheimia succiniciproducens MBEL55E,Mannheimia succiniciproducens,Succinic acid production
Go0000556,177439,BACTERIAL,Desulfotalea psychrophila LSv54,Desulfotalea psychrophila,Sulfate reducer
Go0000581,882,BACTERIAL,Desulfovibrio vulgaris vulgaris Hildenborough,Desulfovibrio vulgaris,Pollutant degrader
Go0000581,882,BACTERIAL,Desulfovibrio vulgaris vulgaris Hildenborough,Desulfovibrio vulgaris,Sulfate reducer
Go0000602,243231,BACTERIAL,Geobacter sulfurreducens PCA,Geobacter sulfurreducens,Toxic metal reducer
Go0000613,243365,BACTERIAL,Chromobacterium violaceum ATCC 12472,Chromobacterium violaceum,Volacein producer
Go0000642,228410,BACTERIAL,Nitrosomonas europaea ATCC 19718,Nitrosomonas europaea,Carbon dioxide fixation
Go0000642,228410,BACTERIAL,Nitrosomonas europaea ATCC 19718,Nitrosomonas europaea,Nitrifying
Go0000660,224911,BACTERIAL,Bradyrhizobium japonicum USDA 110,Bradyrhizobium japonicum,Nitrogen fixation
Go0000660,224911,BACTERIAL,Bradyrhizobium japonicum USDA 110,Bradyrhizobium japonicum,Stores polyhydroxybutyrate
Go0000665,303,BACTERIAL,Pseudomonas putida KT2440,Pseudomonas putida,Saprotroph
Go0000671,211586,BACTERIAL,Shewanella oneidensis MR-1,Shewanella oneidensis,Metal reducer
Go0000685,194439,BACTERIAL,Chlorobaculum tepidum TLS,Chlorobaculum tepidum,Nitrogen fixation
Go0000693,273068,BACTERIAL,Thermoanaerobacter tengcongensis MB4,Thermoanaerobacter tengcongensis,Saccharolytic
Go0000695,2214,ARCHAEAL,Methanosarcina acetivorans C2A,Methanosarcina acetivorans,Methanogen
Go0000700,190192,ARCHAEAL,Methanopyrus kandleri AV19,Methanopyrus kandleri,Methanogen
Go0000702,186497,ARCHAEAL,Pyrococcus furiosus DSM 3638,Pyrococcus furiosus,Sulfur respiration
Go0000705,178306,ARCHAEAL,Pyrobaculum aerophilum IM2,Pyrobaculum aerophilum,Nitrate reducer
Go0000707,176299,BACTERIAL,Agrobacterium tumefaciens C58-UWash,Agrobacterium tumefaciens,Nitrogen fixation
Go0000711,103690,BACTERIAL,Nostoc sp. PCC 7120,Nostoc sp. PCC 7120,Nitrogen fixation
Go0000723,273063,ARCHAEAL,Sulfurisphaera tokodaii 7,Sulfurisphaera tokodaii,Sulfur metabolizing
Go0000724,556269,BACTERIAL,Oxalobacter formigenes OXCC13,Oxalobacter formigenes,Oxalic acid degrader
Go0000725,272562,BACTERIAL,Clostridium acetobutylicum ATCC 824,Clostridium acetobutylicum,Gelatin hydrolysis positive
Go0000726,266834,BACTERIAL,Sinorhizobium meliloti 1021,Sinorhizobium meliloti,Nitrogen fixation
Go0000726,266834,BACTERIAL,Sinorhizobium meliloti 1021,Sinorhizobium meliloti,Stores polyhydroxybutyrate
Go0000728,273057,ARCHAEAL,Saccharolobus solfataricus P2,Saccharolobus solfataricus,Sulfur metabolizing
Go0000734,272844,ARCHAEAL,Pyrococcus abyssi GE5,Pyrococcus abyssi,Sulfur respiration
Go0000775,70601,ARCHAEAL,Pyrococcus horikoshii OT3,Pyrococcus horikoshii,Sulfur respiration
Go0000778,224325,ARCHAEAL,"Archaeoglobus fulgidus VC-16, DSM 4304",Archaeoglobus fulgidus,Sulfate reducer
Go0000784,187420,ARCHAEAL,Methanothermobacter thermautotrophicus Delta H,Methanothermobacter thermautotrophicus,Methanogen
Go0000789,243232,ARCHAEAL,Methanocaldococcus jannaschii DSM 2661,Methanocaldococcus jannaschii,Methanogen
Go0000878,168384,BACTERIAL,Marvinbryantia formatexigens I-52,Marvinbryantia formatexigens,Cellulose degrader
Go0000935,452471,BACTERIAL,Candidatus Amoebophilus asiaticus 5a2,Candidatus Amoebophilus asiaticus 5a2,Sulfur oxidizer
Go0000939,452863,BACTERIAL,Pseudarthrobacter chlorophenolicus A6,Pseudarthrobacter chlorophenolicus,Chlorophenol degrading
Go0000939,452863,BACTERIAL,Pseudarthrobacter chlorophenolicus A6,Pseudarthrobacter chlorophenolicus,PAH-degrading
Go0000940,513049,BACTERIAL,Arthrospira maxima CS-328,Arthrospira maxima,Hydrogen production
Go0000949,865861,BACTERIAL,Clostridium ultunense DSM 10521,Clostridium ultunense,Acetate oxidizer
Go0000949,865861,BACTERIAL,Clostridium ultunense DSM 10521,Clostridium ultunense,Syntrophic
Go0000950,731,BACTERIAL,Haemophilus somnus V,Haemophilus somnus,Syntrophic
Go0000953,930171,BACTERIAL,Pseudarthrobacter phenanthrenivorans Sphe3,Pseudarthrobacter phenanthrenivorans,PAH-degrading
Go0000964,1064539,BACTERIAL,Azospirillum brasilense Sp245,Azospirillum brasilense,Nitrogen fixation
