PROJECT_ID	ORGANISM_ID	PROJECT_STATUS	ANALYSIS_PROJECT_ID	EST_SIZE
4407	4407	Permanent Draft	25123	2991798
4420	4420	Permanent Draft	25097	9322173
4468	4468	Permanent Draft	27888	3282220
4555	4555	Permanent Draft	29140	3077715
4560	4560	Permanent Draft	30965	8548109
4566	4566	Complete and Published	29627	2101285
4600	4600	Permanent Draft	30930	6897976
4618	4618	Permanent Draft	9727	2196917
4714	4714	Permanent Draft	27898	3270141
4754	4754	Permanent Draft	28383	5427315
9362	9362	Permanent Draft	16539	2050567
9366	9366	Permanent Draft	72982	3981158
9445	9445	Permanent Draft	19566	2011683
156616	9490	incomplete	138109	4909502
9490	9490	Complete and Published	213618	4898350
9490	9490	Complete and Published	31521	5262127
9580	9580	Permanent Draft	25072	6847884
9585	9585	Permanent Draft	25163	7096802
9617	9617	Complete and Published	29533	948121
9626	9626	Permanent Draft	25175	7647401
9693	9693	Permanent Draft	31588	3017625
10642	10642	Permanent Draft	23236	3959428
10682	10682	Complete and Published	9939	1709134
10682	10682	Complete and Published	248237	1709130
10694	10694	Permanent Draft	10282	6572353
10694	10694	Permanent Draft	10283	6631938
10719	10719	Permanent Draft	15200	4023462
10729	10729	Permanent Draft	15580	3925908
10756	10756	Permanent Draft	15577	3938581
10770	10770	Permanent Draft	25502	6020427
10774	10774	Permanent Draft	15313	4510880
10785	10785	Permanent Draft	14247	4024476
11699	11699	Permanent Draft	14257	5434754
11729	11729	Permanent Draft	13955	4449314
7666	7666	Permanent Draft	15606	5298033
7674	7674	Permanent Draft	15248	2476029
7688	7688	Permanent Draft	14406	2105955
7690	7690	Permanent Draft	10243	2991845
7707	7707	Permanent Draft	9817	5892969
7743	7743	Permanent Draft	23184	2013675
7773	7773	Permanent Draft	23189	1990074
7800	7800	Permanent Draft	15567	2121718
7809	7809	Permanent Draft	14811	8717850
7852	7852	Permanent Draft	13148	4510648
7856	7856	Permanent Draft	13114	4715291
7861	7861	Permanent Draft	13524	2172445
7864	7864	Permanent Draft	23225	1965562
10846	10846	Permanent Draft	13079	1662539
10935	10935	Permanent Draft	13823	4706123
10993	10993	Permanent Draft	15372	1595824
10997	10997	Permanent Draft	14074	1602120
11147	11147	Permanent Draft	51761	4846869
11157	11157	Permanent Draft	72983	4720674
11178	11178	Complete and Published	28278	1169374
11202	11202	Complete and Published	29337	2068732
11244	11244	Permanent Draft	19886	4526676
91451	11262	Complete and Published	49267	3315275
11262	11262	Permanent Draft	24061	3283723
222990	11279	Complete and Published	198574	4123010
11279	11279	Permanent Draft	19599	4074265
11305	11305	Permanent Draft	13893	2046557
11341	11341	Permanent Draft	15940	2042594
11375	11375	Permanent Draft	14993	5187850
11392	11392	Permanent Draft	13123	4840738
11501	11501	Permanent Draft	58473	4720030
11504	11504	Permanent Draft	58475	5056213
11578	11578	Permanent Draft	14477	5371079
11622	11622	Permanent Draft	15818	5604410
908	11627	Complete and Published	24955	5447000
11627	11627	Permanent Draft	58422	5384600
11637	11637	Permanent Draft	19906	3454940
10197	10197	Complete and Published	23906	5382319
10200	10200	Permanent Draft	15166	4846760
10215	10215	Complete and Published	100283	9402723
10299	10299	Permanent Draft	16478	4643505
10343	10343	Permanent Draft	19866	4198811
10388	10388	Complete and Published	29007	1562832
10389	10389	Permanent Draft	16116	6499618
86768	10441	Permanent Draft	80119	407301
10441	10441	Permanent Draft	10425	407301
10459	10459	Complete and Published	10559	1531246
10459	10459	Complete and Published	213607	1540770
10512	10512	Permanent Draft	16483	2390914
10556	10556	Permanent Draft	16169	1979452
10583	10583	Permanent Draft	19581	2164301
10590	10590	Permanent Draft	15525	1986816
9072	9072	Permanent Draft	14361	3027776
9078	9078	Permanent Draft	14366	2855112
9108	9108	Permanent Draft	15834	2937359
9121	9121	Permanent Draft	14030	2747786
19903	19903	Permanent Draft	14217	2169009
9170	9170	Complete and Published	24948	2894276
9237	9237	Permanent Draft	10315	4079833
13243	13243	Permanent Draft	2035	4745199
13307	13307	Permanent Draft	2022	3947342
110194	13330	incomplete	114279	5929109
13412	13412	Permanent Draft	2163	1871412
13508	13508	Permanent Draft	2322	4002854
7930	7930	Permanent Draft	14928	6236653
7982	7982	Permanent Draft	13163	5485621
8066	8066	Permanent Draft	9295	55440309
36845	8172	Permanent Draft	35833	2077086
8172	8172	Permanent Draft	16108	2090523
8174	8174	Permanent Draft	13109	5483140
8183	8183	Permanent Draft	13160	5404073
8238	8238	Complete and Published	100119	8983596
8297	8297	Complete and Published	23975	5384455
8336	8336	Complete and Published	23973	5590372
8390	8390	Permanent Draft	26571	5447211
8391	8391	Complete and Published	24921	4855529
8406	8406	Complete and Published	23070	2133496
8449	8449	Permanent Draft	16454	2797424
8457	8457	Permanent Draft	29167	1371284
8506	8506	Permanent Draft	9949	5535900
8542	8542	Permanent Draft	16152	4107121
8581	8581	Permanent Draft	10532	2399648
8617	8617	Permanent Draft	58554	2765391
8627	8627	Permanent Draft	49900	2752172
8637	8637	Permanent Draft	16150	3893886
8638	8638	Permanent Draft	14779	4441327
8684	8684	Permanent Draft	54153	2607290
8694	8694	Permanent Draft	16014	2891989
8725	8725	Permanent Draft	16576	2553157
8746	8746	Permanent Draft	14669	4183446
8786	8786	Permanent Draft	54158	2536050
8848	8848	Complete and Published	31434	3738715
8861	8861	Complete and Published	28986	4061296
8909	8909	Permanent Draft	19788	2519401
8911	8911	Permanent Draft	19790	2169528
8926	8926	Complete and Published	29705	6241931
82074	8943	Permanent Draft	54994	2787229
9005	9005	Permanent Draft	228477	46279216
9046	9046	Permanent Draft	10441	2618220
13993	13993	Permanent Draft	6705	2922587
14013	14013	Permanent Draft	2036	4431678
14033	14033	Permanent Draft	2043	4705742
14098	14098	Permanent Draft	16133	5165888
14102	14102	Permanent Draft	16137	5100083
14930	14930	Permanent Draft	17093	3003332
14972	14972	Permanent Draft	169	5339523
14972	14972	Permanent Draft	48930	5376828
15042	15042	Permanent Draft	11845	5995381
15047	15047	Permanent Draft	17095	5857276
15057	15057	Permanent Draft	25445	5711575
15067	15067	Permanent Draft	25317	5471270
15107	15107	Permanent Draft	11892	5652243
15126	15126	Permanent Draft	26775	5720436
15131	15131	Permanent Draft	25543	5532979
15217	15217	Permanent Draft	3268	6679185
15231	15231	Permanent Draft	3273	6306952
15241	15241	Permanent Draft	3281	3223982
15270	15270	Permanent Draft	25153	5558097
15320	15320	Permanent Draft	26602	2024942
14172	14172	Permanent Draft	12154	5288048
14185	14185	Permanent Draft	2816	3825715
14280	14280	Permanent Draft	15829	5040108
14287	14287	Permanent Draft	2176	10118060
14368	14368	Permanent Draft	26607	4176524
196991	358364	Permanent Draft	171601	3019496
196992	358365	Permanent Draft	171588	4827577
14393	14393	Permanent Draft	16045	5781148
14409	14409	Complete and Published	24166	3936866
14426	14426	Permanent Draft	11934	5665473
14509	14509	Permanent Draft	13978	4652194
14516	14516	Permanent Draft	23327	4743328
14523	14523	Permanent Draft	23333	4752860
14577	14577	Permanent Draft	11421	5298513
14633	14633	Permanent Draft	26646	4047966
14698	14698	Permanent Draft	3360	7360219
14703	14703	Complete and Published	11479	3062505
14735	14735	Permanent Draft	25336	8646873
14738	14738	Permanent Draft	25341	8201210
14745	14745	Permanent Draft	251	10443568
14844	14844	Permanent Draft	115235	7327645
14850	14850	Permanent Draft	25308	3746647
13513	13513	Complete and Published	21821	4884713
13575	13575	Permanent Draft	2824	3089149
13657	13657	Permanent Draft	2034	3269398
13668	13668	Permanent Draft	11901	3133649
13678	13678	Permanent Draft	14436	2952175
13679	13679	Permanent Draft	14435	2866541
13734	13734	Permanent Draft	14397	3001360
13740	13740	Permanent Draft	25248	2300451
13820	13820	Permanent Draft	1390	4796810
13842	13842	Permanent Draft	2166	3409712
13919	13919	Permanent Draft	6622	3099673
13928	13928	Permanent Draft	2695	7278759
13939	13939	Permanent Draft	2006	2338426
13942	13942	Permanent Draft	25315	7985436
13964	13964	Permanent Draft	2066	3361707
12769	12769	Complete and Published	19916	8348532
12860	12860	Permanent Draft	25172	5387817
12948	12948	Permanent Draft	25390	8648704
12962	12962	Permanent Draft	856	7031079
12971	12971	Permanent Draft	2119	3305253
12980	12980	Permanent Draft	2812	3340167
12989	12989	Permanent Draft	8247	5217774
103132	103132	Permanent Draft	114195	2473037
13007	13007	Permanent Draft	2040	6289315
13025	13025	Permanent Draft	2336	1869643
13069	13069	Permanent Draft	2767	2591866
13077	13077	Permanent Draft	2355	4060447
13091	13091	Permanent Draft	1400	7048723
149027	15671	incomplete	131689	399009
11778	11778	Permanent Draft	14089	5385681
11794	11794	Permanent Draft	14939	5568438
119272	11901	Complete and Published	78279	2442826
11919	11919	Permanent Draft	14111	5364059
117631	11927	Complete and Published	77973	4674565
11927	11927	Complete and Published	9418	4658411
11951	11951	Permanent Draft	14117	5578209
11960	11960	Permanent Draft	15189	5332458
12050	12050	Permanent Draft	19899	1548400
12154	12154	Permanent Draft	9922	7302637
177673	12187	Permanent Draft	157381	11048459
12187	12187	Permanent Draft	24066	10918404
12197	12197	Permanent Draft	16978	2782472
12226	12226	Permanent Draft	10458	7342167
12227	12227	Permanent Draft	10565	6322699
12270	12270	Permanent Draft	14990	2336390
12285	12285	Permanent Draft	10414	7038575
12285	12285	Permanent Draft	10415	6974505
12304	12304	Permanent Draft	14886	2057574
12352	12352	Permanent Draft	19998	4492820
12398	12398	Permanent Draft	25406	4754646
12443	12443	Permanent Draft	25532	3346704
12448	12448	Permanent Draft	20071	1832015
23418	12504	Permanent Draft	12072	5386829
12504	12504	Permanent Draft	14957	5542971
12519	12519	Permanent Draft	17087	1791042
12584	12584	Permanent Draft	20037	4255983
12621	12621	Complete and Published	9342	3551206
12653	12653	Permanent Draft	20140	2070349
12707	12707	Permanent Draft	16556	2590781
12747	12747	Permanent Draft	23286	2525905
17800	17800	Permanent Draft	9656	2213697
17849	17849	Permanent Draft	228434	13182099
18005	18005	Permanent Draft	15720	1648901
18955	18955	Permanent Draft	17383	4102847
18984	18984	Permanent Draft	2631	864731
18997	18997	Permanent Draft	23542	3358521
18999	18999	Permanent Draft	23545	3301904
19167	19167	Complete and Published	23924	4023512
68658	68658	Permanent Draft	42257	2931339
19261	19261	Permanent Draft	226789	25268298
19360	19360	Permanent Draft	111100	319231331
19388	19388	Permanent Draft	10560	2179723
18230	18230	Permanent Draft	16561	2509449
18453	18453	Permanent Draft	14003	1687633
18630	18630	Permanent Draft	23588	3274476
18636	18636	Permanent Draft	23593	3299968
18668	18668	Permanent Draft	23605	3193360
18709	18709	Permanent Draft	1299	5206115
18715	18715	Permanent Draft	23656	2811059
115215	18742	incomplete	73317	3639353
18748	18748	Permanent Draft	23629	2865998
18865	18865	Permanent Draft	23648	2673585
18948	18948	Permanent Draft	23652	3165800
131650	13115	Permanent Draft	111579	2191244
13143	13143	Permanent Draft	25415	4581480
13196	13196	Permanent Draft	6683	4800313
17561	17561	Permanent Draft	12124	1518819
17562	17562	Permanent Draft	14228	2252122
17678	17678	Permanent Draft	16988	5954504
16331	16331	Permanent Draft	63269	3709395
16351	16351	Permanent Draft	12230	2180278
16365	16365	Permanent Draft	13989	4052044
16409	16409	Permanent Draft	16220	2212368
16413	16413	Permanent Draft	20217	2141894
16496	16496	Complete and Published	9588	3570114
16530	16530	Permanent Draft	13198	4630975
16541	16541	Complete and Published	24213	1050130
16575	16575	Permanent Draft	14844	5121565
16603	16603	Complete and Published	24207	1046041
16619	16619	Complete and Published	24334	1967690
16619	16619	Complete and Published	248272	1967690
16671	16671	Permanent Draft	14227	1934425
19440	19440	incomplete	136150	4230677
19440	19440	incomplete	151369	4230677
19484	19484	Permanent Draft	9789	1856291
19505	19505	Permanent Draft	20351	4689922
19515	19515	Permanent Draft	23410	2842992
19528	19528	Permanent Draft	23424	2907050
19535	19535	Permanent Draft	23477	2902444
19559	19559	Permanent Draft	23500	2753086
19573	19573	Permanent Draft	20354	2527313
19575	19575	Permanent Draft	23425	2861604
148509	19624	Permanent Draft	130920	5374454
19624	19624	Permanent Draft	17143	5484689
19647	19647	Permanent Draft	17373	4281889
19695	19695	Permanent Draft	39977	5111537
19703	19703	Permanent Draft	17153	5314964
19706	19706	Permanent Draft	12118	1582461
19725	19725	Permanent Draft	14438	2248514
19744	19744	Permanent Draft	23518	4080324
19779	19779	Permanent Draft	15765	2045351
19859	19859	Permanent Draft	20402	2256790
20009	20009	Permanent Draft	17211	2197910
20070	20070	Permanent Draft	17229	2111206
20148	20148	Permanent Draft	15954	4925880
20150	20150	Complete and Published	15952	5010125
20150	20150	Complete and Published	248332	5121200
20173	20173	Permanent Draft	23431	2860941
15857	15857	Permanent Draft	26558	6112094
15879	15879	Permanent Draft	25201	5563209
15886	15886	Permanent Draft	2386	4718864
16107	16107	Permanent Draft	26565	4384919
16165	16165	Permanent Draft	26600	4306529
5758	16181	Complete and Published	28129	2428903
145978	16246	Permanent Draft	123867	2087635
17383	17383	Complete and Published	16611	2993089
7823	7823	Permanent Draft	23214	1926604
22875	22875	Permanent Draft	16052	2122390
22944	22944	Permanent Draft	20784	6266909
127155	22992	Permanent Draft	104679	6954378
23124	23124	Permanent Draft	12714	4941607
23178	23178	Permanent Draft	20860	6497331
23185	23185	Permanent Draft	20957	3889382
23191	23191	Permanent Draft	20948	3839270
23211	23211	Permanent Draft	20846	4784281
23212	23212	Permanent Draft	20864	4681809
98978	23224	Permanent Draft	54394	46803
23224	23224	Permanent Draft	20813	8118327
132426	23298	Permanent Draft	113261	6289040
23308	23308	Permanent Draft	17478	5282985
23333	23333	Permanent Draft	16165	3019251
23427	23427	Complete and Published	11973	2063112
23459	23459	Complete and Published	11673	2027088
22298	22298	Complete and Published	9836	1688674
22298	22298	Complete and Published	248276	1688670
22489	22489	Permanent Draft	1124	5357469
22590	22590	Permanent Draft	1126	5661283
22634	22634	Permanent Draft	120	2817953
22750	22750	Complete and Published	56622	2527978
16727	16727	Complete and Published	9538	5409696
16768	16768	Permanent Draft	14529	4020861
16780	16780	Permanent Draft	20291	5870279
16805	16805	Permanent Draft	20251	6228594
145989	16947	Permanent Draft	123847	2128615
16949	16949	Permanent Draft	20276	2680985
17005	17005	Permanent Draft	11828	5719358
17074	17074	Complete and Published	12821	957990
17285	17285	Permanent Draft	19635	3201696
148506	20425	Permanent Draft	130917	5258700
20425	20425	Permanent Draft	17411	5522156
37016	20482	Permanent Draft	18152	3065585
20482	20482	Permanent Draft	23790	3061524
36837	20518	Permanent Draft	18168	2301651
20518	20518	Permanent Draft	17427	2295734
20519	20519	Permanent Draft	20482	2508098
20572	20572	Permanent Draft	16354	3899625
20655	20655	Permanent Draft	20502	5438272
20657	20657	Permanent Draft	40576	2210754
20667	20667	Permanent Draft	14776	3987205
20691	20691	Permanent Draft	23679	2908349
20704	20704	Permanent Draft	23725	2798809
20710	20710	Permanent Draft	23734	2596676
20770	20770	Permanent Draft	23745	3072269
20775	20775	Permanent Draft	20425	2483675
20804	20804	Permanent Draft	23698	2671680
20805	20805	Permanent Draft	23697	2948802
20840	20840	Permanent Draft	9928	1654672
20895	20895	Permanent Draft	128852	5108106
20912	20912	Permanent Draft	12224	3833321
20959	20959	Permanent Draft	24410	4688419
20976	20976	Complete and Published	10372	2617604
20976	20976	Complete and Published	10373	2729755
20991	20991	Permanent Draft	24403	4854951
23502	23502	Permanent Draft	17462	2745390
23670	23670	Permanent Draft	128548	2785233
23672	23672	Permanent Draft	12711	4915471
23751	23751	Permanent Draft	128511	2827188
23828	23828	Permanent Draft	20962	2359651
23863	23863	Permanent Draft	20966	3844187
23929	23929	Permanent Draft	15299	3296085
23937	23937	Permanent Draft	15095	3295811
23952	23952	Permanent Draft	24684	2639670
23962	23962	Permanent Draft	24672	2853896
23965	23965	Permanent Draft	17484	1730812
23988	23988	Permanent Draft	128678	3767281
23995	23995	Permanent Draft	56711	9925782
24023	24023	Permanent Draft	14066	3311953
24047	24047	Permanent Draft	21035	2858657
24160	24160	Permanent Draft	56578	6663130
24188	24188	Permanent Draft	15280	3280852
24191	24191	Permanent Draft	21003	3797693
24208	24208	Permanent Draft	56582	5341796
24222	24222	Permanent Draft	20916	2272254
24224	24224	Permanent Draft	20922	2161642
24243	24243	Permanent Draft	53694	3871162
35908	24473	Permanent Draft	16174	7477811
24507	24507	Permanent Draft	12713	4465464
20213	20213	Permanent Draft	23381	2919095
20216	20216	Permanent Draft	23384	2799331
20231	20231	Permanent Draft	23447	2864366
20265	20265	Permanent Draft	23393	2908628
20271	20271	Permanent Draft	23399	2949369
20272	20272	Permanent Draft	23400	2791950
20296	20296	Permanent Draft	23473	2900893
20374	20374	Permanent Draft	20440	4669908
20377	20377	Permanent Draft	20443	5015097
20406	20406	Complete and Published	11678	5438174
21524	21524	Permanent Draft	24521	4514939
21544	21544	Permanent Draft	24529	5243602
21579	21579	Permanent Draft	24532	4950713
21580	21580	Permanent Draft	24533	5106869
21605	21605	Permanent Draft	24545	5118264
21624	21624	Permanent Draft	24579	5118987
21652	21652	Permanent Draft	24571	5433481
21664	21664	Permanent Draft	24615	2895488
26979	26979	Permanent Draft	24760	2700546
264965	27030	incomplete	226834	4144705
122066	27173	Permanent Draft	98781	4600191
27176	27176	Permanent Draft	56677	3728293
131270	27241	Permanent Draft	106151	2631256
21731	21731	Complete and Published	24178	1872235
21778	21778	Permanent Draft	20730	4043226
21797	21797	Permanent Draft	16172	4071195
21798	21798	Permanent Draft	16171	3974848
61011	21816	incomplete	19959	2436228
21816	21816	Permanent Draft	11388	2536376
21872	21872	Permanent Draft	38966	4078585
206169	26485	Permanent Draft	177674	4138735
3929	3929	Permanent Draft	27732	5976803
148777	26548	Permanent Draft	131222	3856409
131610	26693	Permanent Draft	111691	4895917
26726	26726	Permanent Draft	32206	1902496
131272	26939	Permanent Draft	106154	2081118
26961	26961	Complete and Published	21757	1123322
20754	20754	Permanent Draft	23696	2896636
33387	33387	Permanent Draft	21097	2826925
21026	21026	Permanent Draft	9841	5785517
21176	21176	Permanent Draft	24401	2919446
21185	21185	Permanent Draft	9804	2140564
21263	21263	Permanent Draft	20588	4913060
21309	21309	Permanent Draft	20595	4730788
21317	21317	Permanent Draft	24439	4973481
21329	21329	Permanent Draft	24447	5217681
21360	21360	Permanent Draft	24449	4918269
21393	21393	Permanent Draft	20701	4954860
21420	21420	Permanent Draft	20542	4911666
21479	21479	Permanent Draft	20544	7507281
21517	21517	Permanent Draft	24514	4983785
21522	21522	Permanent Draft	24519	5124621
133187	28790	Permanent Draft	113506	3063674
24604	24604	Permanent Draft	2481	4665426
24724	24724	Permanent Draft	2473	1843423
24732	24732	Permanent Draft	1064	5759395
24873	24873	Permanent Draft	18291	2994237
139564	133684	Permanent Draft	122452	5716811
33525	24879	Permanent Draft	24804	2109070
24879	24879	Permanent Draft	11451	2248824
24884	24884	Permanent Draft	15550	2034595
25010	25010	Complete and Published	11975	1837281
112982	25102	Permanent Draft	70573	2330788
139566	133686	Permanent Draft	122454	5616390
139567	133687	Permanent Draft	122455	5715798
251900	27442	Permanent Draft	215690	3768430
109893	27568	Permanent Draft	63995	3407832
117034	27720	Permanent Draft	74852	3155619
139568	133688	Permanent Draft	122469	5103573
148763	27885	Permanent Draft	131103	1367821
116421	27887	Permanent Draft	74782	6856290
139569	133689	Permanent Draft	122470	5055738
139570	133690	Permanent Draft	122471	5057434
92386	92386	Permanent Draft	69177	3129609
139571	133691	Permanent Draft	122472	5130000
139572	133692	Permanent Draft	122473	5255102
131249	28265	Permanent Draft	106124	3345309
139573	133693	Permanent Draft	122474	5193100
139580	133700	Permanent Draft	122481	4283237
28721	28721	Permanent Draft	32052	4534596
139581	133701	Permanent Draft	122482	4307744
25712	25712	Permanent Draft	11364	3663872
25757	25757	Permanent Draft	1083	5575902
25769	25769	Permanent Draft	1316	3445063
25802	25802	Permanent Draft	1307	4684304
139645	133764	Permanent Draft	122126	3623675
30805	30805	Permanent Draft	128289	3448860
131669	30980	Permanent Draft	111636	4858213
112595	31092	Permanent Draft	70180	5123217
132697	31187	Permanent Draft	112077	2148577
31187	31187	Permanent Draft	57049	2170490
116425	31216	Permanent Draft	74859	9861953
257828	25853	Complete and Published	226217	7140240
25945	25945	Permanent Draft	15672	2355793
131265	26042	Permanent Draft	106148	1840604
139540	133660	Permanent Draft	122457	9573115
139541	133661	Permanent Draft	122458	9683561
109263	109208	Complete and Published	99456	2161389
139545	133665	Permanent Draft	122368	5642914
148743	30701	Permanent Draft	131173	6603976
139546	133666	Permanent Draft	122369	5648026
139547	133667	Permanent Draft	122370	5722638
25143	25143	Permanent Draft	21084	2486777
25163	25163	Complete and Published	11967	1773468
68737	68737	Permanent Draft	48664	2914550
25306	25306	Permanent Draft	11499	2352037
139551	133671	Permanent Draft	122374	5857510
139553	133673	Permanent Draft	122376	5678507
25408	25408	Permanent Draft	1088	6103916
25671	25671	Permanent Draft	2496	4254596
139559	133679	Permanent Draft	122447	5584100
139563	133683	Permanent Draft	122451	5706717
130632	32565	Permanent Draft	106059	1337479
139583	133703	Permanent Draft	122484	4307510
115248	28929	incomplete	74190	2600395
139584	133704	Permanent Draft	122485	4305927
281738	31463	incomplete	236332	3266013
139585	133705	Permanent Draft	122486	4304801
131762	31541	Permanent Draft	111596	4546163
190584	31587	Complete and Published	172996	2591679
139586	133706	Permanent Draft	122487	4307322
139587	133707	Permanent Draft	122488	3593196
120258	31780	Permanent Draft	79821	5096762
127347	31863	Permanent Draft	104454	7273063
139591	133710	Permanent Draft	123104	3350419
139593	133712	Permanent Draft	123103	3366119
139594	133713	Permanent Draft	123105	3666980
139595	133714	Permanent Draft	123106	3602724
194217	31883	Permanent Draft	170455	2988045
127349	31946	Permanent Draft	104438	8267594
32015	32015	incomplete	23982	3045860
32058	32058	Permanent Draft	2973	5104726
32310	32310	Permanent Draft	11610	2065656
150346	32399	Permanent Draft	132897	8501466
139596	133715	Permanent Draft	123107	3382140
139597	133716	Permanent Draft	123108	3462870
139599	133718	Permanent Draft	122221	3607222
139600	133719	Permanent Draft	122120	3488293
133365	29656	Permanent Draft	113504	3355362
141067	136225	Permanent Draft	122730	5066903
141165	136323	Permanent Draft	122000	2031298
34563	34563	Permanent Draft	17583	4691634
34596	34596	Permanent Draft	17590	4731669
34641	34641	Permanent Draft	17698	5209638
34669	34669	Permanent Draft	17701	5374450
34675	34675	Permanent Draft	17707	5230959
34696	34696	Permanent Draft	17943	5160786
34777	34777	Permanent Draft	17854	5524392
139539	133659	Permanent Draft	122456	9472086
139542	133662	Permanent Draft	122459	9603413
34843	34843	Permanent Draft	32095	3189828
34868	34868	Permanent Draft	17866	4803286
34959	34959	Permanent Draft	32165	5231226
34978	34978	Permanent Draft	17896	5006922
109488	34991	Permanent Draft	63680	4277825
109488	34991	Permanent Draft	63694	4037527
35015	35015	Permanent Draft	17780	5159630
35134	35134	Permanent Draft	16	4799379
139543	133663	Permanent Draft	122460	9473539
139544	133664	Permanent Draft	122367	5717777
109270	109209	Permanent Draft	62337	3908237
139552	133672	Permanent Draft	122375	5755626
139554	133674	Permanent Draft	122377	5972492
140820	135978	Permanent Draft	118785	5766588
140894	136052	Permanent Draft	119703	4786212
116612	30321	Permanent Draft	75204	4524655
30374	30374	Permanent Draft	128380	3252353
30491	30491	Permanent Draft	24758	3204420
139558	133678	Permanent Draft	122446	5445867
139560	133680	Permanent Draft	122448	5731582
139561	133681	Permanent Draft	122449	4536464
157150	29567	Permanent Draft	139040	2088894
139579	133699	Permanent Draft	122480	4881324
139582	133702	Permanent Draft	122483	4307606
209061	15940	Permanent Draft	182788	2524199
2277	2277	Permanent Draft	24960	2232586
2338	2338	Complete and Published	30982	2736272
139783	133902	Permanent Draft	122568	5412333
139784	133903	Permanent Draft	122675	5432468
139787	133906	Permanent Draft	122570	5223583
35431	35431	Permanent Draft	78553	4803911
130370	35438	Permanent Draft	109865	4763280
35438	35438	Complete and Published	32284	4734983
35438	35438	Complete and Published	213577	4751210
35617	35617	Permanent Draft	12340	1548506
139577	133697	Permanent Draft	122478	4492261
