data_source,tax_id,org_name,column,org_value,new_value,comment,reference
genbank,1744,Propionibacterium freudenreichii,genome_size,5438640,NA,Probably duplication of genome size in genbank entry,
gold,1888,Streptomyces albus JA3453,genome_size,127726,NA,"Cannot be verified, likely genome fragment",
gold,1888,Streptomyces albus XM211,genome_size,127961,NA,"Cannot be verified, likely genome fragment",
gold,1415164,Staphylococcus cohnii hu-01,genome_size,5747033,NA,"Cannot be verified, likely genome duplication",
gold,1305623,Isoptericola variabilis JCM 11754,genome_size,398602,NA,"Cannot be verified, likely genome fragment",
gold,169292,Corynebacterium aurimucosum 118_CAUR,genome_size,8690000,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
patric,1074132,Streptococcus sobrinus TCI-157,genome_size,6599903,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
gold,37923,Kocuria kristinae RuSp02-3,genome_size,585785,NA,"Cannot be verified, likely genome fragment",
gold,1408872,Borrelia burgdorferi IPT70,genome_size,143576,NA,"Cannot be verified, likely genome fragment",
gold,1408863,Borrelia burgdorferi IPT27,genome_size,178140,NA,"Cannot be verified, likely genome fragment",
gold,529,Ochrobactrum anthropi SUBG007,genome_size,1143713,NA,"Cannot be verified, likely genome fragment",
gold,1353982,Morganella morganii morganii GM1DA1,genome_size,8701099,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
gold,1359174,Orientia tstsugamushi Sido,genome_size,712858,NA,"Cannot be verified, likely genome fragment",
gold,1270,Micrococcus luteus A1,genome_size,109112,NA,"Cannot be verified, likely genome fragment",
gold,1283,Staphylococcus haemolyticus 109_SHAE,genome_size,7090000,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
gold,1283,Staphylococcus haemolyticus 855_SHAE,genome_size,7190000,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
patric,1505,NA,genome_size,7810226,NA,"Cannot be verified, seems extremely large compared to other strains and entries",
gold,1172204,Paeniclostridium sordellii 8483,genome_size,7808455,3512460,Incorrect,NCBI
gold,59736,Leifsonia xyli xyli GXBZ01,genome_size,1229715,NA,"Cannot be verified, likely genome fragment",
gold,1306178,Streptomyces antibioticus JCM 4620,genome_size,2622075,NA,Unlikely to be correct - 25% of common genome size,
gold,1890,Streptomyces antibioticus DSM 40725,genome_size,111968,NA,Unlikely to be correct - 10% of common genome size,
gold,1906,Streptomyces fradiae NRRL18158,genome_size,126933,NA,Unlikely to be correct - very small compared to other records (7Mb),
gold,103721,Actinosynnema pretiosum pretiosum ATCC 31280,genome_size,100588,NA,"Cannot be verified, likely genome fragment",
gold,1931,Streptomyces sp.,genome_size,116856,NA,"Cannot be verified, likely genome fragment",
gold,523794,Leptotrichia buccalis ATCC 14201,genome_size,391843,2465610,Not correct,doi.org/10.4056/sigs.1854
gold,1469144,Streptomyces thermoautotrophicus UBT1 subculture (Rosario),genome_size,10474252,NA,Could not be confirmed. Twice the size of other records.,
gold,536227,Clostridium carboxidivorans P7,genome_size,11465760,NA,Could not be confirmed. Twice the size of other records.,
gold,886877,Thioalkalivibrio versutus AL2,genome_size,5843682,NA,Could not be confirmed. Twice the size of other records.,
gold,1403939,Actinomyces urogenitalis DORA_12,genome_size,832371,NA,Could not be confirmed. 30% of other records,
gold,1303691,Streptomyces lavendulae lavendulae JCM 4055,genome_size,1126931,NA,Unlikely to be correct  (1/7 of other records). See publication,doi.org/10.1111/1751-7915.12344
patric,1200984,Streptomyces lividans 1326,genome_size,16906698,8496762,"Not correct, see publication",doi.org10.1093/gbe/evt082
gold,86668,Bacillus niacini DSM 2923,genome_size,2201253,NA,"Could not be confirmed. 30% of other records, publication seems to indicate size >6Mb which fit other records",doi.org/10.1128/genomeA.01251-14
gold,1284629,Crocosphaera watsonii WH 0402,genome_size,1997175,5880358,Not correct according to publication,doi.org/10.1111/jpy.12090
gold,1053688,Janibacter terrae JCM 12887,genome_size,1208664,NA,Could not be confirmed. 30% of other records,
gold,1482,Virgibacillus halodenitrificans S2,genome_size,7399141,NA,Could not be confirmed. Twice the size of other records.,
gold,1303685,Mycobacterium chlorophenolicum NBRC 15527,genome_size,3123234,NA,Could not be confirmed. Less than half the size of other records.,
gold,1155096,Borrelia crocidurae Achema,genome_size,1528893,919477,"Reported length includes large plasmid, correct to just chromosome according to publication",doi.org/10.1128/JB.00118-12
gold,1155096,Borrelia crocidurae,genome_size,1528893,919477,"Reported length includes large plasmid, correct to just chromosome according to publication",doi.org/10.1128/JB.00118-12
gold,29303,Streptomyces cattleya 1093_SCAT,genome_size,1920000,NA,Could not be confirmed. 25% of other records.,
patric,1538,Clostridium ljungdahlii DSM 13528,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1073/pnas.1004716107
gold,1401070,Peptoniphilus lacrimalis DNF00528,genome_size,3503252,NA,Listed as contaminated in NCBI,NCBI
gold,1046593,Leuconostoc carnosum KCTC 3525,genome_size,3234407,NA,Listed as contaminated in NCBI,NCBI
kegg,1155096,Borrelia crocidurae,genome_size,1528893,NA,Contains plasmids,NCBI
fierer,349933,Clostridium hydrogeniformans,metabolism,facultative,anaerobic,Not correct,doi.org/10.1099/ijs.0.013169-0
fierer,349933,Clostridium hydrogeniformans,metabolism,facultative,anaerobic,Not correct (second similar entry),doi.org/10.1099/ijs.0.013169-0
fierer,349931,Clostridium cavendishii,metabolism,facultative,anaerobic,Not correct,doi.org/10.1099/ijs.0.013169-0
gold,1508644,Candidatus Arthromitus sp. SFB-mouse-NL,metabolism,aerobic,NA,"Unlikely to be correct. Found in digestive tracts of many organisms, this in particular isolated from the gut ilium of mice. Uncultivated.",
fierer,592050,Acidovorax soli,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.019661-0
gold,1120955,Afifella marina DSM 2698,metabolism,anaerobic,facultative,Not correct,doi.org/10.1099/00207713-45-2-226
gold,1167629,Bifidobacterium animalis lactis ATCC 27673,metabolism,aerobic,anaerobic,Not correct. See old name Bifidobacterium lactis,doi.org/10.1016/S0723-2020(97)80048-3
gold,1322347,Bifidobacterium longum E18,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1073/pnas.212527599
patric,759350,Bifidobacterium longum subsp. longum JDM301,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1073/pnas.212527599
patric,29448,,metabolism,anaerobic,aerobic,Not correct (Bradyrhizobium elkanii),doi.org/10.1128/genomeA.01095-16
gold,1035191,Brevundimonas diminuta 470-4,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1080/21505594.2017.1419116
fierer,588932,Brevundimonas naejangsanensis,metabolism,anaerobic,facultative,Not correct,doi.org/10.1128/genomeA.00542-14
fierer,588932,Brevundimonas naejangsanensis,metabolism,anaerobic,facultative,Not correct (second similar entry),doi.org/10.1128/genomeA.00542-14
gold,397948,Caldivirga maquilingensis IC-167,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1099/00207713-49-3-1157
patric,593907,Cellvibrio gilvus ATCC 13127,metabolism,anaerobic,facultative,Not correct,doi.org/10.1371/journal.pone.0053954
gold,888060,Centipeda periodontii DSM 2778,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1099/00207713-33-3-628
gold,745776,"Deinococcus gobiensis I-0, DSM 21396",metabolism,anaerobic,facultative,Not correct,doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
patric,745776,,metabolism,anaerobic,facultative,Not correct (similar entry),doi.org/10.1099/ijs.0.004523-0
gold,644897,Desulfovibrio termitidis HI1,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1016/S0723-2020(11)80235-3
patric,644897,Desulfovibrio termitidis HI1,metabolism,aerobic,anaerobic,Not correct,doi.org/10.1016/S0723-2020(11)80235-3
gold,546274,Eikenella corrodens ATCC 23834,metabolism,anaerobic,facultative,Not correct,PMC273921
patric,546274,Eikenella corrodens ATCC 23834,metabolism,anaerobic,facultative,Not correct,PMC273921
fierer,236753,Fastidiosipila sanguinis,metabolism,obligate aerobic,anaerobic,"Not correct. Grows under strictly anaerobic conditions, can survive 2-6% oxygen",doi.org/10.1099/ijs.0.63327-0
gold,590061,Halomonas sp. KM-1,metabolism,anaerobic,aerobic,Not correct. Grow aerobically and under microaerobic conditions,doi.org/10.1186/s13568-016-0195-y
gold,204773,Herminiimonas arsenicoxydans ULPAs1,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.64308-0
patric,204773,Herminiimonas arsenicoxydans ULPAs1,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.64308-0
gold,557598,Laribacter hongkongensis HLHK9,metabolism,anaerobic,facultative,Not correct,doi.org/10.1128/JCM.39.12.4227-4232.2001
patric,557598,Laribacter hongkongensis HLHK9,metabolism,anaerobic,facultative,Not correct,doi.org/10.1128/JCM.39.12.4227-4232.2001
gold,1268635,Legionella oakridgensis ATCC 33761,metabolism,anaerobic,aerobic,Not correct. Described as growing in air. May be facultative?,PMC242320
gold,1274403,Legionella oakridgensis RV-2-2007,metabolism,anaerobic,aerobic,Not correct. Described as growing in air. May be facultative?,PMC242320
gold,446,,metabolism,anaerobic,aerobic,Not correct. Failed to grow under anaerobic conditions,PMC238529
gold,1122200,Marinobacterium jannaschii DSM 6295,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/00207713-52-3-739
gold,349095,Megasphaera paucivorans DSM 16981,metabolism,aerobic,strictly anaerobic,Not correct,doi.org/10.1099/ijs.0.63699-0
gold,43678,Oerskovia enterophila Vjag,metabolism,anaerobic,facultative,Not correct,doi.org/10.1186/s40793-017-0244-4
fierer,545619,Paraoerskovia marina,metabolism,anaerobic,facultative,Not correct,doi.org/10.1099/ijs.0.007666-0
fierer,521720,Pseudomonas caeni,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.005108-0
patric,203192,,metabolism,anaerobic,facultative,Not correct. (Pseudomonas chloritidismutans),doi.org/10.1099/00207713-52-6-2183
fierer,1002526,Pseudomonas formosensis,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.049452-0
patric,1538159,,metabolism,anaerobic,aerobic,Not correct. (Rhizobium FH14),doi.org/10.1007/s00203-016-1281-x
gold,338969,Rhodoferax ferrireducens T118,metabolism,anaerobic,facultative,Not correct,doi.org/10.1099/ijs.0.02298-0
patric,858455,,metabolism,anaerobic,facultative,Not correct. (Rhodomicrobium udaipurense),doi.org/10.1099/ijs.0.046409-0
fierer,999699,Rhodopseudomonas pentothenatexigens,metabolism,anaerobic,facultative,"Grows with oxygen in the dark, and without in the light.",doi.org/10.1099/ijs.0.038620-0
fierer,999700,Rhodopseudomonas thermotolerans,metabolism,anaerobic,facultative,"Grows with oxygen in the dark, and without in the light.",doi.org/10.1099/ijs.0.038620-0
fierer,449663,Silvimonas amylolytica,metabolism,anaerobic,facultative,Not correct,doi.org/ 10.1099/ijs.0.011007-0 
gold,929556,"Solitalea canadensis USAM 9D, DSM 3403",metabolism,anaerobic,facultative,Not correct (see Flexibacter canadensis),doi.org/10.1099/00207713-30-2-429
fierer,263475,Bacillus arvi,metabolism,anaerobic,facultative,Not correct (weak growth under anaerobic conditions),doi.org/10.1099/ijs.0.63240-0
fierer,657276,Vogesella mureinivorans,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1099/ijs.0.018630-0
gold,1079,"Blastochloris viridis Drews F, DSM 133",metabolism,anaerobic,facultative,Not correct (see Rhodopseudomonas viridis),doi.org/10.1099/00207713-47-1-217
patric,1531963,,metabolism,anaerobic,NA,This organism (Comamonadaceae bacterium BICA1-1) has not been cultivated,
patric,1629720,,metabolism,anaerobic,NA,This organism (Hyphomonadaceae bacterium BRH_c29) has not been cultivated,
patric,1629710,,metabolism,anaerobic,NA,This organism (Hyphomonas sp. BRH_c22) has not been cultivated,
patric,1629711,,metabolism,anaerobic,NA,This organism (Pseudomonas sp. BRH_c35) has not been cultivated,
gold,467200,Streptomyces griseoflavus Tu4000,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1111/1758-2229.12116
patric,467200,Streptomyces griseoflavus Tu4000,metabolism,anaerobic,aerobic,Not correct,doi.org/10.1111/1758-2229.12116
patric,436515,,metabolism,anaerobic,facultative,Can grow aerobically (Variovorax boronicumulans),doi.org/10.1099/ijs.0.65315-0
gold,436515,Variovorax boronicumulans NBRC 103145,metabolism,aerobic,facultative,Can grow anaerobically,doi.org/10.1099/ijs.0.65315-0
gold,883156,Veillonella ratti ACS-216-V-Col6b,metabolism,aerobic,anaerobic,"Not correct, see V. seminalis",doi.org/10.1099/ijs.0.064451-0
patric,1649647,,metabolism,anaerobic,NA,Cannot be verified. Possibly uncultured organism (Janthinobacterium sp. KBS0711),
gold,402777,Kamptonema formosum PCC 6407,metabolism,anaerobic,aerobic,"According to the Pasteur collection, PCC6407 is aerobic",https://catalogue-crbip.pasteur.fr/recherche_catalogue.xhtml
gold,1064515,Dolichospermum circinale ACFR02,metabolism,anaerobic,aerobic,"This was previously Anabaena circinale, a heterocyst nitrogen fixing aerobic cyanobacteria",
gold,1566628,Microbispora sp. NBRC 110460,genome_size,304005,NA,Inconsisten across other sequences in ncbi reaching >8Mbp,NCBI
fierer,283816,Bacillus herbersteinensis,d1_lo,250,NA,No size indicated in original publication or found elsewhere,doi.org/10.1099/ijs.0.63660-0
fierer,283816,Bacillus herbersteinensis,d2_lo,250,NA,No size indicated in original publication or found elsewhere,doi.org/10.1099/ijs.0.63660-0
fierer,209246,Nocardia inohanensis,d1_lo,950,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.02794-0
fierer,209249,Nocardia niigatensis,d1_lo,2350,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.02794-0
fierer,209247,Nocardia yamanashiensis,d1_lo,1450,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.02794-0
fierer,323273,Nonlabens tegetincola,d1_lo,3000,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.63810-0
fierer,237576,Oribacterium sinus,d1_lo,1250,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.63060-0
fierer,558172,Pseudochrobactrum lubricantis,d1_lo,2000,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.008540-0
fierer,1458253,Streptococcus dentisani,d1_lo,1500,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.054098-0
fierer,1458253,Streptococcus dentisani,d2_lo,1500,NA,"Size recorded is the mean of colony diameter, not cell.",doi.org/10.1099/ijs.0.054098-0
fierer,684663,Yaniella fodinae,d1_lo,1700,1,"Size recorded is the mean of colony diameter, not cell. Cell measurements in original pub.",doi.org/10.1099/ijs.0.020636-0
fierer,684663,Yaniella fodinae,d2_lo,1700,1.5,"Size recorded is the mean of colony diameter, not cell. Cell measurements in original pub.",doi.org/10.1099/ijs.0.020636-0
gold,1227487,Halogeometricum pallidum JCM 14848,d1_lo,200,0.8,"Originally named Halosarcina pallida. Size recorded in GOLD is that of colony diameter, new size (coccus) as per original publication.",doi.org/10.1099/ijs.0.65398-0 
gold,1227487,Halogeometricum pallidum JCM 14848,d2_lo,200,NA,"Originally named Halosarcina pallida. Size recorded in GOLD is that of colony diameter, new size (coccus) as per original publication.",doi.org/10.1099/ijs.0.65398-0 
gold,1227487,Halosarcina pallida JCM 14848,d1_lo,200,0.8,"Size recorded in GOLD is that of colony diameter, new size (coccus) as per original publication.",doi.org/10.1099/ijs.0.65398-0 
gold,1227487,Halosarcina pallida JCM 14848,d2_lo,200,NA,"Size recorded in GOLD is that of colony diameter, new size (coccus) as per original publication.",doi.org/10.1099/ijs.0.65398-0 
