Original,New
hypersaline environment,water_hypersaline
"host-associated, human, skin",host_animal_endotherm_surface
"environmental, aquatic, thermal springs, free living",water_hotspring
"host-associated, animal, digestive system, fecal",host_animal_endotherm_intestinal
"host-associated, fungi",host_fungus
"host-associated, plants, leaf",host_plant_leaf-associated
"host-associated, human, digestive system, free living",host_animal_endotherm_intestinal
hotspring,water_hotspring
"environmental, aquatic, sediment",sediment
human - mouth,host_animal_endotherm_oral
"environmental, aquatic, freshwater, lentic",water_groundwater_surface
"host-associated, animal, circulatory system",host_animal_endotherm_intratissue
"host-associated, human, circulatory system, blood, free living",host_animal_endotherm_intratissue
food product,food
"host-associated, plants, rhizoplane, symbiotic, mutualistic",host_plant_root-associated
"host-associated, human, respiratory system, free living",host_animal_endotherm_nasopharyngeal
wastewater,wastewater
"host-associated, mammals, digestive system, foregut, rumen",host_animal_endotherm_rumen
"host-associated, mammals, digestive system, oral cavity",host_animal_endotherm_oral
"environmental, aquatic, freshwater, drinking water",water_groundwater_surface
"environmental, aquatic, marine, hydrothermal vents",sediment_marine_hydrothermal
"environmental, terrestrial, soil, agricultural land",soil
"engineered, built environment",built_environment_surfaces
"engineered, food production, free living",unclassified
"host-associated, animal, digestive system, symbiotic, parasitic",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system",host_animal_endotherm_intestinal
freshwater sediment,sediment_fresh
"host-associated, human, free living, commensal",host_animal_endotherm
"environmental, aquatic, freshwater, lake",water_groundwater_surface
"engineered, wastewater, free living",wastewater
"environmental, aquatic, marine, coastal",water_marine
"environmental, aquatic, marine, oceanic",water_marine
"environmental, aquatic, marine, hydrothermal vents, free living",sediment_marine_hydrothermal
"environmental, aquatic, marine, pelagic",water_marine
"engineered, solid waste, solid animal waste",host_animal_endotherm_feces
"host-associated, plants, phylloplane",host_plant_leaf-associated
"host-associated, human, respiratory system, pulmonary system, trachea",host_animal_endotherm_nasopharyngeal
bioreactor,bioreactor/digester
"engineered, built environment, house",built_environment_surfaces
"environmental, terrestrial, geologic",rock_deep
"engineered, solid waste, composting",compost
"host-associated, human, respiratory system, nasopharyngeal, free living",host_animal_endotherm_nasopharyngeal
"host-associated, mammals, tissue",host_animal_endotherm_intratissue
"engineered, lab synthesis, free living",bioreactor/digester
"environmental, terrestrial, soil, contaminated",soil_contaminated
"host-associated, symbiotic, parasitic",host
"host-associated, animal, reproductive system",host_animal_endotherm
"host-associated, mammals, digestive system, fecal",host_animal_endotherm_intestinal
"engineered, laboratory developed, genetically modified",unclassified
"host-associated, invertebrates, nematoda",host_animal_ectotherm
"environmental, aquatic, non-marine saline and alkaline, salt crystallizer ponds",water_hypersaline
"environmental, terrestrial, geologic, mine",rock_deep
"host-associated, animal, digestive system, free living",host_animal_endotherm_intestinal
"engineered, wastewater, activated sludge",sludge
"environmental, terrestrial, soil, forest soil",soil_forest
"host-associated, animal, circulatory system, free living",host_animal_endotherm_blood
"environmental, aquatic, freshwater, lake, sediment",sediment_fresh
"environmental, aquatic, non-marine saline and alkaline, hypersaline",water_hypersaline
"environmental, aquatic, marine, oceanic, sediment, free living",sediment_marine
"host-associated, annelida",host_animal_ectotherm
soil,soil
"engineered, biotransformation",unclassified
"host-associated, human, ear",host_animal_endotherm_surface
"environmental, air",unclassified
"engineered, food production, dairy products, free living",food
"environmental, terrestrial, agricultural field",soil_agricultural
"host-associated, algae",host_algae
"host-associated, birds, digestive system",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system, stomach",host_animal_endotherm_intestinal
"host-associated, mammals, respiratory system, lung",host_animal_endotherm_nasopharyngeal
"host-associated, plants, rhizosphere",host_plant_root-associated
"symbiotic, parasitic",host
"engineered, lab synthesis, genetic cross",unclassified
"host-associated, cnidaria",host_animal_ectotherm
"host-associated, insecta, digestive system",host_animal_ectotherm
"host-associated, mammals, nervous system, brain",host_animal_endotherm_intratissue
"environmental, aquatic, non-marine saline and alkaline",water_hypersaline
"host-associated, animal, skin",host_animal_endotherm_surface
"engineered, wastewater, industrial wastewater",wastewater
"host-associated, animal, digestive system, fecal, free living",host_animal_endotherm_intestinal
human - fecal,host_animal_endotherm_feces
"environmental, aquatic, freshwater, lentic, free living",water_groundwater_surface
"host-associated, human, reproductive system, vagina",host_animal_endotherm_vagina
"environmental, aquatic, freshwater, lentic, sediment",sediment_fresh
"environmental, terrestrial, oil reservoir",petroleum
"environmental, aquatic, freshwater, free living",water_fresh
"environmental, aquatic, non-marine saline and alkaline, hypersaline, sediment",sediment_hypersaline
"environmental, aquatic, sediment, free living",sediment
"host-associated, human, nervous system, cerebrospinal fluid",host_animal_endotherm_intratissue
"host-associated, mammals, respiratory system",host_animal_endotherm_nasopharyngeal
"environmental, terrestrial, soil, oil-contaminated",soil_hydrocarbon_contaminated
built environment,built_environment_surfaces
estuarine sediment,sediment_brackish
"environmental, aquatic, freshwater, lotic",water_fresh
plant endophyte,host_plant
"engineered, industrial production",bioreactor/digester
"environmental, aquatic, free living",water
"host-associated, birds, free living",host_animal_endotherm
"host-associated, human, circulatory system",host_animal_endotherm_blood
"host-associated, mammals, respiratory system, nasopharyngeal",host_animal_endotherm_nasopharyngeal
"environmental, aquatic, freshwater, groundwater",water_fresh
"host-associated, fish, free living",host_animal_ectotherm
"host-associated, human, nervous system, cerebrospinal fluid, free living",host_animal_endotherm_intratissue
"host-associated, plants, rhizoplane, free living",host_plant_root-associated
"environmental, terrestrial, soil, grasslands",soil_grassland
"host-associated, mammals, digestive system, foregut, rumen, free living",host_animal_endotherm_rumen
"symbiotic, mutualistic",host
"other, air sample",unclassified
"environmental, aquatic, freshwater, river",water_fresh
"host-associated, mammals, reproductive system",host_animal_endotherm_vagina
symbiotic,host
"environmental, aquatic, marine, intertidal zone, estuary",sediment_marine
"environmental, aquatic, marine, neritic zone",water_marine
"host-associated, animal, free living",host_animal_endotherm
"host-associated, birds, reproductive system",host_animal_endotherm_vagina
"host-associated, human, digestive system, oral, throat",host_animal_endotherm_oral
"host-associated, plants, roots, nodule",host_plant_rootnodule
"host-associated, plants, symbiotic, mutualistic",host_plant
"engineered, wastewater, industrial wastewater, petrochemical",wastewater
"environmental, aquatic, freshwater, pond",water_fresh
"environmental, aquatic, marine, intertidal zone, sediment",sediment_marine
"host-associated, microbial",
"other, compost",compost
"environmental, aquatic, freshwater, ponds, free living",water_fresh
"environmental, terrestrial, soil, contaminated, free living",soil_contaminated
"host-associated, insecta, symbiotic",host_animal_ectotherm
"host-associated, mammals, symbiotic, parasitic",host_animal_endotherm
"host-associated, fish, digestive system",host_animal_ectotherm
"host-associated, human, respiratory system, pulmonary system, sputum, free living",host_animal_endotherm_nasopharyngeal
"host-associated, reptilia",host_animal_ectotherm
"other, sludge",sludge
"engineered, built environment, free living",built_environment_surfaces
"environmental, terrestrial, soil, desert",soil_arid
"host-associated, birds, skin",host_animal_endotherm_surface
"host-associated, human, symbiotic, parasitic",host_animal_endotherm
estuarine water,water_brackish
"other, tidal flat sediment",sediment_marine
"environmental, aquatic, freshwater, lotic, free living",water_fresh
"environmental, aquatic, marine, pelagic, free living",water_marine
"environmental, free living",unclassified
"environmental, terrestrial, geologic, free living",rock_deep
"environmental, terrestrial, soil, agricultural land, free living",soil_agricultural
"host-associated, animal, reproductive system, free living",host_animal_endotherm_vagina
"environmental, aquatic, freshwater, lentic, sediment, free living",sediment_fresh
"environmental, aquatic, freshwater, lotic, sediment",sediment_fresh
"environmental, aquatic, marine, marginal sea",water_marine
"environmental, terrestrial, geologic, mine, free living",rock_deep
"host-associated, human, reproductive system",host_animal_endotherm_vagina
"environmental, terrestrial, soil, permafrost",soil_organic_permafrost
"host-associated, insecta, free living",host_animal_ectotherm
"host-associated, porifera",host_animal_ectotherm
"other, marine solar saltern",water_hypersaline
"host-associated, mammals, skin",host_animal_endotherm_surface
"engineered, solid waste",unclassified
"environmental, aquatic, aquaculture",water
"environmental, aquatic, marine, coastal, sediment",sediment_marine
"host-associated, echinodermata",host_animal_ectotherm
"host-associated, mammals, digestive system, large intestine, fecal, free living",host_animal_endotherm_intestinal
"environmental, aquatic, non-marine saline and alkaline, alkaline, sediment",sediment_fresh_alkaline
"host-associated, algae, free living",host_algae
"host-associated, mammals, reproductive system, free living",host_animal_endotherm_vagina
"host-associated, plants, rhizosphere, soil",host_animal_ectotherm
"other, human blood",host_animal_endotherm_blood
"environmental, aquatic, non-marine saline and alkaline, saline",water_hypersaline
"environmental, terrestrial, soil, desert, free living",soil_arid
"host-associated, human, reproductive system, free living",host_animal_endotherm_vagina
"host-associated, insecta, symbiotic, parasitic",host_animal_ectotherm
"host-associated, mammals, digestive system, free living",host_animal_endotherm_intestinal
"host-associated, plants, symbiotic",host_plant
"symbiotic, commensal",host
"other, salt lake",water_hypersaline
"other, salt mine",rock_deep
seawater,water_marine
water,water
"engineered, food production, fermented beverages, free living",food_fermented
"engineered, industrial production, free living",bioreactor/digester
"environmental, terrestrial, oil reservoir, free living",petroleum
"environmental, terrestrial, soil, sand",soil_mineral
"host-associated, horse",host_animal_endotherm
"host-associated, human, excretory system, urethra, urine, free living",host_animal_endotherm_vagina
"host-associated, plants, rhizoplane, symbiotic, syntrophic",host_animal_ectotherm
"other, air",unclassified
"other, glacier",unclassified
"other, hydrothermal vent",water_marine_hydrothermal
"other, marine sponge",host_animal_ectotherm
"other, solar saltern",water_hypersaline
engineered,unclassified
"engineered, food production, fermented vegetables",food_fermented
"engineered, lab enrichment",unclassified
"engineered, solid waste, composting, free living",compost
"environmental, aquatic, freshwater, lotic, sediment, free living",sediment_fresh
"environmental, aquatic, freshwater, wetlands, bog",water_fresh
"environmental, terrestrial, volcanic, free living",volcanic_active
"host-associated, animal, respiratory system, free living",host_animal_endotherm_nasopharyngeal
"host-associated, fish, skin",host_animal_ectotherm
"host-associated, human, circulatory system, free living",host_animal_endotherm_blood
"host-associated, protists",host_animal_ectotherm
human - skin,host_animal_endotherm_surface
not provided; submitted under migs 2.1,unclassified
"engineered, bioreactor",bioreactor/digester
"engineered, industrial production, engineered product",unclassified
"environmental, air, indoor air",unclassified
"environmental, aquatic, freshwater, sediment, free living",sediment_fresh
"environmental, aquatic, marine, intertidal zone, beach",sediment_marine
"environmental, aquatic, marine, intertidal zone, estuary, free living",sediment_marine
"environmental, aquatic, marine, intertidal zone, salt marsh",water_marine
"environmental, terrestrial, agricultural field, free living",soil_agricultural
"environmental, terrestrial, soil, agricultural",soil_agricultural
"host-associated, plants, phylloplane, free living",host_plant_leaf-associated
"host-associated, protozoa",host_animal_ectotherm
"host-associated, symbiotic, mutualistic",host
"other, human faeces",host_animal_endotherm_feces
"other, sea urchin",host_animal_ectotherm
"environmental, aquatic, freshwater, wetlands",water_fresh
"environmental, aquatic, marine, neritic zone, free living",water_marine
"environmental, terrestrial, soil, forest soil, free living",soil_forest
"host-associated, porifera, sponge",host_animal_ectotherm
"other, tidal flat",sediment_marine
"engineered, food production, silage fermentation",food
"engineered, food production, symbiotic",food
"engineered, solid waste, landfill",unclassified
"environmental, aquatic, marine, hydrothermal vents, sediment",water_marine_hydrothermal
"environmental, aquatic, marine, intertidal zone",water_marine
"environmental, terrestrial, free living",unclassified
"host-associated, birds, symbiotic, parasitic",host_animal_endotherm
"host-associated, mollusca, symbiotic",host_animal_ectotherm
"other, activated sludge",sludge
"other, fermented seafood",food_fermented
"other, root nodules",host_plant_rootnodule
biological product [envo:02000043],unclassified
"engineered, wastewater, activated sludge, free living",sludge
"engineered, wastewater, industrial wastewater, petrochemical, free living",wastewater
"environmental, aquatic, freshwater, sediment",sediment_fresh
"environmental, aquatic, freshwater, wetlands, bog, free living",water_fresh
"environmental, aquatic, marine, coastal, free living",water_marine
"environmental, aquatic, non-marine saline and alkaline, free living",water_fresh_alkaline
"environmental, terrestrial, peat",soil_organic_peat
"environmental, terrestrial, volcanic",volcanic_active
"host-associated, arthropoda, digestive system",host_animal_ectotherm
"host-associated, arthropoda, free living",host_animal_ectotherm
"host-associated, human, digestive system, intestine",host_animal_endotherm_intestinal
"host-associated, human, digestive system, oral, saliva",host_animal_endotherm_oral
"host-associated, insecta, symbiotic, mutualistic",host_animal_ectotherm
"host-associated, mammals, milk, free living",milk
"host-associated, mammals, respiratory system, free living",host_animal_endotherm_nasopharyngeal
"host-associated, mollusca, free living",host_animal_ectotherm
"host-associated, plants, symbiotic, parasitic",host_plant
"host-associated, symbiotic",host
curette,unclassified
"environmental, aquatic, aquaculture, free living",water
"environmental, aquatic, freshwater, groundwater, contaminated",water_fresh
"environmental, aquatic, freshwater, lentic, epilimnion",water_fresh
"environmental, aquatic, marine, intertidal zone, sediment, free living",sediment_marine
"environmental, aquatic, non-marine saline and alkaline, alkaline, sediment, free living",sediment_hypersaline
"environmental, aquatic, non-marine saline and alkaline, salt crystallizer ponds, free living",water_hypersaline
"environmental, terrestrial, deep subsurface",unclassified
"host-associated, animal, skin, free living",host_animal_endotherm_surface
"host-associated, animal, symbiotic",host_animal_endotherm
"host-associated, fungi, free living",host_fungus
"host-associated, invertebrates, platyhelminthes",host_animal_ectotherm
"host-associated, mammals, circulatory system, blood, free living",host_animal_endotherm_blood
"other, coral",host_animal_ectotherm
"engineered, bioremediation, metal",unclassified
"engineered, wastewater, industrial wastewater, agricultural wastewater",wastewater
"environmental, aquatic, freshwater, groundwater, free living",water_groundwater_surface
"environmental, terrestrial, soil, loam",soil
"host-associated, birds, digestive system, free living",host_animal_endotherm_intestinal
"host-associated, human, digestive system, large intestine, fecal, free living, commensal",host_animal_endotherm_intestinal
"host-associated, human, eye",host_animal_endotherm_surface
"host-associated, human, respiratory system, pulmonary system",host_animal_endotherm_nasopharyngeal
"host-associated, mammals, excretory system",host_animal_endotherm
"host-associated, plants, rhizoplane, symbiotic",host_plant_root-associated
"host-associated, tunicates",host_animal_ectotherm
"marine sediment, marine sponge",host_animal_ectotherm
"other, alpine glacier cryoconite",unclassified
"other, black sand",soil_mineral
"other, hypersaline lake",water_hypersaline
"other, peat bog",soil_organic_peat
"other, saline lake",water_hypersaline
"other, sand",soil_mineral
"other, sediment adjacent to sperm whale carcasses",unclassified
"other, soda lake",water_fresh_alkaline
feces,host_animal_endotherm_feces
sea water,water_marine
"engineered, industrial production, engineered product, free living",unclassified
"environmental, aquatic, marine, intertidal zone, salt marsh, free living",sediment_marine
"environmental, aquatic, marine, marginal sea, free living",water_marine
"environmental, aquatic, marine, oceanic, oil-contaminated",petroleum
"environmental, terrestrial, cave",unclassified
"environmental, terrestrial, soil, sand, desert",soil_arid
"host-associated, cnidaria, free living",host_animal_ectotherm
"host-associated, human, digestive system, oral, saliva, free living",host_animal_endotherm_oral
"host-associated, human, lympathic system, lymph nodes",host_animal_endotherm_intratissue
"host-associated, human, milk",milk
"host-associated, insecta, digestive system, free living",host_animal_ectotherm
"host-associated, mammals, circulatory system, blood",host_animal_endotherm_blood
"host-associated, mammals, circulatory system, blood, symbiotic, parasitic",host_animal_endotherm_blood
"host-associated, mammals, digestive system, stomach, rumen",host_animal_endotherm_rumen
"host-associated, mammals, nervous system",host_animal_endotherm_intratissue
"host-associated, mammals, respiratory system, nasopharyngeal, free living",host_animal_endotherm_nasopharyngeal
"other, drinking water",water_fresh
"other, human - blood",host_animal_endotherm_blood
"other, marine fish",host_animal_ectotherm
"other, seagrass",host_plant
"other, sediment",sediment
"other, tomb",unclassified
"other, wetland",unclassified
"soil, hypersaline soil",soil_saline
hot spring,water_hotspring
sediment,sediment
"engineered, wastewater, industrial wastewater, mine water",wastewater
"environmental, air, free living",unclassified
"environmental, aquatic, freshwater, ice",water_fresh_cold
"environmental, aquatic, marine, hydrothermal vents, diffuse flow",water_marine_hydrothermal
"environmental, aquatic, marine, intertidal zone, beach, free living",sediment_marine
"environmental, aquatic, marine, intertidal zone, free living",sediment_marine
"environmental, aquatic, marine, volcanic",water_marine_hydrothermal
"environmental, aquatic, non-marine saline and alkaline, hypersaline, sediment, free living",sediment_hypersaline
"host-associated, amphibia",host_animal_ectotherm
"host-associated, human, digestive system, hindgut, rectum",host_animal_endotherm_intestinal
"host-associated, human, digestive system, oral, symbiotic, parasitic",host_animal_endotherm_oral
"host-associated, human, nervous system",host_animal_endotherm_intratissue
"host-associated, insecta, digestive system, symbiotic",host_animal_ectotherm
other,unclassified
"other, cotton waste compost",compost
"other, deep-sea hydrothermal vent",water_marine_hydrothermal
"other, desert sand",soil_arid
"other, food-processing factory",food
"other, human-lung",host_animal_endotherm_nasopharyngeal
"other, marine animals",host_animal
"other, oil reservoir",petroleum
"other, peat bogs",soil_organic_peat
"other, permafrost",soil_organic_permafrost
"other, pigs",host_animal_endotherm
"other, seaweed",host_algae
"other, volcanic rock",rock
"other, wall of indoor environment",built_environment_surfaces
"engineered, built environment, oil refinery",built_environment_surfaces
"engineered, laboratory developed",unclassified
"environmental, aquatic, freshwater, groundwater, contaminated, free living",water_groundwater_surface
"environmental, aquatic, freshwater, wetlands, sediment",sediment_fresh
"environmental, aquatic, marine, oceanic, photic zone",water_marine
"environmental, aquatic, non-marine saline and alkaline, hypersaline, free living",water_hypersaline
"environmental, aquatic, non-marine saline and alkaline, saline, free living",water_hypersaline
"environmental, aquatic, thermal springs, hot (42-90c)",water_hotspring
"environmental, terrestrial, soil, crop, agricultural land",soil_agricultural
"host-associated, animal, symbiotic, commensal",host_animal_endotherm
"host-associated, animal, symbiotic, parasitic",host_animal_endotherm
"host-associated, human, circulatory system, blood, symbiotic, parasitic",host_animal_endotherm_blood
"host-associated, human, digestive system, oral, subgingival plaque, free living",host_animal_endotherm_oral
"host-associated, mammals, lymphatic, lymph nodes",host_animal_endotherm_intratissue
"host-associated, mammals, skin, free living",host_animal_endotherm_surface
"host-associated, plants, symbiotic, syntrophic",host_plant
"other, beach sand",sediment_marine
"other, biofilm",biofilm
"other, blood",host_animal_endotherm_blood
"other, contaminated groundwater",water_groundwater_surface
"other, cryotubes",unclassified
"other, earthworm gut",host_animal_ectotherm
"other, groundwater",water_groundwater_surface
"other, hch dumpsite",soil_contaminated
"other, hexachlorocyclohexane dump site",soil_contaminated
"other, human- blood",host_animal_endotherm_blood
"other, human blood sample",host_animal_endotherm_blood
"other, human gastric mucosa",host_animal_endotherm_intestinal
"other, human sputum",host_animal_endotherm_oral
"other, microbial mats",biofilm
"other, midgut of mosquito",host_animal_ectotherm
"other, mucus of coral",host_animal_ectotherm
"other, natural cave",unclassified
"other, rotten wood",litter
"other, sea anemone",host_animal_ectotherm
"other, sea sand",sediment_marine
"other, sea squirt",host_animal_ectotherm
"other, spiders",host_animal_ectotherm
"other, spiders and spiders' webs",host_animal_ectotherm
"other, starfish",host_animal_ectotherm
"other, water-cooling system",unclassified
"soil, acidic soil",soil
blood,host_animal_endotherm_blood
freshwater,water_fresh
kimchi,food_fermented
marine sediment,sediment_marine
"engineered, biotransformation, free living",unclassified
"engineered, food production, fermented seafood",food
"engineered, food production, silage fermentation, free living",food
"environmental, aquatic, freshwater, drinking water, free living",water_fresh
"environmental, aquatic, freshwater, ice, glacier",unclassified
"environmental, aquatic, freshwater, wetlands, free living",water_fresh
"environmental, aquatic, marine, hydrothermal vents, sediment, free living",water_marine_hydrothermal
"environmental, aquatic, marine, oceanic, oil-contaminated sediment",petroleum
"environmental, aquatic, marine, oceanic, oil-contaminated, free living",petroleum
"environmental, terrestrial, agricultural field, symbiotic, mutualistic",soil_agricultural
"environmental, terrestrial, soil, clay, oil-contaminated",soil_hydrocarbon_contaminated
"environmental, terrestrial, soil, oil-contaminated, free living",soil_hydrocarbon_contaminated
"host-associated, algae, green algae",host_algae
"host-associated, birds, digestive system, ceca",host_animal_endotherm_intestinal
"host-associated, birds, respiratory system",host_animal_endotherm_nasopharyngeal
"host-associated, fish, excretory system, kidneys",host_animal_ectotherm
"host-associated, human, digestive system, symbiotic, parasitic",host_animal_endotherm_intestinal
"host-associated, insecta, digestive system, symbiotic, commensal",host_animal_endotherm_intestinal
"host-associated, mammals, digestive system, foregut, rumen, symbiotic",host_animal_endotherm_rumen
"host-associated, mammals, digestive system, large intestine, cecum",host_animal_endotherm_intestinal
"host-associated, mammals, symbiotic",host_animal_endotherm
"host-associated, reptilia, free living",host_animal_ectotherm
"symbiotic, syntrophic",host
"food product, spoiled beer",food
"human - fecal, human faeces",host_animal_endotherm_feces
"other, abalone gut",host_animal_ectotherm
"other, air of a duck barn",unclassified
"other, beetle",host_animal_ectotherm
"other, biofilm from beer-bottling plant",biofilm
"other, blood of mice",host_animal_endotherm_blood
"other, catacombs",unclassified
"other, cave",unclassified
"other, clinical material",host_animal_endotherm
"other, coastal sea sediment",sediment_marine
"other, cocoa fermentations",food
"other, compost of distilled shochu",food
"other, contaminated sediment",sediment
"other, crude oil",petroleum
"other, desert",soil_arid
"other, human brain abscess",host_animal_endotherm_intratissue
"other, human clinical specimen",host_animal_endotherm
"other, hyperarid soils",soil_arid
"other, industrial environment",built_environment_surfaces
"other, isolated from mushroom stalk",host_fungus
"other, marine algae",host_algae
"other, microbial fuel cell",unclassified
"other, microbial mat",biofilm
"other, microbial mats found in lakes",water_fresh
"other, mushrooms",host_fungus
"other, nematode",host_animal_ectotherm
"other, nitrifying inoculum",unclassified
"other, oral cavities of bears",host_animal_endotherm_oral
"other, pig manure",host_animal_endotherm_feces
"other, raw milk",milk
"other, red alga",host_algae
"other, renal care center",unclassified
"other, salt-fermented seafood",food_fermented
"other, soda lake sediment",sediment_fresh_alkaline
"other, space laboratory",unclassified
"other, termite gut",host_animal_ectotherm
"other, various habitats in a wildlife reserve",unclassified
"other, volcanic ash",soil_mineral
"soil, lichen and soil sample",soil
"wastewater, anaerobic sludge",sludge
activated sludge,sludge
chrysochromulina tobin phycosphere,host_algae
environment,unclassified
fresh water,water_fresh
plant,host_plant
root,host_plant_root-associated
", , , , ",unclassified
"engineered, bioremediation, metal, free living",unclassified
"engineered, lab enrichment, defined media",unclassified
"engineered, lab enrichment, defined media, marine media",unclassified
"engineered, solid waste, solid animal waste, free living",host_animal_endotherm_feces
"engineered, wastewater, industrial wastewater, free living",wastewater
"engineered, wastewater, industrial wastewater, landfill leachate",wastewater
"environmental, aquatic, freshwater, pond, sediment",sediment_fresh
"environmental, aquatic, freshwater, wetlands, swamp",water_fresh
"environmental, aquatic, marine, hydrothermal vents, microbial mats",water_marine_hydrothermal
"environmental, aquatic, marine, symbiotic, commensal",host_animal_ectotherm
"environmental, aquatic, non-marine saline and alkaline, saline, sediment",sediment_hypersaline
"environmental, aquatic, thermal springs, sediment",water_hotspring
"environmental, terrestrial, soil, clay, agricultural land",soil_agricultural
"environmental, terrestrial, soil, loam, forest soil",soil_forest
"environmental, terrestrial, soil, permafrost, free living",soil_organic_permafrost
"environmental, terrestrial, soil, symbiotic, mutualistic",soil
"host-associated, animal, reproductive system, symbiotic, parasitic",host_animal_endotherm
"host-associated, animal, respiratory system, symbiotic, parasitic",host_animal_endotherm_nasopharyngeal
"host-associated, arthropoda, symbiotic, parasitic",host_animal_ectotherm
"host-associated, birds, respiratory system, lungs",host_animal_endotherm_nasopharyngeal
"host-associated, fish, excretory system, kidneys, free living",host_animal_ectotherm
"host-associated, human, lymphatic system, lymph nodes",host_animal_endotherm_intratissue
"host-associated, insecta, symbiotic, commensal",host_animal_ectotherm
"host-associated, mammals, circulatory system",host_animal_endotherm_blood
"host-associated, mammals, digestive system, fecal, uncharacterized",host_animal_endotherm_intestinal
"host-associated, mammals, excretory system, free living",host_animal_endotherm
"host-associated, mammals, gastrointestinal tract",host_animal_endotherm_intestinal
"host-associated, mammals, respiratory system, nasopharyngeal, nasal cavity",host_animal_endotherm_nasopharyngeal
"host-associated, mammals, respiratory system, symbiotic, parasitic",host_animal_endotherm_nasopharyngeal
"host-associated, microbial, dinoflagellates",host_algae
"host-associated, plants, free living, commensal",host_plant
"host-associated, plants, rhizoplane, free living, mutualistic",host_plant_root-associated
"host-associated, plants, rhizoplane, symbiotic, commensal",host_plant_root-associated
"host-associated, plants, rhizosphere, symbiotic, mutualistic",host_plant_root-associated
"food product, fermented seafood",food_fermented
"other, acidic peat bog",soil_organic_peat
"other, acidic peat bogs",soil_organic_peat
"other, activated sludge foam",sludge
"other, activated sludge sample",sludge
"other, air in a medical practice",unclassified
"other, algal mat",host_algae
"other, ambrosia beetle galleries",unclassified
"other, ark clam",host_animal_ectotherm
"other, base of mushroom",host_fungus
"other, bees",host_animal_ectotherm
"other, beetle gut",host_animal_ectotherm
"other, beetles",host_animal_ectotherm
"other, biofilter",unclassified
"other, biowaste composite reactor",bioreactor
"other, birds",host_animal_endotherm
"other, blood of field mouse",host_animal_endotherm_blood
"other, blood of japonese mouse",host_animal_endotherm_blood
"other, bovine rumen",host_animal_endotherm_rumen
"other, brown alga",host_algae
"other, butter",food
"other, cattle",host_animal_endotherm
"other, cerebrospinal fluid",host_animal_endotherm_intratissue
"other, cheese",food
"other, chinchilla feces",host_animal_endotherm_feces
"other, chlorinated solvent-contaminated groundwater",water_groundwater_surface
"other, clinical specimens",host_animal_endotherm
"other, clinical specimens and water samples",unclassified
