dsmz_list,dsmz_risk_category,A,B,C,D,E,F,G,H,I,overall_score
AMORPHOSPORANGIUM,1,-,-,1,-,-,-,-,-,-,1
AMORPHUS,1,-,-,-,-,-,-,-,-,-,1
AMPHIBACILLUS,1,-,-,1,-,-,-,-,1,-,1
AMPHRITEA,1,-,-,-,-,-,-,-,-,-,1
AMPULLARIELLA,1,-,-,-,-,-,-,-,-,-,1
AMYCOLATA,1,-,-,-,-,-,-,-,-,-,1
AMYCOLATOPSIS BENZOATILYTICA,2,-,-,1,-,-,-,-,1,-,2
AMYCOLATOPSIS KENTUCKYENSIS,2,-,-,2,-,-,-,-,1,-,2
AMYCOLATOPSIS LEXINTONENSIS,2,-,-,2,-,-,-,-,1,-,2
AMYCOLATOPSIS PRETORIENSIS,2,-,-,2,-,-,-,-,1,-,2
ANAEROARCUS,1,-,-,1,-,-,-,-,-,-,1
ANAEROBACTER,1,-,-,1,-,-,-,-,1,-,1
ANAEROBACULUM,1,-,-,1,-,-,-,-,1,-,1
ANAEROBIOSPIRILLUM SUCCINICIPRODUCENS,2,-,-,2,-,-,-,-,2,-,2
ANAEROBIOSPIRILLUM THOMASII,2,-,-,2,-,-,-,-,2,-,2
ANAEROBRANCA,1,-,-,1,-,-,-,-,1,-,1
ANAEROCELLUM,1,-,-,-,-,-,-,-,-,-,1
ANAEROCOCCUS MURDOCHII,2,-,-,1,-,-,-,-,-,-,1
ANAEROCOCCUS PREVOTII,2,2,-,2,-,-,-,-,-,-,2
ANAEROCOCCUS VAGINALIS,2,2,-,2,-,-,-,-,-,-,2
ANAEROFILUM,1,-,-,1,-,-,-,-,1,-,1
ANAEROFLEXUS,1,-,-,-,-,-,-,-,-,-,1
ANAEROFUSTIS,1,-,-,-,-,-,-,-,-,-,1
ANAEROMUSA,1,-,-,1,-,-,-,-,-,-,1
ANAEROPHAGA,1,-,-,1,-,-,-,-,-,-,1
ANAEROPLASMA,1,-,-,1,-,-,-,-,1,-,1
ANAERORHABDUS FURCOSUS,-,2,-,2,-,-,-,-,2,-,2
ANAEROSINUS,1,-,-,1,-,-,-,-,-,-,1
ANAEROSPORA HONGKONGENSIS,2,-,-,-,-,-,-,-,-,-,2
ANAEROSPOROBACTER,1,-,-,-,-,-,-,-,-,-,1
ANAEROSTIPES,1,-,-,1,-,-,-,-,-,-,1
ANAEROTRUNCUS,1,-,-,1,-,-,-,-,-,-,1
ANAEROVIBRIO,1,-,-,1,-,-,-,-,1,-,1
ANAEROVIRGULA,1,-,-,-,-,-,-,-,-,-,1
ANAEROVORAX,1,-,-,1,-,-,-,-,-,-,1
ANAPLASMA CAUDATUM,-,2,-,2,-,2,-,-,2,-,2
ANAPLASMA CENTRALE,-,2,-,2,-,3,-,-,2,-,2
ANAPLASMA MARGINALE,-,2,-,2,-,3,-,-,2,-,2
ANAPLASMA OVIS,-,2,-,2,-,2,-,-,2,-,2
ANAPLASMA PHAGOCYTOPHILUM,-,-,2,-,-,-,-,-,-,,2
ANAPLASMA PLATYS,-,-,-,2,-,-,-,-,-,-,2
ANCALOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
ANCYLOBACTER,1,-,-,1,-,-,-,-,1,-,1
ANDREPREVOTIA,1,-,-,1,-,-,-,-,-,-,1
ANEURINIBACILLUS,1,-,1,1,-,-,-,-,1,-,1
ANGIOCOCCUS,1,-,-,1,-,-,-,-,1,-,1
ANGULOMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
ANOXYBACILLUS,1,-,-,1,-,-,-,-,-,-,1
ANOXYNATRONUM,1,-,-,1,-,-,-,-,-,-,1
ANTARCTOBACTER,1,-,-,1,-,-,-,-,-,-,1
APIOSPORINA MORBOSA,-,2,-,-,-,-,-,-,-,-,2
AQUABACTERIUM,1,-,-,1,-,-,-,-,-,-,1
AQUAMICROBIUM,1,-,-,1,-,-,-,-,1,-,1
AQUASPIRILLUM,1,-,1,1,-,-,-,-,1,-,1
AQUICELLA,1,-,-,1,-,-,-,-,-,-,1
AQUIFEX,1,-,-,1,-,-,-,-,1,-,1
AQUIFLEXUM,1,-,-,-,-,-,-,-,-,-,1
AQUIMARINA,1,-,-,-,-,-,-,-,-,-,1
AQUIMONAS,1,-,-,-,-,-,-,-,-,-,1
AQUINCOLA,1,-,-,-,-,-,-,-,-,-,1
AQUISALIBACILLUS,1,-,-,-,-,-,-,-,-,-,1
AQUISALIMONAS,1,-,-,-,-,-,-,-,-,-,1
ARACHNIA,1,-,-,-,-,2,-,-,-,-,2
ARCANOBACTERIUM BERNARDIAE,2,2,-,2,-,-,-,-,2,-,2
ARCANOBACTERIUM BIALOWIEZENSE,2,-,-,-,-,-,-,-,-,-,2
ARCANOBACTERIUM BONASI,2,-,-,-,-,-,-,-,-,-,2
ARCANOBACTERIUM HAEMOLYTICUM,2,-,2,2,2,2,2,2,2,,2
ARCANOBACTERIUM PHOCAE,2,-,-,2,-,-,-,-,2,-,2
ARCANOBACTERIUM PYOGENES,2,2,2,2,-,-,2,-,2,,2
ARCANOBACTERIUM SUIS,-,2,-,-,-,-,-,-,-,-,2
ARCHANGIUM,1,-,-,1,-,-,-,-,1,-,1
ARCICELLA,1,-,-,1,-,-,-,-,-,-,1
ARCOBACTER BUTZLERI,2,2,-,2,-,-,-,-,2,-,2
ARCOBACTER CIBARIUS,2,2,-,-,-,-,-,-,-,-,2
ARCOBACTER CRYAEROPHILUS,2,-,2,-,-,-,-,2,-,,2
ARENIBACTER,1,-,-,1,-,-,-,-,-,-,1
ARENIMONAS,1,-,-,-,-,-,-,-,-,-,1
ARHODOMONAS,1,-,-,1,-,-,-,-,1,-,1
ARIZONA,1,-,-,-,-,-,-,-,-,-,1
ARSENOPHONUS NASONIAE,1,2,-,1,-,2,-,-,1,-,1
ARTHROBACTER ALBUS,1,-,1,2,-,-,-,-,-,-,2
ARTHROBACTER CREATINOLYTICUS,-,-,-,-,-,-,-,-,2,-,2
ARTHROBACTER CRYSTALLOPOIETES,1,-,1,2,-,-,-,-,1,-,2
ARTHROBACTER GANDAVENSIS,1,-,1,2,-,-,-,-,1,-,2
ARTHROBACTER LUTEOLUS,1,-,1,2,-,-,-,-,1,-,2
ARTHROBACTER WOLUWENSI,1,-,1,2,-,-,-,-,1,-,2
ASACCHAROBACTER,1,-,-,-,-,-,-,-,-,-,1
ASAIA,1,-,-,1,-,-,-,-,-,-,1
ASANOA,1,-,-,1,-,-,-,-,-,-,1
ASIOSPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
ASPROMONAS,1,-,-,-,-,-,-,-,-,-,1
ASTICCACAULIS,1,-,-,1,-,-,-,-,1,-,1
ASTROSPORANGIUM,1,-,-,-,-,-,-,-,-,-,1
ATOPOBIUM FOSSOR,2,2,-,2,-,-,-,-,2,-,2
ATOPOBIUM MINUTUM,2,2,-,2,-,-,-,-,2,-,2
ATOPOBIUM PARVULUM,2,2,-,2,-,-,-,-,2,-,2
ATOPOBIUM RIMAE,2,2,-,2,-,-,-,-,2,-,2
ATOPOBIUM VAGINAE,-,-,-,-,-,-,-,-,2,-,2
ATOPOCOCCUS,1,-,-,-,-,-,-,-,-,-,1
ATOPODIUM MINUTUS,-,2,-,-,-,-,-,-,-,-,2
ATOPOSTIPES,1,-,-,-,-,-,-,-,-,-,1
AURANTIMONAS,1,-,-,-,-,-,-,-,-,-,1
AUREOBACTERIUM,1,-,-,-,-,-,-,-,1,-,1
AVIBACTERIUM ENDOCARDITIDIS,2,-,-,-,-,-,-,-,-,-,2
AVIBACTERIUM GALLINARUM,2,2,-,-,-,-,-,-,-,-,2
AVIBACTERIUM PARAGALLINARUM,-,2,-,-,-,-,-,-,-,-,2
AZOARCUS,1,-,-,1,-,-,-,-,1,-,1
AZOMONAS,1,-,-,1,-,-,-,-,1,-,1
AZOMONOTRICHON,1,-,-,-,-,-,-,-,-,-,1
AZORHIZOBIUM,1,-,-,1,-,-,-,-,1,-,1
AZORHIZOPHILUS,-,-,1,-,-,-,-,1,-,,1
AZOSPIRA,1,-,-,1,-,-,-,-,-,-,1
AZOSPIRILLUM,1,-,-,1,-,-,-,-,1,-,1
AZOTOBACTER,1,-,-,1,-,-,-,-,1,-,1
,,,,,,,,,,,NA
BACILLUS ANTHRACIS,-,3,-,3,3,3,3,3,3,3,3
BACILLUS CEREUS,2,2,2,2,-,OP,-,-,2,2,2
BACILLUS IDRIENSIS,2,-,-,-,-,-,-,-,-,-,2
BACILLUS INFANTIS,2,-,-,-,-,-,-,-,-,-,2
BACILLUS LENTIMORBUS,-,-,-,-,-,2,-,-,1,-,1
BACILLUS POPULIAE,-,-,-,-,-,2,-,-,1,-,1
BACILLUS SPHAERICUS,2,2,-,1,-,2,-,-,1,-,2
BACILLUS THURINGIENSIS,-,2,-,1,-,2,-,-,1,-,2
BACILLUS WEIHENSTEPHANENSIS,-,-,2,-,-,-,-,1,-,,1
BACTERIOLYTICUM,1,-,-,-,-,-,-,-,-,-,1
BACTERIONEMA,1,-,-,-,-,-,-,-,-,-,1
BACTERIOVORAX,1,-,-,1,-,-,-,-,-,-,1
BACTERIUM,1,-,-,-,-,-,-,-,-,-,1
BACTEROIDES CACCAE,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES CAPILLOSUS,-,2,-,2,-,2,-,-,2,2,2
BACTEROIDES CELLULOSILYTICANS,2,-,-,2,-,2,-,-,1,2,2
BACTEROIDES COAGULANS,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES DISTASONIS,-,-,-,2,-,2,-,-,2,2,2
BACTEROIDES EGGERTHII,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES FORSYTHUS,-,-,-,-,-,-,-,-,2,2,2
BACTEROIDES HELCOGENES,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES MASSILIENSIS,2,-,-,-,-,2,-,-,-,2,2
BACTEROIDES NORDII,2,-,-,-,-,2,-,-,-,2,2
BACTEROIDES OVATUS,2,2,2,2,-,2,-,-,2,2,2
BACTEROIDES PUTREDINIS,-,-,-,-,-,-,-,-,2,2,2
BACTEROIDES PYOGENES,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES SALYERSIA,2,-,-,-,-,2,-,-,-,2,2
BACTEROIDES SPLANCHNICUS,2,-,2,-,2,-,-,2,2,,2
BACTEROIDES STERCORIS,-,-,-,-,-,-,-,-,2,2,2
BACTEROIDES SUIS,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES TECTUS,2,2,-,2,-,2,-,-,2,2,2
BACTEROIDES THETAIOTAOMICRON,2,2,2,2,-,2,-,-,2,2,2
BACTEROIDES UNIFORMIS,2,2,2,2,-,2,-,-,2,2,2
BACTEROIDES UREOLYTICUS,2,2,2,2,-,2,-,-,2,2,2
BACTEROIDES VULGATUS,-,-,2,1,-,2,-,-,1,2,2
BACTEROIDES XYLANISOLVENS,-,-,1,-,2,-,-,1,2,,2
BALNEARIUM,1,-,-,1,-,-,-,-,-,-,1
BALNEATRIX ALPICUM,2,2,-,2,-,-,-,-,2,-,2
BALNEOLA,1,-,-,-,-,-,-,-,-,-,1
BARNESIELLA,1,-,-,-,-,-,-,-,-,-,1
BARTONELLA ALSATICA,-,-,-,-,-,-,-,-,2,2,2
BARTONELLA BACILLIFORMIS,2,-,2,2,2,2,2,2,2,,2
BARTONELLA BIRTLESII,2,-,-,2,2,2,2,-,-,2,2
BARTONELLA BOVIS,2,-,-,2,2,2,2,-,-,2,2
BARTONELLA CAPREOLI,2,-,-,2,2,2,2,-,-,2,2
BARTONELLA CLARRIDGEIAE,-,-,-,2,2,2,2,-,2,2,2
BARTONELLA DOSHIAE,-,3,-,2,2,2,2,-,2,2,2
BARTONELLA ELIZABETHA,-,3,-,2,2,2,2,-,2,2,2
BARTONELLA HENSELAE,-,-,-,2,2,2,2,-,2,2,2
BARTONELLA PEROMYSCI,2,-,3,-,2,2,2,2,-,2,2
BARTONELLA QUINTANA,2,3,-,2,2,2,2,-,2,2,2
BARTONELLA SCHOENBUCHENSIS,-,-,2,2,2,2,-,-,2,,2
BARTONELLA TALPAE,-,3,-,2,2,2,2,-,2,2,2
BARTONELLA TAYLORII,-,3,-,2,2,2,2,-,2,2,2
BARTONELLA TRIBOCORUM,-,-,-,-,-,-,-,-,2,2,2
BARTONELLA VINSONII,-,3,-,2,2,2,2,-,2,2,2
BDELLOVIBRIO,1,-,-,1,2,-,-,-,1,-,1
BEGGIATOA,1,-,-,1,-,-,-,-,1,-,1
BEIJERINCKIA,1,-,-,1,-,-,-,-,1,-,1
BELLIELLA,1,-,-,1,-,-,-,-,-,-,1
BELLILINEA,1,-,-,-,-,-,-,-,-,-,1
BELNAPIA,1,-,-,-,-,-,-,-,-,-,1
BENECKEA,1,-,-,-,-,2,-,-,1,-,1
BERGERIELLA,1,-,-,-,-,-,-,-,2,-,1
BERGEYELLA ZOOHELCUM,2,2,-,-,-,-,-,-,-,-,2
BETABACTERIUM,1,-,-,-,-,-,-,-,-,-,1
BEUTENBERGIA,1,-,-,1,-,-,-,-,-,-,1
