genus, species, strain, growth_rate, growth_units, pH, temperature_C
Acinetobacter,baylyi,ADPU331,,,,30.0
Acinetobacter,baylyi,ADPU331,,,,30.0
Acinetobacter,baylyi,ADPU331,,,,30.0
Acinetobacter,baylyi,ADPU331,,,,30.0
Acinetobacter,baylyi,ADPU331,,,,30.0
Leishmania,major,-,,,7.2,25.0
Komagataella,pastoris,"DSMZ 70382",0.2,1/h,5.0,25.0
Yersinia,pestis,EV76,0.153482,1/h,7.0,37.0
Yersinia,pestis,EV76,0.338452,1/h,7.0,37.0
Yersinia,pestis,EV76,0.249687,1/h,7.0,37.0
Pseudomonas,aeruginosa,PA01,1.048,1/h,,37.0
Chlamydomonas,reinhardtii,-,0.035,1/h,7.0,25.0
Chlamydomonas,reinhardtii,-,0.059,1/h,7.0,25.0
Chlamydomonas,reinhardtii,-,0.066,1/h,7.0,25.0
Yersinia,pestis,EV76_Vwa+,0.220019,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.18523,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.133934,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.118103,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.112746,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.232536,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.175393,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.146303,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.138923,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.135219,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.261842,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.235401,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.200397,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.18255,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.0825093,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.286211,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.256796,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.20965,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.189272,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.126642,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.373287,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.359242,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.333222,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.237281,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.138769,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.273259,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.287823,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.355116,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.263502,1/h,7.8,37.0
Yersinia,pestis,EV76_Vwa+,0.160298,1/h,7.8,37.0
Yersinia,pestis,EV76,0.144251,1/h,7.3,37.0
Yersinia,pestis,EV76,0.130638,1/h,7.5,37.0
Yersinia,pestis,EV76,0.21227,1/h,7.8,37.0
Yersinia,pestis,EV76,0.258876,1/h,8.0,37.0
Yersinia,pestis,EV76,0.290842,1/h,7.3,37.0
Yersinia,pestis,EV76,0.374108,1/h,7.5,37.0
Yersinia,pestis,EV76,0.370165,1/h,7.8,37.0
Yersinia,pestis,EV76,0.255269,1/h,8.0,37.0
Yersinia,pestis,EV76,0.34794,1/h,7.3,37.0
Yersinia,pestis,EV76,0.257277,1/h,7.5,37.0
Yersinia,pestis,EV76,0.326348,1/h,7.8,37.0
Yersinia,pestis,EV76,0.381366,1/h,8.0,37.0
Porphyromonas,gingivalis,W83,0.067,1/h,,37.0
Porphyromonas,gingivalis,W50,0.021,1/h,,37.0
Porphyromonas,gingivalis,LH9,0.013,1/h,,37.0
Porphyromonas,gingivalis,WPH15,0.031,1/h,,37.0
Porphyromonas,gingivalis,WPH34,0.028,1/h,,37.0
Porphyromonas,gingivalis,HG91,0.034,1/h,,37.0
Porphyromonas,gingivalis,HG184,0.029,1/h,,37.0
Porphyromonas,gingivalis,Hg185,0.042,1/h,,37.0
Clostridium,acetobutylicum,P262,0.233676,1/h,7.0,34.0
Clostridium,acetobutylicum,"ATCC 824",0.030824,1/h,6.6,22.0
Clostridium,acetobutylicum,SA-2,0.0426216,1/h,6.6,22.0
Clostridium,acetobutylicum,"ATCC 824",0.066,1/h,6.6,37.0
Clostridium,acetobutylicum,SA-2,0.087,1/h,6.6,37.0
Clostridium,acetobutylicum,"ATCC 824",0.1,1/h,6.6,42.0
Clostridium,acetobutylicum,SA-2,0.14,1/h,6.6,42.0
"Klebsiella ",pneumoniae,-,0.293,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.57,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.481,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.965,1/h,,37.0
"Klebsiella ",pneumoniae,-,1.084,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.804,1/h,,37.0
Escherichia,coli,"O157:H7 RIMD0509952",1.08465,1/h,7.4,37.0
Escherichia,coli,O157:H7,0.42,1/h,7.0,37.0
Escherichia,coli,"ATCC 23794",0.558,1/h,7.0,37.0
Escherichia,coli,"ATCC 23794",0.533,1/h,7.0,37.0
Escherichia,coli,"ATCC 23794",0.442,1/h,7.0,37.0
Escherichia,coli,"ATCC 23794",0.531,1/h,7.0,37.0
Escherichia,coli,JCL1225[pJF118],0.52,1/h,,37.0
Escherichia,coli,JCL1225[pPC201],0.57,1/h,,37.0
Escherichia,coli,JCL1535[pJF118],0.52,1/h,,37.0
Escherichia,coli,JCL1535[pPC201],0.51,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.658,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.834,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.57,1/h,,37.0
"Klebsiella ",pneumoniae,-,0.76,1/h,,37.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
"Klebsiella ",pneumoniae,-,,,7.0,30.0
Clostridium,acetobutylicum,"ATCC 824",0.0226754,1/h,6.6,22.0
Clostridium,acetobutylicum,SA-2,0.033283,1/h,6.6,22.0
Clostridium,acetobutylicum,"ATCC 824",0.0071706,1/h,6.6,22.0
Clostridium,acetobutylicum,SA-2,0.0113646,1/h,6.6,22.0
Clostridium,acetobutylicum,"ATCC 824",0.0408424,1/h,6.6,37.0
Clostridium,acetobutylicum,SA-2,0.0828931,1/h,6.6,37.0
Clostridium,acetobutylicum,"ATCC 824",0.0050548,1/h,6.6,37.0
Clostridium,acetobutylicum,SA-2,0.0362459,1/h,6.6,37.0
Clostridium,acetobutylicum,"ATCC 824",0.0532017,1/h,6.6,42.0
Clostridium,acetobutylicum,SA-2,0.0647308,1/h,6.6,42.0
Clostridium,beijerinckii,"NCIMB 8052",0.22142,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.295,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.266,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.11,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.206,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.17,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.262,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.271,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.165,1/h,,37.0
Escherichia,coli,"O157:H7 ATCC 43895",0.241,1/h,,37.0
Escherichia,coli,HB101,0.42,1/h,7.0,37.0
Escherichia,coli,HB101,0.9,1/h,7.0,37.0
Escherichia,coli,HB101,,,7.4,37.0
Escherichia,coli,HB101,0.242,1/h,,37.0
Escherichia,coli,HB101,0.18,1/h,,37.0
Escherichia,coli,HB101,0.82,1/h,7.0,37.0
Escherichia,coli,HB101,0.98,1/h,7.0,37.0
Escherichia,coli,HB101,0.4,1/h,7.0,37.0
Escherichia,coli,HB101,0.46,1/h,7.0,37.0
Escherichia,coli,HB101,0.38,1/h,7.0,37.0
Escherichia,coli,JM109,0.001,1/h,7.0,30.0
Escherichia,coli,"JM109[pEcoR4,pRK248cI,pMTC48]",0.58,1/h,7.0,30.0
Escherichia,coli,JM109,0.412,1/h,,37.0
Escherichia,coli,JM109,0.258,1/h,,37.0
Escherichia,coli,"JM109[pUC 13]",0.092,1/h,7.3,37.0
Escherichia,coli,"JM109[pUC 13]",0.106,1/h,7.3,37.0
Escherichia,coli,"JM109[pUC 13]",0.141,1/h,7.3,37.0
Escherichia,coli,"JM109[pUC 13]",0.186,1/h,7.3,37.0
Escherichia,coli,"JM109[pUC 13]",0.102,1/h,7.3,37.0
Escherichia,coli,BW25113,0.85,1/h,7.0,37.0
Escherichia,coli,BW25113_pflA-,0.18,1/h,7.0,37.0
Escherichia,coli,BW25113_pta-,0.24,1/h,7.0,37.0
Escherichia,coli,BW25113_ppc-,0.01,1/h,7.0,37.0
Escherichia,coli,BW25113_adhE-,0.03,1/h,7.0,37.0
Escherichia,coli,BW25113_pykF-,0.48,1/h,7.0,37.0
Escherichia,coli,BW25113,0.8304,1/h,7.0,37.0
Escherichia,coli,BW25113_pflB-,0.789,1/h,7.0,37.0
Escherichia,coli,BW25113,0.62,1/h,7.0,37.0
Escherichia,coli,BW25113,0.38,1/h,7.0,37.0
Escherichia,coli,BW25113_gnd-,0.6,1/h,7.0,37.0
Escherichia,coli,BW25113_gnd-,0.39,1/h,7.0,37.0
Escherichia,coli,BW25113_zwf-,0.56,1/h,7.0,37.0
Escherichia,coli,BW25113_zwf-,0.36,1/h,7.0,37.0
Escherichia,coli,BW25113,0.41,1/h,7.0,37.0
Escherichia,coli,BW25113_ppc-,0.34,1/h,7.0,37.0
Escherichia,coli,BW25113,0.2466,1/h,7.0,37.0
Escherichia,coli,BW25113_zwf-,0.1829,1/h,7.0,37.0
Escherichia,coli,BW25113,0.3217,1/h,7.0,37.0
Escherichia,coli,BW25113_zwf-,0.2447,1/h,7.0,37.0
Escherichia,coli,K-10,0.96,1/h,7.2,37.0
Escherichia,coli,K-10,0.64,1/h,,
Escherichia,coli,K-10,0.533,1/h,,
Escherichia,coli,K-10,0.743,1/h,,
Escherichia,coli,K-10,0.69,1/h,6.5,37.0
Escherichia,coli,"MG1655 / pKB2",0.547,1/h,,37.0
Escherichia,coli,"MG1655 / pKB2",0.349,1/h,,37.0
Escherichia,coli,"MG1655 / pKB2",0.297,1/h,,37.0
Escherichia,coli,"MG1655 / pKB2",0.193,1/h,,37.0
Escherichia,coli,"VH1000 :: ppcnB-lacZ",0.832,1/h,,37.0
Escherichia,coli,"VH1000 :: ppcnB-lacZ",0.54,1/h,,37.0
Escherichia,coli,"VH1000 :: ppcnB-lacZ",0.484,1/h,,37.0
Escherichia,coli,"VH1000 :: ppcnB-lacZ",0.31,1/h,,37.0
Escherichia,coli,MG1655[pBR322],0.717,1/h,,37.0
Escherichia,coli,MG1655[pBR322],0.785,1/h,,37.0
Escherichia,coli,MG1655[pPP1],0.832,1/h,,37.0
Escherichia,coli,MG1655[pPP1],0.785,1/h,,37.0
Escherichia,coli,W3110[pBR322],0.63,1/h,,37.0
Escherichia,coli,W3110[pBR322],0.693,1/h,,37.0
Escherichia,coli,W3110[pPP1],0.705,1/h,,37.0
Escherichia,coli,W3110[pPP1],0.682,1/h,,37.0
Thermotoga,maritima,-,0.555,1/h,6.5,85.0
Escherichia,coli,ML30G,0.763,1/h,,37.0
Escherichia,coli,TS689,0.749,1/h,,37.0
Escherichia,coli,K-12,0.562,1/h,,37.0
Salmonella,enterica,"Typhimurium LT2",0.612,1/h,,37.0
Escherichia,coli,MG1655,0.78025,1/h,,37.0
Escherichia,coli,MDS12,0.743908,1/h,,37.0
Escherichia,coli,MG1655,0.61,1/h,,37.0
Escherichia,coli,W3110,0.55,1/h,,37.0
Escherichia,coli,JM101,0.69,1/h,,37.0
Escherichia,coli,K-10_Zwf-,0.68,1/h,,37.0
Escherichia,coli,W3110_Pgi-,0.17,1/h,,37.0
Escherichia,coli,K-10_PfkA-,0.08,1/h,,37.0
Escherichia,coli,JM101_PykAF-,0.6,1/h,,37.0
Escherichia,coli,K-12_Mae-_Pck-,0.41,1/h,,37.0
Escherichia,coli,MG1655_SdhA-_Mdh-,0.5,1/h,,37.0
Escherichia,coli,K-12_FumA-,0.67,1/h,,37.0
Rhizobium,etli,CE3,0.208424,1/h,6.8,28.0
Rhizobium,etli,12-53,0.0142805,1/h,6.8,28.0
Rhizobium,etli,12-53,0.311643,1/h,6.8,28.0
Rhizobium,etli,CE3,0.290801,1/h,6.8,28.0
Rhizobium,etli,12-53,0.101234,1/h,6.8,28.0
Rhizobium,etli,CE3,0.234228,1/h,6.8,28.0
Rhizobium,etli,12-53,0.252099,1/h,6.8,28.0
Rhizobium,etli,CE3,0.262018,1/h,6.8,28.0
Rhizobium,etli,12-53,0.234232,1/h,6.8,28.0
Clostridium,thermocellum,"ATCC 27405",,,7.4,60.0
Escherichia,coli,MC4100,0.93,1/h,7.4,37.0
Escherichia,coli,MC4100,0.5,1/h,7.4,37.0
Escherichia,coli,MC4100,0.5,1/h,7.4,37.0
Escherichia,coli,MC4100,0.65,1/h,7.4,37.0
Escherichia,coli,MC4100,0.72,1/h,7.4,37.0
Escherichia,coli,MC4100,0.54,1/h,7.4,37.0
Escherichia,coli,MC4100,0.33,1/h,,
Escherichia,coli,MC4100,1.3,1/h,7.0,
Escherichia,coli,MC4100,0.54,1/h,,37.0
Escherichia,coli,MC4100,0.22,1/h,,37.0
Rhizobium,etli,CE3,0.221402,1/h,6.8,28.0
Rhizobium,etli,CE3,0.125596,1/h,6.8,28.0
Rhizobium,etli,M4,0.113385,1/h,6.8,28.0
Rhizobium,etli,"Viking 1",0.0444817,1/h,6.8,28.0
Rhizobium,etli,CIAT613,0.0388748,1/h,6.8,28.0
Escherichia,coli,W3110,0.24,1/h,7.4,37.0
Escherichia,coli,W3110,0.97,1/h,,
Escherichia,coli,W3110,0.112,1/h,7.0,37.0
Rhizobium,etli,CE3,0.313989,1/h,6.8,28.0
Rhizobium,etli,M4,0.0383764,1/h,6.8,28.0
Rhizobium,etli,"Viking 1",0.0470983,1/h,6.8,28.0
Rhizobium,etli,CIAT613,0.125596,1/h,6.8,28.0
Rhizobium,etli,CE3,0.251191,1/h,6.8,28.0
Rhizobium,etli,M4,0.298289,1/h,6.8,28.0
Rhizobium,etli,"Viking 1",0.308756,1/h,6.8,28.0
Rhizobium,etli,CIAT613,0.248574,1/h,6.8,28.0
Rhizobium,etli,CFN42,0.393358,1/h,6.8,28.0
Rhizobium,etli,CFN42,0.353506,1/h,6.8,28.0
Rhizobium,etli,ReTV1,0.121525,1/h,6.8,28.0
Rhizobium,etli,ReTV2,0.121525,1/h,6.8,28.0
Rhizobium,etli,ReTV1,0.39016,1/h,6.8,28.0
Rhizobium,etli,ReTV2,0.3262,1/h,6.8,28.0
Rhizobium,etli,CFNX186,0.121525,1/h,6.8,28.0
Rhizobium,etli,CFNX186-4,0.281427,1/h,6.8,28.0
Rhizobium,etli,CFNX186-24,0.281427,1/h,6.8,28.0
Rhizobium,etli,CFNX186,0.268635,1/h,6.8,28.0
Rhizobium,etli,CFNX186-4,0.281427,1/h,6.8,28.0
Rhizobium,etli,CFNX186-24,0.281427,1/h,6.8,28.0
Vibrio,vulnificus,C7184,0.142541,1/h,,37.0
Vibrio,vulnificus,C7184,0.921034,1/h,,37.0
Natronomonas,pharaonis,"DSM 2160",0.0868833,1/h,9.2,40.0
Bacillus,subtilis,168,1.342,1/h,6.5,37.0
Bacillus,subtilis,168,1.54,1/h,6.5,
Shewanella,oneidensis,MR-1,0.694849,1/h,7.0,
Shewanella,oneidensis,SO4118,0.537122,1/h,7.0,
Shewanella,oneidensis,SO3855,0.422618,1/h,7.0,
Shewanella,oneidensis,SO4606/SO2363,0.465863,1/h,7.0,
Shewanella,oneidensis,SO4606,0.381525,1/h,7.0,
Shewanella,oneidensis,MR-1,0.26096,1/h,7.0,
Shewanella,oneidensis,SO0781,0.315539,1/h,7.0,
Shewanella,oneidensis,MR-1,0.221467,1/h,7.0,
Shewanella,oneidensis,SO0781,0.112307,1/h,7.0,
Shewanella,oneidensis,MR-1,0.0556068,1/h,7.0,
Shewanella,oneidensis,SO0781,0.0301294,1/h,7.0,
Shewanella,oneidensis,MR-1,0.26609,1/h,7.0,
Shewanella,oneidensis,MR-1,0.191711,1/h,7.0,
Shewanella,oneidensis,MR-1,0.304784,1/h,7.0,
Shewanella,oneidensis,MR-1,0.231172,1/h,7.0,
Escherichia,coli,BL21(DE3),,,,
Escherichia,coli,B834(DE3),,,,
Escherichia,coli,BL21(DE3),,,,
Escherichia,coli,B834(DE3),,,,
Escherichia,coli,BL21(DE3),,,,
Escherichia,coli,B834(DE3),,,,
Escherichia,coli,BL21(DE3),,,,
Escherichia,coli,B834(DE3),,,,
Escherichia,coli,BL21,0.33472,1/h,7.0,37.0
Escherichia,coli,BL21,0.20776,1/h,7.0,37.0
Escherichia,coli,BL21,0.15851,1/h,7.0,37.0
Escherichia,coli,BL21,0.13373,1/h,7.0,37.0
Escherichia,coli,BL21(DE3),0.408,1/h,7.0,37.0
Escherichia,coli,BL21(DE3),0.63,1/h,7.0,37.0
Escherichia,coli,BL21(DE3),0.533,1/h,7.0,37.0
Pseudomonas,putida,KT2440,0.56,1/h,,30.0
Pseudomonas,putida,KT2440,0.72,1/h,,30.0
Pseudomonas,putida,KT2440,0.26,1/h,,30.0
Pseudomonas,putida,KT2440,0.43,1/h,,30.0
Pseudomonas,putida,KT2440,0.54,1/h,,30.0
Bacillus,subtilis,1S53,0.108,1/h,6.8,37.0
Bacillus,subtilis,1S53,0.489,1/h,6.8,37.0
Bacillus,subtilis,1S53,0.64,1/h,6.8,37.0
Bacillus,subtilis,1S53,0.252,1/h,,37.0
Bacillus,subtilis,1S53,0.347,1/h,,37.0
Bacillus,subtilis,168,0.347,1/h,6.8,37.0
Bacillus,subtilis,168,0.693,1/h,6.8,37.0
Bacillus,subtilis,168,0.924,1/h,6.8,37.0
Bacillus,subtilis,168,0.489,1/h,,37.0
Bacillus,subtilis,168,0.924,1/h,,37.0
Bacillus,subtilis,168,0.756,1/h,,37.0
Bacillus,subtilis,JH642,0.28466,1/h,,
Bacillus,subtilis,JH642,0.271165,1/h,,
Bacillus,subtilis,JH642,0.3631,1/h,,
Bacillus,subtilis,JH642,0.282973,1/h,,
Bacillus,subtilis,JH642,0.319663,1/h,,
Bacillus,subtilis,JH642,0.288456,1/h,,
Bacillus,subtilis,JH642,0.431629,1/h,,
Bacillus,subtilis,JH642,0.260411,1/h,,
Bacillus,subtilis,JH642,0.480338,1/h,,
Bacillus,subtilis,JH642,0.25767,1/h,,
Bacillus,subtilis,JH642,0.377649,1/h,,
Bacillus,subtilis,JH642,0.234897,1/h,,
Bacillus,subtilis,LAB2135,0.194834,1/h,,
Bacillus,subtilis,LAB2136,0.278967,1/h,,
Bacillus,subtilis,LAB2234,0.301107,1/h,,
Bacillus,subtilis,LAB2339,0.194834,1/h,,
Bacillus,subtilis,LAB2341,0.221402,1/h,,
Bacillus,subtilis,LAB2408,0.278967,1/h,,
Bacillus,subtilis,LAB2439,0.256827,1/h,,
Bacillus,subtilis,LAB2506,0.252399,1/h,,
Bacillus,subtilis,LAB2135,0.256827,1/h,,
Bacillus,subtilis,LAB2136,0.305535,1/h,,
Bacillus,subtilis,LAB2234,0.283395,1/h,,
Bacillus,subtilis,LAB2339,0.221402,1/h,,
Bacillus,subtilis,LAB2341,0.212546,1/h,,
Bacillus,subtilis,LAB2408,0.305535,1/h,,
Bacillus,subtilis,LAB2439,0.265683,1/h,,
Bacillus,subtilis,LAB2506,0.283395,1/h,,
Bacillus,subtilis,"ATCC 6051",0.667829,1/h,6.8,
Bacillus,subtilis,"ATCC 6051_pyk+",0.066332,1/h,6.8,
Bacillus,subtilis,168CA,1.02245,1/h,,
Bacillus,subtilis,168CA,0.721183,1/h,,
Bacillus,subtilis,GM1501,0.238825,1/h,,
Bacillus,subtilis,GM1501,0.760544,1/h,,
Bacillus,subtilis,GM1500,0.504798,1/h,,
Bacillus,subtilis,GM1500,0.106273,1/h,,
Bradyrhizobium,japonicum,"USDA 110",0.0315,1/h,7.0,28.0
Bradyrhizobium,japonicum,"USDA 110",0.0578,1/h,7.0,28.0
Bradyrhizobium,japonicum,"USDA 110",0.0546,1/h,6.8,28.0
Hydrogenobacter,thermophilus,TK-6,0.36,1/h,7.0,70.0
Hydrogenobacter,thermophilus,TK-6,0.046,1/h,7.0,70.0
Salmonella,enterica,"Typhimurium LT2",0.832,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.652,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.624,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.575,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.575,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.561,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.541,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.437,1/h,7.0,
Salmonella,enterica,"Typhimurium LT2",0.43,1/h,7.0,
Salmonella,enterica,Typhimurium,0.08,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.2,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.36,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.54,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.1,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.19,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.21,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.29,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.075,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.051,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.056,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.11,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.03,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.03,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.051,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.11,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.022,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.0215,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.021,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.108,1/h,7.0,37.0
Salmonella,enterica,Typhimurium,0.062,1/h,4.0,37.0
Salmonella,enterica,Typhimurium,0.118,1/h,5.0,37.0
Salmonella,enterica,Typhimurium,0.147,1/h,6.0,37.0
Salmonella,enterica,Typhimurium,0.125,1/h,7.0,37.0
