id,full_text
25,"Houtsma, P.C., B.J.M. Kusters, J.C. Dewit, F.M. RomboutsM.H. Zwietering (1994) Modeling growth-rates of Listeria-innocua as a function of lactate concentration. International Journal of Food Microbiology. 24(1-2): p. 113-123, DOI: 10.1016/0168-1605(94)90111-2."
26,"Gaillard, J.-L., P. Berche, J. Mounier, S. RichardP. Sansonetti (1987) In vitro model of penetration and intracellular growth of Listeria monocytogenes in the human enterocyte-like cell line Caco-2. Infection and immunity. 55(11): p. 2822-2829."
27,"Mukhopadhyay, B., E.F. JohnsonR.S. Wolfe (1999) Reactor-scale cultivation of the hyperthermophilic methanarchaeon Methanococcus jannaschii to high cell densities. Applied and Environmental Microbiology. 65(11): p. 5059-5065."
28,"Huber, R., M. Kurr, H.W. JannaschK.O. Stetter (1989) A novel group of abyssal methanogenic archaebacteria (Methanopyrus) growing at 110-degrees-c. Nature. 342(6251): p. 833-834, DOI: 10.1038/342833a0."
29,"Baev, M., L. Chistoserdova, B. Polanuer, V. Sterkin, M. Kiriukhin, et al. (1992) Effect of formaldehyde on growth of obligate methylotroph Methylobacillus flagellatum in a substrate non-limited continuous culture. Archives of microbiology. 158(2): p. 145-148."
30,"Odriozola, J.M., E. Waitzkin, T.L. SmithK. Bloch (1978) Sterol requirement of Mycoplasma-capricolum. Proceedings of the National Academy of Sciences of the United States of America. 75(9): p. 4107-4109, DOI: 10.1073/pnas.75.9.4107."
31,"Kazama, S., T. YagihashiT. Nunoya (1986) Properties of Mycoplasma-gallisepticum grown in a medium supplemented with liposomes as a substitute for serum. Microbiology and Immunology. 30(9): p. 923-929."
32,"Lluch-Senar, M., E. QuerolJ. Pinol (2010) Cell division in a minimal bacterium in the absence of ftsZ. Molecular Microbiology. 78(2): p. 278-289, DOI: 10.1111/j.1365-2958.2010.07306.x."
33,"Meyns, T., D. Maes, D. Calus, S. Ribbens, J. Dewulf, et al. (2007) Interactions of highly and low virulent Mycoplasma hyopneumoniae isolates with the respiratory tract of pigs. Veterinary microbiology. 120(1): p. 87-95."
34,"Rosengarten, R.H. Kirchhoff (1989) Growth morphology of Mycoplasma mobile 163K on solid surfaces: Reproduction, aggregation, and microcolony formation. Current Microbiology. 18(1): p. 15-22."
35,"March, J.B., J. ClarkM. Brodlie (2000) Characterization of strains of Mycoplasma mycoides subsp mycoides small colony type isolated from recent outbreaks of contagious bovine pleuropneumonia in Botswana and Tanzania: Evidence for a new biotype. Journal of Clinical Microbiology. 38(4): p. 1419-1425."
36,"Somerson, N.L., W.D. James, B.E. WallsR.M. Chanock (1967) Growth of Mycoplasma pneumoniae on a glass surface. Annals of the New York Academy of Sciences. 143(A1): p. 384-&, DOI: 10.1111/j.1749-6632.1967.tb27680.x."
37,"Dybvig, K., J.W. Simecka, H.L. WatsonG.H. Cassell (1989) High-frequency variation in Mycoplasma-pulmonis colony size. Journal of Bacteriology. 171(9): p. 5165-5168."
38,"Kimura, Y., H. Saiga, H. HamanakaH. Matoba (2006) Myxococcus xanthus twin-arginine translocation system is important for growth and development. Archives of Microbiology. 184(6): p. 387-396, DOI: 10.1007/s00203-005-0067-3."
39,"Jahn, U., M. Gallenberger, W. Paper, B. Junglas, W. Eisenreich, et al. (2008) Nanoarchaeum equitans and Ignicoccus hospitalis: New insights into a unique, intimate association of two archaea. Journal of Bacteriology. 190(5): p. 1743-1750, DOI: 10.1128/jb.01731-07."
40,"Mellbye, B.L., P.J. BottomleyL.A. Sayavedra-Soto (2015) Nitrite-oxidizing bacterium Nitrobacter winogradskyi produces N-acyl-homoserine lactone autoinducers. Applied and environmental microbiology. 81(17): p. 5917-5926."
41,"Sato, C., J.L. Schnoor, D.B. McDonaldJ. Huey (1985) Test medium for the growth of Nitrosomonas europaea. Applied and environmental microbiology. 49(5): p. 1101-1107."
42,"Summers, M.L., J.G. Wallis, E.L. CampbellJ.C. Meeks (1995) Genetic evidence of a major role for glucose-6-phosphate dehydrogenase in nitrogen fixation and dark growth of the cyanobacterium Nostoc sp. strain ATCC 29133. Journal of Bacteriology. 177(21): p. 6184-6194."
43,"Nogi, Y., N. MasuiC. Kato (1998) Photobacterium profundum sp. nov., a new, moderately barophilic bacterial species isolated from a deep-sea sediment. Extremophiles. 2(1): p. 1-7, DOI: 10.1007/s007920050036."
44,"Bowen, M., D. Co, F. Inman IIIL. Holmes (2012) Microbial kinetics of Photorhabdus luminescens in glucose batch cultures. Explorations: The Journal of Undergraduate Research and Creative Activities for the State of North Carolina. 7: p. 14-22."
45,"Hall, G.S., K. Prattrippin, D.M. Meisler, J.A. Washington, T.J. Roussel, et al. (1994) Growth curve for Propionibacterium-acnes. Current Eye Research. 13(6): p. 465-466, DOI: 10.3109/02713689408999875."
46,"Giuliani, M., E. Parrilli, P. Ferrer, K. Baumann, C. Marino, et al. (2011) Process optimization for recombinant protein production in the psychrophilic bacterium Pseudoalteromonas haloplanktis. Process Biochemistry. 46(4): p. 953-959, DOI: 10.1016/j.procbio.2011.01.011."
47,"Völkl, P., R. Huber, E. Drobner, R. Rachel, S. Burggraf, et al. (1993) Pyrobaculum aerophilum sp. nov., a novel nitrate-reducing hyperthermophilic archaeum. Applied and Environmental Microbiology. 59(9): p. 2918-2926."
48,"Huber, R., M. Sacher, A. Vollmann, H. HuberD. Rose (2000) Respiration of arsenate and selenate by hyperthermophilic archaea. Systematic and Applied Microbiology. 23(3): p. 305-314."
49,"Erauso, G., A.L. Reysenbach, A. Godfroy, J.R. Meunier, B. Crump, et al. (1993) Pyrococcus-abyssi sp-nov, a new hyperthermophilic archaeon isolated from a deep-sea hydrothermal vent. Archives of Microbiology. 160(5): p. 338-349."
50,"Fiala, G.K.O. Stetter (1986) Pyrococcus furiosus sp. nov. represents a novel genus of marine heterotrophic archaebacteria growing optimally at 100 C. Archives of Microbiology. 145(1): p. 56-61."
51,"González, J.M., Y. Masuchi, F.T. Robb, J.W. Ammerman, D.L. Maeder, et al. (1998) Pyrococcus horikoshii sp. nov., a hyperthermophilic archaeon isolated from a hydrothermal vent at the Okinawa Trough. Extremophiles. 2(2): p. 123-130."
52,"Stevens, P., L.S. van OverbeekJ.D. van Elsas (2011) Ralstonia solanacearum ?PGI-1 strain KZR-5 is affected in growth, response to cold stress and invasion of tomato. Microbial ecology. 61(1): p. 101-112."
53,"Nishimura, K., H. Shimada, S. Hatanaka, H. Mizoguchi, H. Ohta, et al. (1998) Growth, pigmentation, and expression of the puf and puc operons in a light-responding-repressor (SPB)-disrupted Rhodobacter sphaeroides. Plant and Cell Physiology. 39(4): p. 411-417."
54,"Chaudhuri, S.K.D.R. Lovley (2003) Electricity generation by direct oxidation of glucose in mediatorless microbial fuel cells. Nature biotechnology. 21(10): p. 1229."
55,"Van der Woude, B., M. De Boer, N. Van der Put, F. Van der Geld, R. Prins, et al. (1994) Anaerobic degradation of halogenated benzoic acids by photoheterotrophic bacteria. FEMS microbiology letters. 119(1-2): p. 199-207."
56,"Manor, E.I. Sarov (1990) Inhibition of Rickettsia-conorii growth by recombinant tumor necrosis factor-alpha - enhancement of inhibition by gamma-interferon. Infection and Immunity. 58(6): p. 1886-1890."
57,"Keysary, A., A. Itzhaki, E. Rubinstein, C. OronG. Keren (1996) The in-vitro anti-rickettsial activity of macrolides. Journal of Antimicrobial Chemotherapy. 38(4): p. 727-731, DOI: 10.1093/jac/38.4.727."
58,"Berry, L.J., M.K. Deropp, M.H. FairE.M. Schur (1956) Dynamics of bacterial infections in mice under conditions known to alter survival time. Journal of Infectious Diseases. 98(2): p. 198-207."
59,"Pradella, S., A. Hans, C. Spröer, H. Reichenbach, K. Gerth, et al. (2002) Characterisation, genome size and genetic manipulation of the myxobacterium Sorangium cellulosum So ce56. Archives of microbiology. 178(6): p. 484-492."
60,"Ostrowski, M., R. Cavicchioli, M. BlaauwJ.C. Gottschal (2001) Specific growth rate plays a critical role in hydrogen peroxide resistance of the marine oligotrophic ultramicrobacterium Sphingomonas alaskensis strain RB2256. Applied and Environmental Microbiology. 67(3): p. 1292-1299, DOI: 10.1128/aem.67.3.1292-1299.2001."
61,"Paoletti, L.C., R.A. RossK.D. Johnson (1996) Cell growth rate regulates expression of group B Streptococcus type III capsular polysaccharide. Infection and Immunity. 64(4): p. 1220-1226."
62,"Beckers, H.J.A.J.S. van der Hoeven (1982) Growth-rates of Actinomyces-viscosus and Streptococcus-mutans during early colonization of tooth surfaces in gnotobiotic-rats. Infection and Immunity. 35(2): p. 583-587."
63,"Ju, L.K.P. Kankipati (1998) Toxicity of dibenzothiophene to thermophile Sulfolobus acidocaldarius grown in sucrose medium. Journal of Biotechnology. 63(3): p. 219-227, DOI: 10.1016/s0168-1656(98)00089-3."
64,"De Rosa, M., A. Gambacorta, B. Nicolaus, P. Giardina, E. Poerio, et al. (1984) Glucose metabolism in the extreme thermoacidophilic archaebacterium Sulfolobus solfataricus. Biochemical Journal. 224(2): p. 407-414."
65,"Jensen, S.M., V.L. Neesgaard, S.L.N. Skjoldbjerg, M. Brandl, C.S. Ejsing, et al. (2015) The effects of temperature and growth phase on the lipidomes of Sulfolobus islandicus and Sulfolobus tokodaii. Life. 5(3): p. 1539-1566."
66,"Yu, J., M. Liberton, P.F. Cliften, R.D. Head, J.M. Jacobs, et al. (2015) Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO2. Scientific reports. 5."
67,"Mouttaki, H., M.A. NannyM.J. McInerney (2008) Use of benzoate as an electron acceptor by Syntrophus aciditrophicus grown in pure culture with crotonate. Environmental Microbiology. 10(12): p. 3265-3274, DOI: 10.1111/j.1462-2920.2008.01716.x."
68,"Freisleben, H.-J., L. Henkel, R. Gutermann, P. Rudolph, G. John, et al. (1994) Fermentor cultivation of Thermoplasma acidophilum for the production of cell mass and of the main phospholipid fraction. Applied microbiology and biotechnology. 40(5): p. 745-752."
69,"Kawashima, T., K. Yokoyama, S. HiguchiM. Suzuki (2005) Identification of proteins present in the archaeon Thermoplasma volcanium cultured in aerobic or anaerobic conditions. Proceedings of the Japan Academy Series B-Physical and Biological Sciences. 81(6): p. 204-219, DOI: 10.2183/pjab.81.204."
70,"Fieldsteel, A.H., D.L. CoxR.A. Moeckli (1981) Cultivation of virulent Treponema pallidum in tissue culture. Infection and immunity. 32(2): p. 908-915."
71,"Sayed, I.G. Kenny (1978) Effect of ammonium ion concentration and osmotic pressure on growth of Ureaplasma urealyticum (T-strain mycoplasma). Journal of bacteriology. 134(3): p. 967-972."
72,"Pradhan, S., A.K. Baidya, A. Ghosh, K. PaulR. Chowdhury (2010) The El Tor biotype of Vibrio cholerae exhibits a growth advantage in the stationary phase in mixed cultures with the classical biotype. Journal of bacteriology. 192(4): p. 955-963."
73,"Ruby, E.L. Asato (1993) Growth and flagellation of Vibrio fischeri during initiation of the sepiolid squid light organ symbiosis. Archives of microbiology. 159(2): p. 160-167."
74,"Starks, A.M., K.L. Bourdage, P.C. ThiavilleP.A. Gulig (2006) Use of a marker plasmid to examine differential rates of growth and death between clinical and environmental strains of Vibrio vulnificus in experimentally infected mice. Molecular Microbiology. 61(2): p. 310-323, DOI: 10.1111/j.1365-2958.2006.05227.x."
75,"Kousik, C.S.D.F. Ritchie (1996) Disease potential of pepper bacterial spot pathogen races that overcome the Bs2 gene for resistance. Phytopathology. 86(12): p. 1336-1343."
76,"Kim, S.-Y., B.-M. LeeJ.-Y. Cho (2010) Relationship between glucose catabolism and xanthan production in Xanthomonas oryzae pv. oryzae. Biotechnology Letters. 32(4): p. 527-531, DOI: 10.1007/s10529-009-0193-0."
77,"Sha, J., J.J. Endsley, M.L. Kirtley, S.M. Foltz, M.B. Huante, et al. (2011) Characterization of an F1 Deletion Mutant of Yersinia pestis CO92, Pathogenic Role of F1 Antigen in Bubonic and Pneumonic Plague, and Evaluation of Sensitivity and Specificity of F1 Antigen Capture-Based Dipsticks. Journal of Clinical Microbiology. 49(5): p. 1708-1715, DOI: 10.1128/jcm.00064-11."
78,"Palonen, E., M. Lindstrom, R. Karttunen, P. SomervuoH. Korkeala (2011) Expression of Signal Transduction System Encoding Genes of Yersinia pseudotuberculosis IP32953 at 28 degrees C and 3 degrees C. Plos One. 6(9), DOI: 10.1371/journal.pone.0025063."
79,"Jobses, I.M.L.J.A. Roels (1986) The inhibition of the maximum specific growth and fermentation rate of Zymomonas-mobilis by ethanol. Biotechnology and Bioengineering. 28(4): p. 554-563, DOI: 10.1002/bit.260280412."
