Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
marine sediment	2013	doi: 10.1099/ijs.0.040600-0	 AB445007	70.8	facultative anaerobe	1.3	0.5	non-motile	not indicated	catalase positive	Paraoerskovia	marina	CTT-37	7.5	06/10/14	28	Oct-35	4	0-8	yes	rod	none	219	NBRC104352|DSM21750	"arabinose, cellobiose, fructose, galactose, glucose, glycogen, maltose, mannose, sucrose, trehalose, xylose"		positive		Yes
other	2010	10.1099/ijs.0.017533-0	 AB490807 	60.8-61	anaerobic	1-3.3	0.5-1	non-motile	no	aesculin hydrolysis	Collinsella	tanakaei	YIT 12063	7	7	37	37	0	0	yes	rod	chain	2639	DSM22478|JCM16071	"cellobiose, glucose, lactose, maltose, mannose, salicin, sucrose"		positive	human faeces	No
seawater	2010	10.1099/ijs.0.016147-0	 AB500095	43.8	aerobic	1.8-4.5	0.4-0.6	non-motile	not indicated	"catalase positive, oxidase positive"	Marinicella	litoralis	KMM 3900	8.5-9.5	06-Nov	25-28	May-35	02-Mar	01-May	yes	rod	chain	1613	NRIC0758|JCM16154	"adipate, arabinose, citric acide (citrate), gluconic acid, glucose, malate, maltose, mannitol, mannose, Tween 20, Tween 40, Tween 80"		negative		No
other	2010	10.1099/ijs.0.018069-0	 AB500145	54	aerobic	01-Feb	0.7-1	non-motile	yes	catalase positive	Thermosporothrix	hazakensis	SK20-1	7	5.4-8.7	50	31-58	0	0	yes	rod	chain	1794	JCM16142|ATCCBAA-1881	"fructose, glucose, mannitol, raffinose, rhamnose, sucrose, xylose"		positive	compost	No
"freshwater (river, lake, pond)"	2010	10.1099/ijs.0.016980-0	 AB506456	59	facultative anaerobe	0.8-2	0.4-0.6	"motile, but unspecified structure"	not indicated	"nitrate reduction to nitrite, oxidase positive"	Sulfuricella 	denitrificans	skB26	7.5-8	06-Sep	22	0-28	0	0	yes	rod	chain	2862	NBRC105220|DSM22764			negative		No
other	2010	10.1099/ijs.0.018127-0	 AB514449	73	aerobic	01-Feb	0.3-0.5	non-motile	yes	aesculin hydrolysis	Pseudonocardia	babensis	VN05A0561	7	7	28	Oct-45	0-3	0-3	yes	rod	chain	2336	VTCC-A-1757|NBRC105793	"arabinose, arabitol, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, melibiose, raffinose, rhamnose, salicin, sorbitol, sucrose, trehalose, xylitol, xylose"		positive	plant litter	No
hotspring	2012	10.1099/ijs.0.028654-0	 AB586707	63.4	aerobic	1.7-10.0	0.4	non-motile	no	"acid phosphatase, alkaline phosphatase, nitrate reduction to nitrite, oxidase positive"	Meiothermus	hypogaeus	AZM34c11	7.6	5.9-8.7	50	35-57	0-0.3%	No more than 0.6%	yes	rod	not indicated	112	NBRC=106114|DSM=23238	"asparagine, cellobiose, fructose, galactose, glucose, glutamic acid, glycerol, lactose, maltose, mannose, melibiose, pyruvic acid (pyruvate), sucrose, trehalose, xylose"		negative		No
plant associated	2012	10.1099/ijs.0.033019-0	 AB607860	70.2	aerobic	1.8	1.3	"motile, but unspecified structure"	no	catalase positive	Methylobacterium	oxalidis	35a	Not indicated	Not indicated	Not indicated	28-35	Not required for growth	No more than 2%	yes	rod	not indicated	1647	DSM=24028|NBRC=107715	"acetate, formic acid, fructose, glutamic acid, lactate, malonic acid (malonate), methyl pyruvate, propionic acid (propionate), succinic acid (succinate)"		negative		Yes
wastewater	2005	10.1099/ijs.0.02332-0	 AF179678	66	aerobic	2.75	2.75	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, urease positive"	Defluvicoccus	 vanus	Ben 114T	7.75	5-8.5	25	20-30				cocci	clump	2105	NCIMB13612T|CIP107350T	"3-hydroxybutyrate, acetate, adonitol, arabinose, aspartic acid (aspartate), fructose, glucose, glutamic acid, lactate, malate, methyl pyruvate, propionic acid (propionate), putrescine, pyruvic acid (pyruvate), quinic acid, sorbitol, succinic acid (succinate), threonine, xylose"		negative		Yes
other	2004	10.1099/ijs.0.02799-0	 AF212202	57.3	facultative aerobe	2.5	1	flagella	no	"catalase positive, nitrate reduction to nitrite, oxidase positive"	Halomonas	neptunia	Eplume1T	7.5	05-Dec	30	-36	2.5	0.5 - 27	no	rod	not indicated	499	BAA-805T|CECT5815T|DSM15720T	"acetate, alanine, alanine, arabinose, arginine, asparagine, cellobiose, citric acide (citrate), ethanol, fructose, galactose, glucose, glycerol, malate, malonic acid (malonate), maltose, mannitol, mannose, melibiose, proline, raffinose, rhamnose, ribose, sorbitol, succinic acid (succinate), sucrose, trehalose, xylose"		negative	hydrothermal plume	Yes
soil	2010	10.1099/ijs.0.013078-0	 AF333759	67.1	aerobic	3.75	0.75	"motile, but unspecified structure"	not indicated	"catalase positive, H2S production, indole production, nitrate reduction to nitrite, oxidase positive"	Halopiger	aswanensis	56	7.5	6-9.2	40	40-55	23.75	At least 10%	yes	rod	not indicated	633	DSM=13151|JCM=11628	"arabinose, fructose, glucose, maltose, sucrose, xylose"		negative		No
other	2006	10.1099/ijs.0.63941-0	 AF493696 	37.5	aerobic	1-2.5	0.6-0.7	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Epilithonimonas	tenax	EP105	7	7	30	Apr-30	0	0	yes	rod	chain	169	NCIMB14026|DSM16811	"acetate, dextrin, glucose, glutamic acid, glycogen, maltose, mannose, ornithine, proline, serine, sucrose, threonine, trehalose"		negative	epilithon-covered stones	No
other	2008	10.1099/ijs.0.65517-0	 AJ313020	62.8	aerobic	0.9	0.6	not indicated	no	"catalase positive, oxidase positive"	Alkanibacter	difficilis	MN154.3	7	7	30	23-37	0	0	yes	rod	chain	2324	DSM14804|LMG22842	"3-hydroxybutyrate, succinic acid (succinate)"		negative	biofilter from oil mill	No
other	2007	10.1099/ijs.0.64953-0	 AJ427626	63.6	aerobic	2.5-3.2	1.2-1.3	flagella	no	"catalase positive, H2S production, nitrate reduction to nitrite"	Chromohalobacter	salarius	 CG4.1T	7	05-Sep	35	15-45	7.5-10	Mar-25	yes	rod	not indicated	1238	CECT5903T|LMG23626T	"acetate, citric acide (citrate), formic acid, fructose, galactose, gluconic acid, glucose, lactate, lactose, malate, malonic acid (malonate), mannitol, mannose, propionic acid (propionate), pyruvic acid (pyruvate), succinic acid (succinate)"		negative	solar saltern	No
soil	2005	10.1099/ijs.0.02892-0	 AJ543328	67.1	anaerobic	4.5	0.9	flagella	not indicated		Marichromatium	indicum	JA100T	6.75	6-7.5	32.5	25-39	2.5	0.05-13	yes	rod	clump	673	DSM15907T|ATCCBAA-741T|JCM12653T	"acetate, fructose, lactate, malate, propionic acid (propionate), pyruvic acid (pyruvate), urea"		negative		No
other	2004	10.1099/ijs.0.63165-0	 AJ555193					non-motile	no	"alkaline phosphatase, pyrazinamidase"	Corynebacterium	ciconiae	CECT5779T								rod		2191	BS13T|CCUG47525T	"fructose, glucose, glycerol, maltose, mannose, N-acetylgulcosamine, ribose"		positive	stork trachea	No
food product	2004	10.1099/ijs.0.63190-0	 AJ582753	40.5	facultative anaerobe			non-motile	no	aesculin hydrolysis	Enterococcus	italicus	DSM15952T	9.6		37	Oct-45	5	05-Jun	no	cocci	chain	1717	LMG22039T	"cellobiose, fructose, galactose, glucose, lactose, maltose, mannose, methyl beta-D-glucoside, N-acetylgulcosamine, salicin, sucrose, trehalose"		positive		No
other	2005	10.1099/ijs.0.03056-0	 AJ585428	34.15		2	0.5	non-motile	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Flavobacterium	psychrolimnae	LMG22018T			20	May-25	1	0-2	yes	rod	not indicated	769	CIP108326T	"glucose, maltose, mannose"		negative	microbial mats	No
food product	2005	10.1099/ijs.0.63274-0	 AJ632158	51	facultative anaerobe	11	1	non-motile	no		Lactobacillus	acidifarinae 	LMG22200T			7.5	<15	2.5	<5	yes	rod	chain	615	R-19065T|CCM7240T	"arabinose, arabitol, fructose, glucose, maltose, mannitol, ribose, xylose"		positive		No
soil	2005	10.1099/ijs.0.63397-0	 AJ715385	43.2	microerophile	5	0.9	"motile, but unspecified structure"	yes	"aesculin hydrolysis, catalase positive, gelatinase, nitrate reduction to nitrite"	Aneurinibacillus	terranovensis	Logan B-1599T	5.25	3.5-6.0	41	20-55	<2	"not indicated, inhibited by 2-3%"	no	rod	chain	1039	LMG22483T|CIP108308T	"adonitol, alanine, alanine, arabitol, arginine, aspartic acid (aspartate), citric acide (citrate), fructose, galactose, galcturonic acid, gelatin, gluconic acid, glucosamine, glucose, glutamic acid, glycerol, lactate, lactose, malate, mannitol, mannose, myo-inositol, N-acetylgulcosamine, proline, putrescine, ribose, sorbitol, succinic acid (succinate), sucrose, trehalose"		variable		No
soil	2005	10.1099/ijs.0.63383-0	 AJ716019	45	anaerobic	3	0.75	not indicated	yes	"aesculin hydrolysis, catalase positive"	Paenibacillus	barcinonensis	 BP-23T	7.7	5-10.4	25	Oct-40	2.5	<5	yes	rod	not indicated	935	CECT7022T|DSM15478T	"arabinose, cellobiose, fructose, galactose, gluconic acid, glucose, glycerol, lactose, maltose, mannitol, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose, xylose"		positive		No
other	2005	10.1099/ijs.0.03056-0	 AJ811961	35.2		3.5	1.25	non-motile	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Flavobacterium	fryxellicola	LMG22022T			20	May-25	1	0-2	yes	rod	chain	769	CIP108325T	"glucose, maltose"		negative	microbial mats	No
bioreactor	2005	10.1099/ijs.0.63706-0	 AJ853908	69.7	NA			non-motile	no	"aesculin hydrolysis, catalase positive, nitrate reduction to nitrite, oxidase positive"	Microbacterium	xylanilyticum	S3-ET	7	06-Aug	27.5	25-30	2.5	1-6.5	yes	rod	clump	2075	DSM16914T|KCTC19079T	"arabinose, cellobiose, fructose, galactose, glucose, glycerol, glycogen, lactose, maltose, mannitol, mannose, melibiose, proline, raffinose, ribose, salicin, sucrose, threonine, trehalose, xylose"		positive		No
other	2006	10.1099/ijs.0.63863-0	 AJ920289	72.3	aerobic			not indicated	yes	catalase positive	Dietzia	cinnamea	IMMIB RIV-399	7	7	35-45	22-45	0	0	yes	rod	chain	641	DSM44904|CCUG50875	"acetate, glucose, maltose"		positive	a perianal swab of a patient with a bone marrow transplant	No
other	2006	10.1099/ijs.0.63985-0	 AJ971483	59	aerobic			non-motile	yes	"aesculin hydrolysis, oxidase positive"	Cohnella	thermotolerans	CCUG 47242	7	7	25-30	25-55	0	0	yes	rod	chain	781	CCUG47242|CIP108492|DSM17683	"arabinose, cellobiose, fructose, galactose, gluconic acid, glucose, maltose, mannose, melibiose, rhamnose, ribose"		positive	industrial starch production	No
other	2006	10.1099/ijs.0.63954-0	 AM039978	60.3	aerobic	04-May	0.4-0.5	non-motile	no	"catalase positive, H2S production, oxidase positive, urease positive"	Halovivax	asiasticus	EJ-46	7-7.5	06-Sep	37	25-45	20	15-25	yes	rod	chain	765	CGMCC1.4248|CECT7098	"acetate, glutamic acid, lactose, propionic acid (propionate), raffinose, trehalose, xylose"		negative	saline lake	No
marine sediment	2008	10.1099/ijs.0.65439-0	 AM117931	62.6	aerobic	02-May	0.3-0.4	flagella	no	oxidase positive	Spongiispira	norvegica	Gp_4_7.1	07-Aug	6.5-8.5	20-30	Jun-37	02-Mar	02-Jul	yes	rod	chain	1815	DSM17749|NCIMB14401	arabinose		negative	marine sponge	No
soil	2007	10.1099/ijs.0.64472-0	 AM229324	70.95		1.4	0.45	flagella	no	"oxidase positive, urease positive"	Aspromonas	composti	TR7-09 T	7	06-Sep	30	20-42		<3		rod	not indicated	1876	KCTC12666T|DSM18010 T	"3-hydroxybenzoate, 3-hydroxybenzoate, 5-ketoguconate, acetate, glycogen, malonic acid (malonate), rhamnose, serine, suberic acid"		negative		No
other	2008	10.1099/ijs.0.65731-0	 AM396260	73	aerobic	1.3-1.5	0.3-0.4	non-motile	no	catalase positive	Agrococcus	jejuensis	SSW1-48	7	6.1-12.1	30	Oct-37	0-3	0-3	yes	rod	chain	2297	KCTC19198|JCM14256	"glucose, malate, maltose, mannitol, mannose, N-acetylgulcosamine"		positive	seaweed	No
other	2008	10.1099/ijs.0.65833-0	 AM709786	40.8	aerobic	0.7-1		non-motile	no		Pediococcus	argentinicus	LMG 23999	04-Aug	04-Aug	40	40	0-6	0-6	yes	cocci	chain	2909	CCUG54535|CRL776	"cellobiose, fructose, galactose, glucose, mannitol, mannose, N-acetylgulcosamine, salicin, sucrose"		positive	wheat flour	No
seawater	2008	10.1099/ijs.0.65446-0	 AM745437	38.9	aerobic	1.48-2.99	0.6-0.78	non-motile	no	"aesculin hydrolysis, catalase positive, oxidase positive"	Eudoraea	adriatica	AS06/20a	7.5-8	6.5-8.5	30	15-33	2	02-Jun	no	rod	chain	2275	DSM19308|CIP109577|OOB358	"acetate, adipate, arabinose, arginine, caprate, citric acide (citrate), gluconic acid, glucose, malate, mannitol, mannose, N-acetylgulcosamine, phenylacetate, propionic acid (propionate), pyruvic acid (pyruvate)"		negative		No
soil	2008	I 10.1099/ijs.0.65515-0	 AM773821		aerobic	3.5	1.25	flagella	yes	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, urease positive"	Bacillus	cecembensis	PN5	06-Aug	06-Aug	25	Apr-30	0-3	0-3	yes	rod	chain	2330	LMG23935|MTCC9127|JCM15113	"citric acide (citrate), trehalose"		positive	soil sample from Pindari glacier	No
seawater	2009	10.1099/ijs.0.002683-0	 AM904562	61	aerobic	0.9	1.8	flagella	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, oxidase positive"	Nautella	italica	LMG 24365T	7.25	5.5-9	24	Apr-45	2.5	01-Jul	yes	rod	clump	811	CCUG55857T	Tween 80		negative		No
other	2005	10.1099/ijs.0.63083-0	 AY253658	41.3	anaerobic	1.2	0.9	non-motile	no		Lactobacillus	gastricus	 Kx156A7T			33.5	25-42			no	rod	clump	77	LMG22113T|DSM16045T|CCUG48454T	"arabinose, cellobiose, fructose, galactose, gluconic acid, glucose, lactate, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose"		positive	human gastric mucosa	No
soil	2006	10.1099/ijs.0.63836-0	 AY260167	76.5	aerobic			not indicated	yes	nitrate reduction to nitrite	Kitasatospora	sampliensis	VT-36	07-Aug	07-Sep	30	30-37	0-2.5	0-2.5	yes	rod	chain	519	MTCC6546|DSM44898|JCM13010	"arabinose, fructose, mannitol, raffinose, rhamnose, sucrose, xylose"		positive		No
other	2004	10.1099/ijs.0.02926-0	 AY331143	55.5	anaerobic	11.5	0.5	flagella	yes		Mahella	australiensis	50-1  BONT	7.5	5.5-8.5	50	30-60	0.5	0-4		rod		2169	DSM15567T|CIP107919T	"arabinose, cellobiose, fructose, galactose, glucose, mannose, sucrose, xylose"		positive	oil field	No
other	2005	10.1099/ijs.0.63085-0	 AY340622	74	aerobic			non-motile	not indicated		Pseudonocardia	dioxanivorans	CB1190T			30	Oct-37	2.5	<5		rod	not indicated	593	ATCC55486T|DSM44775T	"alaninamide, cellobiose, fructose, galactose, gluconic acid, mannitol, putrescine, rhamnose, ribose, salicin, succinic acid (succinate), trehalose, xylitol, xylose"		positive	industrial sludge	Yes
hypersaline environment	2005	10.1099/ijs.0.63787-0	 AY351389	42.2	aerobic	1.9	0.9	flagella	yes	"catalase positive, gelatinase, oxidase positive"	Halobacillus	aidingensis	AD-6T 	7.5	6.0-10.0	32	15-40	10	0.5-20	yes	rod	clump	1991	JCM12772T|CGMCC1.3704T	"fructose, glucose, maltose, mannitol, sucrose, trehalose"		positive		No
marine sediment	2005	10.1099/ijs.0.63236-0	 AY485792	42	facultative anaerobe	2.1	0.325	non-motile	no	"alkaline phosphatase, catalase positive"	Marinilactibacillus	piezotolerans	LT20T	7.5	5.5-10	38.5	Apr-50	1.49	0-11.91		rod	not indicated	345	DSM16108T|JCM12337T	"acetate, cellobiose, ethanol, fructose, galactose, glucose, lactose, maltose, mannitol, sorbitol, sucrose, xylose"		positive		No
seawater	2004	10.1099/ijs.0.63151-0	 AY517632	58	anaerobic	2.25	0.75	flagella	no	nitrate reduction to nitrite	Marinobacter	flavimaris	SW-145T	7.5	5.5-8.0	37	30-37	4	<20		rod	not indicated	1799	KCTC12185T|DSM16070T	"fructose, glycerol, succinic acid (succinate), Tween 20, Tween 40, Tween 60, Tween 80"		negative		No
soil	2004	10.1099/ijs.0.63172-0	 AY526861	46		3.5	0.75	flagella	no	"aesculin hydrolysis, catalase positive, H2S production"	Idiomarina	fontislapidosi	F23T	7.5	05-Oct	32	Apr-45	4	0.5-20		rod	clump	1793	CECT5859T|LMG22169T	"Tween 20, Tween 80"		negative		No
other	2006	10.1099/ijs.0.63543-0	 AY533171	37.8	anaerobic			non-motile	no	aesculin hydrolysis	Pilibacter	termitis	TI-1	n/a	n/a	20-30	20-30	0	0	yes	rod	chain	15	ATCCBAA-1030|CCUG49613	"fructose, galactose, glucose, mannose, N-acetylgulcosamine, salicin, sorbitol, trehalose, xylose"		positive	hindgut of termite	No
food product	2005	10.1099/ijs.0.63208-0	 AY550276	45	aerobic	0.7	2.5	flagella	yes	"aesculin hydrolysis, alkaline phosphatase, nitrate reduction to nitrite, oxidase positive"	Bacillus	cibi	JG-30T	7	5.5-7.5	37	Apr-50	0.5	0-12	yes	rod		733	KCTC3880T|DSM16189T	"acetate, cellobiose, fructose, galactose, glucose, malate, maltose, mannose, melibiose, pyruvic acid (pyruvate), raffinose, succinic acid (succinate), sucrose, trehalose, Tween 80"		variable		No
seawater	2008	10.1099/ijs.0.65685-0	 AY576729	57	aerobic	1.6-2	0.6-0.8	"motile, but unspecified structure"	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Melitea	salexigens	5IX/A01/131	8	06-Oct	30	15-37	42 (g/l)	7-70 (g/l)	yes	rod	chain	2479	DSM19753|CIP109757|MOLA225	"fructose, glucose, glutamic acid, maltose, mannose, raffinose, serine, sucrose, trehalose"		negative		Yes
soil	2005	10.1099/ijs.0.63423-0	 AY581113	38	aerobic	0.9	0.35	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Flavobacterium 	antarcticum 	AT1026T	7	06-Oct	21.2	5-24.1	0	0-4	yes	rod	not indicated	637	IMSNU14042T|KCTC12222T|JCM12383T	"glucose, maltose"		negative		No
