,drugClassCount,disease,pathogenName,level,host,mlstCount,strainCount,taxonid,assCount
10,27.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin/Soft tissue,Urinary system",Acinetobacter baumannii,BSL-2,"Birds,Environment,Human,Mammal,Rodent",556,15354,470,19280
11,22.0,"Blood,Digestive system,Urinary system",Clostridioides difficile,BSL-2,"Birds,Environment,Human,Mammal,Primate,Rodent",311,8894,1496,15965
12,25.0,"Blood,Digestive system",Shigella sonnei,BSL-2,"Birds,Human,Mammal,Primate",152,13863,624,15388
13,25.0,"Digestive system,Urinary system",Shigella flexneri,BSL-2,"Environment,Human,Mammal,Primate,Rodent",153,11392,623,12728
14,25.0,Digestive system,Vibrio parahaemolyticus,BSL-2,"Birds,Environment,Human,Vertebrate",1038,8510,670,9031
15,27.0,"Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system",Mycobacterium tuberculosis,BSL-3,"Human,Mammal",156,7167,1773,7248
16,28.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin/Soft tissue,Urinary system",Enterococcus faecalis,BSL-2,"Birds,Environment,Human,Mammal,Primate,Rodent,Vertebrate",401,5507,1351,6895
17,20.0,"Blood,Digestive system,Eye/Ear/Oral/Nasal,Urinary system",Vibrio cholerae,BSL-2,"Environment,Human",650,5145,666,5788
18,25.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin/Soft tissue,Urinary system",Enterobacter hormaechei,BSL-2,"Birds,Environment,Human,Mammal,Rodent",403,4142,158836,4938
19,15.0,Respiratory system,Legionella pneumophila,BSL-2,"Environment,Human",0,2485,446,4243
20,28.0,"Blood,Bone/Joint,Cardiovascular system,Digestive system,Eye/Ear/Oral/Nasal,Urinary system",Staphylococcus epidermidis,BSL-2,"Human,Mammal,Rodent",242,3735,1282,3852
21,20.0,"Blood,Central nervous system,Respiratory system,Urinary system",Neisseria meningitidis,BSL-2,"Environment,Human",638,3226,487,3777
22,14.0,Digestive system,Helicobacter pylori,BSL-2,"Human,Rodent",670,3200,210,3357
23,21.0,"Blood,Bone/Joint,Central nervous system,Respiratory system",Streptococcus suis,BSL-2,"Human,Mammal",359,2533,1307,2933
24,17.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Skin/Soft tissue,Urinary system",Streptococcus pyogenes,BSL-2,Human,533,2854,1314,2904
25,20.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin/Soft tissue,Urinary system",Streptococcus agalactiae,BSL-2,"Birds,Human,Mammal,Reptile,Rodent,Vertebrate",192,1825,1311,2211
26,19.0,"Blood,Central nervous system,Digestive system,Respiratory system",Burkholderia pseudomallei,BSL-3,"Birds,Human,Mammal,Primate,Rodent",361,1892,28450,1931
27,24.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Urinary system",Serratia marcescens,BSL-2,"Arthropod,Human,Mammal,Rodent",0,1604,615,1761
28,16.0,"Blood,Respiratory system",Mannheimia haemolytica,,Mammal,10,312,75985,1718
29,25.0,"Blood,Bone/Joint,Cardiovascular system,Digestive system,Respiratory system,Urinary system",Citrobacter freundii,BSL-2,"Birds,Environment,Human,Mammal,Plant",172,1276,546,1664
30,21.0,"Blood,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin/Soft tissue",Bacillus cereus,BSL-2,"Birds,Environment,Human,Mammal,Rodent,Vertebrate",440,1558,1396,1597
31,17.0,,Clostridium botulinum,BSL-2,"Birds,Human,Mammal",64,1306,1491,1416
32,22.0,"Blood,Digestive system,Eye/Ear/Oral/Nasal",Yersinia enterocolitica,BSL-2,"Birds,Human,Mammal,Primate,Rodent",216,811,630,1391
33,27.0,"Blood,Cardiovascular system,Central nervous system,Digestive system,Respiratory system,Skin/Soft tissue,Urinary system",Proteus mirabilis,BSL-2,"Birds,Human,Mammal,Primate,Rodent",0,1022,584,1315
34,24.0,"Blood,Digestive system,Respiratory system,Skin/Soft tissue,Urinary system",Klebsiella variicola,BSL-2,"Birds,Environment,Human,Mammal,Plant,Rodent",343,911,244366,1301
35,16.0,"Blood,Bone/Joint,Central nervous system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system",Haemophilus influenzae,BSL-2,Human,305,979,727,1299
36,23.0,"Blood,Digestive system,Respiratory system",Stenotrophomonas maltophilia,,"Birds,Human,Mammal,Primate,Rodent",190,935,40324,1231
37,17.0,"Digestive system,Reproductive system,Urinary system",Neisseria gonorrhoeae,BSL-2,Human,174,1004,485,1202
38,15.0,,Bordetella pertussis,BSL-2,Human,4,1166,520,1175
39,16.0,,Listeria innocua,BSL-1,"Birds,Food,Human,Mammal",69,640,1642,1120
40,13.0,Eye/Ear/Oral/Nasal,Francisella tularensis,BSL-3,"Arthropod,Human,Mammal,Primate,Rodent",0,1020,263,1081
41,23.0,"Blood,Central nervous system,Digestive system,Respiratory system,Urinary system",Cronobacter sakazakii,BSL-2,"Birds,Human,Mammal",86,1031,28141,1065
42,12.0,,Lactiplantibacillus plantarum,BSL-1,"Birds,Human,Mammal,Rodent,Vertebrate",0,973,1590,1020
43,19.0,"Blood,Bone/Joint,Digestive system,Skin/Soft tissue",Vibrio vulnificus,BSL-2,Human,192,845,672,973
44,24.0,"Blood,Bone/Joint,Digestive system",Bacteroides fragilis,BSL-2,"Birds,Human,Mammal",200,756,817,897
45,28.0,"Blood,Bone/Joint,Central nervous system,Digestive system,Reproductive system,Respiratory system,Urinary system",Klebsiella aerogenes,BSL-2,"Birds,Human,Mammal,Vertebrate",120,608,548,821
46,20.0,"Blood,Digestive system",Clostridium perfringens,BSL-2,"Birds,Human,Mammal,Primate,Rodent",182,716,1502,774
47,19.0,,Bacillus thuringiensis,BSL-2,"Arthropod,Human,Plant",227,741,1428,772
48,28.0,"Blood,Bone/Joint,Digestive system,Respiratory system,Urinary system",Enterobacter cloacae,BSL-3,"Birds,Human,Mammal,Primate",202,477,550,749
49,14.0,"Blood,Cardiovascular system,Eye/Ear/Oral/Nasal",Streptococcus mitis,BSL-2,"Human,Primate",1,359,28037,730
50,16.0,"Blood,Bone/Joint,Cardiovascular system,Respiratory system,Skin/Soft tissue",Corynebacterium diphtheriae,BSL-2,Human,247,377,1717,711
51,24.0,Digestive system,Shigella boydii,BSL-2,"Birds,Environment,Human,Mammal",59,635,621,702
52,13.0,,Campylobacter lari,BSL-2,"Birds,Human,Mammal",107,688,201,693
53,17.0,,Yersinia pestis,BSL-3,"Arthropod,Human,Mammal,Rodent",3,670,632,685
54,23.0,Blood,Bacillus subtilis,BSL-1,"Birds,Human,Mammal,Mollusc,Plant,Rodent",96,609,1423,683
55,13.0,,Campylobacter upsaliensis,BSL-2,"Human,Mammal",38,655,28080,660
56,20.0,,Vibrio alginolyticus,BSL-2,"Environment,Human",114,512,663,631
57,25.0,"Blood,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Urinary system",Klebsiella oxytoca,BSL-2,"Human,Mammal,Rodent",94,475,571,628
58,22.0,"Blood,Bone/Joint,Cardiovascular system,Digestive system,Respiratory system,Urinary system",Acinetobacter pittii,BSL-2,"Human,Mammal,Vertebrate",99,586,48296,607
59,24.0,"Blood,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Reproductive system,Respiratory system,Urinary system",Klebsiella michiganensis,BSL-2,"Birds,Human,Mammal,Rodent",107,533,1134687,594
60,19.0,"Blood,Eye/Ear/Oral/Nasal",Burkholderia cenocepacia,BSL-2,Human,124,538,95486,544
61,28.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system,Skin/Soft tissue,Urinary system",Staphylococcus haemolyticus,BSL-2,"Human,Mammal,Rodent",67,503,1283,512
62,14.0,"Blood,Bone/Joint",Brucella melitensis,BSL-3,"Human,Mammal,Rodent",17,350,29459,508
63,20.0,"Blood,Cardiovascular system,Central nervous system,Reproductive system",Streptococcus equi,BSL-2,"Human,Mammal,Primate,Rodent",59,495,1336,496
64,13.0,Cardiovascular system,Lacticaseibacillus rhamnosus,BSL-1,"Birds,Human,Mammal,Rodent",0,421,47715,447
65,14.0,,Cutibacterium acnes,,"Human,Primate,Rodent",60,365,1747,440
66,18.0,"Blood,Eye/Ear/Oral/Nasal,Respiratory system",Pasteurella multocida,BSL-2,"Birds,Environment,Human,Mammal,Rodent",64,404,747,419
67,16.0,Respiratory system,Mycobacterium avium,BSL-2,"Birds,Human,Mammal",50,275,1764,419
68,9.0,,Treponema pallidum,BSL-2,Human,23,415,160,418
69,16.0,,Bacillus anthracis,BSL-3,"Environment,Human,Mammal",40,376,1392,398
70,24.0,"Blood,Digestive system,Respiratory system,Skin/Soft tissue,Urinary system",Enterobacter asburiae,BSL-1,"Birds,Human,Mammal",56,324,61645,395
71,15.0,,Leptospira interrogans,BSL-2,"Human,Mammal,Rodent",94,385,173,392
72,24.0,"Blood,Digestive system,Respiratory system,Urinary system",Enterobacter roggenkampii,BSL-2,"Birds,Human,Mammal",77,352,1812935,390
73,24.0,"Blood,Digestive system,Respiratory system,Urinary system",Enterobacter kobei,BSL-2,"Human,Mammal",59,297,208224,375
74,15.0,,Lactococcus lactis,BSL-1,"Human,Mammal,Plant,Primate,Rodent",1,301,1358,368
75,25.0,"Blood,Central nervous system,Digestive system,Respiratory system",Morganella morganii,BSL-2,"Birds,Human,Mammal",0,284,582,363
76,18.0,"Digestive system,Eye/Ear/Oral/Nasal",Chlamydia trachomatis,BSL-2,Human,18,334,813,354
77,14.0,"Blood,Bone/Joint,Cardiovascular system,Central nervous system,Digestive system,Respiratory system,Urinary system",Campylobacter fetus,BSL-2,"Human,Mammal",41,230,196,338
78,17.0,"Blood,Respiratory system",Corynebacterium striatum,BSL-2,Human,0,302,43770,337
79,13.0,,Brucella abortus,BSL-3,"Human,Mammal,Rodent",19,319,235,328
80,16.0,"Digestive system,Respiratory system",Yersinia pseudotuberculosis,BSL-2,"Birds,Human,Mammal,Primate,Rodent",25,95,633,328
81,25.0,"Blood,Bone/Joint,Central nervous system,Reproductive system,Respiratory system,Urinary system",Providencia rettgeri,BSL-2,"Birds,Human,Mammal",0,250,587,323
82,14.0,Bone/Joint,Prevotella copri,BSL-1,"Human,Mammal",0,216,165179,314
83,16.0,,Lactobacillus gasseri,BSL-1,"Human,Mammal",0,217,1596,287
84,21.0,"Blood,Bone/Joint,Respiratory system,Urinary system",Pseudomonas putida,BSL-2,"Birds,Human",133,257,303,285
85,16.0,Respiratory system,Bacillus licheniformis,BSL-1,"Birds,Human,Mammal,Rodent",30,259,1402,285
86,16.0,,Micrococcus luteus,BSL-1,"Human,Mammal",0,257,1270,272
87,20.0,"Blood,Digestive system",Aeromonas hydrophila,BSL-2,"Human,Mammal,Vertebrate",34,239,644,271
88,21.0,,Burkholderia gladioli,BSL-2,"Environment,Human",74,266,28095,271
89,24.0,Blood,Shigella dysenteriae,BSL-2,"Human,Mammal",44,233,622,267
90,21.0,"Blood,Bone/Joint,Respiratory system,Skin/Soft tissue",Staphylococcus argenteus,BSL-2,"Human,Mammal,Primate",11,218,985002,265
91,21.0,"Blood,Central nervous system,Digestive system,Respiratory system,Urinary system",Acinetobacter nosocomialis,BSL-2,Human,45,199,106654,264
92,17.0,"Digestive system,Respiratory system",Rhodococcus equi,BSL-2,"Human,Mammal",7,252,43767,260
93,10.0,Digestive system,Campylobacter concisus,BSL-2,Human,31,177,199,257
94,23.0,"Blood,Cardiovascular system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system",Streptococcus salivarius,BSL-2,Human,0,178,1304,249
95,20.0,Respiratory system,Burkholderia cepacia,BSL-2,"Environment,Human",96,240,292,246
96,14.0,"Cardiovascular system,Eye/Ear/Oral/Nasal",Streptococcus oralis,BSL-2,"Human,Primate,Rodent",3,217,1303,242
97,22.0,"Blood,Digestive system",Aeromonas veronii,BSL-2,"Birds,Food,Human,Mammal,Mollusc,Vertebrate",22,219,654,236
98,24.0,Blood,Staphylococcus hominis,BSL-2,"Human,Mammal",15,213,1290,234
99,23.0,"Blood,Respiratory system,Urinary system",Citrobacter koseri,BSL-2,"Environment,Human,Mammal,Rodent",11,138,545,224
100,14.0,"Eye/Ear/Oral/Nasal,Respiratory system",Moraxella catarrhalis,BSL-2,Human,111,216,480,219
101,22.0,"Central nervous system,Digestive system,Respiratory system",Aeromonas caviae,BSL-2,"Environment,Human,Mammal",39,203,648,218
102,14.0,,Bacillus pumilus,BSL-1,"Birds,Human,Primate",0,199,1408,204
103,19.0,,Bordetella parapertussis,BSL-2,Human,2,93,519,200
104,15.0,"Blood,Cardiovascular system",Streptococcus anginosus,BSL-2,Human,0,182,1328,200
105,14.0,"Blood,Reproductive system",Gardnerella vaginalis,BSL-2,Human,0,123,2702,196
106,12.0,,Aggregatibacter actinomycetemcomitans,BSL-2,"Human,Primate",55,183,714,186
107,7.0,,Mycoplasma pneumoniae,BSL-2,Human,13,184,2104,186
108,24.0,"Blood,Respiratory system",Enterobacter bugandensis,BSL-2,"Human,Mammal",38,172,881260,184
109,22.0,"Blood,Urinary system",Staphylococcus saprophyticus,BSL-2,"Birds,Human,Mammal",0,163,29385,180
110,12.0,,Limosilactobacillus fermentum,BSL-1,"Birds,Human,Mammal",0,160,1613,172
111,11.0,"Bone/Joint,Digestive system,Respiratory system,Skin/Soft tissue,Urinary system",Corynebacterium pseudotuberculosis,BSL-2,"Human,Mammal",0,169,1719,171
112,20.0,,Enterococcus durans,BSL-2,"Birds,Environment,Human,Mammal",0,153,53345,161
113,24.0,"Blood,Cardiovascular system",Streptococcus dysgalactiae,BSL-2,"Human,Mammal",67,154,1334,160
114,23.0,"Bone/Joint,Digestive system",Citrobacter braakii,BSL-2,"Birds,Human,Mammal",30,149,57706,159
115,10.0,,Coxiella burnetii,BSL-3,"Arthropod,Human,Mammal,Rodent",0,147,777,153
116,13.0,,Streptococcus uberis,BSL-2,"Human,Mammal",34,146,1349,148
117,22.0,,Pantoea agglomerans,BSL-3,"Human,Plant",0,135,549,144
118,16.0,,Phocaeicola dorei,BSL-1,"Birds,Human",0,109,357276,143
119,23.0,"Blood,Central nervous system,Respiratory system",Staphylococcus warneri,BSL-1,"Human,Mammal,Rodent",0,136,1292,141
120,10.0,,Lactobacillus jensenii,BSL-1,Human,0,87,109790,137
121,14.0,"Cardiovascular system,Digestive system,Eye/Ear/Oral/Nasal,Respiratory system",Streptococcus parasanguinis,BSL-2,Human,0,110,1318,136
122,19.0,Blood,Enterococcus casseliflavus,BSL-2,"Birds,Environment,Human,Mammal",0,116,37734,136
123,16.0,Respiratory system,Burkholderia vietnamiensis,BSL-2,"Environment,Human,Plant",52,127,60552,134
124,17.0,,Bacteroides caccae,BSL-2,Human,0,92,47678,124
125,13.0,"Blood,Central nervous system,Respiratory system",Streptococcus pseudopneumoniae,BSL-2,Human,1,118,257758,121
126,14.0,Cardiovascular system,Streptococcus sanguinis,BSL-2,"Human,Mammal,Primate",0,107,1305,118
127,14.0,Eye/Ear/Oral/Nasal,Fusobacterium nucleatum,BSL-2,"Human,Mammal",0,95,851,116
128,14.0,,Erysipelatoclostridium ramosum,,"Human,Mammal,Rodent",0,102,1547,116
129,21.0,"Blood,Bone/Joint,Urinary system",Enterococcus gallinarum,BSL-2,"Birds,Human,Mammal,Primate,Rodent",0,92,1353,113
130,13.0,,Burkholderia mallei,BSL-3,"Human,Mammal",2,83,13373,109
131,25.0,Urinary system,Citrobacter amalonaticus,BSL-2,"Environment,Human,Rodent",14,90,35703,109
132,11.0,,Lactobacillus acidophilus,BSL-1,"Human,Mammal",0,97,1579,108
133,23.0,"Blood,Digestive system,Respiratory system,Urinary system",Enterobacter ludwigii,BSL-2,"Birds,Human,Mammal",40,98,299767,107
134,15.0,"Cardiovascular system,Eye/Ear/Oral/Nasal",Streptococcus gordonii,BSL-2,Human,0,95,1302,105
135,19.0,,Bordetella bronchiseptica,BSL-2,"Birds,Human,Mammal,Rodent",36,98,518,101
136,23.0,Blood,Serratia liquefaciens,BSL-2,"Human,Mammal",0,57,614,100
137,19.0,Urinary system,Staphylococcus xylosus,BSL-1,"Human,Mammal,Rodent",0,82,1288,96
138,12.0,Blood,Streptococcus iniae,BSL-2,"Human,Vertebrate",0,96,1346,96
139,11.0,Respiratory system,Porphyromonas gingivalis,BSL-2,Human,3,82,837,94
140,18.0,,Bordetella holmesii,BSL-2,Human,1,82,35814,93
141,22.0,,Staphylococcus cohnii,BSL-1,"Human,Mammal",0,86,29382,91
142,20.0,"Blood,Respiratory system",Acinetobacter radioresistens,BSL-1,"Birds,Human",8,60,40216,91
143,21.0,"Blood,Respiratory system",Acinetobacter ursingii,BSL-2,Human,8,70,108980,90
144,19.0,,Ralstonia pickettii,,Human,0,86,329,89
145,10.0,"Bone/Joint,Respiratory system",Chlamydia psittaci,BSL-2,"Birds,Human,Mammal,Rodent",15,82,83554,89
146,12.0,,Bacillus atrophaeus,BSL-2,Primate,3,88,1452,88
147,21.0,"Blood,Respiratory system",Acinetobacter junii,BSL-2,"Human,Mammal",10,75,40215,88
148,23.0,"Blood,Digestive system,Respiratory system,Urinary system",Providencia stuartii,BSL-2,"Birds,Human,Rodent",1,78,588,85
149,12.0,,Brucella suis,BSL-3,"Human,Mammal",12,72,29461,82
150,22.0,Blood,Cronobacter malonaticus,BSL-2,Human,21,78,413503,82
151,20.0,"Blood,Digestive system",Acinetobacter seifertii,BSL-2,"Human,Mammal",31,79,1530123,80
152,21.0,Blood,Pseudomonas fulva,BSL-1,"Human,Plant",0,76,47880,78
153,10.0,,Sphingomonas koreensis,BSL-1,Human,0,77,93064,77
154,17.0,"Blood,Digestive system",Aeromonas dhakensis,BSL-2,Human,21,64,196024,76
155,16.0,"Cardiovascular system,Digestive system",Lactococcus garvieae,BSL-2,"Human,Mammal,Vertebrate",0,55,1363,74
156,14.0,Blood,Haemophilus haemolyticus,BSL-1,Human,2,64,726,72
157,24.0,Digestive system,Citrobacter farmeri,BSL-2,Human,4,46,67824,70
158,21.0,"Blood,Central nervous system,Eye/Ear/Oral/Nasal,Respiratory system",Acinetobacter bereziniae,BSL-2,Human,8,66,106648,70
159,13.0,,Burkholderia glumae,BSL-1,"Environment,Human",5,66,337,69
160,9.0,"Blood,Digestive system",Helicobacter cinaedi,BSL-2,"Human,Mammal",7,58,213,68
161,14.0,Digestive system,Paeniclostridium sordellii,BSL-2,"Human,Mammal,Rodent",0,66,1505,68
162,14.0,,Chlamydia abortus,,"Birds,Mammal",11,67,83555,68
163,14.0,"Blood,Digestive system",Enterococcus avium,BSL-2,"Birds,Human,Primate",0,54,33945,67
164,17.0,"Cardiovascular system,Digestive system",Streptococcus gallolyticus,BSL-2,"Human,Mammal",23,55,315405,67
165,22.0,,Cronobacter dublinensis,BSL-2,Human,29,66,413497,67
166,17.0,,Alcaligenes faecalis,,"Birds,Human",0,51,511,66
167,21.0,,Acinetobacter johnsonii,BSL-2,"Birds,Human,Mammal",7,48,40214,66
168,15.0,,Clostridium symbiosum,BSL-2,"Human,Rodent",0,48,1512,65
169,16.0,,Mycolicibacterium smegmatis,,Human,5,60,1772,63
170,10.0,"Respiratory system,Skin/Soft tissue",Mycobacteroides chelonae,BSL-2,Human,16,59,1774,61
171,3.0,,Chlamydia suis,,Mammal,33,24,83559,61
172,15.0,"Cardiovascular system,Digestive system",Streptococcus lutetiensis,BSL-2,"Human,Primate",3,43,150055,61
173,20.0,"Respiratory system,Urinary system",Acinetobacter haemolyticus,BSL-2,"Environment,Human",13,60,29430,60
174,16.0,Eye/Ear/Oral/Nasal,Staphylococcus schleiferi,BSL-2,"Human,Mammal",0,32,1295,59
175,8.0,,Streptococcus sobrinus,BSL-2,"Human,Rodent",0,55,1310,59
176,13.0,,Veillonella parvula,,Human,0,28,29466,59
177,22.0,"Blood,Respiratory system,Urinary system",Pseudomonas monteilii,BSL-1,"Human,Mammal",8,56,76759,59
178,22.0,"Blood,Digestive system",Escherichia marmotae,BSL-1,"Birds,Human,Mammal,Rodent",25,52,1499973,59
179,17.0,"Blood,Cardiovascular system,Central nervous system",Elizabethkingia meningoseptica,BSL-2,Human,0,47,238,58
180,15.0,,Enterococcus mundtii,BSL-1,"Birds,Environment,Human,Mammal",0,55,53346,58
181,12.0,Bone/Joint,Kingella kingae,BSL-2,Human,13,55,504,57
182,12.0,Digestive system,Fusobacterium necrophorum,BSL-2,"Human,Mammal",0,44,859,56
183,22.0,"Blood,Respiratory system",Acinetobacter lwoffii,BSL-2,"Birds,Human,Mammal",7,48,28090,56
184,13.0,Respiratory system,Prevotella melaninogenica,BSL-2,Human,0,29,28132,55
185,12.0,Digestive system,Streptococcus intermedius,BSL-2,Human,0,52,1338,54
186,17.0,Blood,Brucella anthropi,BSL-3,Human,0,40,529,53
187,20.0,,Staphylococcus pettenkoferi,BSL-2,Human,0,52,170573,53
188,13.0,,Prevotella pallens,BSL-2,Human,0,3,60133,52
189,11.0,,Streptococcus equinus,BSL-2,"Human,Mammal",27,46,1335,51
190,12.0,,Vibrio metschnikovii,BSL-2,,0,47,28172,50
191,12.0,,Campylobacter hyointestinalis,BSL-2,"Human,Mammal",17,46,198,48
192,11.0,,Listeria ivanovii,BSL-2,"Mammal,Rodent",10,47,1638,47
193,13.0,Respiratory system,Mycobacterium kansasii,BSL-2,"Human,Primate",13,47,1768,47
194,11.0,Eye/Ear/Oral/Nasal,Corynebacterium ulcerans,BSL-2,"Human,Mammal",24,47,65058,47
195,15.0,,Hungatella hathewayi,BSL-1,Human,0,27,154046,47
196,14.0,Cardiovascular system,Streptococcus cristatus,BSL-1,Human,0,38,45634,46
197,9.0,,Borrelia miyamotoi,,"Arthropod,Human",5,43,47466,46
198,15.0,"Bone/Joint,Respiratory system",Nocardia farcinica,BSL-2,Human,0,45,37329,45
199,8.0,,Clostridium tetani,BSL-2,Human,0,40,1513,43
200,10.0,,Dermatophilus congolensis,BSL-2,Mammal,0,43,1863,43
201,14.0,Digestive system,Clostridium paraputrificum,BSL-2,"Birds,Human",0,40,29363,43
202,21.0,Blood,Acinetobacter soli,BSL-2,Human,11,42,487316,43
203,19.0,,Yersinia intermedia,BSL-2,"Birds,Human,Mammal,Rodent",23,36,631,42
204,16.0,,Providencia alcalifaciens,BSL-2,"Human,Mammal,Rodent",0,39,126385,42
205,18.0,,Hafnia alvei,BSL-2,"Environment,Human",0,34,569,40
206,24.0,Respiratory system,Corynebacterium aurimucosum,BSL-1,Human,1,38,169292,40
207,15.0,,Brevibacillus laterosporus,,"Human,Mammal",0,35,1465,39
208,12.0,"Blood,Bone/Joint",Erysipelothrix rhusiopathiae,BSL-2,"Human,Mammal",0,17,1648,39
209,13.0,"Bone/Joint,Respiratory system",Prevotella intermedia,BSL-2,Human,0,33,28131,39
210,11.0,Blood,Bartonella henselae,BSL-2,"Human,Mammal",8,36,38323,38
211,15.0,,Plesiomonas shigelloides,BSL-2,Human,0,31,703,37
212,18.0,,Yersinia frederiksenii,BSL-2,"Environment,Human,Mammal",23,30,29484,37
213,21.0,Cardiovascular system,Staphylococcus pasteuri,BSL-2,"Human,Mammal,Rodent",0,36,45972,37
214,10.0,"Blood,Cardiovascular system,Eye/Ear/Oral/Nasal,Respiratory system",Streptococcus vestibularis,BSL-2,Human,1,22,1343,36
215,15.0,Respiratory system,Mycolicibacterium fortuitum,BSL-2,"Human,Vertebrate",14,35,1766,36
216,13.0,Respiratory system,Prevotella salivae,BSL-2,Human,0,6,228604,36
217,10.0,,Rickettsia japonica,,Human,0,34,35790,35
218,13.0,,Serratia plymuthica,BSL-1,Human,0,30,82996,35
219,13.0,Respiratory system,Prevotella histicola,BSL-2,Human,0,11,470565,35
220,25.0,"Blood,Digestive system",Enterobacter chengduensis,BSL-2,Human,2,31,2494701,35
221,21.0,"Digestive system,Respiratory system",Proteus vulgaris,BSL-2,"Birds,Human,Mammal",0,29,585,34
222,9.0,Digestive system,Helicobacter pullorum,BSL-2,"Birds,Human",0,20,35818,34
223,10.0,,Actinomyces oris,BSL-2,Human,0,24,544580,34
224,10.0,,Prevotella ruminicola,BSL-2,Mammal,0,10,839,33
225,9.0,,Anaplasma phagocytophilum,BSL-2,"Arthropod,Human,Mammal",10,33,948,33
226,12.0,,Peptostreptococcus anaerobius,BSL-2,Human,0,28,1261,33
227,9.0,,Lactobacillus paragasseri,BSL-1,Human,0,27,2107999,33
228,16.0,,Aeromonas jandaei,BSL-2,"Human,Vertebrate",1,30,650,32
229,18.0,,Aeromonas media,BSL-1,"Food,Human,Vertebrate",2,27,651,32
230,12.0,Eye/Ear/Oral/Nasal,Streptococcus constellatus,BSL-2,Human,0,29,76860,32
231,19.0,,Pseudomonas koreensis,BSL-1,Human,2,30,198620,32
232,24.0,Eye/Ear/Oral/Nasal,Enterobacter mori,BSL-2,Human,6,28,539813,32
233,13.0,Skin/Soft tissue,Haemophilus ducreyi,BSL-2,Human,0,31,730,31
